element_id,tag,carrier,host_or_staff
mn-1-1-1-1-1--tied--start--1,tied,stamp,mn-1-1-1-1-1
mn-1-1-1-1-2--tied--start--1,tied,stamp,mn-1-1-1-1-2
mn-1-1-1-1-3--tied--start--1,tied,stamp,mn-1-1-1-1-3
mn-1-1-1-1-4--tied--stop--1,tied,stamp,mn-1-1-1-1-4
mn-1-1-1-1-5--tied--stop--1,tied,stamp,mn-1-1-1-1-5
mn-1-1-1-1-6--tied--stop--1,tied,stamp,mn-1-1-1-1-6
mn-1-1-1-1-15--slur--start--1,slur,stamp,mn-1-1-1-1-15
mn-1-1-1-1-15--slur--start--2,slur,stamp,mn-1-1-1-1-15
mn-1-1-1-1-18--slur--stop--1,slur,stamp,mn-1-1-1-1-18
mn-1-1-1-1-18--slur--stop--2,slur,stamp,mn-1-1-1-1-18
mn-1-1-3-2-1--tied--start--1,tied,stamp,mn-1-1-3-2-1
mn-1-1-3-2-2--tied--start--1,tied,stamp,mn-1-1-3-2-2
mn-1-1-3-2-3--tied--start--1,tied,stamp,mn-1-1-3-2-3
mn-1-1-3-2-4--tied--start--1,tied,stamp,mn-1-1-3-2-4
mn-1-1-3-2-5--tied--stop--1,tied,stamp,mn-1-1-3-2-5
mn-1-1-3-2-6--tied--stop--1,tied,stamp,mn-1-1-3-2-6
mn-1-1-3-2-7--tied--stop--1,tied,stamp,mn-1-1-3-2-7
mn-1-1-3-2-8--tied--stop--1,tied,stamp,mn-1-1-3-2-8
mn-1-1-3-2-12--slur--start--1,slur,stamp,mn-1-1-3-2-12
mn-1-1-3-2-13--slur--stop--1,slur,stamp,mn-1-1-3-2-13
md-1-1-1-1,dynamics,md,1
md-1-1-1-2,words,md,1
mn-1-2-1-1-1--tied--start--1,tied,stamp,mn-1-2-1-1-1
mn-1-2-1-1-2--tied--start--1,tied,stamp,mn-1-2-1-1-2
mn-1-2-1-1-3--tied--start--1,tied,stamp,mn-1-2-1-1-3
mn-1-2-1-1-4--tied--stop--1,tied,stamp,mn-1-2-1-1-4
mn-1-2-1-1-5--tied--stop--1,tied,stamp,mn-1-2-1-1-5
mn-1-2-1-1-6--tied--stop--1,tied,stamp,mn-1-2-1-1-6
mn-1-2-1-1-16--slur--start--1,slur,stamp,mn-1-2-1-1-16
mn-1-2-1-1-19--slur--stop--1,slur,stamp,mn-1-2-1-1-19
mn-1-2-3-2-1--tied--start--1,tied,stamp,mn-1-2-3-2-1
mn-1-2-3-2-2--tied--stop--1,tied,stamp,mn-1-2-3-2-2
mn-1-2-3-2-6--tied--start--1,tied,stamp,mn-1-2-3-2-6
mn-1-2-3-2-7--tied--stop--1,tied,stamp,mn-1-2-3-2-7
md-1-2-1-1,dynamics,md,1
md-1-2-1-2,dynamics,md,1
md-1-2-1-3,dynamics,md,1
mn-1-3-2-1-1--tied--start--1,tied,stamp,mn-1-3-2-1-1
mn-1-3-2-1-2--tied--start--1,tied,stamp,mn-1-3-2-1-2
mn-1-3-2-1-3--tied--start--1,tied,stamp,mn-1-3-2-1-3
mn-1-3-2-1-4--tied--stop--1,tied,stamp,mn-1-3-2-1-4
mn-1-3-2-1-5--tied--stop--1,tied,stamp,mn-1-3-2-1-5
mn-1-3-2-1-6--tied--stop--1,tied,stamp,mn-1-3-2-1-6
mn-1-3-2-1-16--slur--start--1,slur,stamp,mn-1-3-2-1-16
mn-1-3-2-1-19--slur--stop--1,slur,stamp,mn-1-3-2-1-19
mn-1-3-2-1-19--staccato--1,staccato,derive,mn-1-3-2-1-19
mn-1-3-2-1-19--staccatissimo--1,staccatissimo,derive,mn-1-3-2-1-19
mn-1-3-4-2-1--tied--start--1,tied,stamp,mn-1-3-4-2-1
mn-1-3-4-2-2--tied--stop--1,tied,stamp,mn-1-3-4-2-2
mn-1-3-4-2-6--slur--start--1,slur,stamp,mn-1-3-4-2-6
mn-1-3-4-2-7--slur--stop--1,slur,stamp,mn-1-3-4-2-7
mn-1-3-4-2-7--staccato--1,staccato,derive,mn-1-3-4-2-7
mn-1-3-4-2-7--staccatissimo--1,staccatissimo,derive,mn-1-3-4-2-7
md-1-3-2-1,dynamics,md,2
mn-1-4-1-1-1--slur--start--1,slur,stamp,mn-1-4-1-1-1
mn-1-4-1-1-10--slur--stop--1,slur,stamp,mn-1-4-1-1-10
mn-1-4-1-1-13--tied--start--1,tied,stamp,mn-1-4-1-1-13
mn-1-4-1-1-14--tied--stop--1,tied,stamp,mn-1-4-1-1-14
mn-1-4-1-1-15--slur--start--1,slur,stamp,mn-1-4-1-1-15
mn-1-4-1-1-24--slur--stop--1,slur,stamp,mn-1-4-1-1-24
mn-1-4-1-1-25--tuplet--start--1,tuplet,stamp,mn-1-4-1-1-25
mn-1-4-1-1-25--slur--start--1,slur,stamp,mn-1-4-1-1-25
mn-1-4-1-1-33--tuplet--stop--1,tuplet,stamp,mn-1-4-1-1-33
mn-1-4-1-1-33--slur--stop--1,slur,stamp,mn-1-4-1-1-33
md-1-4-1-1,dynamics,md,1
md-1-4-1-2,wedge,md,1
md-1-4-1-3,dynamics,md,1
md-1-4-1-4,wedge,md,1
md-1-4-1-5,dynamics,md,1
md-1-4-2-1,dynamics,md,2
mn-1-5-1-1-1--staccato--1,staccato,derive,mn-1-5-1-1-1
mn-1-5-1-1-1--staccatissimo--1,staccatissimo,derive,mn-1-5-1-1-1
mn-1-5-1-1-2--tied--start--1,tied,stamp,mn-1-5-1-1-2
mn-1-5-1-1-3--tied--start--1,tied,stamp,mn-1-5-1-1-3
mn-1-5-1-1-4--tied--stop--1,tied,stamp,mn-1-5-1-1-4
mn-1-5-1-1-5--tied--stop--1,tied,stamp,mn-1-5-1-1-5
mn-1-5-1-1-12--slur--start--1,slur,stamp,mn-1-5-1-1-12
mn-1-5-1-1-14--slur--stop--1,slur,stamp,mn-1-5-1-1-14
md-1-5-1-1,dynamics,md,1
md-1-5-1-2,dynamics,md,1
mn-1-6-1-1-5--tied--start--1,tied,stamp,mn-1-6-1-1-5
mn-1-6-1-1-6--tied--start--1,tied,stamp,mn-1-6-1-1-6
mn-1-6-1-1-7--tied--stop--1,tied,stamp,mn-1-6-1-1-7
mn-1-6-1-1-8--tied--stop--1,tied,stamp,mn-1-6-1-1-8
mn-1-6-1-1-15--slur--start--1,slur,stamp,mn-1-6-1-1-15
mn-1-6-1-1-17--slur--stop--1,slur,stamp,mn-1-6-1-1-17
md-1-6-1-1,dynamics,md,1
md-1-6-2-1,dynamics,md,2
mn-1-7-1-1-5--tied--start--1,tied,stamp,mn-1-7-1-1-5
mn-1-7-1-1-6--tied--start--1,tied,stamp,mn-1-7-1-1-6
