note_id,original_id,bar,voice,staff,ordinal
mn-1-1-1-1,n1,1,1,1,1
mn-1-1-1-2,n2,1,1,1,2
mn-1-1-1-3,n3,1,1,1,3
mn-1-1-1-4,n4,1,1,1,4
mn-1-1-1-5,n5,1,1,1,5
mn-1-1-1-6,n6,1,1,1,6
mn-1-1-1-7,n7,1,1,1,7
mn-1-5-2-1,n8,1,5,2,1
mn-1-5-2-2,n9,1,5,2,2
mn-1-5-2-3,n10,1,5,2,3
mn-1-5-2-4,n11,1,5,2,4
mn-1-5-2-5,n12,1,5,2,5
mn-2-1-1-1,n13,2,1,1,1
mn-2-1-1-2,n14,2,1,1,2
mn-2-1-1-3,n15,2,1,1,3
mn-2-1-1-4,n16,2,1,1,4
mn-2-1-1-5,n17,2,1,1,5
mn-2-1-1-6,n18,2,1,1,6
mn-2-1-1-7,n19,2,1,1,7
mn-2-5-2-1,n20,2,5,2,1
mn-2-5-2-2,n21,2,5,2,2
mn-2-5-2-3,n22,2,5,2,3
mn-2-5-2-4,n23,2,5,2,4
mn-2-5-2-5,n24,2,5,2,5
mn-3-1-1-1,n25,3,1,1,1
mn-3-1-1-2,n26,3,1,1,2
mn-3-1-1-3,n27,3,1,1,3
mn-3-1-1-4,n28,3,1,1,4
mn-3-2-1-1,n29,3,2,1,1
mn-3-2-1-2,n30,3,2,1,2
mn-3-2-1-3,n31,3,2,1,3
mn-3-2-1-4,r1,3,2,1,4
mn-3-2-1-5,n32,3,2,1,5
mn-3-5-2-1,n33,3,5,2,1
mn-3-5-2-2,n34,3,5,2,2
mn-3-5-2-3,n35,3,5,2,3
mn-3-5-2-4,n36,3,5,2,4
mn-3-5-2-5,n37,3,5,2,5
mn-3-5-2-6,n38,3,5,2,6
mn-3-5-2-7,n39,3,5,2,7
mn-4-1-1-1,n40,4,1,1,1
mn-4-1-1-2,n41,4,1,1,2
mn-4-1-1-3,n42,4,1,1,3
mn-4-1-1-4,n43,4,1,1,4
mn-4-2-1-1,n44,4,2,1,1
mn-4-2-1-2,r2,4,2,1,2
mn-4-2-1-3,r3,4,2,1,3
mn-4-2-1-4,n45,4,2,1,4
mn-4-2-1-5,n46,4,2,1,5
mn-4-5-2-1,n47,4,5,2,1
mn-4-5-2-2,n48,4,5,2,2
mn-4-5-2-3,n49,4,5,2,3
mn-4-5-2-4,n50,4,5,2,4
mn-4-5-2-5,n51,4,5,2,5
mn-4-5-2-6,n52,4,5,2,6
mn-4-5-2-7,n53,4,5,2,7
mn-5-1-1-1,n54,5,1,1,1
mn-5-1-1-2,n55,5,1,1,2
mn-5-1-1-3,n56,5,1,1,3
mn-5-1-1-4,n57,5,1,1,4
mn-5-2-1-1,n58,5,2,1,1
mn-5-2-1-2,n59,5,2,1,2
mn-5-2-1-3,r4,5,2,1,3
mn-5-2-1-4,r5,5,2,1,4
mn-5-2-1-5,n60,5,2,1,5
mn-5-5-2-1,n61,5,5,2,1
mn-5-5-2-2,n62,5,5,2,2
mn-5-5-2-3,n63,5,5,2,3
mn-5-5-2-4,n64,5,5,2,4
