note_id,original_id,bar,voice,staff,ordinal
mn-1-1-1-1,r1,1,1,1,1
mn-1-3-1-1,n1,1,3,1,1
mn-1-3-1-2,r2,1,3,1,2
mn-1-3-1-3,r3,1,3,1,3
mn-1-3-1-4,r4,1,3,1,4
mn-1-3-1-5,n2,1,3,1,5
mn-1-3-1-6,n3,1,3,1,6
mn-1-3-1-7,n4,1,3,1,7
mn-1-3-1-8,n5,1,3,1,8
mn-1-3-1-9,n6,1,3,1,9
mn-1-5-2-1,n7,1,5,2,1
mn-2-1-1-1,n8,2,1,1,1
mn-2-1-1-2,n9,2,1,1,2
mn-2-1-1-3,n10,2,1,1,3
mn-2-1-1-4,n11,2,1,1,4
mn-2-1-1-5,n12,2,1,1,5
mn-2-1-1-6,n13,2,1,1,6
mn-2-1-1-7,n14,2,1,1,7
mn-2-1-1-8,n15,2,1,1,8
mn-2-1-1-9,n16,2,1,1,9
mn-2-2-1-1,n17,2,2,1,1
mn-2-2-1-2,n18,2,2,1,2
mn-2-2-1-3,n19,2,2,1,3
mn-2-2-1-4,n20,2,2,1,4
mn-2-2-1-5,n21,2,2,1,5
mn-2-2-1-6,n22,2,2,1,6
mn-2-2-1-7,n23,2,2,1,7
mn-2-2-1-8,n24,2,2,1,8
mn-2-2-1-9,n25,2,2,1,9
mn-2-5-2-1,n26,2,5,2,1
mn-3-1-1-1,n27,3,1,1,1
mn-3-1-1-2,n28,3,1,1,2
mn-3-1-1-3,n29,3,1,1,3
mn-3-1-1-4,n30,3,1,1,4
mn-3-1-1-5,n31,3,1,1,5
mn-3-1-1-6,n32,3,1,1,6
mn-3-1-1-7,n33,3,1,1,7
mn-3-1-1-8,n34,3,1,1,8
mn-3-2-1-1,n35,3,2,1,1
mn-3-2-1-2,n36,3,2,1,2
mn-3-2-1-3,n37,3,2,1,3
mn-3-2-1-4,n38,3,2,1,4
mn-3-2-1-5,n39,3,2,1,5
mn-3-2-1-6,n40,3,2,1,6
mn-3-2-1-7,n41,3,2,1,7
mn-3-2-1-8,n42,3,2,1,8
mn-3-2-1-9,n43,3,2,1,9
mn-3-5-2-1,n44,3,5,2,1
mn-4-1-1-1,n45,4,1,1,1
mn-4-1-1-2,n46,4,1,1,2
mn-4-1-1-3,n47,4,1,1,3
mn-4-1-1-4,n48,4,1,1,4
mn-4-1-1-5,n49,4,1,1,5
mn-4-1-1-6,n50,4,1,1,6
mn-4-1-1-7,n51,4,1,1,7
mn-4-1-1-8,n52,4,1,1,8
mn-4-2-1-1,n53,4,2,1,1
mn-4-2-1-2,n54,4,2,1,2
mn-4-2-1-3,n55,4,2,1,3
mn-4-2-1-4,n56,4,2,1,4
mn-4-2-1-5,n57,4,2,1,5
mn-4-2-1-6,n58,4,2,1,6
mn-4-2-1-7,n59,4,2,1,7
mn-4-5-2-1,n60,4,5,2,1
mn-4-5-2-2,n61,4,5,2,2
mn-4-5-2-3,n62,4,5,2,3
mn-4-5-2-4,n63,4,5,2,4
mn-4-5-2-5,n64,4,5,2,5
mn-4-5-2-6,n65,4,5,2,6
mn-4-5-2-7,n66,4,5,2,7
mn-4-5-2-8,n67,4,5,2,8
mn-4-5-2-9,n68,4,5,2,9
mn-5-1-1-1,n69,5,1,1,1
mn-5-1-1-2,n70,5,1,1,2
mn-5-1-1-3,n71,5,1,1,3
mn-5-1-1-4,n72,5,1,1,4
mn-5-1-1-5,n73,5,1,1,5
mn-5-1-1-6,n74,5,1,1,6
mn-5-2-1-1,n75,5,2,1,1
mn-5-2-1-2,n76,5,2,1,2
mn-5-2-1-3,n77,5,2,1,3
mn-5-2-1-4,n78,5,2,1,4
mn-5-2-1-5,n79,5,2,1,5
mn-5-2-1-6,n80,5,2,1,6
mn-5-2-1-7,n81,5,2,1,7
mn-5-2-1-8,n82,5,2,1,8
mn-5-5-2-1,n83,5,5,2,1
mn-5-5-2-2,n84,5,5,2,2
mn-5-5-2-3,n85,5,5,2,3
mn-5-5-2-4,n86,5,5,2,4
mn-5-5-2-5,n87,5,5,2,5
mn-5-5-2-6,n88,5,5,2,6
mn-5-5-2-7,n89,5,5,2,7
