element_id,tag,carrier,host_or_staff
n12--mordent--1,mordent,derive,n12
n141--tie--1,tie,derive,n141
n141--tied--start--1,tied,stamp,n141
n154--tie--1,tie,derive,n154
n154--tied--stop--1,tied,stamp,n154
n185--tie--1,tie,derive,n185
n185--tied--start--1,tied,stamp,n185
n197--tie--1,tie,derive,n197
n197--tied--stop--1,tied,stamp,n197
n600--tie--1,tie,derive,n600
n600--tied--start--1,tied,stamp,n600
n613--tie--1,tie,derive,n613
n613--tied--stop--1,tied,stamp,n613
n654--tie--1,tie,derive,n654
n654--tied--start--1,tied,stamp,n654
n667--tie--1,tie,derive,n667
n667--tied--stop--1,tied,stamp,n667
n767--tie--1,tie,derive,n767
n767--tied--start--1,tied,stamp,n767
n772--tie--1,tie,derive,n772
n772--tied--start--1,tied,stamp,n772
n773--tie--1,tie,derive,n773
n773--tied--stop--1,tied,stamp,n773
n775--slur--start--1,slur,stamp,n775
n777--slur--stop--1,slur,stamp,n777
n785--tie--1,tie,derive,n785
n785--tied--stop--1,tied,stamp,n785
n793--tie--1,tie,derive,n793
n793--tied--start--1,tied,stamp,n793
n796--slur--start--1,slur,stamp,n796
n798--slur--stop--1,slur,stamp,n798
n806--tie--1,tie,derive,n806
n806--tied--stop--1,tied,stamp,n806
n814--tie--1,tie,derive,n814
n814--tied--start--1,tied,stamp,n814
n817--slur--start--1,slur,stamp,n817
n819--slur--stop--1,slur,stamp,n819
n827--tie--1,tie,derive,n827
n827--tied--stop--1,tied,stamp,n827
n860--tie--1,tie,derive,n860
n860--tied--start--1,tied,stamp,n860
n869--tie--1,tie,derive,n869
n869--tied--stop--1,tied,stamp,n869
n878--tie--1,tie,derive,n878
n878--tied--start--1,tied,stamp,n878
n891--tie--1,tie,derive,n891
n891--tied--stop--1,tied,stamp,n891
n900--tie--1,tie,derive,n900
n900--tied--start--1,tied,stamp,n900
n909--tie--1,tie,derive,n909
n909--tied--stop--1,tied,stamp,n909
n925--tie--1,tie,derive,n925
n925--tied--start--1,tied,stamp,n925
n938--tie--1,tie,derive,n938
n938--tied--stop--1,tied,stamp,n938
n1111--fermata--upright--1,fermata,stamp,n1111
n1113--fermata--inverted--1,fermata,stamp,n1113
