note_id,original_id,part,bar,voice,staff,ordinal
mn-1-1-1-1-1,n1,1,1,1,1,1
mn-1-1-5-2-1,n2,1,1,5,2,1
mn-1-2-1-1-1,n3,1,2,1,1,1
mn-1-2-5-2-1,n4,1,2,5,2,1
mn-1-2-5-2-2,n5,1,2,5,2,2
mn-1-2-5-2-3,n6,1,2,5,2,3
mn-1-3-1-1-1,n7,1,3,1,1,1
mn-1-3-5-2-1,n8,1,3,5,2,1
mn-1-3-5-2-2,n9,1,3,5,2,2
mn-1-3-5-2-3,n10,1,3,5,2,3
mn-1-4-1-1-1,n11,1,4,1,1,1
mn-1-4-5-2-1,n12,1,4,5,2,1
mn-1-4-5-2-2,n13,1,4,5,2,2
mn-1-4-5-2-3,n14,1,4,5,2,3
mn-1-4-5-2-4,n15,1,4,5,2,4
mn-1-4-5-2-5,n16,1,4,5,2,5
mn-1-5-1-1-1,n17,1,5,1,1,1
mn-1-5-5-2-1,n18,1,5,5,2,1
mn-1-5-5-2-2,n19,1,5,5,2,2
mn-1-5-5-2-3,n20,1,5,5,2,3
mn-1-6-1-1-1,n21,1,6,1,1,1
mn-1-6-5-2-1,n22,1,6,5,2,1
mn-1-6-5-2-2,n23,1,6,5,2,2
mn-1-6-5-2-3,n24,1,6,5,2,3
mn-1-6-5-2-4,n25,1,6,5,2,4
mn-1-6-5-2-5,n26,1,6,5,2,5
mn-1-7-1-1-1,n27,1,7,1,1,1
mn-1-7-5-2-1,n28,1,7,5,2,1
mn-1-7-5-2-2,n29,1,7,5,2,2
mn-1-7-5-2-3,n30,1,7,5,2,3
mn-1-7-5-2-4,n31,1,7,5,2,4
mn-1-7-5-2-5,n32,1,7,5,2,5
mn-1-8-1-1-1,n33,1,8,1,1,1
mn-1-8-1-1-2,n34,1,8,1,1,2
mn-1-8-1-1-3,n35,1,8,1,1,3
mn-1-8-5-2-1,n36,1,8,5,2,1
mn-1-8-5-2-2,n37,1,8,5,2,2
mn-1-8-5-2-3,n38,1,8,5,2,3
mn-1-8-5-2-4,n39,1,8,5,2,4
mn-1-9-1-1-1,n40,1,9,1,1,1
mn-1-9-1-1-2,n41,1,9,1,1,2
mn-1-9-1-1-3,n42,1,9,1,1,3
mn-1-9-5-2-1,n43,1,9,5,2,1
mn-1-9-5-2-2,n44,1,9,5,2,2
mn-1-10-1-1-1,n45,1,10,1,1,1
mn-1-10-1-1-2,n46,1,10,1,1,2
mn-1-10-1-1-3,n47,1,10,1,1,3
mn-1-10-1-1-4,n48,1,10,1,1,4
mn-1-10-1-1-5,n49,1,10,1,1,5
mn-1-10-5-2-1,n50,1,10,5,2,1
mn-1-10-5-2-2,n51,1,10,5,2,2
mn-1-10-5-2-3,n52,1,10,5,2,3
mn-1-11-1-1-1,n53,1,11,1,1,1
mn-1-11-1-1-2,n54,1,11,1,1,2
mn-1-11-1-1-3,n55,1,11,1,1,3
mn-1-11-5-2-1,n56,1,11,5,2,1
mn-1-11-5-2-2,n57,1,11,5,2,2
mn-1-11-5-2-3,n58,1,11,5,2,3
mn-1-11-5-2-4,n59,1,11,5,2,4
mn-1-11-5-2-5,n60,1,11,5,2,5
mn-1-12-1-1-1,n61,1,12,1,1,1
mn-1-12-1-1-2,n62,1,12,1,1,2
mn-1-12-1-1-3,n63,1,12,1,1,3
mn-1-12-1-1-4,n64,1,12,1,1,4
mn-1-12-1-1-5,n65,1,12,1,1,5
mn-1-12-5-2-1,n66,1,12,5,2,1
mn-1-12-5-2-2,n67,1,12,5,2,2
mn-1-12-5-2-3,n68,1,12,5,2,3
mn-1-12-5-2-4,n69,1,12,5,2,4
mn-1-13-1-2-1,n70,1,13,1,2,1
mn-1-13-1-2-2,n71,1,13,1,2,2
mn-1-13-1-2-3,n72,1,13,1,2,3
mn-1-13-1-2-4,n73,1,13,1,2,4
mn-1-13-1-2-5,n74,1,13,1,2,5
mn-1-13-5-2-1,n75,1,13,5,2,1
