element_id,original_id,tag,carrier,host_or_staff
n6--staccatissimo--1,,staccatissimo,derive,n6
n12--staccatissimo--1,,staccatissimo,derive,n12
n38--staccatissimo--1,,staccatissimo,derive,n38
n48--staccatissimo--1,,staccatissimo,derive,n48
n66--tie--1,,tie,derive,n66
n66--tied--start--1,,tied,stamp,n66
n67--tie--1,,tie,derive,n67
n67--tied--stop--1,,tied,stamp,n67
n80--tie--1,,tie,derive,n80
n80--tied--start--1,,tied,stamp,n80
n81--tie--1,,tie,derive,n81
n81--tied--start--1,,tied,stamp,n81
n82--tie--1,,tie,derive,n82
n82--tied--stop--1,,tied,stamp,n82
n86--tie--1,,tie,derive,n86
n86--tied--stop--1,,tied,stamp,n86
n95--tie--1,,tie,derive,n95
n95--tied--start--1,,tied,stamp,n95
n97--tie--1,,tie,derive,n97
n97--tied--start--1,,tied,stamp,n97
n98--tie--1,,tie,derive,n98
n98--tied--stop--1,,tied,stamp,n98
n101--tie--1,,tie,derive,n101
n101--tied--stop--1,,tied,stamp,n101
n111--tie--1,,tie,derive,n111
n111--tied--start--1,,tied,stamp,n111
n112--tie--1,,tie,derive,n112
n112--tied--start--1,,tied,stamp,n112
n113--tie--1,,tie,derive,n113
n113--tied--stop--1,,tied,stamp,n113
n117--tie--1,,tie,derive,n117
n117--tied--stop--1,,tied,stamp,n117
n126--tie--1,,tie,derive,n126
n126--tied--start--1,,tied,stamp,n126
n131--tie--1,,tie,derive,n131
n131--tied--start--1,,tied,stamp,n131
n132--tie--1,,tie,derive,n132
n132--tied--stop--1,,tied,stamp,n132
n135--tie--1,,tie,derive,n135
n135--tied--stop--1,,tied,stamp,n135
n138--tie--1,,tie,derive,n138
n138--tied--start--1,,tied,stamp,n138
n139--staccatissimo--1,,staccatissimo,derive,n139
n148--tie--1,,tie,derive,n148
n148--tied--stop--1,,tied,stamp,n148
n150--tie--1,,tie,derive,n150
n150--tied--start--1,,tied,stamp,n150
n151--tie--1,,tie,derive,n151
n151--tied--stop--1,,tied,stamp,n151
n152--staccatissimo--1,,staccatissimo,derive,n152
n182--tie--1,,tie,derive,n182
n182--tied--start--1,,tied,stamp,n182
n193--tie--1,,tie,derive,n193
n193--tied--stop--1,,tied,stamp,n193
n202--tie--1,,tie,derive,n202
n202--tied--start--1,,tied,stamp,n202
n212--tie--1,,tie,derive,n212
n212--tied--start--1,,tied,stamp,n212
n213--tie--1,,tie,derive,n213
n213--tied--stop--1,,tied,stamp,n213
n221--tie--1,,tie,derive,n221
n221--tied--stop--1,,tied,stamp,n221
n223--tie--1,,tie,derive,n223
n223--tied--start--1,,tied,stamp,n223
n224--tie--1,,tie,derive,n224
n224--tied--stop--1,,tied,stamp,n224
n226--tie--1,,tie,derive,n226
n226--tied--start--1,,tied,stamp,n226
n229--staccatissimo--1,,staccatissimo,derive,n229
n234--tie--1,,tie,derive,n234
n234--tied--stop--1,,tied,stamp,n234
n240--tie--1,,tie,derive,n240
n240--tied--start--1,,tied,stamp,n240
