element_id,original_id,tag,carrier,host_or_staff
n14--tie--1,,tie,derive,n14
n14--tied--start--1,,tied,stamp,n14
n15--tie--1,,tie,derive,n15
n15--tied--stop--1,,tied,stamp,n15
n25--tie--1,,tie,derive,n25
n25--tied--start--1,,tied,stamp,n25
n33--tie--1,,tie,derive,n33
n33--tied--start--1,,tied,stamp,n33
n34--tie--1,,tie,derive,n34
n34--tied--stop--1,,tied,stamp,n34
n47--tie--1,,tie,derive,n47
n47--tied--start--1,,tied,stamp,n47
n48--tie--1,,tie,derive,n48
n48--tied--stop--1,,tied,stamp,n48
n51--tie--1,,tie,derive,n51
n51--tied--stop--1,,tied,stamp,n51
n55--tie--1,,tie,derive,n55
n55--tied--start--1,,tied,stamp,n55
n56--tie--1,,tie,derive,n56
n56--tied--stop--1,,tied,stamp,n56
n59--tie--1,,tie,derive,n59
n59--tied--start--1,,tied,stamp,n59
n60--tie--1,,tie,derive,n60
n60--tied--stop--1,,tied,stamp,n60
n64--tie--1,,tie,derive,n64
n64--tied--start--1,,tied,stamp,n64
n65--tie--1,,tie,derive,n65
n65--tied--stop--1,,tied,stamp,n65
n68--tie--1,,tie,derive,n68
n68--tied--start--1,,tied,stamp,n68
n77--tie--1,,tie,derive,n77
n77--tied--stop--1,,tied,stamp,n77
n90--tie--1,,tie,derive,n90
n90--tied--start--1,,tied,stamp,n90
n91--tie--1,,tie,derive,n91
n91--tied--stop--1,,tied,stamp,n91
n101--tie--1,,tie,derive,n101
n101--tied--start--1,,tied,stamp,n101
n109--tie--1,,tie,derive,n109
n109--tied--start--1,,tied,stamp,n109
n110--tie--1,,tie,derive,n110
n110--tied--stop--1,,tied,stamp,n110
n123--tie--1,,tie,derive,n123
n123--tied--start--1,,tied,stamp,n123
n124--tie--1,,tie,derive,n124
n124--tied--stop--1,,tied,stamp,n124
n127--tie--1,,tie,derive,n127
n127--tied--stop--1,,tied,stamp,n127
n131--tie--1,,tie,derive,n131
n131--tied--start--1,,tied,stamp,n131
n132--tie--1,,tie,derive,n132
n132--tied--stop--1,,tied,stamp,n132
n135--tie--1,,tie,derive,n135
n135--tied--start--1,,tied,stamp,n135
n136--tie--1,,tie,derive,n136
n136--tied--stop--1,,tied,stamp,n136
n149--tie--1,,tie,derive,n149
n149--tied--start--1,,tied,stamp,n149
n150--tie--1,,tie,derive,n150
n150--tied--stop--1,,tied,stamp,n150
n153--tie--1,,tie,derive,n153
n153--tied--start--1,,tied,stamp,n153
n156--tie--1,,tie,derive,n156
n156--tied--start--1,,tied,stamp,n156
n157--tie--1,,tie,derive,n157
n157--tied--stop--1,,tied,stamp,n157
n160--tie--1,,tie,derive,n160
n160--tied--start--1,,tied,stamp,n160
n161--tie--1,,tie,derive,n161
n161--tied--stop--1,,tied,stamp,n161
