note_id,original_id,printed_bar
n7af6b3c1b72febd1,r1,0
n728c6d22a3bd0793,n1,0
n02e5decb2c3d03b9,n2,0
ncae0e7ec3634d539,r2,1
n9712c00b29d7600f,n3,1
nf9c36ed43c36a3c9,n4,1
n3959547960ed24b7,n5,1
n47423a65b3e37960,n6,1
ne4eaf18ed3e06c61,r3,2
n755ac5c42570da7d,n7,2
n3100a6c2d3e2c25e,n8,2
nd1fb737ebfedd17e,n9,2
nae5acb0fb936e54b,n10,2
nd34e7b69d44dbd2a,n11,2
nbeee8bee6c0231a9,n12,2
nb27ca05947a26fd6,r4,3
n277703b6faab2817,n13,3
ncab6cf1d09fa827c,n14,3
nc987411c79b06976,n15,3
n63885617c01f5920,n16,3
n29ef039c2d685290,r5,4
n6ffbf99070734cca,n17,4
nf0b97ccb954eb9a0,n18,4
nb1c2f20010d7e9eb,n19,4
n989776ead9cae73b,n20,4
n6dfaef3e97eb1501,r6,5
n964082f3f5e1b5f9,n21,5
n2395f923c740d2a1,n22,5
n71c66cb27ce85586,n23,5
n2e7266880edb2054,n24,5
nd8452557ed7bca0f,n25,5
n3bae5225fa59d0cb,n26,5
nef5db852644de311,r7,6
ne3f65869a15aaa84,r8,6
n483d8c79ea6572ae,n27,6
nc99b4dcbc8f741e3,n28,6
nd910cd2deec31454,n29,6
nfb824d7f4cb174c2,n30,6
n08076b4a545e0bbe,n31,6
n23ee533d3ff3c040,n32,6
n063f8adf7c3055ed,n33,6
n2fb6d326308aba28,n34,6
nd6b795569ee1b686,n35,7
n72e3589e0fecafd0,n36,7
n921e7e2762a2e903,n37,7
n5b72b4d44ea881dd,n38,7
na8d7eff09fc3dfa0,n39,7
nd6d8ce01dd55fdd2,n40,7
n4599adcc68631f64,n41,7
n69923c216acb2753,n42,7
n8e7fe49e1fb11818,n43,7
nb35b9a9727a2c1b4,n44,7
ned896709ec2a8a43,n45,8
n5d1f491e6d359100,n46,8
n2023ae63151763b0,n47,8
n3f0b15ecd046bd9a,n48,8
n29de990d5a30352f,n49,8
nae1afee9f4569a6d,n50,8
n27274b558864e981,n51,8
n5aab324684e46568,n52,8
n36c0029ef58c2518,n53,9
n8e8ebd6605e4d8d5,n54,9
n0198da65aa81a215,n55,9
nc0890bff427c76b3,n56,9
n7b268e82080d08fb,n57,9
n53d075434125060a,n58,9
n62709d74c67da7fd,n59,9
n4b97543b68c00bb4,n60,9
n1871f6cee77030fd,n61,10
n831c4a9efc375024,n62,10
nf6d5baced6b64104,n63,10
n99ee9c7cde4c4b15,n64,10
n6333200c130f5b12,n65,10
n28fee281e314c19e,n66,10
n6ea7861d7bd370db,n67,10
n88b6d101394c0d4e,n68,10
ncd720e36a8397352,n69,10
n1f46f70bee47e7fb,n70,11
nac56cf3d12ffbbd6,n71,11
nf79b14da43b32583,n72,11
n03745bd9a2d218a0,n73,11
nb15a5db652c8dfa7,n74,11
na6631b68c9f62c3b,n75,11
n65ce43fff13defef,n76,11
nfc7bd86c82146287,n77,11
n3c8e977ed6fb8755,n78,11
nb530f28b8505fedf,n79,11
n6cc053762f7f31b5,n80,12
n8cec2d0a4c5dd50d,n81,12
n12244d7054b9d6c4,n82,12
n1537906ab01dbaf7,n83,12
n8f1a777c0e77fb5e,n84,12
n4bfbbdd8469871f7,n85,12
n3ae0a6a7a2848405,n86,12
n82904d70b8f31c86,n87,12
nbbf99a6054ea7914,n88,12
nef6590fb2147a93a,n89,13
n4ec47adde26697d5,n90,13
nf7b5ffd98647ec34,n91,13
n0242a0c4fba7a57e,n92,13
n71a3e30ab5ac5faf,n93,13
nc768a51c8d0ecdd8,n94,13
n4fcc49342374beff,n95,13
nc71b2106d66d96ca,n96,13
n88ddad64ecfb7cee,n97,13
nab2c3d92b8cfa9d2,n98,13
n0bcdc3f5805b42b9,n99,14
n86b5f9c8cd734c9b,n100,14
n35be55ed5d2442fa,n101,14
nd5fa36fcc8f3ba39,n102,14
n0f1be06b41333fb7,n103,14
n7f27018e83e1515f,n104,14
n47abc5afe8ac3c0f,n105,14
n412c8cf4b561e27a,n106,14
nd8856a352120f1e0,n107,14
ne30a6605f908dec8,n108,15
nea08ec954af7e06a,n109,15
n35a5e35d7eafcd22,n110,15
n0966a9705b24b623,n111,15
ndea697843db962b5,n112,15
n78de5a8e2bc410d6,n113,15
n23619c3f22fff91a,n114,15
nfe879645fccff2d2,n115,15
n60620bd9387cc7c9,n116,15
n7cead3797c195e0a,r9,15
n2caf9d7675b3d730,r10,15
n02da43f78603f2b0,n117,15
n11cdb0a15ea6fa3e,n118,16
n0a4d95602bdb105f,n119,16
n5dcc7a6d1b77961f,n120,16
nb0b10360a0ae672c,n121,16
na1f46f038a30d64a,n122,16
na2429b2806fc3d9c,r11,16
n91ce72f578dc1d97,n123,16
na72ab4e6f3c706eb,n124,16
nf84fc31d322c3516,n125,16
n7f6c9e7bff5a103f,n126,16
n06fa69ef66dc3954,n127,16
nc6d1f226a038e5e4,n128,16
n3463db196baebb1e,n129,16
n30dfe249f1ab65cd,n130,17
nd04d9254bafbe889,n131,17
nbfd1c8c39ab66844,n132,17
nb7a207359bca959a,n133,17
n6b24ea222db3e042,n134,17
n8d6859fcc1f7b60d,n135,17
n8a6a0bd06c5521b5,n136,17
neb61be69dad19862,n137,17
naa02ac8a29d81d14,n138,17
nd7a09d2672cfe874,n139,18
n5fc7ceb6402686e0,n140,18
nadd965023d3ddfbc,n141,18
ncd6490fa874bdb32,n142,18
n6574a9f870f17191,n143,18
nd31f86723294efac,n144,18
n6a073194d1b8c7f7,n145,18
n695ff53a162837d6,n146,18
na93080b7fe301ad0,n147,18
nf48225dec7f46a14,n148,18
n303b78a04d004a01,n149,18
nf034630e374f63cf,n150,19
naf38f7287e4bf13e,n151,19
n6816f672d952d68d,n152,19
n1ea66776f9fb55cd,n153,19
nb551f4e27e710a9e,n154,19
n9c8af6747d9cd864,n155,19
n1d099f1e54594da9,n156,19
nd0808e1cca77a795,n157,19
neb5d39a75caec2ad,n158,19
ne3c44dbeac823f0e,n159,19
ne3ccc573f1c45af3,n160,19
n26975d243dea81d4,n161,19
n2da787c770dfe321,n162,20
n62ceb6252f7a0e38,n163,20
nb6a68effd7501ba0,n164,20
ndff18fd967a72435,n165,20
n99e21310952baa34,n166,20
n5a01f4801f41b198,n167,20
nf743677d3fd1a4b5,n168,20
n58259f36095022a3,n169,20
n906dbc9bd428764f,n170,20
n8ff9a8aac509ca2f,n171,20
n0834737d43fe03be,n172,20
n9b25124c7a8962c3,n173,20
nda05df96e9097b67,n174,20
nfc84b27ece8cadeb,n175,21
n8b971b7fe63bee14,n176,21
n9a31a09dce1f4706,n177,21
nf30b02ddf30d9b30,n178,21
necc82431d8e51bb4,r12,21
n33b2c0ab29271d76,r13,21
nd64a88e37750795e,n179,21
nd528f0a2d14b294e,n180,21
n9581bcced9e8ec6f,n181,21
n39b653ea22b920cf,n182,21
n57b79504766ed4f4,n183,21
n66ef95f8fafe8f76,n184,21
nf7d09d36a6a118ce,n185,22
nf9f80530a539ba5e,n186,22
n35d3f1c2c7f81f1e,n187,22
nea35b9e5745c1872,n188,22
n6842d7302ac4dd4f,n189,22
n897627d3b18bacfb,n190,22
n98bb064fef4d1a58,n191,22
n950d53b59964ce3e,n192,22
ndc54cf2133e06b2f,n193,22
n2e4fa37950b868b0,n194,22
nb1e31b088edfd45b,n195,22
n4f3f3642c61d0e42,n196,22
ndf1b76d9078d7ba8,n197,23
na9e0f7cb6f72d77b,n198,23
n84610b3a21674de0,n199,23
n9e30ee96050fdb97,n200,23
n38d8f7f5a2a13947,n201,23
n1ed714bd97d96d2b,n202,23
ne480be0244b35b14,n203,23
n7f4b28b4f5b91b20,n204,23
n70b3a3ec6c6b9179,n205,23
nd469abc55f4131a0,n206,23
nd248ec15a56f3822,n207,23
n718476e0c7863771,n208,23
nd687737c5b8032fb,n209,24
nda9bf3d044550051,n210,24
n06bad7de7cbf8635,n211,24
n042842385467042e,n212,24
