note_id,original_id,printed_bar
n9712c00b29d7600f,n1,1
n14ecb9df1b5002df,n2,1
nf9c36ed43c36a3c9,n3,1
nb1fe1d841d164a42,n4,1
nea6c9073854c9d89,n5,1
nd3531738cc0bfe3b,n6,1
n6305bf83bba3ab10,n7,1
n56c987df15029392,n8,1
n97ddaf964b0bae37,n9,1
n96055867ad267e62,n10,1
ne576884c937f32d2,n11,1
n6a391dc457d2049e,n12,1
n658e9dae0d5dd64f,n13,1
nf59940561954044c,n14,1
ncf554ee1424c4f84,n15,1
n3307e3b4fb652962,n16,2
nddd1a51f1a5e2fc0,n17,2
nacdd960bf9777d40,n18,2
nd34e7b69d44dbd2a,n19,2
ndf85c26e7a1dbf2f,n20,2
nfdf827da27d22285,n21,2
n1ecac44ac0b3af8e,n22,2
ne4d202453d9fc277,n23,2
nb5e20d607ebd9d72,n24,2
nfe5843db95311008,n25,2
n94ea2707043e4356,n26,2
nf070a8d02fd33c05,n27,2
n53a6e0d317d9757f,n28,2
n0881b9d0a8daf595,n29,2
ndeb50bd9e3012acf,n30,3
n551b075bd26ef8cc,n31,3
nc760298ca26086e4,n32,3
nda66e966a095160d,n33,3
n4c89e20e28c23a27,n34,3
n8cb80b4f28197fd0,n35,3
n89b3e5ac001107ec,n36,3
n85025c65048fd18a,n37,3
ndd3e672281dbe3e1,n38,3
n221a10984cba0173,n39,3
n0c0eb142dfaaecc6,n40,3
nf383c6f5c9f792b9,n41,3
ncdf304b4b3a5c889,n42,3
n7020f6edcc92d501,n43,3
n733fcf5332a450ee,n44,3
n80dc5204e900537f,n45,4
n6ffbf99070734cca,n46,4
nb0847cb0ecfe94fd,n47,4
n83f71034a536780c,n48,4
nf0b97ccb954eb9a0,n49,4
nf125b7771bf02b0c,n50,4
n839561be0d85dbb3,n51,4
nfc0ca5e98866555d,n52,4
n0fc1cb9704b4c7c0,n53,4
ndb002cc0fcee09c7,n54,4
n4d582f9259274405,n55,4
na2166cf30c099e70,n56,4
nf651d163fb972a31,n57,4
ne291feb268162aee,n58,5
n9029cb70ba2abf03,n59,5
nb51bd01290f66f43,n60,5
n066040d1dcbc20d2,n61,5
nc8e0927d98738b38,n62,5
n81bbb75c40972ffd,n63,5
n3c17c13145b1b8a7,n64,5
n84056ea11c8910ca,n65,5
n974e9aabc91d11b7,n66,5
na0176bc1ce402073,n67,5
nd627114ff15fb762,n68,5
nd65f222ebe0c4523,n69,5
nefd68efd37580d35,n70,6
ndf7861ce78d7c34b,n71,6
nd4f4d6beab865913,n72,6
n95df8aeb66cc0975,n73,6
n89fb6d63bbad0192,n74,6
n37f764966b9d9172,n75,6
n4009f5c77c77b01e,n76,6
n2fbf0b8fef544c8b,n77,6
nb132147671f0692a,n78,6
n62a7beba9027f59b,n79,6
n5f4757ff38ef19af,n80,6
n05a5dec5335807ee,n81,6
n60f531f5f4937551,n82,6
n5ac603ffd9837fd3,n83,6
n3385b4c76df2d62b,n84,7
n2cda49a638267b0a,n85,7
n300809d1d1a45158,n86,7
nad85ef7de33c8fbd,n87,7
n701e49c8a2ff9bf3,n88,7
n742f5ee8527ed80a,n89,7
n5083f1f388d32708,n90,7
nd98f519f770552a4,n91,7
n160776091aac3d5d,n92,7
nbd2fda576c68aaa7,n93,7
nc35d2902edee9f32,n94,7
n020fe523bfcc21a0,n95,7
nef4f5f399daddebe,n96,7
n2303a7aaf1d953bc,n97,7
n9adfd9a0badeafa4,n98,7
n122374b1ed4515c2,n99,7
nd93c660688815d9b,n100,7
n5ecac1f1e2175ed2,n101,8
n92101e5ac80199be,n102,8
ne028bb7e76ded26c,n103,8
n34f393242cd7d696,n104,8
n1bcfa82c17f33798,n105,8
n40c3b47169c93048,n106,8
ncc03b7da602358ce,n107,8
n18f8645df8b428cb,n108,8
n1b7f104cc402b52e,n109,8
n27274b558864e981,n110,8
n89bed6daf7b4623a,n111,8
n2f495c64ea756756,n112,8
n6cff7d809b9d7ba9,n113,8
n4ea675c4895c8959,n114,8
n8e8ebd6605e4d8d5,n115,9
ne703431e367b73a9,n116,9
n96906768b8557e03,n117,9
n2a011e16476314d9,n118,9
n610ddbe054d927a2,n119,9
ncdcb68630f7dae26,n120,9
n888cb5255cb83533,n121,9
n43ca3e3298d5c43b,n122,9
nada54de20bb4d951,n123,9
n0ffd69c8e56f9e1d,n124,9
n15b3494643ccd422,n125,9
nb6df92c521fef775,n126,9
nb74f017d5d77ca78,n127,9
nd285a2acd8725d0b,n128,10
n3dd9563b4deda845,n129,10
n5793849a623878f8,n130,10
n21c288c12eb937f0,n131,10
na9b414bc4a5d43f1,n132,10
n880fa7cf405144f2,n133,10
n90c171213a2ebd28,n134,10
n905eb3c16a9967f8,n135,10
na8002b9cdc22e159,n136,10
n23d1f0c4413effed,n137,10
n57ef96f264b35e26,n138,10
n62dd589ac4b699c7,n139,10
n50bb7a8cccbb38d5,n140,10
n2781ee3aac4d04a9,n141,11
n03745bd9a2d218a0,n142,11
nf79b14da43b32583,n143,11
nac56cf3d12ffbbd6,n144,11
n298ae62fd7351bed,n145,11
n2cb807b64c864817,n146,11
n5a5efd3699d5722d,n147,11
n1f04abd04e804bc7,n148,11
nb91103fdb2595180,n149,11
n1bd940b9bf7507a3,n150,11
n1efc008551e57f07,n151,11
n9e9f0d6437f86eab,n152,11
n7bbcd076cbc7b0b6,n153,11
n55ae2011f19596b3,n154,12
n6cc053762f7f31b5,n155,12
n187b5c3d9c8cbeb1,n156,12
n4bfbbdd8469871f7,n157,12
n0de2110123a22b43,n158,12
n24dfab8720f106b5,n159,12
n4d30e3019b611f91,n160,12
n15d68ae9222ba4d3,n161,12
n00aa47f2121d8f99,n162,12
nc74581779b288eff,n163,12
n118d2eabd8435533,n164,12
n21d0685ca0aeebc9,n165,12
n2284d8aca2052275,n166,12
nbf18361b4f2ac9ab,n167,13
nb6bc3dd30f72dbbf,n168,13
n03dc7bdba949ed4f,n169,13
