element_id,original_id,tag,carrier,host_or_staff
e245aec0c2990dd8f,md-1-1-1-1,words,md,1
nb925418603efbecb--tie--1,,tie,derive,nb925418603efbecb
nb925418603efbecb--tied--start--1,n40--tied--start--1,tied,stamp,nb925418603efbecb
nb925418603efbecb--mordent--1,,mordent,derive,nb925418603efbecb
n0fff4cfa3bd63873--tie--1,,tie,derive,n0fff4cfa3bd63873
n0fff4cfa3bd63873--tied--stop--1,n41--tied--stop--1,tied,stamp,n0fff4cfa3bd63873
nc0a832dd360d3119--slur--start--1,n42--slur--start--1,slur,stamp,nc0a832dd360d3119
n06d40e9689a5e79e--slur--stop--1,n47--slur--stop--1,slur,stamp,n06d40e9689a5e79e
n0a853f8b8bb02449--tie--1,,tie,derive,n0a853f8b8bb02449
n0a853f8b8bb02449--tied--start--1,n48--tied--start--1,tied,stamp,n0a853f8b8bb02449
n390a4ba69a32e4e9--tie--1,,tie,derive,n390a4ba69a32e4e9
n390a4ba69a32e4e9--tied--stop--1,n61--tied--stop--1,tied,stamp,n390a4ba69a32e4e9
nddb0d643ec555169--tie--1,,tie,derive,nddb0d643ec555169
nddb0d643ec555169--tied--start--1,n64--tied--start--1,tied,stamp,nddb0d643ec555169
ne212690b0d65867c--tie--1,,tie,derive,ne212690b0d65867c
ne212690b0d65867c--tied--stop--1,n65--tied--stop--1,tied,stamp,ne212690b0d65867c
na140556a9d4a6882--tie--1,,tie,derive,na140556a9d4a6882
na140556a9d4a6882--tied--start--1,n68--tied--start--1,tied,stamp,na140556a9d4a6882
n8f9e01cb486a8271--tie--1,,tie,derive,n8f9e01cb486a8271
n8f9e01cb486a8271--tied--stop--1,n69--tied--stop--1,tied,stamp,n8f9e01cb486a8271
ne205a30d6ca1978e--slur--start--1,n70--slur--start--1,slur,stamp,ne205a30d6ca1978e
nde8f211b9eee9319--slur--stop--1,n72--slur--stop--1,slur,stamp,nde8f211b9eee9319
n9eeed93c2e2aec70--slur--start--1,n85--slur--start--1,slur,stamp,n9eeed93c2e2aec70
nd910cd2deec31454--slur--stop--1,n87--slur--stop--1,slur,stamp,nd910cd2deec31454
nd91b092998b0618b--tie--1,,tie,derive,nd91b092998b0618b
nd91b092998b0618b--tied--start--1,n88--tied--start--1,tied,stamp,nd91b092998b0618b
n38e379f6078c6b9c--tie--1,,tie,derive,n38e379f6078c6b9c
n38e379f6078c6b9c--tied--stop--1,n89--tied--stop--1,tied,stamp,n38e379f6078c6b9c
n919bc3ec658eb64d--tie--1,,tie,derive,n919bc3ec658eb64d
n919bc3ec658eb64d--tied--start--1,n92--tied--start--1,tied,stamp,n919bc3ec658eb64d
n23ad65bfb6515253--tie--1,,tie,derive,n23ad65bfb6515253
n23ad65bfb6515253--tied--stop--1,n93--tied--stop--1,tied,stamp,n23ad65bfb6515253
n5b39b5cbf35ce4af--tie--1,,tie,derive,n5b39b5cbf35ce4af
n5b39b5cbf35ce4af--tied--start--1,n95--tied--start--1,tied,stamp,n5b39b5cbf35ce4af
nad85ef7de33c8fbd--tie--1,,tie,derive,nad85ef7de33c8fbd
nad85ef7de33c8fbd--tied--stop--1,n108--tied--stop--1,tied,stamp,nad85ef7de33c8fbd
n6188c99360e329c7--inverted-mordent--1,,inverted-mordent,derive,n6188c99360e329c7
n77145e17ebd6950e--slur--start--1,n117--slur--start--1,slur,stamp,n77145e17ebd6950e
nedfd2c2e4da92fd5--slur--stop--1,n122--slur--stop--1,slur,stamp,nedfd2c2e4da92fd5
ne111fe7afb352acf--tie--1,,tie,derive,ne111fe7afb352acf
ne111fe7afb352acf--tied--start--1,n142--tied--start--1,tied,stamp,ne111fe7afb352acf
ne703431e367b73a9--tie--1,,tie,derive,ne703431e367b73a9
ne703431e367b73a9--tied--stop--1,n155--tied--stop--1,tied,stamp,ne703431e367b73a9
ne2eb399fe528cf80--tie--1,,tie,derive,ne2eb399fe528cf80
ne2eb399fe528cf80--tied--start--1,n162--tied--start--1,tied,stamp,ne2eb399fe528cf80
n5793849a623878f8--tie--1,,tie,derive,n5793849a623878f8
n5793849a623878f8--tied--stop--1,n173--tied--stop--1,tied,stamp,n5793849a623878f8
n94cc84b87529526e--tie--1,,tie,derive,n94cc84b87529526e
n94cc84b87529526e--tied--start--1,n183--tied--start--1,tied,stamp,n94cc84b87529526e
n287911becc2358d6--tie--1,,tie,derive,n287911becc2358d6
n287911becc2358d6--tied--stop--1,n184--tied--stop--1,tied,stamp,n287911becc2358d6
n9b48213960b2afdd--tie--1,,tie,derive,n9b48213960b2afdd
n9b48213960b2afdd--tied--start--1,n201--tied--start--1,tied,stamp,n9b48213960b2afdd
