note_id,original_id,printed_bar
ncae0e7ec3634d539,n1,1
n14ecb9df1b5002df,n2,1
na3645d3416ff89ba,n3,1
nf32ac7ba4207450c,n4,1
nd3531738cc0bfe3b,n5,1
nd45456c8cdbba521,n6,1
n72c5580e1551c237,n7,1
n9712c00b29d7600f,n8,1
n1ebd4923ac63c370,n9,1
n86986c23833ea77f,n10,1
nea6c9073854c9d89,n11,1
nd74ca5506dac56ab,n12,1
n66fdd5c5ece941bd,n13,1
ne4eaf18ed3e06c61,n14,2
n9dc7ea6a12092b33,n15,2
n0bc7273135f431a4,n16,2
necbc3c326b153905,n17,2
nb5109c2dc92b023e,n18,2
n414c0e4b21460ae2,n19,2
nddd1a51f1a5e2fc0,n20,2
nc79ec70d2f260877,n21,2
na2ced6536b093371,n22,2
nfb351f1289a973d2,n23,2
ne4d202453d9fc277,n24,2
nd260bb5483a7fee5,n25,2
ne1ce7806b6eb793c,n26,2
nb27ca05947a26fd6,n27,3
nb81cfd31ed846235,n28,3
n8d53bfbc7935dfd7,n29,3
n7e654cff449b6cf6,n30,3
n277703b6faab2817,n31,3
n551b075bd26ef8cc,n32,3
n24390023981ddc31,n33,3
n78dc35bd17a20dd1,n34,3
nd38a55d185132695,n35,3
na08a7516055a38c7,n36,3
nca98506bf6ad4d2f,n37,3
ndeb50bd9e3012acf,n38,3
nda66e966a095160d,n39,3
nb925418603efbecb,n40,4
n0fff4cfa3bd63873,n41,4
nc0a832dd360d3119,n42,4
nbaef43f13b11c954,n43,4
n33178c321da473cb,n44,4
n7878c35b70c0d66f,n45,4
n5d9900f51de35fbc,n46,4
n06d40e9689a5e79e,n47,4
n0a853f8b8bb02449,n48,4
n6ffbf99070734cca,n49,4
nf125b7771bf02b0c,n50,4
ndb002cc0fcee09c7,n51,4
nb1c2f20010d7e9eb,n52,4
necff1b4fbaf526f4,n53,4
n7951028019d2be00,n54,4
n5e780c9d2f80e481,n55,4
na2166cf30c099e70,n56,4
n8100f0c5cdb278ac,n57,4
nf683e27ddbe7529a,n58,4
n1ac2115003d06e61,n59,4
ne6f2d1297ee00dd8,n60,4
n390a4ba69a32e4e9,n61,5
n8699d28316839f7e,n62,5
n1ba9c388bf29792a,n63,5
nddb0d643ec555169,n64,5
ne212690b0d65867c,n65,5
n9b43798e0966d94e,n66,5
n295670fa5617d4ba,n67,5
