element_id,original_id,tag,carrier,host_or_staff
e96393e1f1ef38cd3,md-1-1-1-1,words,md,1
e6862ca45a6b63264,md-1-1-2-1,dynamics,md,2
nfe0700b57544470b--accent--1,,accent,derive,nfe0700b57544470b
edfd0a4483a8b2d14,md-1-3-2-1,dynamics,md,2
nee3432a676b72b66--accent--1,,accent,derive,nee3432a676b72b66
e8d1d327b8f22883f,md-1-5-2-1,dynamics,md,2
nc9411592e3e32f3d--accent--1,,accent,derive,nc9411592e3e32f3d
eec5c568e9448cd5c,md-1-7-2-1,dynamics,md,2
n9bafc366b66e809f--accent--1,,accent,derive,n9bafc366b66e809f
nb639a8e5f724addf--accent--1,,accent,derive,nb639a8e5f724addf
e8c84c15553367c4d,md-1-9-1-1,dynamics,md,1
n902eca531cdf6bdc--accent--1,,accent,derive,n902eca531cdf6bdc
ne63559c44983cd1c--accent--1,,accent,derive,ne63559c44983cd1c
n5339a6e420ae028a--accent--1,,accent,derive,n5339a6e420ae028a
n8794ed530f393d4b--accent--1,,accent,derive,n8794ed530f393d4b
ee103ce4400da52f6,md-1-11-1-1,dynamics,md,1
n288d40cd94d576e4--accent--1,,accent,derive,n288d40cd94d576e4
nac538483c6c7d4b5--accent--1,,accent,derive,nac538483c6c7d4b5
n5c87d15f5238bfe9--tie--1,,tie,derive,n5c87d15f5238bfe9
n5c87d15f5238bfe9--tied--start--1,n229--tied--start--1,tied,stamp,n5c87d15f5238bfe9
e8162fde2e48c7b27,md-1-13-1-1,wedge,md,1
e4601548a83f5e218,md-1-13-1-2,wedge,md,1
e4b61c8b2d40ebfa0,md-1-13-1-3,wedge,md,1
ee0ea43893dddf05b,md-1-13-1-4,wedge,md,1
e5c15a87c616b0881,md-1-13-2-1,dynamics,md,2
n0aaea4a406497f27--tie--1,,tie,derive,n0aaea4a406497f27
n0aaea4a406497f27--tied--stop--1,n252--tied--stop--1,tied,stamp,n0aaea4a406497f27
ncb1e002999e20d62--accent--1,,accent,derive,ncb1e002999e20d62
n074c01cccb02a7e7--tie--1,,tie,derive,n074c01cccb02a7e7
n074c01cccb02a7e7--tied--start--1,n272--tied--start--1,tied,stamp,n074c01cccb02a7e7
n02c9c17cea14e374--tie--1,,tie,derive,n02c9c17cea14e374
n02c9c17cea14e374--tied--stop--1,n275--tied--stop--1,tied,stamp,n02c9c17cea14e374
n55f713637fb403f8--accent--1,,accent,derive,n55f713637fb403f8
n97cc3792579bbb52--tie--1,,tie,derive,n97cc3792579bbb52
n97cc3792579bbb52--tied--start--1,n291--tied--start--1,tied,stamp,n97cc3792579bbb52
e57e1a93818c12eee,md-1-15-1-1,dynamics,md,1
ea11b710fff67ce33,md-1-15-1-2,wedge,md,1
e0a84ccf77ef138d0,md-1-15-1-3,wedge,md,1
e44e96caa8cb2e71c,md-1-15-1-4,wedge,md,1
e64470aed5b5e6f2d,md-1-15-1-5,wedge,md,1
n868aa168a33e6beb--tie--1,,tie,derive,n868aa168a33e6beb
n868aa168a33e6beb--tied--stop--1,n314--tied--stop--1,tied,stamp,n868aa168a33e6beb
nc9584c10dbb71856--accent--1,,accent,derive,nc9584c10dbb71856
na00a5c8f55840c09--accent--1,,accent,derive,na00a5c8f55840c09
e5301241e7ffef943,md-1-17-2-1,dynamics,md,2
ebd3c64814b7c9c59,md-1-18-1-1,wedge,md,1
e1891e35a4265a9e6,md-1-18-1-2,wedge,md,1
