note_id,original_id,printed_bar
ncae0e7ec3634d539,n1,1
n560dca5308d18be9,n2,1
n1b9b5aefc74fd0e0,n3,1
n6bc48aeae9b87ff1,n4,1
nb1db1f272e1460a3,n5,1
n1d4a53e1ed5edec8,n6,1
nf88f225eff3d9c5d,n7,1
n658e9dae0d5dd64f,n8,1
n0c69cd0a47670344,n9,1
n5d67e6e73447757b,n10,1
na9ece36b590b85ca,n11,1
nab84ff73a7aa5887,n12,1
nf850a3027caf2695,n13,1
ne4eaf18ed3e06c61,n14,2
n9c158528cf79a573,n15,2
n6fdb672058de4c90,n16,2
n25e169c081cb98d9,n17,2
n465b78b61d37443f,n18,2
n27e19ceeca005867,n19,2
nd2dc8ed934177892,n20,2
n48d204a13f3f752a,n21,2
n24fac2c9a8890863,n22,2
n00c0a3a0aad1541c,n23,2
nfe0700b57544470b,n24,2
nb27ca05947a26fd6,n25,3
na57f5c1004d201f7,n26,3
n01f5be79af04eacc,n27,3
nfc3c69bd438e86dc,n28,3
ncc929497b7c9c5c2,n29,3
nd0054b623f3ca66c,n30,3
n9a033a6cf78bbb9f,n31,3
ncdf304b4b3a5c889,n32,3
nd4bab33ccde01131,n33,3
n242bd5c75fa80f5e,n34,3
na3695e389a1e3846,n35,3
n00ae3244b4342461,n36,3
ne76445ff51517aec,n37,3
n29ef039c2d685290,n38,4
n4d04e749c95de838,n39,4
nc0ebfcc162469f75,n40,4
n95a5c997fd4db2af,n41,4
nc59ca3590b40cd92,n42,4
nf35542fc6ecb99b6,n43,4
n204885f279c81fc3,n44,4
n5b2dced8557e60db,n45,4
ncbd5f0f612bc67f2,n46,4
n776a53b179ec3f5a,n47,4
nee3432a676b72b66,n48,4
n6dfaef3e97eb1501,n49,5
n17154eaa4e8d1754,n50,5
n353f153e8aedce27,n51,5
n995628c653dfb9e5,n52,5
nf13c02c3a1390013,n53,5
ndabad194d0e8dd5f,n54,5
nd8452557ed7bca0f,n55,5
n71c66cb27ce85586,n56,5
n6649a94cc00d9fff,n57,5
n2e7266880edb2054,n58,5
n08566bd87f885ce4,n59,5
nb9fd992ae53d00ae,n60,5
nf7139a95b5807c3e,n61,5
n2fb6d326308aba28,n62,6
n6fea75bbc6534a45,n63,6
na4f8e97ae7ade265,n64,6
nbcfaac58670fc12b,n65,6
nc99b4dcbc8f741e3,n66,6
n08076b4a545e0bbe,n67,6
n23ee533d3ff3c040,n68,6
n063f8adf7c3055ed,n69,6
nc7c33ae84070be1f,n70,6
nc11853dce179d1eb,n71,6
nc9411592e3e32f3d,n72,6
nb35b9a9727a2c1b4,n73,7
nd700247d6c31c0e0,n74,7
n2916c28629875c53,n75,7
n7ed78b5ce2a0caa0,n76,7
na8d7eff09fc3dfa0,n77,7
n8e7fe49e1fb11818,n78,7
n5b72b4d44ea881dd,n79,7
n3b6de18610c6a88c,n80,7
nf0f754aaf3f438d8,n81,7
n4599adcc68631f64,n82,7
nd6d8ce01dd55fdd2,n83,7
n69923c216acb2753,n84,7
n309a36bdbe8c1c63,n85,7
n67fab4089750ba9f,n86,8
n6bf02ca7abd4b63f,n87,8
nd32fb92f0b823bc3,n88,8
n73f6493313373988,n89,8
n1bcfa82c17f33798,n90,8
ncc03b7da602358ce,n91,8
n40c3b47169c93048,n92,8
nfa30c889498cce31,n93,8
n5ea2edb152d26bd8,n94,8
nf993480636bc0328,n95,8
n9bafc366b66e809f,n96,8
ne703431e367b73a9,n97,9
n0f986f434a45c920,n98,9
n0c4cd75385cbfe42,n99,9
n3054084f23c48555,n100,9
n4795f7216106f574,n101,9
ncaa84aa2f0da6412,n102,9
na1d290c8b246d132,n103,9
n169dd33ee161d9c9,n104,9
ncc26aa43d8a9e4a4,n105,9
ned703af02b126e9b,n106,9
nfeb6ea5960fbbda3,n107,9
n96906768b8557e03,n108,9
n546dd712cca6863b,n109,9
nbe3135ca9773db0a,n110,9
n90f3193c57e214b6,n111,9
n3ad2aee36a43306a,n112,9
n893ca967398c7141,n113,9
n3ded010060981f4a,n114,9
n196c2202ac2d2c35,n115,9
nb569080fee785f8f,n116,9
nf4483c574926fd8f,n117,9
n8c4c08664a58601e,n118,9
nd407ff94e1e94e93,n119,9
na096a04eecbb55a0,n120,9
