element_id,tag,carrier,host_or_staff
mn-1-1-1-1-1--slur--start--1,slur,stamp,mn-1-1-1-1-1
mn-1-1-2-1-6--tied--start--1,tied,stamp,mn-1-1-2-1-6
mn-1-1-6-2-1--tied--start--1,tied,stamp,mn-1-1-6-2-1
md-1-1-1-1,words,md,1
md-1-1-1-2,words,md,1
md-1-1-1-3,dynamics,md,1
md-1-1-1-4,wedge,md,1
md-1-1-1-5,wedge,md,1
mn-1-2-1-1-3--slur--stop--1,slur,stamp,mn-1-2-1-1-3
mn-1-2-1-1-4--slur--start--1,slur,stamp,mn-1-2-1-1-4
mn-1-2-2-1-1--tied--stop--1,tied,stamp,mn-1-2-2-1-1
mn-1-2-2-1-5--tied--start--1,tied,stamp,mn-1-2-2-1-5
mn-1-2-6-2-1--tied--stop--1,tied,stamp,mn-1-2-6-2-1
md-1-2-1-1,wedge,md,1
md-1-2-1-2,wedge,md,1
mn-1-3-2-1-1--tied--stop--1,tied,stamp,mn-1-3-2-1-1
mn-1-3-2-1-2--tied--start--1,tied,stamp,mn-1-3-2-1-2
mn-1-3-2-1-3--tied--stop--1,tied,stamp,mn-1-3-2-1-3
mn-1-3-2-1-4--tied--start--1,tied,stamp,mn-1-3-2-1-4
mn-1-4-1-1-2--tied--start--1,tied,stamp,mn-1-4-1-1-2
mn-1-4-1-1-2--slur--stop--1,slur,stamp,mn-1-4-1-1-2
mn-1-4-1-1-3--tied--stop--1,tied,stamp,mn-1-4-1-1-3
mn-1-4-1-1-3--slur--start--1,slur,stamp,mn-1-4-1-1-3
mn-1-4-1-1-5--slur--stop--1,slur,stamp,mn-1-4-1-1-5
mn-1-4-2-1-1--tied--stop--1,tied,stamp,mn-1-4-2-1-1
mn-1-4-2-1-2--tied--start--1,tied,stamp,mn-1-4-2-1-2
mn-1-4-2-1-3--tied--stop--1,tied,stamp,mn-1-4-2-1-3
mn-1-5-1-1-1--slur--start--1,slur,stamp,mn-1-5-1-1-1
mn-1-5-2-1-6--tied--start--1,tied,stamp,mn-1-5-2-1-6
mn-1-5-5-2-1--slur--start--1,slur,stamp,mn-1-5-5-2-1
md-1-5-1-1,words,md,1
mn-1-6-1-1-2--slur--stop--1,slur,stamp,mn-1-6-1-1-2
mn-1-6-1-1-3--fermata--upright--1,fermata,stamp,mn-1-6-1-1-3
mn-1-6-2-1-1--tied--stop--1,tied,stamp,mn-1-6-2-1-1
mn-1-6-5-2-4--slur--stop--1,slur,stamp,mn-1-6-5-2-4
mn-1-6-6-2-3--fermata--inverted--1,fermata,stamp,mn-1-6-6-2-3
mn-1-7-1-1-1--slur--start--1,slur,stamp,mn-1-7-1-1-1
md-1-7-1-1,words,md,1
md-1-7-1-2,dynamics,md,1
mn-1-8-1-1-4--slur--stop--1,slur,stamp,mn-1-8-1-1-4
mn-1-9-1-1-1--tied--start--1,tied,stamp,mn-1-9-1-1-1
mn-1-9-1-1-2--tied--stop--1,tied,stamp,mn-1-9-1-1-2
mn-1-9-1-1-2--slur--start--1,slur,stamp,mn-1-9-1-1-2
mn-1-9-1-1-4--slur--stop--1,slur,stamp,mn-1-9-1-1-4
md-1-9-1-1,dynamics,md,1
mn-1-10-1-1-1--tied--start--1,tied,stamp,mn-1-10-1-1-1
mn-1-10-1-1-2--tied--stop--1,tied,stamp,mn-1-10-1-1-2
mn-1-10-1-1-2--slur--start--1,slur,stamp,mn-1-10-1-1-2
mn-1-10-1-1-4--slur--stop--1,slur,stamp,mn-1-10-1-1-4
mn-1-11-1-1-1--slur--start--1,slur,stamp,mn-1-11-1-1-1
mn-1-11-1-1-4--slur--stop--1,slur,stamp,mn-1-11-1-1-4
md-1-11-1-1,dynamics,md,1
mn-1-12-1-1-1--slur--start--1,slur,stamp,mn-1-12-1-1-1
mn-1-12-1-1-4--slur--stop--1,slur,stamp,mn-1-12-1-1-4
mn-1-12-5-2-1--tied--start--1,tied,stamp,mn-1-12-5-2-1
mn-1-12-5-2-2--tied--start--1,tied,stamp,mn-1-12-5-2-2
mn-1-12-5-2-3--tied--stop--1,tied,stamp,mn-1-12-5-2-3
mn-1-12-5-2-4--tied--stop--1,tied,stamp,mn-1-12-5-2-4
md-1-12-2-1,dynamics,md,2
mn-1-13-1-1-1--turn--1,turn,derive,mn-1-13-1-1-1
mn-1-13-1-1-2--slur--start--1,slur,stamp,mn-1-13-1-1-2
mn-1-13-1-1-4--slur--stop--1,slur,stamp,mn-1-13-1-1-4
mn-1-13-5-2-1--tied--start--1,tied,stamp,mn-1-13-5-2-1
mn-1-13-5-2-2--tied--start--1,tied,stamp,mn-1-13-5-2-2
mn-1-13-5-2-3--tied--start--1,tied,stamp,mn-1-13-5-2-3
mn-1-13-5-2-4--tied--stop--1,tied,stamp,mn-1-13-5-2-4
mn-1-13-5-2-5--tied--stop--1,tied,stamp,mn-1-13-5-2-5
mn-1-13-5-2-6--tied--stop--1,tied,stamp,mn-1-13-5-2-6
