element_id,tag,carrier,host_or_staff
mn-1-0-5-1-1--tied--start--1,tied,stamp,mn-1-0-5-1-1
md-1-0-1-1,dynamics,md,1
md-1-0-1-2,words,md,1
md-1-0-1-3,words,md,1
mn-1-1-5-1-1--tied--stop--1,tied,stamp,mn-1-1-5-1-1
mn-1-1-5-1-1--slur--start--1,slur,stamp,mn-1-1-5-1-1
mn-1-2-5-1-3--slur--stop--1,slur,stamp,mn-1-2-5-1-3
mn-1-3-5-1-1--tied--start--1,tied,stamp,mn-1-3-5-1-1
mn-1-4-5-1-1--tied--stop--1,tied,stamp,mn-1-4-5-1-1
mn-1-4-5-1-1--slur--start--1,slur,stamp,mn-1-4-5-1-1
mn-1-4-5-1-3--slur--stop--1,slur,stamp,mn-1-4-5-1-3
mn-1-5-1-1-2--staccato--1,staccato,derive,mn-1-5-1-1-2
mn-1-5-5-1-3--staccato--1,staccato,derive,mn-1-5-5-1-3
mn-1-5-5-1-3--staccatissimo--1,staccatissimo,derive,mn-1-5-5-1-3
mn-1-6-1-1-2--staccato--1,staccato,derive,mn-1-6-1-1-2
mn-1-6-5-1-1--slur--start--1,slur,stamp,mn-1-6-5-1-1
mn-1-6-5-1-3--slur--stop--1,slur,stamp,mn-1-6-5-1-3
mn-1-6-5-1-5--staccato--1,staccato,derive,mn-1-6-5-1-5
mn-1-6-5-1-5--staccatissimo--1,staccatissimo,derive,mn-1-6-5-1-5
mn-1-7-5-1-1--slur--start--1,slur,stamp,mn-1-7-5-1-1
mn-1-7-7-2-2--tied--start--1,tied,stamp,mn-1-7-7-2-2
md-1-7-2-1,dynamics,md,2
mn-1-8-5-1-1--slur--stop--1,slur,stamp,mn-1-8-5-1-1
mn-1-8-5-1-3--tied--start--1,tied,stamp,mn-1-8-5-1-3
mn-1-8-7-2-1--tied--stop--1,tied,stamp,mn-1-8-7-2-1
mn-1-8-7-2-1--slur--start--1,slur,stamp,mn-1-8-7-2-1
mn-1-8-7-2-3--slur--stop--1,slur,stamp,mn-1-8-7-2-3
mn-1-9-5-1-1--tied--stop--1,tied,stamp,mn-1-9-5-1-1
mn-1-9-5-1-1--slur--start--1,slur,stamp,mn-1-9-5-1-1
mn-1-10-5-1-3--slur--stop--1,slur,stamp,mn-1-10-5-1-3
mn-1-11-5-1-1--tied--start--1,tied,stamp,mn-1-11-5-1-1
mn-1-12-5-1-1--tied--stop--1,tied,stamp,mn-1-12-5-1-1
mn-1-12-5-1-3--tied--start--1,tied,stamp,mn-1-12-5-1-3
mn-1-13-1-1-2--staccato--1,staccato,derive,mn-1-13-1-1-2
mn-1-13-5-1-1--tied--stop--1,tied,stamp,mn-1-13-5-1-1
mn-1-13-5-1-1--slur--start--1,slur,stamp,mn-1-13-5-1-1
mn-1-13-5-1-2--slur--stop--1,slur,stamp,mn-1-13-5-1-2
mn-1-13-5-1-3--staccato--1,staccato,derive,mn-1-13-5-1-3
mn-1-13-5-1-3--staccatissimo--1,staccatissimo,derive,mn-1-13-5-1-3
mn-1-14-1-1-2--staccato--1,staccato,derive,mn-1-14-1-1-2
mn-1-14-5-1-3--staccato--1,staccato,derive,mn-1-14-5-1-3
mn-1-14-5-1-3--staccatissimo--1,staccatissimo,derive,mn-1-14-5-1-3
mn-1-15-5-1-1--slur--start--1,slur,stamp,mn-1-15-5-1-1
mn-1-15-5-1-1--slur--start--2,slur,stamp,mn-1-15-5-1-1
mn-1-15-8-2-1--tied--start--1,tied,stamp,mn-1-15-8-2-1
mn-1-16-5-1-1--slur--stop--1,slur,stamp,mn-1-16-5-1-1
mn-1-16-5-1-1--slur--stop--2,slur,stamp,mn-1-16-5-1-1
mn-1-16-8-2-1--tied--stop--1,tied,stamp,mn-1-16-8-2-1
mn-1-17-7-2-1--staccato--1,staccato,derive,mn-1-17-7-2-1
mn-1-17-7-2-1--staccatissimo--1,staccatissimo,derive,mn-1-17-7-2-1
mn-1-18-7-2-1--slur--start--1,slur,stamp,mn-1-18-7-2-1
md-1-18-2-1,dynamics,md,2
mn-1-19-7-2-6--slur--stop--1,slur,stamp,mn-1-19-7-2-6
mn-1-20-5-2-1--slur--start--1,slur,stamp,mn-1-20-5-2-1
mn-1-20-7-2-1--staccato--1,staccato,derive,mn-1-20-7-2-1
mn-1-20-7-2-1--staccatissimo--1,staccatissimo,derive,mn-1-20-7-2-1
mn-1-20-7-2-2--staccato--1,staccato,derive,mn-1-20-7-2-2
mn-1-20-7-2-2--staccatissimo--1,staccatissimo,derive,mn-1-20-7-2-2
md-1-20-1-1,dynamics,md,1
mn-1-21-7-2-5--slur--stop--1,slur,stamp,mn-1-21-7-2-5
mn-1-22-5-1-1--slur--start--1,slur,stamp,mn-1-22-5-1-1
mn-1-22-7-2-1--staccato--1,staccato,derive,mn-1-22-7-2-1
mn-1-22-7-2-1--staccatissimo--1,staccatissimo,derive,mn-1-22-7-2-1
mn-1-22-7-2-2--staccato--1,staccato,derive,mn-1-22-7-2-2
mn-1-22-7-2-2--staccatissimo--1,staccatissimo,derive,mn-1-22-7-2-2
md-1-22-1-1,dynamics,md,1
mn-1-23-5-1-6--slur--stop--1,slur,stamp,mn-1-23-5-1-6
mn-1-24-5-1-1--staccato--1,staccato,derive,mn-1-24-5-1-1
mn-1-24-5-1-1--staccatissimo--1,staccatissimo,derive,mn-1-24-5-1-1
mn-1-24-5-1-2--staccato--1,staccato,derive,mn-1-24-5-1-2
mn-1-24-5-1-2--staccatissimo--1,staccatissimo,derive,mn-1-24-5-1-2
mn-1-24-5-1-3--staccato--1,staccato,derive,mn-1-24-5-1-3
mn-1-24-5-1-3--staccatissimo--1,staccatissimo,derive,mn-1-24-5-1-3
mn-1-24-7-2-1--slur--start--1,slur,stamp,mn-1-24-7-2-1
md-1-24-2-1,dynamics,md,2
mn-1-25-5-1-1--staccato--1,staccato,derive,mn-1-25-5-1-1
mn-1-25-5-1-1--staccatissimo--1,staccatissimo,derive,mn-1-25-5-1-1
mn-1-25-5-1-2--staccato--1,staccato,derive,mn-1-25-5-1-2
mn-1-25-5-1-2--staccatissimo--1,staccatissimo,derive,mn-1-25-5-1-2
mn-1-25-5-1-3--staccato--1,staccato,derive,mn-1-25-5-1-3
mn-1-25-5-1-3--staccatissimo--1,staccatissimo,derive,mn-1-25-5-1-3
mn-1-25-7-2-6--slur--stop--1,slur,stamp,mn-1-25-7-2-6
mn-1-26-2-1-2--slur--start--1,slur,stamp,mn-1-26-2-1-2
