note_id,original_id,printed_bar
n728c6d22a3bd0793,n1,0
n653c1f3d378ca1e7,n2,0
nf4fb827c8c3ab411,n3,0
nf5579957aec64364,n4,0
nd45456c8cdbba521,n5,1
n614ff22c485f8bfb,n6,1
n5243892700411aee,n7,1
na32f5481b67cf4bc,n8,1
na3645d3416ff89ba,n9,1
n14ecb9df1b5002df,n10,1
n8e305e2f92edd28f,n11,1
n3dad93b297f94b74,n12,1
n47d876853f4486fd,n13,1
n9712c00b29d7600f,n14,1
n914245f2580b4d89,n15,1
n2cdc9dd33b10ff7d,n16,1
n12c2890f5d328fc8,n17,1
n7a43eb98431efbb2,n18,1
nf32ac7ba4207450c,n19,1
n1ebd4923ac63c370,n20,1
n414c0e4b21460ae2,n21,2
n9dc7ea6a12092b33,n22,2
n7e73af2982d29453,n23,2
nf791bed87ed2611e,n24,2
n0bc7273135f431a4,n25,2
n89f7bdbe69423181,n26,2
ndec633ec7f2ce42f,n27,2
n822d4bb3da240334,n28,2
n12304bc6d38083fb,n29,2
n55ad7140b05f5587,n30,2
n37f2281073b4b2eb,n31,2
nced816cf8c1e1f30,n32,2
necbc3c326b153905,n33,2
nc79ec70d2f260877,n34,2
n79bc37ecb91e5a0b,n35,3
n43d938e30fd4aa0b,n36,3
n881d1f9bdee7d909,n37,3
ncddc0f3f3531757a,n38,3
nbf9d0c56cb33e070,n39,3
nd1efa3ee9a457a15,n40,3
n19d1e8af1f930242,n41,3
ne0932f66cea9851f,n42,3
nb6f09784ded52ad5,n43,3
na4bc3623f055a209,n44,3
nf28be27658133faa,n45,3
n9b9358cfd758a3bf,n46,3
ncd93cde1b1298f09,n47,3
nf78dec21052a697b,n48,3
n6cb72b3fbc62338b,n49,3
n553e3400a09f3794,n50,3
nada2c72a987cec44,n51,4
nc9166156c2c21369,n52,4
n298596ce69665c69,n53,4
nb6a52efaa72257a2,n54,4
n0fff4cfa3bd63873,n55,4
n5343e5721921a46a,n56,4
n88442e98846091dc,n57,4
nc0a832dd360d3119,n58,4
n5358a6f1cfe66116,n59,4
neba8ee3c8b58b09c,n60,4
n6ffbf99070734cca,n61,4
n587b52b588590c26,n62,4
n9d9cc26b300c47e7,n63,4
n1896110fbb8015ff,n64,4
n3be9ff47087df878,n65,4
n191391bb763424a7,n66,4
n4e1e88548cd277ab,n67,4
n5e780c9d2f80e481,n68,4
n3778c0988d32e86e,n69,4
n8bb414b92a545564,n70,4
n608347ec1f095c77,n71,4
n7951028019d2be00,n72,4
na2166cf30c099e70,n73,4
n6a8235c75c2c9d98,n74,4
n327fe89c2fff6c2c,n75,4
n74fa18957c0585a2,n76,4
n586156aa61a8e9ee,n77,4
naa2a17c87e619912,n78,4
n480edb92ecede17a,n79,4
n48b19286747b315e,n80,4
n80dc5204e900537f,n81,4
n1ac2115003d06e61,n82,4
nff2c8ebc459735f3,n83,5
n0527dd3055249605,n84,5
n48b1f48488ba08a7,n85,5
nb7c57d018da55ff2,n86,5
n156dd23b7c0e77de,n87,5
nb4948127f442ed70,n88,5
n9e4f90c5c1d999a3,n89,5
nee21c59c2e295c0c,n90,5
nce86f7b6de3f771f,n91,5
nc02f9efbe2510d1c,n92,5
nf2abbcebf96f3711,n93,5
naa668d9e2732538d,n94,5
n5cab2d5b9f9edf44,n95,5
n066040d1dcbc20d2,n96,5
n964082f3f5e1b5f9,n97,5
n81c8a65b079c0590,n98,5
n3c17c13145b1b8a7,n99,5
nfd7c2549312f6cf1,n100,5
ne1c771ae7b2e0786,n101,5
n81bbb75c40972ffd,n102,5
nc8e0927d98738b38,n103,5
nd627114ff15fb762,n104,5
n8709d57c7c126b53,n105,5
n4cd3e642cb74c45b,n106,5
n68a12df02119e7c5,n107,6
n705005c222bdd90e,n108,6
nef5db852644de311,n109,6
n483d8c79ea6572ae,n110,6
nf19162ed99296158,n111,6
n77c434c278434976,n112,6
n8a5b005d92b2144c,n113,6
nc99b4dcbc8f741e3,n114,6
n95df8aeb66cc0975,n115,6
n8101c8ae97ceeb56,n116,6
n0c10c2439fa314f0,n117,6
n37f764966b9d9172,n118,6
n35bd0425304ed19e,n119,6
ne3f65869a15aaa84,n120,6
n05fda2e0f2c988aa,n121,6
nf0da4c3a6d54de54,n122,6
n7f0e8f9b70317432,n123,6
n5795c2eebfdccafe,n124,6
n2e3e7ada1358385a,n125,6
n8d08c7d3cc21c728,n126,7
n3385b4c76df2d62b,n127,7
n2176f9024ff8a5b3,n128,7
n48ab79ce9eb1b5b5,n129,7
n02796c9235de4c60,n130,7
n300809d1d1a45158,n131,7
nbe9574c4faa2c2c5,n132,7
n8e9083443fc9adf9,n133,7
n242517b76ae675d1,n134,7
ndef5c27a41df4d39,n135,7
nd6b795569ee1b686,n136,7
n55693b8d895204fc,n137,7
n3135a18641fbae9c,n138,7
n75e5ba804a0a28ef,n139,8
ned58c78cd8d1f65f,n140,8
nfad2d45057f2030e,n141,8
n22e71bcc969294be,n142,8
ne028bb7e76ded26c,n143,8
n1414a1f79a1ee312,n144,8
n4c3d4ccfc9853b78,n145,8
n1fa85749d7be5e9e,n146,8
n3d69d7fd35107f1a,n147,8
n1bcfa82c17f33798,n148,8
n77f916abfd2438bc,n149,8
nc769f35e8aea2cb7,n150,8
ne85acfb58dc42ddb,n151,8
n18f8645df8b428cb,n152,8
n2b1fcc37529b3177,n153,8
n11c5ec3bf3f7d6af,n154,8
n1d2fa915f185ec70,n155,8
n25c63e2092666513,n156,8
n2c8486663711e287,n157,8
nfe7862701d6557c1,n158,8
n4027f49e04db8e49,n159,8
n6e1eccfbd058604a,n160,9
n74d573ae7a0fed95,n161,9
n58dd088c29b2e1d2,n162,9
n95e1c11c01af1b14,n163,9
nf3feaf063350c3a9,n164,9
nc196540052111da9,n165,9
nddf69489b31e4fba,n166,9
na4dbdcfbbc1626ee,n167,9
n0fb8b56e996e6019,n168,9
n86afa207d8d75f21,n169,9
n8a565ee3cf40faba,n170,9
nc8b977051da6efc9,n171,9
n7f6ee25431e72993,n172,9
nb889cd64e37ab40b,n173,9
n0d9a8a704a7b984e,n174,9
nddd466ba1ad762a6,n175,9
nf3edcb1cad32b683,n176,9
n41ae18c16a6154be,n177,9
nba77b92cbbddb47c,n178,9
nd98eedb21caee4e3,n179,9
neaada89206b597f2,n180,9
ne334a21b93bbe85f,n181,10
ndee29c52a8d06875,n182,10
n8a75517bbac66ddc,n183,10
nd002f852d04419d5,n184,10
n13885cb466b012be,n185,10
n67ebb501e997c8c9,n186,10
nd285a2acd8725d0b,n187,10
nef3bd43410fcc7c4,n188,10
n880fa7cf405144f2,n189,10
n4c96b72ef9239b3c,n190,10
n90c171213a2ebd28,n191,10
n18d3d8a11ee2767a,n192,10
n1871f6cee77030fd,n193,10
ne0006f975f889079,n194,10
nf8a9d7898d6cccdd,n195,10
n5ffef22f6ad7ded9,n196,10
n951b01a03961b03a,n197,10
n635d4b24d95e69d7,n198,10
n981151851afc4e86,n199,10
nec0e033f7caffe3b,n200,10
ncd720e36a8397352,n201,10
na9517a6688982436,n202,10
n04e718cac7e2143a,n203,10
naab593e6ca3758dd,n204,10
nf1bd19a752b64c01,n205,10
nb0568cdeca677cfa,n206,10
nd9364940c6b60438,n207,10
nc051bced214d6d33,n208,10
ndf8d1f71361a63be,n209,10
need10e3e679a02db,n210,10
n7c695bb9cf88e835,n211,10
nba3a9679fb221ab0,n212,10
nf78327811e56a069,n213,11
nd923d0e716dea176,n214,11
n2cb807b64c864817,n215,11
nb992f2c3e22d9998,n216,11
n02fe674e8f45c3bc,n217,11
na400ddde36ef71db,n218,11
nc24c54e092d214c6,n219,11
n08a6c62f9c79ee6f,n220,11
nadd42f97ff1ffc5c,n221,11
nd3468868728b5ddd,n222,11
n5523997cd6bcb256,n223,11
ne8ebf6691c6c58ca,n224,11
n64122e8888eba7d2,n225,11
na2ffda9995b8bc60,n226,11
n040c25e0d5b17e3a,n227,11
n7fd0f3b9456259ad,n228,11
nff10f29e195b9a21,n229,11
ncf8f7caa80055d8f,n230,11
n49441d63e67cc40a,n231,11
n9e5ae06b20c9f320,n232,11
nbfdb5cf65f5ca01d,n233,11
n2ef1ebcaeadec6ba,n234,11
n26a79b706c956c04,n235,11
n433f024b4040c638,n236,11
nb1a50dafe43358a1,n237,12
n55ae2011f19596b3,n238,12
n3ae0a6a7a2848405,n239,12
n44bf92618dcbfea7,n240,12
nf3f130bfecfa8078,n241,12
n813552072a918bcf,n242,12
nbbf99a6054ea7914,n243,12
n24dfab8720f106b5,n244,12
n33a269d88179d9e4,n245,12
na4d5e6af1189853e,n246,12
n08b624ef11236b7d,n247,12
ne0041e3999a6ba6a,n248,12
nd50847dfb7fdd4a9,n249,12
n28c19fc773782f3b,n250,12
n2a4bbc6b8955b217,n251,12
n812baad020513721,n252,12
ne5e2268360a1d62e,n253,12
nc23e5bf687d89fd0,n254,12
n30dc7e1e975e42c5,n255,12
n79c917c8d04551d9,n256,12
n4fc0c7d4114497e5,n257,12
nf50c29d8b4cf4a65,n258,12
n32eead320eac8272,n259,12
n561973b14647b7ab,n260,12
nc881fd0fe28aeda0,n261,12
n1de6635cb3cc300f,n262,12
n497b73d89cb0fa84,n263,12
n0a8e11e521dd8b55,n264,12
ned3deacb7ec9e4c0,n265,12
n0aa6bb484b08b8fb,n266,12
n87bc3a117c7ae623,n267,12
n435e0cecd1619d70,n268,12
nbf85156ffeff5282,n269,13
n4bc7999c12da610b,n270,13
n03dc7bdba949ed4f,n271,13
n08d6d626ef1faf4f,n272,13
n019264ce8f96c3cf,n273,13
n87abd75700bfbf98,n274,13
n100de603c52d3597,n275,13
n4d417dd6dc971f2e,n276,13
nd9d05b857ecceef4,n277,13
n895f33e38aa7c644,n278,13
nc0d79dfe792fd725,n279,13
n0dc053c1fdaad7f0,n280,13
ndbc18019bf616c70,n281,13
nde42687b68a9329d,n282,13
ne0d8da0b1c5b53ea,n283,13
nd7375b5ce37a8e43,n284,13
n181976f11c4f3bb5,n285,13
n2643cc235c0b30e4,n286,13
nd6e4e503c4a4f7dd,n287,13
n11ae15a335a52cdf,n288,13
nc3da1350aa358713,n289,13
n19e1b6d8174f91b9,n290,13
nc92fe52ab3284f47,n291,13
nf6d040eadfcc8e90,n292,13
n94edce0505be8d6b,n293,14
nb0fd7cc02d02bc19,n294,14
n53a131e63fd6a060,n295,14
n9b3472d562d63f2a,n296,14
nf9e70d0410005742,n297,14
n2d7705c3d72a3db0,n298,14
n5c4629357641c374,n299,14
nf8ff9e45cbbb18d1,n300,14
n03d45c9a4d067551,n301,14
n2dcf3e170a41be9f,n302,14
ndacebf0aeeaa22de,n303,14
n0a469332408aa394,n304,14
