note_id,original_id,bar,voice,staff,ordinal
mn-1-1-1-1,n1,1,1,1,1
mn-1-1-1-2,n2,1,1,1,2
mn-1-1-1-3,n3,1,1,1,3
mn-1-1-1-4,n4,1,1,1,4
mn-1-1-1-5,n5,1,1,1,5
mn-1-1-1-6,n6,1,1,1,6
mn-1-1-1-7,n7,1,1,1,7
mn-1-1-1-8,n8,1,1,1,8
mn-1-1-1-9,n9,1,1,1,9
mn-1-1-1-10,n10,1,1,1,10
mn-1-5-2-1,n11,1,5,2,1
mn-1-5-2-2,n12,1,5,2,2
mn-1-5-2-3,n13,1,5,2,3
mn-1-5-2-4,n14,1,5,2,4
mn-1-5-2-5,n15,1,5,2,5
mn-1-5-2-6,n16,1,5,2,6
mn-1-5-2-7,n17,1,5,2,7
mn-1-5-2-8,n18,1,5,2,8
mn-1-5-2-9,n19,1,5,2,9
mn-1-5-2-10,n20,1,5,2,10
mn-1-5-2-11,n21,1,5,2,11
mn-1-5-2-12,n22,1,5,2,12
mn-1-5-2-13,n23,1,5,2,13
mn-1-5-2-14,n24,1,5,2,14
mn-1-5-2-15,n25,1,5,2,15
mn-1-5-2-16,n26,1,5,2,16
mn-1-5-2-17,n27,1,5,2,17
mn-1-5-2-18,n28,1,5,2,18
mn-1-5-2-19,n29,1,5,2,19
mn-1-5-2-20,n30,1,5,2,20
mn-1-5-2-21,n31,1,5,2,21
mn-1-5-2-22,n32,1,5,2,22
mn-1-5-2-23,n33,1,5,2,23
mn-1-5-2-24,n34,1,5,2,24
mn-1-5-2-25,n35,1,5,2,25
mn-1-5-2-26,n36,1,5,2,26
mn-1-5-2-27,n37,1,5,2,27
mn-2-1-1-1,n38,2,1,1,1
mn-2-1-1-2,n39,2,1,1,2
mn-2-1-1-3,n40,2,1,1,3
mn-2-1-1-4,n41,2,1,1,4
mn-2-1-1-5,n42,2,1,1,5
mn-2-1-1-6,n43,2,1,1,6
mn-2-1-1-7,n44,2,1,1,7
mn-2-1-1-8,n45,2,1,1,8
mn-2-5-2-1,n46,2,5,2,1
mn-2-5-2-2,n47,2,5,2,2
mn-2-5-2-3,n48,2,5,2,3
mn-2-5-2-4,n49,2,5,2,4
mn-2-5-2-5,n50,2,5,2,5
mn-2-5-2-6,n51,2,5,2,6
mn-2-5-2-7,n52,2,5,2,7
mn-2-5-2-8,n53,2,5,2,8
mn-2-5-2-9,n54,2,5,2,9
mn-2-6-2-1,n55,2,6,2,1
mn-2-6-2-2,n56,2,6,2,2
mn-2-6-2-3,n57,2,6,2,3
mn-2-6-2-4,n58,2,6,2,4
mn-2-6-2-5,n59,2,6,2,5
mn-2-6-2-6,n60,2,6,2,6
mn-2-6-2-7,n61,2,6,2,7
mn-2-6-2-8,n62,2,6,2,8
mn-2-6-2-9,n63,2,6,2,9
mn-2-6-2-10,n64,2,6,2,10
mn-2-6-2-11,n65,2,6,2,11
mn-2-6-2-12,n66,2,6,2,12
mn-2-6-2-13,n67,2,6,2,13
mn-2-6-2-14,n68,2,6,2,14
mn-2-6-2-15,n69,2,6,2,15
