note_id,original_id,printed_bar
n52ac27e985b86eb8,n1,0
n66a5e2452dfa00d2,n2,0
ncb26fb853e4e7fce,n3,0
necdbb191ac7bcad0,n4,0
n9a11ace74f9d7f0c,n5,1
n5219a1482173585a,n6,1
nc7618f5a5ec2527d,n7,1
nba939162274dc902,n8,1
naecfcf696df8f5b7,n9,1
n5742c05d08d3e338,n10,1
ncae0e7ec3634d539,n11,1
n914245f2580b4d89,n12,1
nf9c36ed43c36a3c9,n13,1
n9712c00b29d7600f,n14,1
n6305bf83bba3ab10,n15,1
nd74ca5506dac56ab,n16,1
nb1fe1d841d164a42,n17,1
n0e0a01c0133a26e6,n18,2
n103e6f49076b0eda,n19,2
n78d3d8025f8527cd,n20,2
nacdd960bf9777d40,n21,2
nd34e7b69d44dbd2a,n22,2
n7d2942f2f8c429ed,n23,2
n27c04b84239fe65f,n24,2
ne4eaf18ed3e06c61,n25,2
ne1ce7806b6eb793c,n26,2
ned370e1d5088ce71,n27,2
n18b713c76abff066,n28,2
n755ac5c42570da7d,n29,2
nd260bb5483a7fee5,n30,2
n9ee7db3f345b51da,n31,2
na3f138352ac53ed6,n32,3
n4309cd6a0fb7e9fb,n33,3
na31d343c3b2aa5f4,n34,3
n434eec59379ae802,n35,3
n33ba051dd4fd7870,n36,3
n7f50e239cc2bcf98,n37,3
nb27ca05947a26fd6,n38,3
ndeb50bd9e3012acf,n39,3
n78dc35bd17a20dd1,n40,3
n4c89e20e28c23a27,n41,3
n0a4ed5d30efbc111,n42,3
nc760298ca26086e4,n43,3
ncab6cf1d09fa827c,n44,3
n8855bba1f87d16e6,n45,4
n4ebff05b65411c33,n46,4
n7951028019d2be00,n47,4
nf5f4944c562e032c,n48,4
nf125b7771bf02b0c,n49,4
n675a1a44da0e995b,n50,4
nfcf346b9464c4977,n51,4
n7878c35b70c0d66f,n52,4
n33178c321da473cb,n53,4
nbaef43f13b11c954,n54,4
n29ef039c2d685290,n55,4
nfc0ca5e98866555d,n56,4
n6ffbf99070734cca,n57,4
ndb002cc0fcee09c7,n58,4
n839561be0d85dbb3,n59,4
ncf6fa1816a6eb6cf,n60,4
nd39c285046cf4076,n61,5
nfc4f7ea69cc9808d,n62,5
n12b0bb354cc5e93b,n63,5
n9df0f250d3fe9723,n64,5
n079bc461406f6e94,n65,5
n6095f3555155870d,n66,5
n1ba9c388bf29792a,n67,5
n6dfaef3e97eb1501,n68,5
n48b1f48488ba08a7,n69,5
n81bbb75c40972ffd,n70,5
n4cd3e642cb74c45b,n71,5
nf2abbcebf96f3711,n72,5
n3ae03736ce20d851,n73,5
n9e4f90c5c1d999a3,n74,5
ne78d7c677e5751f5,n75,5
