note_id,original_id,part,bar,voice,staff,ordinal
n1,n1,1,1,1,1,1
n2,n2,1,1,1,1,2
n3,n3,1,1,1,1,3
n4,n4,1,1,1,1,4
n5,n5,1,1,2,1,1
n6,n6,1,1,2,1,2
n7,n7,1,1,2,1,3
n8,n8,1,1,2,1,4
n9,n9,1,1,2,1,5
n10,n10,1,1,2,1,6
n11,n11,1,1,2,1,7
n12,n12,1,1,2,1,8
n13,n13,1,1,2,1,9
n14,n14,1,1,2,1,10
n15,n15,1,1,2,1,11
n16,n16,1,1,2,1,12
n17,n17,1,1,2,1,13
n18,n18,1,1,2,1,14
n19,n19,1,1,2,1,15
n20,n20,1,1,2,1,16
n21,n21,1,1,2,1,17
n22,n22,1,1,2,1,18
n23,n23,1,1,2,1,19
n24,n24,1,1,2,1,20
n25,n25,1,1,2,1,21
n26,n26,1,1,2,1,22
n27,n27,1,1,2,1,23
n28,n28,1,1,2,1,24
n29,n29,1,1,2,1,25
n30,n30,1,1,2,1,26
n31,n31,1,1,2,1,27
n32,n32,1,1,2,1,28
n33,n33,1,1,2,1,29
n34,n34,1,1,2,1,30
n35,n35,1,1,2,1,31
n36,n36,1,1,2,1,32
n37,n37,1,1,2,1,33
n38,n38,1,1,2,1,34
n39,n39,1,1,2,1,35
n40,n40,1,1,2,1,36
n41,n41,1,1,2,1,37
n42,n42,1,1,2,1,38
n43,n43,1,1,2,1,39
n44,n44,1,1,2,1,40
n45,n45,1,1,2,1,41
n46,n46,1,1,2,1,42
n47,n47,1,1,2,1,43
n48,n48,1,1,2,1,44
n49,n49,1,1,2,1,45
n50,n50,1,1,2,1,46
n51,n51,1,1,2,1,47
n52,n52,1,1,2,1,48
n53,n53,1,1,2,1,49
n54,n54,1,1,2,1,50
n55,n55,1,1,5,2,1
n56,n56,1,1,5,2,2
n57,n57,1,1,5,2,3
n58,n58,1,1,5,2,4
n59,n59,1,1,5,2,5
n60,n60,1,1,5,2,6
n61,n61,1,1,5,2,7
n62,n62,1,1,5,2,8
n63,n63,1,1,5,2,9
n64,n64,1,1,6,2,1
r1,r1,1,1,6,2,2
n65,n65,1,1,6,2,3
r2,r2,1,1,6,2,4
n66,n66,1,1,6,2,5
n67,n67,1,2,1,1,1
n68,n68,1,2,1,1,2
n69,n69,1,2,1,1,3
n70,n70,1,2,1,1,4
n71,n71,1,2,1,1,5
n72,n72,1,2,1,1,6
n73,n73,1,2,1,1,7
n74,n74,1,2,1,1,8
n75,n75,1,2,1,1,9
n76,n76,1,2,1,1,10
n77,n77,1,2,5,2,1
n78,n78,1,2,5,2,2
n79,n79,1,2,5,2,3
n80,n80,1,2,5,2,4
n81,n81,1,2,5,2,5
n82,n82,1,2,5,2,6
n83,n83,1,2,5,2,7
n84,n84,1,2,5,2,8
n85,n85,1,2,5,2,9
n86,n86,1,2,6,2,1
r3,r3,1,2,6,2,2
n87,n87,1,2,6,2,3
r4,r4,1,2,6,2,4
n88,n88,1,2,6,2,5
n89,n89,1,3,1,1,1
n90,n90,1,3,1,1,2
n91,n91,1,3,1,1,3
n92,n92,1,3,1,1,4
n93,n93,1,3,2,1,1
n94,n94,1,3,2,1,2
n95,n95,1,3,2,1,3
n96,n96,1,3,2,1,4
n97,n97,1,3,2,1,5
n98,n98,1,3,2,1,6
n99,n99,1,3,2,1,7
n100,n100,1,3,2,1,8
n101,n101,1,3,2,1,9
n102,n102,1,3,2,1,10
n103,n103,1,3,2,1,11
n104,n104,1,3,2,1,12
n105,n105,1,3,2,1,13
n106,n106,1,3,2,1,14
n107,n107,1,3,2,1,15
n108,n108,1,3,2,1,16
n109,n109,1,3,2,1,17
n110,n110,1,3,2,1,18
n111,n111,1,3,2,1,19
n112,n112,1,3,2,1,20
n113,n113,1,3,2,1,21
n114,n114,1,3,2,1,22
n115,n115,1,3,2,1,23
n116,n116,1,3,2,1,24
n117,n117,1,3,2,1,25
n118,n118,1,3,2,1,26
n119,n119,1,3,2,1,27
n120,n120,1,3,2,1,28
n121,n121,1,3,2,1,29
n122,n122,1,3,2,1,30
n123,n123,1,3,2,1,31
n124,n124,1,3,2,1,32
n125,n125,1,3,2,1,33
n126,n126,1,3,2,1,34
n127,n127,1,3,2,1,35
n128,n128,1,3,2,1,36
n129,n129,1,3,2,1,37
n130,n130,1,3,2,1,38
n131,n131,1,3,2,1,39
n132,n132,1,3,2,1,40
n133,n133,1,3,2,1,41
n134,n134,1,3,2,1,42
n135,n135,1,3,2,1,43
n136,n136,1,3,2,1,44
n137,n137,1,3,2,1,45
n138,n138,1,3,2,1,46
n139,n139,1,3,2,1,47
n140,n140,1,3,2,1,48
n141,n141,1,3,2,1,49
n142,n142,1,3,2,1,50
n143,n143,1,3,5,2,1
n144,n144,1,3,5,2,2
n145,n145,1,3,5,2,3
n146,n146,1,3,5,2,4
n147,n147,1,3,5,2,5
n148,n148,1,3,5,2,6
n149,n149,1,3,5,2,7
n150,n150,1,3,5,2,8
n151,n151,1,3,5,2,9
n152,n152,1,3,6,2,1
r5,r5,1,3,6,2,2
n153,n153,1,3,6,2,3
r6,r6,1,3,6,2,4
n154,n154,1,3,6,2,5
n155,n155,1,4,1,1,1
n156,n156,1,4,1,1,2
n157,n157,1,4,1,1,3
n158,n158,1,4,1,1,4
n159,n159,1,4,1,1,5
n160,n160,1,4,1,1,6
n161,n161,1,4,1,1,7
