note_id,original_id,bar,voice,staff,ordinal
mn-1-1-1-1,n1,1,1,1,1
mn-1-1-1-2,n2,1,1,1,2
mn-1-1-1-3,n3,1,1,1,3
mn-1-1-1-4,n4,1,1,1,4
mn-1-2-1-1,n5,1,2,1,1
mn-1-2-1-2,n6,1,2,1,2
mn-1-5-2-1,n7,1,5,2,1
mn-1-5-2-2,n8,1,5,2,2
mn-1-5-2-3,n9,1,5,2,3
mn-1-5-2-4,n10,1,5,2,4
mn-1-5-2-5,n11,1,5,2,5
mn-2-1-1-1,n12,2,1,1,1
mn-2-1-1-2,n13,2,1,1,2
mn-2-1-1-3,n14,2,1,1,3
mn-2-1-1-4,n15,2,1,1,4
mn-2-2-1-1,n16,2,2,1,1
mn-2-2-1-2,n17,2,2,1,2
mn-2-5-2-1,n18,2,5,2,1
mn-2-5-2-2,n19,2,5,2,2
mn-2-5-2-3,n20,2,5,2,3
mn-2-5-2-4,n21,2,5,2,4
mn-2-5-2-5,n22,2,5,2,5
mn-3-1-1-1,n23,3,1,1,1
mn-3-1-1-2,n24,3,1,1,2
mn-3-1-1-3,n25,3,1,1,3
mn-3-1-1-4,n26,3,1,1,4
mn-3-1-1-5,n27,3,1,1,5
mn-3-1-1-6,n28,3,1,1,6
mn-3-1-1-7,n29,3,1,1,7
mn-3-1-1-8,n30,3,1,1,8
mn-3-1-1-9,n31,3,1,1,9
mn-3-5-2-1,n32,3,5,2,1
mn-3-5-2-2,n33,3,5,2,2
mn-3-5-2-3,n34,3,5,2,3
mn-3-5-2-4,n35,3,5,2,4
mn-3-5-2-5,n36,3,5,2,5
mn-3-5-2-6,n37,3,5,2,6
mn-4-1-1-1,n38,4,1,1,1
mn-4-1-1-2,n39,4,1,1,2
mn-4-1-1-3,n40,4,1,1,3
mn-4-5-2-1,n41,4,5,2,1
mn-4-5-2-2,n42,4,5,2,2
mn-5-1-1-1,n43,5,1,1,1
mn-5-1-1-2,n44,5,1,1,2
mn-5-1-1-3,n45,5,1,1,3
mn-5-1-1-4,n46,5,1,1,4
mn-5-1-1-5,n47,5,1,1,5
mn-5-1-1-6,n48,5,1,1,6
mn-5-1-1-7,n49,5,1,1,7
mn-5-1-1-8,n50,5,1,1,8
mn-5-1-1-9,n51,5,1,1,9
mn-5-5-2-1,n52,5,5,2,1
mn-5-5-2-2,n53,5,5,2,2
mn-5-5-2-3,n54,5,5,2,3
mn-5-5-2-4,n55,5,5,2,4
mn-5-5-2-5,n56,5,5,2,5
mn-5-5-2-6,n57,5,5,2,6
mn-5-5-2-7,n58,5,5,2,7
mn-5-5-2-8,n59,5,5,2,8
mn-5-5-2-9,n60,5,5,2,9
mn-6-1-1-1,n61,6,1,1,1
mn-6-1-1-2,n62,6,1,1,2
mn-6-1-1-3,n63,6,1,1,3
mn-6-5-2-1,n64,6,5,2,1
mn-6-5-2-2,n65,6,5,2,2
mn-6-5-2-3,n66,6,5,2,3
mn-7-1-1-1,n67,7,1,1,1
mn-7-1-1-2,n68,7,1,1,2
mn-7-1-1-3,n69,7,1,1,3
