element_id,original_id,tag,carrier,host_or_staff
ed7974e5bb14222e8,md-1-0-1-1,dynamics,md,1
e0ba22d9de8513577,md-1-0-1-2,words,md,1
na4e077740b5b068e--staccatissimo--1,,staccatissimo,derive,na4e077740b5b068e
na4e077740b5b068e--staccato--1,,staccato,derive,na4e077740b5b068e
nc1df40bcc6c8e5db--slur--start--1,n22--slur--start--1,slur,stamp,nc1df40bcc6c8e5db
n43d938e30fd4aa0b--slur--stop--1,n25--slur--stop--1,slur,stamp,n43d938e30fd4aa0b
n0a01c9031e0da175--staccatissimo--1,,staccatissimo,derive,n0a01c9031e0da175
n0a01c9031e0da175--staccato--1,,staccato,derive,n0a01c9031e0da175
nda783d6998bd382e--staccatissimo--1,,staccatissimo,derive,nda783d6998bd382e
nda783d6998bd382e--staccato--1,,staccato,derive,nda783d6998bd382e
nb51bd01290f66f43--slur--start--1,n42--slur--start--1,slur,stamp,nb51bd01290f66f43
n93c7f905953afcbd--slur--stop--1,n45--slur--stop--1,slur,stamp,n93c7f905953afcbd
n22e71bcc969294be--staccatissimo--1,,staccatissimo,derive,n22e71bcc969294be
n22e71bcc969294be--staccato--1,,staccato,derive,n22e71bcc969294be
nf224b44ac898e7f0--slur--start--1,n80--slur--start--1,slur,stamp,nf224b44ac898e7f0
n36c0029ef58c2518--slur--stop--1,n83--slur--stop--1,slur,stamp,n36c0029ef58c2518
n449b9cc57924996f--staccatissimo--1,,staccatissimo,derive,n449b9cc57924996f
n449b9cc57924996f--staccato--1,,staccato,derive,n449b9cc57924996f
n880fa7cf405144f2--staccatissimo--1,,staccatissimo,derive,n880fa7cf405144f2
n880fa7cf405144f2--staccato--1,,staccato,derive,n880fa7cf405144f2
nac0a33736324c668--slur--start--1,n100--slur--start--1,slur,stamp,nac0a33736324c668
ne1c356f2917aa24c--slur--stop--1,n103--slur--stop--1,slur,stamp,ne1c356f2917aa24c
n29b212ec48bddd65--slur--start--1,n116--slur--start--1,slur,stamp,n29b212ec48bddd65
e673b34f5b6d6fdb5,md-1-12-1-1,dynamics,md,1
n195da761a6d8139d--slur--stop--1,n125--slur--stop--1,slur,stamp,n195da761a6d8139d
n249efca75a59841e--slur--start--1,n127--slur--start--1,slur,stamp,n249efca75a59841e
nbf18361b4f2ac9ab--slur--stop--1,n128--slur--stop--1,slur,stamp,nbf18361b4f2ac9ab
n88db3f5b708d6bbd--slur--start--1,n129--slur--start--1,slur,stamp,n88db3f5b708d6bbd
ed95a6ad2d64acb0c,md-1-13-2-1,dynamics,md,2
n43604cffda2d416c--slur--stop--1,n138--slur--stop--1,slur,stamp,n43604cffda2d416c
n6537211d378e50b5--slur--start--1,n140--slur--start--1,slur,stamp,n6537211d378e50b5
nd8856a352120f1e0--slur--stop--1,n141--slur--stop--1,slur,stamp,nd8856a352120f1e0
n31d35958980d747c--slur--start--1,n142--slur--start--1,slur,stamp,n31d35958980d747c
ne4a3194810afd9d4--slur--stop--1,n150--slur--stop--1,slur,stamp,ne4a3194810afd9d4
nefc1efbe4cb8e3cd--slur--start--1,n152--slur--start--1,slur,stamp,nefc1efbe4cb8e3cd
n78de5a8e2bc410d6--slur--stop--1,n153--slur--stop--1,slur,stamp,n78de5a8e2bc410d6
ne4bf6c7f013dc360--slur--start--1,n154--slur--start--1,slur,stamp,ne4bf6c7f013dc360
ne5fc1999dfd7e305--slur--stop--1,n163--slur--stop--1,slur,stamp,ne5fc1999dfd7e305
nc3e92135872c0e56--slur--start--1,n165--slur--start--1,slur,stamp,nc3e92135872c0e56
na72ab4e6f3c706eb--slur--stop--1,n167--slur--stop--1,slur,stamp,na72ab4e6f3c706eb
n90d1208f3b861df2--slur--start--1,n168--slur--start--1,slur,stamp,n90d1208f3b861df2
nd04d9254bafbe889--slur--stop--1,n177--slur--stop--1,slur,stamp,nd04d9254bafbe889
nf4c855e9ed910f49--slur--start--1,n179--slur--start--1,slur,stamp,nf4c855e9ed910f49
nbfd1c8c39ab66844--slur--stop--1,n181--slur--stop--1,slur,stamp,nbfd1c8c39ab66844
n54945fe0ac791318--slur--start--1,n182--slur--start--1,slur,stamp,n54945fe0ac791318
e3000c6dd94ed1bfb,md-1-17-2-1,dynamics,md,2
naa3a442f71aa728b--slur--stop--1,n192--slur--stop--1,slur,stamp,naa3a442f71aa728b
ndc55ab5fff3d7a8e--slur--start--1,n194--slur--start--1,slur,stamp,ndc55ab5fff3d7a8e
ne97ffeedf970c1ec--slur--stop--1,n196--slur--stop--1,slur,stamp,ne97ffeedf970c1ec
nb020316ad5d2f640--slur--start--1,n197--slur--start--1,slur,stamp,nb020316ad5d2f640
n6816f672d952d68d--slur--stop--1,n206--slur--stop--1,slur,stamp,n6816f672d952d68d
nbf0559ec3847f78e--slur--start--1,n208--slur--start--1,slur,stamp,nbf0559ec3847f78e
n735eeda9fa25068d--slur--stop--1,n210--slur--stop--1,slur,stamp,n735eeda9fa25068d
nffc898dfac7865e1--slur--start--1,n211--slur--start--1,slur,stamp,nffc898dfac7865e1
nf38e56646c0b9d9b--slur--stop--1,n220--slur--stop--1,slur,stamp,nf38e56646c0b9d9b
n68fb65a5d934b432--slur--start--1,n222--slur--start--1,slur,stamp,n68fb65a5d934b432
n205474703522ad9c--slur--stop--1,n223--slur--stop--1,slur,stamp,n205474703522ad9c
n355b9710b3baac73--slur--start--1,n224--slur--start--1,slur,stamp,n355b9710b3baac73
nb99d9efe137309b2--tie--1,,tie,derive,nb99d9efe137309b2
nb99d9efe137309b2--tied--start--1,n227--tied--start--1,tied,stamp,nb99d9efe137309b2
n150b0e757c1b90dd--slur--start--1,n228--slur--start--1,slur,stamp,n150b0e757c1b90dd
ed1b9949257ff0cf9,md-1-20-1-1,dynamics,md,1
n87f7706f1b22ea10--slur--stop--1,n234--slur--stop--1,slur,stamp,n87f7706f1b22ea10
