element_id,tag,carrier,host_or_staff
md-1-1-1-1,words,md,1
md-1-1-1-2,dynamics,md,1
md-1-1-1-3,words,md,1
md-1-1-1-4,words,md,1
md-1-1-1-5,words,md,1
mn-1-2-1-1-3--slur--start--1,slur,stamp,mn-1-2-1-1-3
mn-1-2-1-1-4--slur--stop--1,slur,stamp,mn-1-2-1-1-4
md-1-2-1-1,words,md,1
mn-1-3-1-1-2--slur--start--1,slur,stamp,mn-1-3-1-1-2
mn-1-3-1-1-3--slur--stop--1,slur,stamp,mn-1-3-1-1-3
mn-1-3-1-1-5--slur--start--1,slur,stamp,mn-1-3-1-1-5
mn-1-3-1-1-5--turn--1,turn,derive,mn-1-3-1-1-5
mn-1-3-1-1-6--slur--stop--1,slur,stamp,mn-1-3-1-1-6
mn-1-3-2-1-1--tuplet--start--1,tuplet,stamp,mn-1-3-2-1-1
mn-1-3-2-1-3--tuplet--stop--1,tuplet,stamp,mn-1-3-2-1-3
mn-1-4-1-1-4--slur--start--1,slur,stamp,mn-1-4-1-1-4
mn-1-4-1-1-5--slur--stop--1,slur,stamp,mn-1-4-1-1-5
mn-1-4-5-2-1--slur--start--1,slur,stamp,mn-1-4-5-2-1
mn-1-4-5-2-3--slur--stop--1,slur,stamp,mn-1-4-5-2-3
md-1-5-1-1,dynamics,md,1
mn-1-6-1-1-1--tied--start--1,tied,stamp,mn-1-6-1-1-1
mn-1-6-1-1-2--tied--stop--1,tied,stamp,mn-1-6-1-1-2
mn-1-6-1-1-2--tuplet--start--1,tuplet,stamp,mn-1-6-1-1-2
mn-1-6-1-1-3--slur--start--1,slur,stamp,mn-1-6-1-1-3
mn-1-6-1-1-4--tuplet--stop--1,tuplet,stamp,mn-1-6-1-1-4
mn-1-6-1-1-4--slur--stop--1,slur,stamp,mn-1-6-1-1-4
mn-1-6-1-1-5--tuplet--start--1,tuplet,stamp,mn-1-6-1-1-5
mn-1-6-1-1-5--slur--start--1,slur,stamp,mn-1-6-1-1-5
mn-1-6-1-1-6--slur--stop--1,slur,stamp,mn-1-6-1-1-6
mn-1-6-1-1-7--tuplet--stop--1,tuplet,stamp,mn-1-6-1-1-7
mn-1-6-1-1-7--staccato--1,staccato,derive,mn-1-6-1-1-7
mn-1-6-1-1-7--staccatissimo--1,staccatissimo,derive,mn-1-6-1-1-7
mn-1-6-5-2-1--tied--start--1,tied,stamp,mn-1-6-5-2-1
mn-1-6-5-2-2--tied--stop--1,tied,stamp,mn-1-6-5-2-2
md-1-6-1-1,dynamics,md,1
md-1-6-1-2,wedge,md,1
md-1-6-1-3,wedge,md,1
mn-1-8-1-1-3--slur--start--1,slur,stamp,mn-1-8-1-1-3
mn-1-8-1-1-4--slur--stop--1,slur,stamp,mn-1-8-1-1-4
mn-1-9-1-1-2--slur--start--1,slur,stamp,mn-1-9-1-1-2
mn-1-9-1-1-3--slur--stop--1,slur,stamp,mn-1-9-1-1-3
mn-1-9-1-1-5--turn--1,turn,derive,mn-1-9-1-1-5
mn-1-9-2-1-4--tuplet--start--1,tuplet,stamp,mn-1-9-2-1-4
mn-1-9-2-1-6--tuplet--stop--1,tuplet,stamp,mn-1-9-2-1-6
mn-1-9-5-2-8--tied--start--1,tied,stamp,mn-1-9-5-2-8
mn-1-10-1-1-4--turn--1,turn,derive,mn-1-10-1-1-4
mn-1-10-2-1-4--tied--start--1,tied,stamp,mn-1-10-2-1-4
mn-1-10-3-1-1--tuplet--start--1,tuplet,stamp,mn-1-10-3-1-1
mn-1-10-3-1-3--tuplet--stop--1,tuplet,stamp,mn-1-10-3-1-3
mn-1-10-5-2-1--tied--stop--1,tied,stamp,mn-1-10-5-2-1
mn-1-10-5-2-4--tied--start--1,tied,stamp,mn-1-10-5-2-4
mn-1-11-2-1-1--tied--stop--1,tied,stamp,mn-1-11-2-1-1
mn-1-11-5-2-1--tied--stop--1,tied,stamp,mn-1-11-5-2-1
mn-1-12-1-1-7--slur--start--1,slur,stamp,mn-1-12-1-1-7
mn-1-12-1-1-11--slur--stop--1,slur,stamp,mn-1-12-1-1-11
mn-1-12-5-2-6--slur--start--1,slur,stamp,mn-1-12-5-2-6
mn-1-12-5-2-9--slur--stop--1,slur,stamp,mn-1-12-5-2-9
md-1-12-1-1,dynamics,md,1
mn-1-13-1-1-6--slur--start--1,slur,stamp,mn-1-13-1-1-6
mn-1-13-1-1-8--slur--stop--1,slur,stamp,mn-1-13-1-1-8
mn-1-13-5-2-6--slur--start--1,slur,stamp,mn-1-13-5-2-6
mn-1-13-5-2-8--slur--stop--1,slur,stamp,mn-1-13-5-2-8
mn-1-14-1-1-5--slur--start--1,slur,stamp,mn-1-14-1-1-5
mn-1-14-1-1-9--slur--stop--1,slur,stamp,mn-1-14-1-1-9
