note_id,original_id,printed_bar
n204ffca1799ccb56,n1,1
na308daea28de149c,n2,1
n8e305e2f92edd28f,n3,1
ne3c26e5e8a0aef80,n4,1
ncae0e7ec3634d539,n5,1
n85ba31a54fde117e,n6,2
nabcf60d1ef69b525,n7,2
nb71f6d9a6b597ddb,n8,2
n6f63e67e91682305,n9,2
n618576c7fc8c3d54,n10,2
n437dbd1266cde062,n11,2
nbd39e41640e59437,n12,2
n5ca3ed1786978c62,n13,2
n277703b6faab2817,n14,3
n69ac49db97c0f9a5,n15,3
n48a67c39020ffa94,n16,3
n881d1f9bdee7d909,n17,3
n360d21b5fc7b8cc5,n18,3
n4e63d448a2ca6c3c,n19,3
ncdc2bd026e922046,n24,3
n1336933688dbb194,n25,3
n6a697b755223c82a,n26,3
n72d3cc768a2875f7,n27,3
na6294f76540cd145,n28,3
na0916a25f748da92,n29,3
nf9c7679c0c1a3558,n30,3
na97dcd36a7f56f87,n31,3
n36ba8595624f49ed,n32,4
n5e6880f1b15e9021,n33,4
n4adeb3a0f7a7fc52,n34,4
nc0a832dd360d3119,n35,4
nada2c72a987cec44,n36,4
n1ac2115003d06e61,n37,4
nd9e78fcf27071456,n38,4
n50d987ad69286808,n39,4
n5e780c9d2f80e481,n40,4
necff1b4fbaf526f4,n41,4
nf125b7771bf02b0c,n42,4
nf5b4e3dab8e74d8c,n43,4
n05c3493bbc100e87,n44,4
nccdb8a183a701bd9,n45,4
ndb002cc0fcee09c7,n46,4
n187a20188b3e5ce7,n47,4
n367b7ea87229babd,n48,5
n86d7e788474da50e,n49,5
n610473017663df89,n50,5
n2232a3b046183c7c,n51,5
nddb0d643ec555169,n52,5
n719e44d117b8628a,n53,5
ndf6d1a8a1def7b98,n54,5
nb4948127f442ed70,n55,5
nda0db2908b05aa5b,n56,5
n1f39fafca34ba7d9,n57,5
n7abc8aafe590d960,n58,5
nc3f04e9e4bf562f2,n59,5
n81c8a65b079c0590,n60,5
n4911665aafe3fc4d,n61,5
n6b1b943eb8b1fd58,n62,5
n93b3cebde8b20ece,n63,5
n1c3b10b998e253f9,n64,5
n6bab8ae2469dd030,n65,6
n961931a7754ba84b,n66,6
naf16390f728fc916,n67,6
n23ad65bfb6515253,n68,6
nbd52d640ad700f82,n69,6
n853bed958549319c,n70,6
nf8b12ec5864fa259,n71,6
n68a12df02119e7c5,n72,6
n106e407cae7a0404,n73,6
n9f6e13081cf0fa6e,n74,6
n55d14c1bbe4087a0,n75,6
n483d8c79ea6572ae,n76,6
nef5db852644de311,r1,6
n0cd4ebc8c4804db9,n77,6
nf11ea820ea821eda,n78,6
n14ed14fa3de68211,n79,6
nd91b092998b0618b,n80,6
n8d0d8a3807fb686d,n81,6
na93e4a1555ed7a83,n82,6
na6368729d6714198,n83,6
n7566d71535363d1a,n84,6
n1c1430cb4db935bd,n85,7
n1f29987a180ea538,n86,7
n28c1642e454968f1,n87,7
n6413143317d118a0,n88,7
n570e5fa2519be992,n89,7
n4aa58658b42c39fc,n90,7
n4cba255f4a3121ac,n91,7
n3385b4c76df2d62b,n92,7
n46dd0ddb133230de,n93,7
n3135a18641fbae9c,n94,7
nfb029ad60bbd1bde,n95,8
n8cebfa379da2c6bd,n96,8
n9d695f9f1446b023,n97,8
n493098364861356a,n98,8
n18f8645df8b428cb,n99,8
n77aeb6f673a12e70,n100,8
nc953b99a2aad4e9d,n101,8
n1b7f104cc402b52e,n102,8
n53c68bbb04c25196,n103,8
n37d597ee4f40b713,n104,9
nbbdbe4dc6400da33,n105,9
nfd8cc8ce0c081f38,n106,9
n096e604b7fcd44af,n107,9
n83b317ab3dfac19d,n108,9
n553c9e9c183950c2,n109,9
ndcfa28854b820860,n110,9
n2e094309eae1eabb,n111,9
n69539eefe2593d7e,n112,9
nc6106bbb1004d6dd,n117,9
n79c15bafc347c7e3,n118,9
n9dd4da22af451d82,n119,9
n77d69a738ea0d77c,n120,9
n5ce7ea6842bbcaf5,n121,9
nd70719081bf1181c,n122,9
n4fea9145b4f4568f,n123,9
n99fac6ec7b6bb9b4,n124,9
n76024ba4e4fb2361,n125,10
n7d6df77273f7ed72,n126,10
nf8a9d7898d6cccdd,n127,10
n53840d38bad38fd0,n128,10
n871d8cb82102b16e,n129,10
n46d1051f70050263,n130,10
n1871f6cee77030fd,n131,10
n880fa7cf405144f2,n132,10
n90c171213a2ebd28,n133,10
nd42b1226f77de9a2,n138,10
nce232c2c9cce54b7,n139,10
n7497fdab4d7e636a,n140,10
n23f2073f82c1cdeb,n141,10
n920b87fc625db174,n142,10
n74b32206b4d93cf7,n143,10
n4b193dca99e429a0,n144,10
n34d8fdeff2637fc6,n145,11
n78e7a3eabd4fcd4f,n146,11
n601c7054e7b553c4,n147,11
nfa2ee22f592e5beb,n148,11
nef4ab19e730b4ba1,n149,11
n1f46f70bee47e7fb,n150,11
n1e172abaaf28f2f2,n151,11
n2cb807b64c864817,n152,11
nc716fe0c3de26248,n153,11
nfb78a790a925f137,n154,11
n498d2448c46f5014,n155,11
n1db55a06d34248a4,n156,11
nd11c8bac064a92b0,n157,11
n64c012a20fc611b9,n158,11
na5e7354cc55d080b,n159,11
nf73ec33c9d439102,n160,11
n6bdac3c8fa9446a0,n161,11
n8c4fd2f2b8a545c8,n162,11
n6829e6f26b90ba63,n163,12
n24dfab8720f106b5,n164,12
ne0041e3999a6ba6a,n165,12
n79baf73825c21409,n166,12
ne41b8f6022ad24ec,n167,12
n62f750d18324ec9f,n168,12
ne3cf098af986a2cc,n169,12
n6cc053762f7f31b5,n170,12
n12244d7054b9d6c4,n171,12
nd9a080e658646da1,n172,12
n3695341dd39402ab,n173,12
nead0e62f014359b5,n174,12
na4f3fb3d2a06de79,n175,12
n5a4ab246a7e940b2,n176,12
n21c371bffb0684ee,n177,12
n187b5c3d9c8cbeb1,n178,12
n7f72b0592175ea24,n179,12
n262abc714b0c2c44,n180,12
naba85104b8b3ad3e,n181,12
nbc154b97539381e4,n182,12
n3ae0a6a7a2848405,n183,12
n518820692ee1f75e,n184,12
n4f816885f6ac4133,n185,12
nb48392bc03c18137,n186,12
n1c92c1ada0298cda,n187,12
nd1d8ee0e389e7502,n188,12
n5686c399f355ef6c,n189,12
n33fbcf92ddd69565,n190,12
n4fc0c7d4114497e5,n191,12
nc2414fa2c268a04d,n192,12
n0ed493e520f7377e,n193,12
ned3deacb7ec9e4c0,n194,12
nec74f0fe9f7da3d1,n195,13
ne32c7e12b0552fe5,n196,13
na7f5ac3d2fc571e8,n197,13
n08d6d626ef1faf4f,n198,13
n019264ce8f96c3cf,n199,13
n9a541fecbad6ec53,n200,13
n1edbacde210c5c5e,n201,13
n5c87d15f5238bfe9,n202,13
nf2d4af8deab8f78e,n203,13
nd41b974934c42e91,n204,13
n847028ad26745bb9,n205,13
ne813f8f8cc971d9b,n206,13
n0a7381e2e5749c43,n207,13
n4b7e49c06dd734c6,n208,13
n74889cc8919719dc,n209,13
nc1bb12e2a00c4029,n210,13
n0242a0c4fba7a57e,n211,13
n4ec47adde26697d5,n212,13
n71a3e30ab5ac5faf,n213,13
n75e062607c223180,n214,13
n470f5751ba89c2d0,n215,13
nf7b5ffd98647ec34,n216,13
nfc86784bddb25eef,n217,14
n3c1f63ad47ad8c7b,n218,14
naae88b45689ff85a,n219,14
n94edce0505be8d6b,n220,14
n0aaea4a406497f27,n221,14
n2374da27bcb98978,n222,14
n66991e0400cfde38,n223,14
n2319f3125dcc20df,n224,14
n86b5f9c8cd734c9b,n225,14
ndee2ac4bbc49d5e8,n226,14
n47abc5afe8ac3c0f,n227,14
n0e284d9c34eaa115,n228,14
nda013192b709cfb3,n229,14
n03d45c9a4d067551,n230,14
n7f27018e83e1515f,n231,14
n0bcdc3f5805b42b9,n232,14
na0d6808c2abf919e,n233,14
n0f1be06b41333fb7,n234,14
nd5fb52fa52f53242,n235,14
n9992599063580f4a,n236,14
n16bb8d7353a4aa04,n237,15
n7b7b443b99a4eddc,n238,15
n7cead3797c195e0a,n239,15
n1d235d1463b29bcc,n240,15
n3599cd5fad6d7f9d,n241,15
nef1aa8326c0417a1,n242,15
n97cc3792579bbb52,n243,15
n17c354ea5d56cfb3,n244,15
ne1ff20e5b8f2f4c9,n245,15
n9c0d1501990e649b,n246,15
nb5ea056d02680f2a,n247,15
ne30a6605f908dec8,n248,15
n2caf9d7675b3d730,n249,15
nad5694afef9c51a5,n250,15
n3bd5b9b2aa860fc4,n251,15
nea08ec954af7e06a,n252,15
n71ffa3f2684cb4dd,n253,15
n35a5e35d7eafcd22,n254,15
nb5042903faa133a4,n255,15
n4ba9e38350e8b122,n256,15
nf84fc31d322c3516,n257,16
n1b702a7d2211c3e9,n258,16
n88b4ab4bccea2289,n259,16
n7f6c9e7bff5a103f,n260,16
n3455339bdc0e469d,n261,16
n7d7780cebd72f5e4,n262,16
n2b7a1bd7d372b7ae,n263,16
na1d6c1c225fec810,n264,16
n26576048be9e796f,n265,16
n9e70369fc74bfb11,n266,16
n02ec618913b46774,n267,16
n46621d3ebfd9bce8,n268,16
ne6d014278375e096,n269,17
n78a92e2cdbfdd931,n270,17
n54a31d6c96001d18,n271,17
n19f05a96e80acb5f,n272,17
n8af3ea25e7e840b3,n273,17
ne76798b75e85cc3d,n274,17
n8ae63f1c99439bdc,n275,17
nf5f992c254fd14f7,n276,17
n61b0f777c6d5f6dc,n277,17
n37aeff9e52774a58,n278,17
nd04d9254bafbe889,n279,17
n01737f5bf3aa51f5,n280,17
nfa8a9485cea6f5e8,n281,17
nec37ad5ab0f7e387,n282,18
n2996d602507ca77c,n283,18
nfadfbb70a5246434,n284,18
n048b8e8398893f3c,n285,18
n6a18bb8437a44970,n286,18
nef763d6cbd146e4e,n287,18
n945c37199a6375b7,n288,18
nad57fdeecbb46663,n289,18
n742d0a390179046c,n290,18
n7798cb155ed51ca7,n291,18
nc497b4ad0916b825,n292,18
n6943d118c9b3f82f,n293,18
n2429412872991d81,n294,18
nb16cd5384a2efeba,n295,18
nf10f2e59c0e4a894,n296,18
ndf055643f13217e4,n297,18
nc6fe240848b63fcc,n298,18
n90941af4f6b76266,n299,18
na93080b7fe301ad0,n300,18
ne97ffeedf970c1ec,n301,18
n0703b049f2035a65,n302,18
nd3950e5133b230ee,n303,18
ndb994c3162891fd3,n304,19
nee596914f9d736bc,n305,19
ne8b591ef8c602911,n306,19
n037c445eee1658b9,n307,19
nd04df4799c0688b8,n308,19
nfad283c03190ea0a,n309,19
na87384a61e1ab26d,n310,19
nccb3c55742545ef3,n311,19
n3835619a93864e7c,n312,19
n75d1619ae7ae68c5,n313,19
n980843876736af5c,n314,19
nb71cc901764ceddd,n315,19
n2dfa427874c47378,n316,19
n242064d3681020eb,n317,19
nf8b5fc466d577290,n318,20
ncc8c90661b18ec1c,n319,20
n4b5def84b328cecf,n320,20
n13c9d681f4ef2712,n321,20
n22dd9ea5d61b4986,n322,20
n1c5df2f3319b9d6f,n323,20
nab2bb01abb494dc2,n324,20
ne18d6beacbc0257c,n325,20
n7c0db335e144f260,n326,20
na3893d418b94d68d,n327,20
n32115ef519b22f83,n328,20
n235ef1bd8c4b9cbb,n329,20
n328cb878bc80afe9,n330,20
n6facbe7648fc58f0,n331,20
n88346409a3955fa4,n332,20
n60b5cf0d6264ddff,n333,20
nb63d0ccd4f6a5492,n334,20
n2c591043af8c3398,n335,20
n300864897b089b1b,n336,20
n54bc690a3d5edf1a,n337,20
n786fbbec8d634f14,n338,21
n6e8135ffe47bea05,n339,21
n222a16054a3bc299,n340,21
n1625e166fdc6fc48,n341,21
nfbea9c86faa09272,n342,21
nf1f28e513bcfd016,n343,21
n59a559fae0161c08,n344,21
n43a9b03c258cc5c4,n345,21
n584b37b35a8c5eec,n346,21
n906e14debde4289b,n347,21
nfe49c3c49aa218ae,n348,21
ne4415d6e8d8bdbb9,n349,21
nbc0f03d5ee077f6f,n350,21
nbc845b25cf2d3362,n351,21
n43f554200e43a3c2,n352,21
n6726ddb4420e19f5,n353,22
n8868ddf022ae0e61,n354,22
ndb9530ed62c47abf,n355,22
n0b7ccb9e5f2ca230,n356,22
nef68efb0679388da,n357,22
n9ca260a991b1300c,n358,22
n75ad74e237165a98,n359,22
n152495baabc17e1c,n360,22
n787017c55c9fc460,n361,22
nff7608ad4320ae44,n362,22
nf3f1c1e703987d27,n363,22
n83322e5e61169447,n364,22
ne8b0b352e312e765,n365,23
ncdab34417430b4fd,n366,23
n7db059e04e3589b3,n367,23
n2cc127fd725cf235,n368,23
n6d0b44b0552f507c,n369,23
naabd55b05cefa3e6,n370,23
na0ae2bbc91936418,n371,23
n1f6fc617d1e97551,n372,23
n0e122f97136503a5,n373,23
nf5b3021e6814c13b,n374,23
n2d63d39c69f838ae,n375,23
n610b2b2d24821f08,n376,23
n982f926a74fb0bad,n377,24
ne97c9d0d14fab695,n378,24
nf9ebbe3a5491992f,n379,24
n01f499e282b2a79c,n380,24
n3633ec7f75ab4b3d,n381,24
nc4425df2890a3941,n382,24
n6c8c3e7afc56c4ac,n383,24
nd172cb2908e8aa3b,n384,24
n74f07ed6e0297a49,n385,24
n03cd883e222927bf,n386,24
n8be580d5af68cb02,n387,24
n183c406c601869d2,n388,24
n13fabb0b49f7429f,n389,24
nd83d52bffb572caa,n390,24
n4911bd230bc9637f,n391,24
n9f3eac3a2c90b114,n392,24
n105417332410faf1,n393,25
nff0f460eaa199960,n394,25
nfb922ba9cb77ae99,n395,25
neb133099a854529d,n396,25
nf0640e07b28524aa,n397,25
nb28fa4fdeb4fd548,n398,25
n999f07fe3be43c27,n399,25
n3fa0446ff2ef06bc,n400,25
n325bacf413292693,n401,25
nac987568401373d5,n402,25
ndad6d6981eb49d52,n403,25
