element_id,original_id,tag,carrier,host_or_staff
ncc422f2fb5743704--staccatissimo--1,,staccatissimo,derive,ncc422f2fb5743704
ncc422f2fb5743704--staccato--1,,staccato,derive,ncc422f2fb5743704
nf9c36ed43c36a3c9--staccatissimo--1,,staccatissimo,derive,nf9c36ed43c36a3c9
nf9c36ed43c36a3c9--staccato--1,,staccato,derive,nf9c36ed43c36a3c9
ec801a7cfc22052eb,md-1-1-1-1,words,md,1
e031f3c4183f5c685,md-1-1-1-2,words,md,1
ed4a848151bb4e086,md-1-1-1-3,words,md,1
e6862ca45a6b63264,md-1-1-2-1,dynamics,md,2
n0a860a6189654d9a--slur--start--1,n114--slur--start--1,slur,stamp,n0a860a6189654d9a
n9029cb70ba2abf03--slur--stop--1,n116--slur--stop--1,slur,stamp,n9029cb70ba2abf03
e14d2ea0e9ad78ec9,md-1-5-1-1,octave-shift,md,1
n705005c222bdd90e--slur--start--1,n132--slur--start--1,slur,stamp,n705005c222bdd90e
nd1d69234d7858570--slur--stop--1,n134--slur--stop--1,slur,stamp,nd1d69234d7858570
e4db972bba4397b1e,md-1-6-1-1,octave-shift,md,1
n72e3589e0fecafd0--slur--start--1,n150--slur--start--1,slur,stamp,n72e3589e0fecafd0
n8d08c7d3cc21c728--slur--stop--1,n152--slur--stop--1,slur,stamp,n8d08c7d3cc21c728
ned896709ec2a8a43--slur--start--1,n168--slur--start--1,slur,stamp,ned896709ec2a8a43
n4c3d4ccfc9853b78--slur--stop--1,n170--slur--stop--1,slur,stamp,n4c3d4ccfc9853b78
nbaee127878ae1c0a--staccatissimo--1,,staccatissimo,derive,nbaee127878ae1c0a
nbaee127878ae1c0a--staccato--1,,staccato,derive,nbaee127878ae1c0a
n51d3c5bae0e577ed--slur--start--1,n177--slur--start--1,slur,stamp,n51d3c5bae0e577ed
n46a269ae35887ac3--slur--stop--1,n178--slur--stop--1,slur,stamp,n46a269ae35887ac3
ncb1e819d67b158f2--slur--start--1,n179--slur--start--1,slur,stamp,ncb1e819d67b158f2
na096a04eecbb55a0--slur--stop--1,n180--slur--stop--1,slur,stamp,na096a04eecbb55a0
n8466ce8f3cac6930--slur--start--1,n181--slur--start--1,slur,stamp,n8466ce8f3cac6930
n60cb018db2d7e589--slur--stop--1,n182--slur--stop--1,slur,stamp,n60cb018db2d7e589
nb569080fee785f8f--slur--start--1,n183--slur--start--1,slur,stamp,nb569080fee785f8f
n15617c5cec6c5c7f--slur--stop--1,n184--slur--stop--1,slur,stamp,n15617c5cec6c5c7f
n169dd33ee161d9c9--slur--start--1,n185--slur--start--1,slur,stamp,n169dd33ee161d9c9
n893ca967398c7141--slur--stop--1,n186--slur--stop--1,slur,stamp,n893ca967398c7141
n4fea9145b4f4568f--staccatissimo--1,,staccatissimo,derive,n4fea9145b4f4568f
n4fea9145b4f4568f--staccato--1,,staccato,derive,n4fea9145b4f4568f
ndf41a8a09f086ed8--staccatissimo--1,,staccatissimo,derive,ndf41a8a09f086ed8
ndf41a8a09f086ed8--staccato--1,,staccato,derive,ndf41a8a09f086ed8
nb4e4f34616a352ea--staccatissimo--1,,staccatissimo,derive,nb4e4f34616a352ea
nb4e4f34616a352ea--staccato--1,,staccato,derive,nb4e4f34616a352ea
nb1fb49d4ed20fb1c--staccatissimo--1,,staccatissimo,derive,nb1fb49d4ed20fb1c
nb1fb49d4ed20fb1c--staccato--1,,staccato,derive,nb1fb49d4ed20fb1c
n5afedc2f6d1f7e22--staccatissimo--1,,staccatissimo,derive,n5afedc2f6d1f7e22
n5afedc2f6d1f7e22--staccato--1,,staccato,derive,n5afedc2f6d1f7e22
n8931ba20cda123f7--staccatissimo--1,,staccatissimo,derive,n8931ba20cda123f7
n8931ba20cda123f7--staccato--1,,staccato,derive,n8931ba20cda123f7
e8c84c15553367c4d,md-1-9-1-1,dynamics,md,1
n3dd9563b4deda845--slur--start--1,n196--slur--start--1,slur,stamp,n3dd9563b4deda845
n84b1443f6c07d288--slur--stop--1,n197--slur--stop--1,slur,stamp,n84b1443f6c07d288
nbb2c1a435bee790d--slur--start--1,n198--slur--start--1,slur,stamp,nbb2c1a435bee790d
nf3f9c90accca91bf--slur--stop--1,n199--slur--stop--1,slur,stamp,nf3f9c90accca91bf
n7d6df77273f7ed72--slur--start--1,n200--slur--start--1,slur,stamp,n7d6df77273f7ed72
naa3e9ceb583215f2--slur--stop--1,n201--slur--stop--1,slur,stamp,naa3e9ceb583215f2
na191b98399e47a93--slur--start--1,n202--slur--start--1,slur,stamp,na191b98399e47a93
ne393ca86fcfdbb1a--slur--stop--1,n203--slur--stop--1,slur,stamp,ne393ca86fcfdbb1a
n7a8415db29ed547a--slur--start--1,n204--slur--start--1,slur,stamp,n7a8415db29ed547a
n2e133cbccdd29431--slur--stop--1,n205--slur--stop--1,slur,stamp,n2e133cbccdd29431
n7301872cedd555b3--slur--start--1,n206--slur--start--1,slur,stamp,n7301872cedd555b3
nc828deb3f827eba6--slur--stop--1,n207--slur--stop--1,slur,stamp,nc828deb3f827eba6
n7fb301b36868524e--staccatissimo--1,,staccatissimo,derive,n7fb301b36868524e
n7fb301b36868524e--staccato--1,,staccato,derive,n7fb301b36868524e
n8a75517bbac66ddc--staccatissimo--1,,staccatissimo,derive,n8a75517bbac66ddc
n8a75517bbac66ddc--staccato--1,,staccato,derive,n8a75517bbac66ddc
na4b0c4d2aa75e096--slur--start--1,n218--slur--start--1,slur,stamp,na4b0c4d2aa75e096
ne3cc48f2efdfc918--slur--stop--1,n223--slur--stop--1,slur,stamp,ne3cc48f2efdfc918
ee103ce4400da52f6,md-1-11-2-1,dynamics,md,2
nd6cc8de7b6b98bd0--slur--start--1,n233--slur--start--1,slur,stamp,nd6cc8de7b6b98bd0
n1cf0908f6d76bfad--slur--stop--1,n235--slur--stop--1,slur,stamp,n1cf0908f6d76bfad
n3d5211c2724028fe--slur--start--1,n236--slur--start--1,slur,stamp,n3d5211c2724028fe
ne0df515dddf4eca5--slur--stop--1,n238--slur--stop--1,slur,stamp,ne0df515dddf4eca5
efe1f30272bdaa13f,md-1-12-1-1,wedge,md,1
nedaa4eec071a03b1--slur--start--1,n248--slur--start--1,slur,stamp,nedaa4eec071a03b1
