element_id,original_id,tag,carrier,host_or_staff
md-1-0-1-1,,dynamics,md,1
md-1-0-1-2,,words,md,1
md-1-0-1-3,,words,md,1
md-1-2-1-1,,dynamics,md,1
n37--slur--start--1,,slur,stamp,n37
n37--staccato--1,,staccato,derive,n37
n39--slur--start--1,,slur,stamp,n39
n41--slur--stop--1,,slur,stamp,n41
n43--slur--start--1,,slur,stamp,n43
n43--staccato--1,,staccato,derive,n43
n45--slur--stop--1,,slur,stamp,n45
n45--staccato--1,,staccato,derive,n45
n53--slur--stop--1,,slur,stamp,n53
n53--staccato--1,,staccato,derive,n53
md-1-4-1-1,,dynamics,md,1
n59--slur--start--1,,slur,stamp,n59
n60--slur--stop--1,,slur,stamp,n60
md-1-6-1-1,,dynamics,md,1
n84--slur--start--1,,slur,stamp,n84
n86--slur--stop--1,,slur,stamp,n86
n87--slur--start--1,,slur,stamp,n87
n87--staccato--1,,staccato,derive,n87
n89--slur--start--1,,slur,stamp,n89
n91--slur--stop--1,,slur,stamp,n91
n93--slur--start--1,,slur,stamp,n93
n93--staccato--1,,staccato,derive,n93
n95--slur--stop--1,,slur,stamp,n95
n98--tie--1,,tie,derive,n98
n98--tied--start--1,,tied,stamp,n98
n99--slur--stop--1,,slur,stamp,n99
n99--staccato--1,,staccato,derive,n99
n103--tie--1,,tie,derive,n103
n103--tied--stop--1,,tied,stamp,n103
n103--slur--start--1,,slur,stamp,n103
n107--tie--1,,tie,derive,n107
n107--tied--start--1,,tied,stamp,n107
n109--tie--1,,tie,derive,n109
n109--tied--start--1,,tied,stamp,n109
n111--slur--stop--1,,slur,stamp,n111
n112--tie--1,,tie,derive,n112
n112--tied--start--1,,tied,stamp,n112
n113--tie--1,,tie,derive,n113
n113--tied--stop--1,,tied,stamp,n113
n114--tie--1,,tie,derive,n114
n114--tied--start--1,,tied,stamp,n114
n116--tie--1,,tie,derive,n116
n116--tied--stop--1,,tied,stamp,n116
n117--slur--start--1,,slur,stamp,n117
n118--tie--1,,tie,derive,n118
n118--tied--stop--1,,tied,stamp,n118
n118--slur--start--1,,slur,stamp,n118
n119--slur--stop--1,,slur,stamp,n119
n120--tie--1,,tie,derive,n120
n120--tied--start--1,,tied,stamp,n120
n121--tie--1,,tie,derive,n121
n121--tied--stop--1,,tied,stamp,n121
n122--slur--start--1,,slur,stamp,n122
n123--slur--stop--1,,slur,stamp,n123
n124--tie--1,,tie,derive,n124
n124--tied--stop--1,,tied,stamp,n124
n124--slur--start--1,,slur,stamp,n124
n125--slur--stop--1,,slur,stamp,n125
n126--tie--1,,tie,derive,n126
n126--tied--start--1,,tied,stamp,n126
n129--tie--1,,tie,derive,n129
n129--tied--stop--1,,tied,stamp,n129
n129--slur--start--1,,slur,stamp,n129
n130--slur--stop--1,,slur,stamp,n130
n131--tie--1,,tie,derive,n131
n131--tied--start--1,,tied,stamp,n131
md-1-13-1-1,,dynamics,md,1
n134--tie--1,,tie,derive,n134
n134--tied--stop--1,,tied,stamp,n134
n134--slur--start--1,,slur,stamp,n134
n135--slur--stop--1,,slur,stamp,n135
n136--tie--1,,tie,derive,n136
n136--tied--start--1,,tied,stamp,n136
n138--tie--1,,tie,derive,n138
n138--tied--start--1,,tied,stamp,n138
n138--slur--stop--1,,slur,stamp,n138
n139--tie--1,,tie,derive,n139
n139--tied--stop--1,,tied,stamp,n139
n139--slur--start--1,,slur,stamp,n139
n141--slur--stop--1,,slur,stamp,n141
n143--tie--1,,tie,derive,n143
n143--tied--stop--1,,tied,stamp,n143
md-1-15-1-1,,words,md,1
md-1-15-2-1,,dynamics,md,2
n144--fermata--upright--1,,fermata,stamp,n144
n146--tie--1,,tie,derive,n146
n146--tied--start--1,,tied,stamp,n146
n147--tie--1,,tie,derive,n147
n147--tied--start--1,,tied,stamp,n147
n148--fermata--inverted--1,,fermata,stamp,n148
md-1-16-1-1,,words,md,1
md-1-16-1-2,,wedge,md,1
n151--tie--1,,tie,derive,n151
n151--tied--stop--1,,tied,stamp,n151
n151--slur--start--1,,slur,stamp,n151
n152--tie--1,,tie,derive,n152
n152--tied--stop--1,,tied,stamp,n152
n155--slur--stop--1,,slur,stamp,n155
n158--tie--1,,tie,derive,n158
n158--tied--start--1,,tied,stamp,n158
n166--tie--1,,tie,derive,n166
n166--tied--stop--1,,tied,stamp,n166
md-1-18-1-1,,wedge,md,1
n169--slur--start--1,,slur,stamp,n169
md-1-19-1-1,,wedge,md,1
n177--slur--stop--1,,slur,stamp,n177
n178--tie--1,,tie,derive,n178
n178--tied--start--1,,tied,stamp,n178
n179--tie--1,,tie,derive,n179
n179--tied--start--1,,tied,stamp,n179
n180--slur--start--1,,slur,stamp,n180
n182--slur--stop--1,,slur,stamp,n182
md-1-20-1-1,,wedge,md,1
md-1-20-1-2,,wedge,md,1
n184--tie--1,,tie,derive,n184
n184--tied--stop--1,,tied,stamp,n184
n184--slur--start--1,,slur,stamp,n184
n185--tie--1,,tie,derive,n185
n185--tied--stop--1,,tied,stamp,n185
n188--slur--stop--1,,slur,stamp,n188
md-1-21-1-1,,wedge,md,1
md-1-22-1-1,,dynamics,md,1
n202--slur--start--1,,slur,stamp,n202
md-1-23-1-1,,words,md,1
n210--slur--stop--1,,slur,stamp,n210
n212--fermata--upright--1,,fermata,stamp,n212
n217--fermata--upright--1,,fermata,stamp,n217
md-1-24-1-1,,dynamics,md,1
md-1-24-1-2,,words,md,1
md-1-28-1-1,,dynamics,md,1
md-1-29-1-1,,dynamics,md,1
n278--tuplet--start--1,,tuplet,stamp,n278
n283--tuplet--stop--1,,tuplet,stamp,n283
n284--tuplet--start--1,,tuplet,stamp,n284
n288--tuplet--stop--1,,tuplet,stamp,n288
md-1-33-1-1,,dynamics,md,1
n341--tuplet--start--1,,tuplet,stamp,n341
n346--tuplet--stop--1,,tuplet,stamp,n346
n347--tuplet--start--1,,tuplet,stamp,n347
n351--tuplet--stop--1,,tuplet,stamp,n351
md-1-36-1-1,,dynamics,md,1
n368--slur--start--1,,slur,stamp,n368
n375--tie--1,,tie,derive,n375
n375--tied--start--1,,tied,stamp,n375
n380--tuplet--start--1,,tuplet,stamp,n380
n382--tuplet--stop--1,,tuplet,stamp,n382
n383--slur--stop--1,,slur,stamp,n383
n384--tie--1,,tie,derive,n384
n384--tied--stop--1,,tied,stamp,n384
n387--tie--1,,tie,derive,n387
n387--tied--start--1,,tied,stamp,n387
n391--tie--1,,tie,derive,n391
n391--tied--stop--1,,tied,stamp,n391
n414--slur--start--1,,slur,stamp,n414
n416--tie--1,,tie,derive,n416
n416--tied--start--1,,tied,stamp,n416
n417--tie--1,,tie,derive,n417
n417--tied--start--1,,tied,stamp,n417
n418--slur--start--1,,slur,stamp,n418
n420--tie--1,,tie,derive,n420
n420--tied--start--1,,tied,stamp,n420
n421--tie--1,,tie,derive,n421
n421--tied--start--1,,tied,stamp,n421
n422--tie--1,,tie,derive,n422
n422--tied--start--1,,tied,stamp,n422
md-1-43-1-1,,dynamics,md,1
n425--tie--1,,tie,derive,n425
n425--tied--stop--1,,tied,stamp,n425
n426--tie--1,,tie,derive,n426
n426--tied--stop--1,,tied,stamp,n426
n430--slur--stop--1,,slur,stamp,n430
n431--tie--1,,tie,derive,n431
n431--tied--stop--1,,tied,stamp,n431
n432--tie--1,,tie,derive,n432
n432--tied--stop--1,,tied,stamp,n432
n433--tie--1,,tie,derive,n433
n433--tied--stop--1,,tied,stamp,n433
n437--slur--stop--1,,slur,stamp,n437
md-1-45-1-1,,dynamics,md,1
md-1-45-2-1,,dynamics,md,2
md-1-46-1-1,,dynamics,md,1
md-1-46-2-1,,dynamics,md,2
md-1-51-1-1,,dynamics,md,1
md-1-52-1-1,,dynamics,md,1
n614--staccatissimo--1,,staccatissimo,derive,n614
n619--staccatissimo--1,,staccatissimo,derive,n619
md-1-53-2-1,,dynamics,md,2
md-1-54-1-1,,words,md,1
md-1-54-1-2,,dynamics,md,1
n722--slur--start--1,,slur,stamp,n722
n722--slur--start--2,,slur,stamp,n722
n724--tie--1,,tie,derive,n724
n724--tied--start--1,,tied,stamp,n724
n724--slur--stop--1,,slur,stamp,n724
n724--slur--stop--2,,slur,stamp,n724
n725--tie--1,,tie,derive,n725
n725--tied--start--1,,tied,stamp,n725
md-1-55-1-1,,dynamics,md,1
md-1-55-1-2,,words,md,1
n738--tie--1,,tie,derive,n738
n738--tied--stop--1,,tied,stamp,n738
n739--tie--1,,tie,derive,n739
