note_id,original_id,bar,voice,staff,ordinal
mn-0-1-1-0,n1,0,1,1,0
mn-0-1-1-1,n2,0,1,1,1
mn-0-2-1-0,n3,0,2,1,0
mn-0-2-1-1,n4,0,2,1,1
mn-0-5-2-0,n5,0,5,2,0
mn-0-5-2-1,n6,0,5,2,1
mn-1-1-1-0,n9,1,1,1,0
mn-1-1-1-1,n10,1,1,1,1
mn-1-1-1-2,n11,1,1,1,2
mn-1-1-1-3,n12,1,1,1,3
mn-1-2-1-0,n13,1,2,1,0
mn-1-2-1-1,n14,1,2,1,1
mn-1-2-2-0,n15,1,2,2,0
mn-1-2-2-1,n16,1,2,2,1
mn-1-2-1-2,n17,1,2,1,2
mn-1-2-1-3,n18,1,2,1,3
mn-1-5-2-0,n19,1,5,2,0
mn-1-5-2-1,n21,1,5,2,1
mn-1-5-2-2,n22,1,5,2,2
mn-2-1-1-0,n29,2,1,1,0
mn-2-1-1-1,n30,2,1,1,1
mn-2-1-1-2,n31,2,1,1,2
mn-2-1-1-3,n32,2,1,1,3
mn-2-2-1-0,n33,2,2,1,0
mn-2-2-1-1,n34,2,2,1,1
mn-2-5-2-0,n35,2,5,2,0
mn-2-5-2-1,n36,2,5,2,1
mn-2-5-2-2,n37,2,5,2,2
mn-2-5-2-3,n38,2,5,2,3
mn-2-5-2-4,n39,2,5,2,4
mn-2-5-2-5,n40,2,5,2,5
mn-3-1-1-0,n41,3,1,1,0
mn-3-1-1-1,n42,3,1,1,1
mn-3-1-1-2,n43,3,1,1,2
mn-3-1-1-3,n44,3,1,1,3
mn-3-2-1-0,n45,3,2,1,0
mn-3-2-1-1,n46,3,2,1,1
mn-3-2-1-2,n47,3,2,1,2
mn-3-2-1-3,n48,3,2,1,3
mn-3-2-1-4,n49,3,2,1,4
mn-3-5-2-0,n50,3,5,2,0
mn-3-5-2-1,n51,3,5,2,1
mn-3-5-2-2,n52,3,5,2,2
mn-3-5-2-3,n53,3,5,2,3
mn-3-5-2-4,n54,3,5,2,4
mn-3-5-2-5,n55,3,5,2,5
mn-3-5-2-6,n56,3,5,2,6
mn-3-5-2-7,n57,3,5,2,7
mn-3-5-2-8,n58,3,5,2,8
mn-4-1-1-0,n59,4,1,1,0
mn-4-1-1-1,n60,4,1,1,1
mn-4-1-1-2,n61,4,1,1,2
mn-4-1-1-3,n62,4,1,1,3
mn-4-2-1-0,n63,4,2,1,0
mn-4-2-1-1,n64,4,2,1,1
mn-4-2-1-2,n65,4,2,1,2
mn-4-5-2-0,n66,4,5,2,0
mn-4-5-2-1,n67,4,5,2,1
mn-4-5-2-2,n68,4,5,2,2
mn-4-5-2-3,n69,4,5,2,3
mn-4-5-2-4,n70,4,5,2,4
mn-4-6-2-0,n72,4,6,2,0
mn-4-6-2-1,n73,4,6,2,1
