element_id,tag,carrier,host_or_staff
md-1-0-1-1,words,md,1
md-1-0-1-2,dynamics,md,1
md-1-2-1-1,wedge,md,1
md-1-2-1-2,wedge,md,1
md-1-3-1-1,wedge,md,1
md-1-3-1-2,wedge,md,1
mn-1-9-1-1-2--tied--start--1,tied,stamp,mn-1-9-1-1-2
mn-1-9-2-1-5--tied--start--1,tied,stamp,mn-1-9-2-1-5
mn-1-9-2-1-6--tied--start--1,tied,stamp,mn-1-9-2-1-6
mn-1-10-1-1-1--tied--stop--1,tied,stamp,mn-1-10-1-1-1
mn-1-10-2-1-1--tied--stop--1,tied,stamp,mn-1-10-2-1-1
mn-1-10-2-1-2--tied--stop--1,tied,stamp,mn-1-10-2-1-2
mn-1-17-1-1-2--tied--start--1,tied,stamp,mn-1-17-1-1-2
mn-1-18-1-1-2--tied--stop--1,tied,stamp,mn-1-18-1-1-2
mn-1-18-1-1-7--arpeggiate--1,arpeggiate,stamp,mn-1-18-1-1-7
mn-1-18-1-1-8--arpeggiate--1,arpeggiate,stamp,mn-1-18-1-1-8
mn-1-18-1-1-9--arpeggiate--1,arpeggiate,stamp,mn-1-18-1-1-9
md-1-19-2-1,wedge,md,2
md-1-19-2-2,wedge,md,2
mn-1-20-1-1-7--arpeggiate--1,arpeggiate,stamp,mn-1-20-1-1-7
mn-1-20-1-1-8--arpeggiate--1,arpeggiate,stamp,mn-1-20-1-1-8
mn-1-20-1-1-9--arpeggiate--1,arpeggiate,stamp,mn-1-20-1-1-9
md-1-20-1-1,wedge,md,1
md-1-20-1-2,wedge,md,1
md-1-21-1-1,dynamics,md,1
mn-1-33-1-1-1--tied--start--1,tied,stamp,mn-1-33-1-1-1
mn-1-33-1-1-2--tied--stop--1,tied,stamp,mn-1-33-1-1-2
md-1-34-1-1,wedge,md,1
md-1-35-1-1,wedge,md,1
md-1-36-1-1,wedge,md,1
md-1-36-1-2,wedge,md,1
mn-1-40-1-1-1--arpeggiate--1,arpeggiate,stamp,mn-1-40-1-1-1
mn-1-40-1-1-2--arpeggiate--1,arpeggiate,stamp,mn-1-40-1-1-2
mn-1-40-1-1-3--arpeggiate--1,arpeggiate,stamp,mn-1-40-1-1-3
mn-1-45-1-2-1--tuplet--start--1,tuplet,stamp,mn-1-45-1-2-1
mn-1-45-1-2-1--tied--start--1,tied,stamp,mn-1-45-1-2-1
mn-1-45-1-1-2--tied--start--1,tied,stamp,mn-1-45-1-1-2
mn-1-45-1-1-3--tied--start--1,tied,stamp,mn-1-45-1-1-3
mn-1-45-1-1-3--tuplet--stop--1,tuplet,stamp,mn-1-45-1-1-3
mn-1-45-1-1-4--tuplet--start--1,tuplet,stamp,mn-1-45-1-1-4
mn-1-45-1-1-6--tuplet--stop--1,tuplet,stamp,mn-1-45-1-1-6
mn-1-45-1-1-7--tuplet--start--1,tuplet,stamp,mn-1-45-1-1-7
mn-1-45-1-1-9--tuplet--stop--1,tuplet,stamp,mn-1-45-1-1-9
mn-1-45-2-1-4--tied--stop--1,tied,stamp,mn-1-45-2-1-4
mn-1-45-5-2-2--tied--start--1,tied,stamp,mn-1-45-5-2-2
mn-1-45-5-2-3--tied--start--1,tied,stamp,mn-1-45-5-2-3
mn-1-45-5-2-4--tied--start--1,tied,stamp,mn-1-45-5-2-4
mn-1-45-5-2-5--tied--stop--1,tied,stamp,mn-1-45-5-2-5
mn-1-45-5-2-6--tied--stop--1,tied,stamp,mn-1-45-5-2-6
mn-1-45-5-2-7--tied--stop--1,tied,stamp,mn-1-45-5-2-7
mn-1-46-1-1-1--accent--1,accent,derive,mn-1-46-1-1-1
mn-1-46-1-1-11--tied--stop--1,tied,stamp,mn-1-46-1-1-11
mn-1-46-1-1-14--tied--stop--1,tied,stamp,mn-1-46-1-1-14
mn-1-46-5-2-1--accent--1,accent,derive,mn-1-46-5-2-1
mn-1-46-5-2-8--tied--start--1,tied,stamp,mn-1-46-5-2-8
md-1-46-1-1,words,md,1
md-1-46-1-2,octave-shift,md,1
md-1-46-1-3,wedge,md,1
md-1-46-1-4,octave-shift,md,1
md-1-46-1-5,wedge,md,1
md-1-46-2-1,dynamics,md,2
mn-1-47-1-1-17--staccato--1,staccato,derive,mn-1-47-1-1-17
md-1-47-2-1,wedge,md,2
md-1-47-2-2,wedge,md,2
mn-1-48-1-1-1--accent--1,accent,derive,mn-1-48-1-1-1
mn-1-48-5-2-1--accent--1,accent,derive,mn-1-48-5-2-1
md-1-48-1-1,wedge,md,1
md-1-48-1-2,wedge,md,1
mn-1-49-1-1-17--staccato--1,staccato,derive,mn-1-49-1-1-17
mn-1-50-5-2-10--tied--stop--1,tied,stamp,mn-1-50-5-2-10
md-1-50-1-1,octave-shift,md,1
md-1-50-1-2,octave-shift,md,1
md-1-50-2-1,wedge,md,2
md-1-51-2-1,wedge,md,2
mn-1-52-5-2-7--tied--start--1,tied,stamp,mn-1-52-5-2-7
mn-1-52-5-2-8--tied--start--1,tied,stamp,mn-1-52-5-2-8
md-1-52-2-1,wedge,md,2
md-1-52-2-2,wedge,md,2
mn-1-53-1-2-5--staccato--1,staccato,derive,mn-1-53-1-2-5
mn-1-53-5-2-1--tied--stop--1,tied,stamp,mn-1-53-5-2-1
mn-1-53-5-2-2--tied--stop--1,tied,stamp,mn-1-53-5-2-2
md-1-53-2-1,wedge,md,2
md-1-53-2-2,wedge,md,2
md-1-54-1-1,wedge,md,1
md-1-54-1-2,wedge,md,1
mn-1-55-1-1-17--staccato--1,staccato,derive,mn-1-55-1-1-17
md-1-55-1-1,wedge,md,1
md-1-55-1-2,wedge,md,1
md-1-56-1-1,wedge,md,1
md-1-56-1-2,wedge,md,1
mn-1-57-1-1-16--staccato--1,staccato,derive,mn-1-57-1-1-16
md-1-57-1-1,wedge,md,1
md-1-57-1-2,wedge,md,1
md-1-58-1-1,octave-shift,md,1
md-1-58-1-2,octave-shift,md,1
md-1-58-2-1,wedge,md,2
md-1-59-2-1,wedge,md,2
md-1-60-2-1,wedge,md,2
md-1-60-2-2,wedge,md,2
md-1-61-2-1,wedge,md,2
