element_id,original_id,tag,carrier,host_or_staff
n1--slur--start--1,,slur,stamp,n1
md-1-1-1-1,,words,md,1
md-1-1-1-2,,metronome,md,1
n15--slur--stop--1,,slur,stamp,n15
n17--slur--start--1,,slur,stamp,n17
n20--slur--stop--1,,slur,stamp,n20
n22--tie--1,,tie,derive,n22
n22--tied--start--1,,tied,stamp,n22
n24--slur--start--1,,slur,stamp,n24
n27--slur--stop--1,,slur,stamp,n27
n29--tie--1,,tie,derive,n29
n29--tie--2,,tie,derive,n29
n29--tied--stop--1,,tied,stamp,n29
n29--tied--start--2,,tied,stamp,n29
n35--slur--start--1,,slur,stamp,n35
n38--inverted-mordent--1,,inverted-mordent,derive,n38
n44--tie--1,,tie,derive,n44
n44--tied--stop--1,,tied,stamp,n44
n48--slur--stop--1,,slur,stamp,n48
n49--tie--1,,tie,derive,n49
n49--tied--start--1,,tied,stamp,n49
n50--tie--1,,tie,derive,n50
n50--tied--start--1,,tied,stamp,n50
n52--tie--1,,tie,derive,n52
n52--tied--stop--1,,tied,stamp,n52
n56--slur--start--1,,slur,stamp,n56
n62--tie--1,,tie,derive,n62
n62--tied--stop--1,,tied,stamp,n62
n66--tie--1,,tie,derive,n66
n66--tied--start--1,,tied,stamp,n66
n67--tie--1,,tie,derive,n67
n67--tied--start--1,,tied,stamp,n67
n68--tie--1,,tie,derive,n68
n68--tied--start--1,,tied,stamp,n68
n69--slur--stop--1,,slur,stamp,n69
n71--tie--1,,tie,derive,n71
n71--tied--start--1,,tied,stamp,n71
n72--tie--1,,tie,derive,n72
n72--tied--stop--1,,tied,stamp,n72
n73--tie--1,,tie,derive,n73
n73--tied--stop--1,,tied,stamp,n73
n74--tie--1,,tie,derive,n74
n74--tied--stop--1,,tied,stamp,n74
n75--slur--start--1,,slur,stamp,n75
n81--tie--1,,tie,derive,n81
n81--tie--2,,tie,derive,n81
n81--tied--stop--1,,tied,stamp,n81
n81--tied--start--2,,tied,stamp,n81
n82--tie--1,,tie,derive,n82
n82--tied--stop--1,,tied,stamp,n82
n83--slur--start--1,,slur,stamp,n83
md-1-7-1-1,,wedge,md,1
md-1-7-1-2,,wedge,md,1
n96--slur--stop--1,,slur,stamp,n96
n102--slur--stop--1,,slur,stamp,n102
md-1-8-1-1,,wedge,md,1
md-1-8-1-2,,wedge,md,1
n104--accent--1,,accent,derive,n104
n108--staccato--1,,staccato,derive,n108
n111--slur--start--1,,slur,stamp,n111
n114--slur--stop--1,,slur,stamp,n114
md-1-9-2-1,,pedal,md,2
md-1-9-2-2,,pedal,md,2
n118--accent--1,,accent,derive,n118
n122--slur--start--1,,slur,stamp,n122
n124--slur--stop--1,,slur,stamp,n124
n126--staccato--1,,staccato,derive,n126
n129--slur--start--1,,slur,stamp,n129
n132--slur--stop--1,,slur,stamp,n132
md-1-10-2-1,,pedal,md,2
md-1-10-2-2,,pedal,md,2
n138--slur--start--1,,slur,stamp,n138
n140--slur--stop--1,,slur,stamp,n140
n144--slur--start--1,,slur,stamp,n144
n146--slur--stop--1,,slur,stamp,n146
n148--staccato--1,,staccato,derive,n148
n151--slur--start--1,,slur,stamp,n151
n153--slur--stop--1,,slur,stamp,n153
md-1-11-2-1,,pedal,md,2
md-1-11-2-2,,pedal,md,2
n159--slur--start--1,,slur,stamp,n159
n161--slur--stop--1,,slur,stamp,n161
n165--slur--start--1,,slur,stamp,n165
n167--slur--stop--1,,slur,stamp,n167
n169--staccato--1,,staccato,derive,n169
n171--slur--start--1,,slur,stamp,n171
n174--slur--stop--1,,slur,stamp,n174
md-1-12-2-1,,pedal,md,2
md-1-12-2-2,,pedal,md,2
n178--accent--1,,accent,derive,n178
n182--staccato--1,,staccato,derive,n182
n185--slur--start--1,,slur,stamp,n185
n191--slur--stop--1,,slur,stamp,n191
md-1-13-2-1,,pedal,md,2
md-1-13-2-2,,pedal,md,2
n195--accent--1,,accent,derive,n195
n197--tuplet--start--1,,tuplet,stamp,n197
n198--slur--start--1,,slur,stamp,n198
n208--slur--stop--1,,slur,stamp,n208
n211--tuplet--stop--1,,tuplet,stamp,n211
n211--slur--start--1,,slur,stamp,n211
n213--staccato--1,,staccato,derive,n213
n216--slur--start--1,,slur,stamp,n216
n222--slur--stop--1,,slur,stamp,n222
md-1-14-1-1,,wedge,md,1
md-1-14-1-2,,wedge,md,1
md-1-14-2-1,,pedal,md,2
md-1-14-2-2,,pedal,md,2
n230--slur--stop--1,,slur,stamp,n230
n236--tie--1,,tie,derive,n236
n236--tied--start--1,,tied,stamp,n236
n237--tie--1,,tie,derive,n237
n237--tied--start--1,,tied,stamp,n237
n238--staccato--1,,staccato,derive,n238
n241--slur--start--1,,slur,stamp,n241
n243--slur--stop--1,,slur,stamp,n243
md-1-15-1-1,,wedge,md,1
md-1-15-1-2,,wedge,md,1
md-1-15-2-1,,pedal,md,2
md-1-15-2-2,,pedal,md,2
n247--tie--1,,tie,derive,n247
n247--tied--stop--1,,tied,stamp,n247
n248--tie--1,,tie,derive,n248
n248--tied--stop--1,,tied,stamp,n248
n257--tie--1,,tie,derive,n257
n257--tied--start--1,,tied,stamp,n257
n258--tie--1,,tie,derive,n258
n258--tied--start--1,,tied,stamp,n258
n259--staccato--1,,staccato,derive,n259
n261--slur--start--1,,slur,stamp,n261
n264--slur--stop--1,,slur,stamp,n264
md-1-16-2-1,,pedal,md,2
md-1-16-2-2,,pedal,md,2
n268--tie--1,,tie,derive,n268
n268--tied--stop--1,,tied,stamp,n268
n269--tie--1,,tie,derive,n269
n269--tied--stop--1,,tied,stamp,n269
n271--tie--1,,tie,derive,n271
n271--tied--start--1,,tied,stamp,n271
n272--tie--1,,tie,derive,n272
n272--tied--start--1,,tied,stamp,n272
n273--tie--1,,tie,derive,n273
n273--tied--stop--1,,tied,stamp,n273
n274--tie--1,,tie,derive,n274
n274--tied--stop--1,,tied,stamp,n274
n279--staccato--1,,staccato,derive,n279
n282--slur--start--1,,slur,stamp,n282
n285--slur--stop--1,,slur,stamp,n285
md-1-17-2-1,,pedal,md,2
md-1-17-2-2,,pedal,md,2
n290--slur--start--1,,slur,stamp,n290
n291--slur--stop--1,,slur,stamp,n291
n296--slur--start--1,,slur,stamp,n296
n302--staccato--1,,staccato,derive,n302
n305--slur--start--1,,slur,stamp,n305
n308--slur--stop--1,,slur,stamp,n308
md-1-18-2-1,,pedal,md,2
md-1-18-2-2,,pedal,md,2
n315--tie--1,,tie,derive,n315
n315--tied--start--1,,tied,stamp,n315
n316--tie--1,,tie,derive,n316
n316--tie--2,,tie,derive,n316
n316--tied--stop--1,,tied,stamp,n316
n316--tied--start--2,,tied,stamp,n316
n328--staccato--1,,staccato,derive,n328
n331--slur--start--1,,slur,stamp,n331
n333--slur--stop--1,,slur,stamp,n333
md-1-19-2-1,,pedal,md,2
md-1-19-2-2,,pedal,md,2
n336--tie--1,,tie,derive,n336
n336--tied--stop--1,,tied,stamp,n336
n336--slur--stop--1,,slur,stamp,n336
n337--slur--start--1,,slur,stamp,n337
n349--staccato--1,,staccato,derive,n349
n352--slur--start--1,,slur,stamp,n352
n354--slur--stop--1,,slur,stamp,n354
md-1-20-1-1,,wedge,md,1
md-1-20-1-2,,wedge,md,1
md-1-20-2-1,,pedal,md,2
md-1-20-2-2,,pedal,md,2
n357--slur--stop--1,,slur,stamp,n357
n364--tie--1,,tie,derive,n364
n364--tied--start--1,,tied,stamp,n364
n365--tie--1,,tie,derive,n365
