note_id,original_id,printed_bar
nd45456c8cdbba521,n1,1
n5396daff7c18861f,n2,1
nf2c25f1ec3d6b7c4,n3,1
n959cd48de6833768,n4,1
nd84dcc8f2d90ef79,n5,1
n1096700bcad72d3f,n6,1
n725c794615e1ee36,n7,1
n24e5337484594c1f,n8,1
n3d2df080f62134ff,n9,1
ne85b33e22b490242,n10,1
n241c1fd2dc0949b4,n11,1
n9a401707e951e004,n12,1
n18e8fbf7068b3841,r1,1
nc7618f5a5ec2527d,n13,1
n5007f5a121821191,n14,1
naecfcf696df8f5b7,n15,1
nc1dfcc5164340446,n16,1
n2b3d4eae700c8380,n17,1
na1e59900b5721954,n18,1
n5243892700411aee,n19,1
na3645d3416ff89ba,n20,1
neb0bf917eec4b01c,n21,1
nd74ca5506dac56ab,n22,1
nf09d7d4c36e3e0b1,n23,1
n414c0e4b21460ae2,n24,2
n28197d96aca33b1f,n25,2
nc79ec70d2f260877,n26,2
n6b1a6af4eadc2e96,n27,2
n0721d82278036238,n28,2
n8dc0dbbf4313e66a,n29,2
n2ae27891db7369fd,n30,2
n5dbe2435fda61943,n31,2
nddd1a51f1a5e2fc0,n32,2
nd37d5bc281a77dab,n33,2
nfe5843db95311008,n34,2
nece8095edeccbcc5,n35,2
nacdd960bf9777d40,n36,2
n0e110b1c079fbf0a,n37,2
nb8a90b900dcccff1,n38,2
n7d2942f2f8c429ed,n39,2
n862ec1d2d3e811c9,n40,2
n08e82d2516c17138,n41,2
nbc249c40b2f794aa,n42,2
n2d6c8e92ef1f5683,n43,2
ne34b91a4aba4e9e7,n44,2
nc2638925f8598bc5,n45,2
nd5bea92fefcc71e5,n46,2
n1f21bc43816ebe91,n47,2
nd34e7b69d44dbd2a,n48,2
n27c04b84239fe65f,n49,2
n703eaf3dd8965e29,n50,2
nae5acb0fb936e54b,n51,2
n1e8553b9f552fc17,n52,2
n48cd07c37a5cacb3,n53,2
nf3614271234a2925,n54,2
n3307e3b4fb652962,n55,2
n0bc7273135f431a4,n56,2
n4e6a42edf810a8b0,n57,2
n3100a6c2d3e2c25e,n58,2
nc5b7f78b4de87091,n59,2
nc9ab893fa194070a,n60,2
n45e149f530fe9a07,n61,2
n3243efe2c2fb6ad1,n62,2
nc88250e519aa6e23,n63,3
n2eaf2b7ab65cc56d,n64,3
n137ca70f147c10d9,n65,3
n30d5c02be3943898,n66,3
nda66e966a095160d,n67,3
n881d1f9bdee7d909,n68,3
nb9d4efcfb568b175,n69,3
n197316d9ca7c3d22,n70,3
ne99a645ae94e3f8f,n71,3
nda9c81dff4130144,n72,3
n00ae3244b4342461,n73,3
nc65c2799e01088c3,n74,3
nf4ec4b119a810114,n75,3
n3977514d99d3e38e,n76,3
n9dfc84d34b61db1e,n77,3
n27d8f43e22eb1365,n78,3
nf5ec99e7f6b7f682,n79,3
n434eec59379ae802,n80,3
nb707619aa4eefbe7,n81,3
na4b51eb1a35860ad,n82,3
n9d1e9281c26cac2a,n83,3
n3df4bbfdfd0996ca,n84,3
n33ac53732abd9bc6,n85,3
neb3497b82b5e94ff,n86,3
n390799c25c3127c8,n87,3
ncdf304b4b3a5c889,n88,3
nf383c6f5c9f792b9,n89,3
n4201e76e647a0cdb,n90,3
nd4bab33ccde01131,n91,3
nabd15ce13c1a7fe1,n92,3
n4d2c98be2715feb4,n93,3
nd48b0f03ad67ab5f,n94,3
nf025b3d15c3d37a2,n95,3
n7b0944f85b6ae788,n96,3
nd0054b623f3ca66c,n97,3
n33b247b096069358,n98,3
n5d21e103951cfea7,n99,3
nd83a61984cd2c755,n100,4
n9ce9eee6e33382d0,n101,4
necff1b4fbaf526f4,n102,4
nb3f0b21adc0fde12,n103,4
n15d8509c7a71e444,n104,4
n139a0d45133084bf,n105,4
nc12928a02a840699,n106,4
n42379d96a0669bf3,n107,4
n6ffbf99070734cca,n108,4
nf5f4944c562e032c,n109,4
n1ac2115003d06e61,n110,4
ne675073df28de35e,n111,4
nea767e88e6bf213e,n112,4
n5e6880f1b15e9021,n113,4
nb52234e10df4f434,n114,4
nd078c6f618390c29,n115,4
n8a463a1434dbdb04,n116,4
n98143cb429541f18,n117,4
n7363601677880d1c,n118,4
ncd1e27def03e799e,n119,4
n9f4632afc1ed75e4,n120,4
n6bb6d96a6b050594,n121,4
nf2f9b5de3c730651,n122,4
n72c861994f171bba,n123,4
n712147236f8adfd5,n124,4
n2586dedae0fef2c7,n125,4
n9812f4fbccb14821,n126,4
n61bae57e0f53c3ac,n127,4
nb70c056a4ed10f4d,n128,4
n5bf43c61d177673a,n129,4
n204885f279c81fc3,n130,4
n955dc55dd9f9e96a,n131,4
n4cd6189d3ca8e6c3,n132,4
n04abac43911a6cea,n133,4
n29a01065cfdd7116,n134,4
n4f860bdbc3b79009,n135,4
n3d3cadd8ff061ded,n136,4
nc213c7086e95cb4e,n137,4
n29ac8cd04a4e08ca,n138,4
n5a383ad6e2cde764,n139,4
n86c39bdc4919f358,n140,5
n3699651ec15131f7,n141,5
n5961a0e2bc33b803,n142,5
n32e6627179c929f0,n143,5
nf2abbcebf96f3711,n144,5
nee21c59c2e295c0c,n145,5
n4ab873a0615bf21d,n146,5
n71c66cb27ce85586,n147,5
n5019d099246ce032,n148,5
n079bc461406f6e94,n149,5
n2e7266880edb2054,n150,5
n90e7e95aabce685b,n151,5
n1c090eadc68d00c1,n152,5
nd8452557ed7bca0f,n153,5
n8834a7b2b5991dfb,n154,5
n6649a94cc00d9fff,n155,5
n7dff0ac44fe485f0,n156,5
n9df0f250d3fe9723,n157,5
n65b33cc5ab91807e,n158,5
n2395f923c740d2a1,n159,5
n6095f3555155870d,n160,5
