element_id,original_id,tag,carrier,host_or_staff
n0a348102b16c5e62--tie--1,,tie,derive,n0a348102b16c5e62
n0a348102b16c5e62--tied--start--1,n4--tied--start--1,tied,stamp,n0a348102b16c5e62
n0a348102b16c5e62--slur--start--1,n4--slur--start--1,slur,stamp,n0a348102b16c5e62
n5396daff7c18861f--tie--1,,tie,derive,n5396daff7c18861f
n5396daff7c18861f--tied--stop--1,n5--tied--stop--1,tied,stamp,n5396daff7c18861f
nd4cab858cfc23d26--tie--1,,tie,derive,nd4cab858cfc23d26
nd4cab858cfc23d26--tied--start--1,n8--tied--start--1,tied,stamp,nd4cab858cfc23d26
ne6192e69cd1ab63c--tie--1,,tie,derive,ne6192e69cd1ab63c
ne6192e69cd1ab63c--tied--stop--1,n9--tied--stop--1,tied,stamp,ne6192e69cd1ab63c
n2b964d756c5c2acc--accent--1,,accent,derive,n2b964d756c5c2acc
nc813014aa9a8437f--tie--1,,tie,derive,nc813014aa9a8437f
nc813014aa9a8437f--tied--start--1,n17--tied--start--1,tied,stamp,nc813014aa9a8437f
nc813014aa9a8437f--slur--start--1,n17--slur--start--1,slur,stamp,nc813014aa9a8437f
n614ff22c485f8bfb--tie--1,,tie,derive,n614ff22c485f8bfb
n614ff22c485f8bfb--tied--stop--1,n18--tied--stop--1,tied,stamp,n614ff22c485f8bfb
e294193b4a3b910de,md-1-1-1-1,words,md,1
e6862ca45a6b63264,md-1-1-1-2,dynamics,md,1
eb3549a07ae85fb83,md-1-1-2-1,dynamics,md,2
e373c2089b7731a29,md-1-1-2-2,pedal,md,2
e9fd5227a78efb77a,md-1-1-2-3,pedal,md,2
nbd39e41640e59437--slur--stop--1,n49--slur--stop--1,slur,stamp,nbd39e41640e59437
nd6a11238dd07a143--slur--start--1,n50--slur--start--1,slur,stamp,nd6a11238dd07a143
nf3c9a6c245fff1f0--slur--stop--1,n52--slur--stop--1,slur,stamp,nf3c9a6c245fff1f0
n079073ec97053c48--slur--start--1,n53--slur--start--1,slur,stamp,n079073ec97053c48
n1c006e680abf880e--slur--stop--1,n55--slur--stop--1,slur,stamp,n1c006e680abf880e
nd483a37da882377e--slur--start--1,n56--slur--start--1,slur,stamp,nd483a37da882377e
n044300f0f22d8795--slur--stop--1,n58--slur--stop--1,slur,stamp,n044300f0f22d8795
ea5dabaecf29c23e7,md-1-2-1-1,dynamics,md,1
e18bba9cf3f5fdc13,md-1-2-1-2,pedal,md,1
e36d981f442441dfc,md-1-2-1-3,pedal,md,1
e2decb3fa4d9d8982,md-1-2-1-4,pedal,md,1
eaccf41cd92f43c97,md-1-2-1-5,pedal,md,1
e526e25464bb52655,md-1-2-1-6,pedal,md,1
e3aff5a8c0718b5cb,md-1-2-1-7,pedal,md,1
e33814da63726d524,md-1-2-1-8,pedal,md,1
n4f1d41d7018e0025--slur--stop--1,n64--slur--stop--1,slur,stamp,n4f1d41d7018e0025
n8f182582ef2ea5fe--slur--start--1,n72--slur--start--1,slur,stamp,n8f182582ef2ea5fe
