note_id,original_id,printed_bar
na3645d3416ff89ba,n1,1
nf32ac7ba4207450c,n2,1
n3a3b9243e850cad2,n3,1
n0a348102b16c5e62,n4,1
n5396daff7c18861f,n5,1
nce2eddd3aeb3b560,n6,1
n959cd48de6833768,n7,1
nd4cab858cfc23d26,n8,1
ne6192e69cd1ab63c,n9,1
n6a3220d107a42644,n10,1
n6cd9180f4f9614ad,n11,1
nd7c1eef36fe932b6,n12,1
n72c5580e1551c237,n13,1
n2b964d756c5c2acc,n14,1
na5d53073d1a8a37c,n15,1
n1f0c42452c7fba25,n16,1
nc813014aa9a8437f,n17,1
n614ff22c485f8bfb,n18,1
nd45456c8cdbba521,n19,1
nb1fe1d841d164a42,n20,1
n8c0d6d5220e7d215,n21,1
n14ecb9df1b5002df,n22,1
n2c07039cbd60ae7c,n23,1
nd37d5bc281a77dab,n24,2
n5b7cdfb52de4e931,n25,2
ncca7e9f01bb3b25a,n26,2
na28141497c71a380,n27,2
ndadee010ca21b35c,n28,2
n1edf2c6d4bd130ea,n29,2
nb5e20d607ebd9d72,n30,2
n94d6c75c752edf82,n31,2
n9dc7ea6a12092b33,n32,2
ndb1586fda4898687,n33,2
naebcba789a222154,n34,2
n89f7bdbe69423181,n35,2
n557f48be090d73aa,n36,2
n414c0e4b21460ae2,n37,2
nb5109c2dc92b023e,n38,2
n0b5a7998159eb881,n39,2
nddd1a51f1a5e2fc0,n40,2
nc79ec70d2f260877,n41,2
nc0b2702e89176dd8,n42,2
nd260bb5483a7fee5,n43,2
ne4d202453d9fc277,n44,2
n0721d82278036238,n45,2
ne1ce7806b6eb793c,n46,2
n2ae27891db7369fd,n47,2
n714ab8307dd69e96,n48,2
nbd39e41640e59437,n49,2
nd6a11238dd07a143,n50,2
n18b713c76abff066,n51,2
nf3c9a6c245fff1f0,n52,2
n079073ec97053c48,n53,2
n3307e3b4fb652962,n54,2
n1c006e680abf880e,n55,2
nd483a37da882377e,n56,2
n755ac5c42570da7d,n57,2
n044300f0f22d8795,n58,2
nad433949a7d46829,n59,3
n79bc37ecb91e5a0b,n60,3
nf4e4251512409f18,n61,3
n277703b6faab2817,n62,3
nc399f3c554e90a12,n63,3
n4f1d41d7018e0025,n64,3
n512a59b1101bcf55,n65,3
nb81cfd31ed846235,n66,3
n551b075bd26ef8cc,n67,3
nda66e966a095160d,n68,3
ndeb50bd9e3012acf,n69,3
n24390023981ddc31,n70,3
nc760298ca26086e4,n71,3
n8f182582ef2ea5fe,n72,3
n0a4ed5d30efbc111,n73,3
nb3a0ec32fc3be36e,n74,3
n89b3e5ac001107ec,n75,3
ncab6cf1d09fa827c,n76,3
na26a0d51ef719514,n77,3
n8036fcdcc61fb5c0,n78,3
n29ef039c2d685290,n79,4
n29df3d59f286fc1f,n80,4
nf651d163fb972a31,n81,4
nf5b4e3dab8e74d8c,n82,4
nf35542fc6ecb99b6,n83,4
n204885f279c81fc3,n84,4
n4e1e88548cd277ab,n85,4
n072b32894de6c352,n86,4
n0769f2e89e0b9cd6,n87,4
n04439590242acf59,n88,4
n1dbfed947110fda6,n89,4
