element_id,original_id,tag,carrier,host_or_staff
eb3798596bef0631f,md-1-1-1-1,words,md,1
e3abc2c7af74bcf7b,md-1-1-2-1,dynamics,md,2
edfd0a4483a8b2d14,md-1-3-1-1,dynamics,md,1
n24dfab8720f106b5--tie--1,,tie,derive,n24dfab8720f106b5
n24dfab8720f106b5--tied--start--1,n167--tied--start--1,tied,stamp,n24dfab8720f106b5
n4d30e3019b611f91--tie--1,,tie,derive,n4d30e3019b611f91
n4d30e3019b611f91--tied--stop--1,n168--tied--stop--1,tied,stamp,n4d30e3019b611f91
nd3de062272c0dac2--tie--1,,tie,derive,nd3de062272c0dac2
nd3de062272c0dac2--tied--start--1,n170--tied--start--1,tied,stamp,nd3de062272c0dac2
nf7b5ffd98647ec34--tie--1,,tie,derive,nf7b5ffd98647ec34
nf7b5ffd98647ec34--tied--stop--1,n182--tied--stop--1,tied,stamp,nf7b5ffd98647ec34
nae5732e74aba7e59--trill-mark--1,,trill-mark,derive,nae5732e74aba7e59
ef516c9a66f5da83b,md-1-19-1-1,dynamics,md,1
e07ce1c555f61f00a,md-1-21-1-1,wedge,md,1
ede95ae84c00baff2,md-1-21-1-2,octave-shift,md,1
e81034ae4f75c2085,md-1-21-1-3,wedge,md,1
ef8487ffcf8d171a1,md-1-22-1-1,wedge,md,1
e4ac4e5bc929082e1,md-1-22-1-2,wedge,md,1
e4421e56e1eaaba85,md-1-22-1-3,octave-shift,md,1
n5572d34bf24d9564--tuplet--start--1,n454--tuplet--start--1,tuplet,stamp,n5572d34bf24d9564
n5aaeea3e8e59ebf9--tuplet--stop--1,n458--tuplet--stop--1,tuplet,stamp,n5aaeea3e8e59ebf9
n38a1adc822c7a4d3--tuplet--start--1,n460--tuplet--start--1,tuplet,stamp,n38a1adc822c7a4d3
n8dfb24d1089a699f--tuplet--stop--1,n464--tuplet--stop--1,tuplet,stamp,n8dfb24d1089a699f
nda53670cc793ad27--tuplet--start--1,n466--tuplet--start--1,tuplet,stamp,nda53670cc793ad27
n38d8f7f5a2a13947--tuplet--stop--1,n476--tuplet--stop--1,tuplet,stamp,n38d8f7f5a2a13947
na873c06d670ead80--tuplet--start--1,n493--tuplet--start--1,tuplet,stamp,na873c06d670ead80
n0c8dfc886cbe5798--tuplet--stop--1,n507--tuplet--stop--1,tuplet,stamp,n0c8dfc886cbe5798
ncfbcb6fe975e961f--tuplet--start--1,n515--tuplet--start--1,tuplet,stamp,ncfbcb6fe975e961f
n6cb93932a5505b72--tuplet--stop--1,n519--tuplet--stop--1,tuplet,stamp,n6cb93932a5505b72
nde95f65a2c9fc02a--tuplet--start--1,n521--tuplet--start--1,tuplet,stamp,nde95f65a2c9fc02a
ne915402f58e9fab5--tuplet--stop--1,n525--tuplet--stop--1,tuplet,stamp,ne915402f58e9fab5
n8abea2dde435322f--tuplet--start--1,n527--tuplet--start--1,tuplet,stamp,n8abea2dde435322f
n292105dd3ec6214a--tuplet--stop--1,n531--tuplet--stop--1,tuplet,stamp,n292105dd3ec6214a
n0df91b68c6422d76--tuplet--start--1,n533--tuplet--start--1,tuplet,stamp,n0df91b68c6422d76
n9841f69e9bd5b689--tuplet--stop--1,n537--tuplet--stop--1,tuplet,stamp,n9841f69e9bd5b689
na09867d3cd0dd487--tuplet--start--1,n539--tuplet--start--1,tuplet,stamp,na09867d3cd0dd487
n9b2b8f39c055b627--tuplet--stop--1,n543--tuplet--stop--1,tuplet,stamp,n9b2b8f39c055b627
n4e8b020437907cb5--tuplet--start--1,n545--tuplet--start--1,tuplet,stamp,n4e8b020437907cb5
n83ca51d619a104e0--tuplet--stop--1,n549--tuplet--stop--1,tuplet,stamp,n83ca51d619a104e0
