note_id,original_id,printed_bar
ncae0e7ec3634d539,n1,1
n328a6f88d8219602,n2,1
n47d876853f4486fd,n3,1
n9712c00b29d7600f,n4,1
n14ecb9df1b5002df,n5,1
nb1fe1d841d164a42,n6,1
nd45456c8cdbba521,n7,1
n746986e4a389200c,n8,1
ne4eaf18ed3e06c61,n9,2
n2b7ab5ce2be3b3dd,n10,2
neeb833b18b1c691f,n11,2
ne1ce7806b6eb793c,n12,2
nddd1a51f1a5e2fc0,n13,2
n3307e3b4fb652962,n14,2
n414c0e4b21460ae2,n15,2
nb59faf9e8b1d5af8,n16,2
n41b9c62a56ced5c4,n17,3
nac1c80b990d44a29,n18,3
n19d1e8af1f930242,n19,3
nbf9d0c56cb33e070,n20,3
nc3179f2d1e5d6bc4,n21,3
n0a4ed5d30efbc111,n22,3
ndeb50bd9e3012acf,n23,3
n551b075bd26ef8cc,n24,3
nda66e966a095160d,n25,3
n277703b6faab2817,n26,3
nc8afaba8cf7b54c6,n27,3
n2d767570f111aa4a,n28,4
nf5f4944c562e032c,n29,4
n3bacde8a2a370ce8,n30,4
nda783d6998bd382e,n31,4
ndc2a33c5f1513f53,n32,4
n4498eddbec868ddb,n33,4
n6b182e8f6f09718c,n34,4
n4e1e88548cd277ab,n35,4
n5e780c9d2f80e481,n36,4
n6ffbf99070734cca,n37,4
n80dc5204e900537f,n38,4
necff1b4fbaf526f4,n39,4
n586156aa61a8e9ee,n40,4
nd9e1a6eac227098b,n41,5
n9029cb70ba2abf03,n42,5
nddb0d643ec555169,n43,5
nda0db2908b05aa5b,n44,5
na0609bff0c39569e,n45,5
n65b6b304a7f21990,n46,5
n4cd3e642cb74c45b,n47,5
n93c7f905953afcbd,n48,5
naa668d9e2732538d,n49,5
nf2abbcebf96f3711,n50,5
nc3f04e9e4bf562f2,n51,5
nef3c842df01ce7a3,n52,5
nf3a5cd71858b6e49,n53,6
nd22b6f33e5747ce7,n54,6
n705005c222bdd90e,n55,6
n106e407cae7a0404,n56,6
n68a12df02119e7c5,n57,6
n11e9440ac6ca062d,n58,6
n24c1c3b3db3d7d99,n59,6
nefd68efd37580d35,n60,6
n527d73fc4728c623,n61,6
neb3782031ab6c4de,n62,6
n04d5ea1ff1baf32d,n63,6
n8d0d8a3807fb686d,n64,6
n0cd4ebc8c4804db9,n65,6
n60f531f5f4937551,n66,6
nd91b092998b0618b,n67,6
nf6409c87c33f4578,n68,6
n71a58bd0831112d8,n69,7
n5f433a027655b4ce,n70,7
ne46e98dc525e0794,n71,7
n300809d1d1a45158,n72,7
n18100e2dbbf61bde,n73,7
n2f47f4515eb44881,n74,7
n0e344d8e0a84868e,n75,7
nedad9665f21fd60d,n76,7
n53ecf1f18ff19152,n77,7
nd6b795569ee1b686,n78,7
ne6dcfbe66e37e46b,n79,7
n71ddda8034f4f95b,n80,7
ndf7004fea2c3f2e2,n81,7
n72e3589e0fecafd0,n82,7
nedca7d52d8c31924,n83,7
na560afe03a32b6e3,n84,7
n570e5fa2519be992,n85,7
n75e5ba804a0a28ef,n86,8
n49a15ea7e6973eea,n87,8
nca3b950a353c9ce4,n88,8
n1414a1f79a1ee312,n89,8
n50d89578a8b22611,n90,8
n2d533cef84fcec89,n91,8
ne85acfb58dc42ddb,n92,8
n26511f175b00b1bb,n93,8
ned896709ec2a8a43,n94,8
nc769f35e8aea2cb7,n95,8
n1335495d64adccf9,n96,8
n18f8645df8b428cb,n97,8
n3fa7b85bf337374d,n98,8
nae1afee9f4569a6d,n99,8
n25b335f8bc52bd78,n100,8
n02a7f130761a324b,n101,8
nfd2fbaf84dd87183,n102,8
ncfb245f8b7cba23f,n103,9
na152b68c7b70e341,n104,9
n096e604b7fcd44af,n105,9
n932952391d9000c8,n106,9
nbd9abd3b21305717,n107,9
n8c4c08664a58601e,n108,9
n2e094309eae1eabb,n109,9
ncdcb68630f7dae26,n110,9
n9b7172758b7fadc4,n111,9
n888cb5255cb83533,n112,9
nbbfb8bfb5cfabd82,n113,9
neb8a539b1036d2a2,n114,9
n11e926f274db7e42,n115,9
n8e8ebd6605e4d8d5,n116,9
n0540836babcb7772,n117,9
n69539eefe2593d7e,n118,9
nd90b58d322d50ec9,n119,9
nf69f4b6b24d37c30,n120,9
nef3bd43410fcc7c4,n121,10
n5ffef22f6ad7ded9,n122,10
n4c96b72ef9239b3c,n123,10
ndee29c52a8d06875,n124,10
ne0006f975f889079,n125,10
nf591c29f88f6fdcb,n126,10
nd002f852d04419d5,n127,10
n1871f6cee77030fd,n128,10
nf8a9d7898d6cccdd,n129,10
n21ce2da961b8feb6,n130,10
n880fa7cf405144f2,n131,10
nf6d5baced6b64104,n132,10
n7260d1311ddfbb6f,n133,10
n50f7b5243aa752be,n134,10
n7fb301b36868524e,n135,10
n8a75517bbac66ddc,n136,10
n30d19f6ef4a573a9,n137,10
ne334a21b93bbe85f,n138,10
n44d6accc93815c6b,n139,10
nb4580bb344c84b27,n140,11
na4b0c4d2aa75e096,n141,11
na815a2565843ecb0,n142,11
nef4ab19e730b4ba1,n143,11
nb992f2c3e22d9998,n144,11
n5238261eaab87e2e,n145,11
nc78b48fe71091375,n146,11
n2cb807b64c864817,n147,11
n1f46f70bee47e7fb,n148,11
ndac405cc6b6dd579,n149,11
n7ebb6850319813c4,n150,11
n5a5efd3699d5722d,n151,11
n9e03a6e0e7173540,n152,11
nac930f4efa18345f,n153,11
ne1c356f2917aa24c,n154,11
nd4f71d3bed183b0a,n155,11
nc716fe0c3de26248,n156,11
n8a7aae4f31331123,n157,11
n1efc008551e57f07,n158,11
n1cf0908f6d76bfad,n159,12
nfe56e8a8a3b78f77,n160,12
n812baad020513721,n161,12
ne0041e3999a6ba6a,n162,12
n28c19fc773782f3b,n163,12
n3d5211c2724028fe,n164,12
n8cc3f7416cc948d0,n165,12
n44bf92618dcbfea7,n166,12
n24dfab8720f106b5,n167,12
n4d30e3019b611f91,n168,12
n3dcde5082b15cbe6,n169,12
nd3de062272c0dac2,n170,12
