element_id,tag,carrier,host_or_staff
mn-1-1-1-1-1--accent--1,accent,derive,mn-1-1-1-1-1
mn-1-1-5-2-2--slur--start--1,slur,stamp,mn-1-1-5-2-2
mn-1-1-5-2-2--accent--1,accent,derive,mn-1-1-5-2-2
mn-1-1-5-2-4--accent--1,accent,derive,mn-1-1-5-2-4
mn-1-1-5-2-8--accent--1,accent,derive,mn-1-1-5-2-8
mn-1-1-5-2-12--accent--1,accent,derive,mn-1-1-5-2-12
md-1-1-1-1,words,md,1
md-1-1-1-2,dynamics,md,1
md-1-1-1-3,dynamics,md,1
mn-1-2-1-1-3--slur--start--1,slur,stamp,mn-1-2-1-1-3
mn-1-2-1-1-7--slur--stop--1,slur,stamp,mn-1-2-1-1-7
mn-1-2-5-2-1--accent--1,accent,derive,mn-1-2-5-2-1
mn-1-2-5-2-5--accent--1,accent,derive,mn-1-2-5-2-5
mn-1-2-5-2-9--accent--1,accent,derive,mn-1-2-5-2-9
mn-1-2-5-2-13--accent--1,accent,derive,mn-1-2-5-2-13
md-1-2-1-1,wedge,md,1
md-1-2-1-2,wedge,md,1
mn-1-3-1-1-1--accent--1,accent,derive,mn-1-3-1-1-1
mn-1-3-5-2-1--slur--stop--1,slur,stamp,mn-1-3-5-2-1
mn-1-3-5-2-1--staccato--1,staccato,derive,mn-1-3-5-2-1
mn-1-3-5-2-2--slur--start--1,slur,stamp,mn-1-3-5-2-2
mn-1-3-5-2-2--accent--1,accent,derive,mn-1-3-5-2-2
mn-1-3-5-2-4--accent--1,accent,derive,mn-1-3-5-2-4
mn-1-3-5-2-8--accent--1,accent,derive,mn-1-3-5-2-8
mn-1-3-5-2-12--accent--1,accent,derive,mn-1-3-5-2-12
md-1-3-1-1,dynamics,md,1
mn-1-4-1-1-3--slur--start--1,slur,stamp,mn-1-4-1-1-3
mn-1-4-1-1-7--slur--stop--1,slur,stamp,mn-1-4-1-1-7
mn-1-4-5-2-1--accent--1,accent,derive,mn-1-4-5-2-1
mn-1-4-5-2-5--accent--1,accent,derive,mn-1-4-5-2-5
mn-1-4-5-2-9--accent--1,accent,derive,mn-1-4-5-2-9
mn-1-4-5-2-13--accent--1,accent,derive,mn-1-4-5-2-13
mn-1-5-1-1-1--staccato--1,staccato,derive,mn-1-5-1-1-1
mn-1-5-1-1-5--slur--start--1,slur,stamp,mn-1-5-1-1-5
mn-1-5-1-1-5--accent--1,accent,derive,mn-1-5-1-1-5
mn-1-5-1-1-7--accent--1,accent,derive,mn-1-5-1-1-7
mn-1-5-1-1-11--accent--1,accent,derive,mn-1-5-1-1-11
mn-1-5-1-1-15--accent--1,accent,derive,mn-1-5-1-1-15
mn-1-5-5-2-1--slur--stop--1,slur,stamp,mn-1-5-5-2-1
mn-1-5-5-2-1--staccato--1,staccato,derive,mn-1-5-5-2-1
mn-1-5-5-2-2--slur--start--1,slur,stamp,mn-1-5-5-2-2
mn-1-5-5-2-2--accent--1,accent,derive,mn-1-5-5-2-2
mn-1-5-5-2-4--accent--1,accent,derive,mn-1-5-5-2-4
mn-1-5-5-2-8--accent--1,accent,derive,mn-1-5-5-2-8
mn-1-5-5-2-12--accent--1,accent,derive,mn-1-5-5-2-12
md-1-5-2-1,dynamics,md,2
mn-1-6-1-1-1--accent--1,accent,derive,mn-1-6-1-1-1
mn-1-6-1-1-5--accent--1,accent,derive,mn-1-6-1-1-5
mn-1-6-1-2-1--accent--1,accent,derive,mn-1-6-1-2-1
mn-1-6-1-2-5--accent--1,accent,derive,mn-1-6-1-2-5
mn-1-6-5-2-1--accent--1,accent,derive,mn-1-6-5-2-1
mn-1-6-5-2-5--accent--1,accent,derive,mn-1-6-5-2-5
mn-1-6-5-2-9--accent--1,accent,derive,mn-1-6-5-2-9
mn-1-6-5-2-13--accent--1,accent,derive,mn-1-6-5-2-13
mn-1-7-1-2-2--slur--stop--1,slur,stamp,mn-1-7-1-2-2
mn-1-7-1-2-3--slur--start--1,slur,stamp,mn-1-7-1-2-3
mn-1-7-1-2-10--slur--stop--1,slur,stamp,mn-1-7-1-2-10
mn-1-7-1-2-11--slur--start--1,slur,stamp,mn-1-7-1-2-11
mn-1-7-5-2-2--slur--stop--1,slur,stamp,mn-1-7-5-2-2
mn-1-7-5-2-3--slur--start--1,slur,stamp,mn-1-7-5-2-3
