note_id,original_id,printed_bar
nabfb9ab928e8e951,n1,1
n14ecb9df1b5002df,n2,1
nbfd23ccf1a9bd7dd,n3,1
n578bcd6ccb82932c,n4,1
nbd69cf13752e1b22,n5,1
nd3531738cc0bfe3b,n6,1
nce5387cc4dc2e4e6,n7,1
nd45456c8cdbba521,n8,1
nb95df98bfd70efeb,n9,1
na61b4b14b855bb1c,n10,1
n47d876853f4486fd,n11,1
n72c5580e1551c237,n12,1
nca45e3531c843630,n13,1
nf2c25f1ec3d6b7c4,n14,1
n5141e478ee24536d,n15,1
n5085380dc5ae8db7,n16,1
n55389794923aeefc,n17,1
nd84dcc8f2d90ef79,n18,1
n5dd96603c90e8825,n19,1
n8c0d6d5220e7d215,n20,1
n3959547960ed24b7,n21,1
nb8cf8547bc695efd,n22,1
nf9c36ed43c36a3c9,n23,1
n614ff22c485f8bfb,n24,1
nf5085195266f6fc1,n25,1
ne86a0a8b3269af1a,n26,1
n2dd3a01ccf55d76b,n27,1
n2b3812a5eb42c7d3,n28,1
n9f0dba8639616856,n29,1
n63ec6c04ab0ecd46,n30,1
n22d5e0f90690806d,n31,1
n2cdc9dd33b10ff7d,n32,1
na6e62868c12358c6,n33,1
n150e69108d561285,n34,1
n5122191177d245c6,n35,1
ne59a259b18e1083d,n36,1
nea2146e435deeb55,n37,1
n6489888e66a0c78b,n38,1
nc64a946c7585a708,n39,1
ne1e6b7857085bb77,n40,1
n6f3844ca866cc234,n41,1
n7ed2f9c65327e2c7,n42,1
n542b25b4fb71d7ed,n43,1
nff16c4b12e1e439f,n44,1
n0e86381c112ea651,n45,1
n23a19d720bbb74dc,n46,1
nee683076c4ab0f1b,n47,1
n914245f2580b4d89,n48,1
na29ee6be3bc909ad,n49,2
n1ecac44ac0b3af8e,n50,2
n13047ca832aee292,n51,2
n4c3670c70ee60cb6,n52,2
neeb833b18b1c691f,n53,2
nb5109c2dc92b023e,n54,2
n755ac5c42570da7d,n55,2
n9dc7ea6a12092b33,n56,2
n34c13c2e9d4a88e3,n57,2
na02bd288b7d869f4,n58,2
n3307e3b4fb652962,n59,2
nb5e20d607ebd9d72,n60,2
nbb268a4b8389b292,n61,2
n89f7bdbe69423181,n62,2
n56d670e846b38947,n63,2
n4b6b97a2b0d7fae4,n64,2
nba75fbc4abeb3093,n65,2
n0b5a7998159eb881,n66,2
n2dcad72939046a89,n67,2
naebcba789a222154,n68,2
ne1ce7806b6eb793c,n69,2
n1edf2c6d4bd130ea,n70,2
nb8cb24e7694e319f,n71,2
nee61d66d01115cce,n72,2
na955cea8413d40ba,n73,2
nc6cd29ff14b772d5,n74,2
n0bcd4c4ecd44e391,n75,2
n6f354d4788a82c4f,n76,2
naa735063d838d2a8,n77,2
n4d31cbb72bb4dea9,n78,2
nb5da92dd0147e4cc,n79,2
n12304bc6d38083fb,n80,2
ne86818993852332e,n81,2
ncdbe7fcf5f781a4a,n82,2
n53e7e54d6f601a66,n83,2
nbd39e41640e59437,n84,2
n9f884e1be8ddb312,n85,2
n0a9858f97de7d169,n86,2
nb963569a7e44eeeb,n87,2
n11ce9a947a555ef3,n88,2
n9f4255586693fb04,n89,2
na97bd0668ad36ff9,n90,2
n8614ae213e26de6a,n91,2
nf3c9a6c245fff1f0,n92,2
n2b7ab5ce2be3b3dd,n93,2
na2ced6536b093371,n94,2
nbcfbf9bdb26b9833,n95,2
nfb51b2ae0ba80f1d,n96,2
nf595345f7b50085f,n97,3
n90bbb6ab7ae8dcbb,n98,3
n434ad1f70dc89a6e,n99,3
n65cbaba5453b90e5,n100,3
nb81cfd31ed846235,n101,3
nac1c80b990d44a29,n102,3
ndeb50bd9e3012acf,n103,3
n43d938e30fd4aa0b,n104,3
n24390023981ddc31,n105,3
n4d27bdbea666f132,n106,3
n9ea659a6009558e6,n107,3
nf0e4a4dd853b89da,n108,3
nca98506bf6ad4d2f,n109,3
nb251d66a2d7ed475,n110,3
na8200da215e021a2,n111,3
n8caaaf4885f85517,n112,3
nac19e3f21069bed2,n113,3
nccbaba9842a11d08,n114,3
n481be2659a7d9cbf,n115,3
n89eb3ad00573ca7c,n116,3
n551b075bd26ef8cc,n117,3
nbf9d0c56cb33e070,n118,3
nd535969ccde2f154,n119,3
na47635769756baef,n120,3
n0f8c0d4a136f8fdd,n121,3
n0942d95af53dc594,n122,3
nf1c50c4a43d0722f,n123,3
n14f3463d853c5408,n124,3
nb0ba9e563024333c,n125,3
n72d3cc768a2875f7,n126,3
nc3179f2d1e5d6bc4,n127,3
nd38a55d185132695,n128,3
n1f82ec778b8ac1f4,n129,3
n2bd7c892b6d4b71f,n130,3
na3b53d9e464b80fd,n131,3
n44a05ce84d7cde64,n132,3
n52a91cae41c15d93,n133,3
nd3883912e133a0f7,n134,3
n05fc0a82a22c7599,n135,3
na634134459882783,n136,3
n4fc7ada0eee628bc,n137,3
na97dcd36a7f56f87,n138,3
n1666e2a4799bb39f,n139,3
nc4f4f4ee2a86bce4,n140,3
n1a3a1353078a5596,n141,3
na0916a25f748da92,n142,3
n6c4084c6f4b54d11,n143,3
ncab6cf1d09fa827c,n144,3
n6ffbf99070734cca,n145,4
nf5f4944c562e032c,n146,4
n73fdd4fbc42be98a,n147,4
n14cce733260a8928,n148,4
n356d9d6bfcb2b03d,n149,4
n78161d957d14ce3a,n150,4
nb1c2f20010d7e9eb,n151,4
ne622a04ff91547b0,n152,4
necff1b4fbaf526f4,n153,4
n9ce9eee6e33382d0,n154,4
n7951028019d2be00,n155,4
nf4249c778da1475b,n156,4
ne6f2d1297ee00dd8,n157,4
nf010999dc62d8f63,n158,4
n15d8509c7a71e444,n159,4
nb3f0b21adc0fde12,n160,4
n91e19694bc2ae409,n161,4
nc35b002c81d41786,n162,4
nc12928a02a840699,n163,4
n139a0d45133084bf,n164,4
ne554acb2223d4d4a,n165,4
ne6abe5b7fb1d8ab8,n166,4
n3ff290ca55c65502,n167,4
na68ed1ee72d4e9c4,n168,4
n29df3d59f286fc1f,n169,4
nf0b97ccb954eb9a0,n170,4
nf8816dd455805d19,n171,4
nf9ae1ba3ccd6a33d,n172,4
n3bd8d5da4267dd50,n173,4
nc876b403011e01f5,n174,4
n0769f2e89e0b9cd6,n175,4
n4fbcef650dfafb00,n176,4
n2ffc5fa36abed8b9,n177,4
nf5b4e3dab8e74d8c,n178,4
n07b507cebd850653,n179,4
n4e1e88548cd277ab,n180,4
nb04f232b7e1a0889,n181,4
nbf482525d7e00694,n182,4
n79457b17bc22f630,n183,4
n1dbfed947110fda6,n184,4
n891c3e0a0566a6dd,n185,4
n48b19286747b315e,n186,4
n268ccb5fdfa1fb67,n187,4
na4a5f44a241b8b54,n188,4
n8e629d47362be5d7,n189,4
n5351f6e6b82e4eb9,n190,4
n5e957334b41f980d,n191,4
n83f71034a536780c,n192,4
n0527dd3055249605,n193,5
na0609bff0c39569e,n194,5
nb7c57d018da55ff2,n195,5
n702836aa2ba39e64,n196,5
n156dd23b7c0e77de,n197,5
nf9daa980b0280275,n198,5
nd9e1a6eac227098b,n199,5
nfbfe6ebb7ddb7d34,n200,5
n81c8a65b079c0590,n201,5
n4c2345a69c46ea6c,n202,5
nd7c88150c25c7cae,n203,5
nbac409f50e747858,n204,5
nd7b6b3ff3d518f62,n205,5
nba54a1e07a8402e6,n206,5
nc3f04e9e4bf562f2,n207,5
nda0db2908b05aa5b,n208,5
n0f569a74abc8362d,n209,5
n29d79de8e01c7314,n210,5
n1c3b10b998e253f9,n211,5
n7abc8aafe590d960,n212,5
nff2c8ebc459735f3,n213,5
n77821df495a215d6,n214,5
naa668d9e2732538d,n215,5
n0a860a6189654d9a,n216,5
n33778b4b1cd6ec36,n217,5
ne16166f1c3112f3d,n218,5
n3c17c13145b1b8a7,n219,5
ncae26ab59c161c1b,n220,5
ne82a5fa28ae06edf,n221,5
nf7646125cb4447f8,n222,5
nd627114ff15fb762,n223,5
n7ca23e0f6775da8d,n224,5
n946e64c7aec9ede4,n225,5
n4cd3e642cb74c45b,n226,5
n06f0a1961345a641,n227,5
n50ee832ea1086c47,n228,5
n1d8a7c138e7d1d91,n229,5
n31342eb1dfd41f03,n230,5
n4a94a5125893b626,n231,5
n01a45b211f387986,n232,5
nfd7c2549312f6cf1,n233,5
ncd60db40bea498cf,n234,5
n113c26cfcb708d90,n235,5
n3146c774903c40b1,n236,5
nc0b4dcdabba916a9,n237,5
n2d75a8ec22e8ecbf,n238,5
n92c42d0674e93bce,n239,5
n36942167b702c8ef,n240,5
nf442b0ab974c645a,n241,5
n81bbb75c40972ffd,n242,5
n370608d76b4141a1,n243,5
n1e075c311d8ebc16,n244,5
nd91b092998b0618b,n245,6
nd22b6f33e5747ce7,n246,6
n0cd4ebc8c4804db9,n247,6
n705005c222bdd90e,n248,6
n3499e1bbc24ab7a0,n249,6
n26b91408a0ecaab7,n250,6
na93e4a1555ed7a83,n251,6
n3eef29b7dcd1acee,n252,6
n67858adc61947009,n253,6
n0b349a8f3227cfc4,n254,6
n14ed14fa3de68211,n255,6
n106e407cae7a0404,n256,6
n444020b7da57b80f,n257,6
n73c1a9d3957f3b50,n258,6
nc53ecb8d08b5d3aa,n259,6
n0b0a17fa6bcdf4f2,n260,6
n60f531f5f4937551,n261,6
n527d73fc4728c623,n262,6
n59b59db6acb66d10,n263,6
n95df8aeb66cc0975,n264,6
n55d14c1bbe4087a0,n265,6
n3514395503081d37,n266,6
n67ad73bcb884abe9,n267,6
n6c0f5fc257a65201,n268,6
n5795c2eebfdccafe,n269,6
n05fda2e0f2c988aa,n270,6
n785481161e388ff0,n271,6
n37f764966b9d9172,n272,6
n79f4d500f4c5dbe9,n273,6
nd8b6c32ffd6531f4,n274,6
n473c30fa602982c8,n275,6
n05a5dec5335807ee,n276,6
n8bf12f5368345448,n277,6
n0c4adfc5269932ac,n278,6
nfef688bad49b5bda,n279,6
n41a8d7de480eaf40,n280,6
n9a3f1227bb708488,n281,6
n305897952c082ee5,n282,6
n564728b31eb5d504,n283,6
nd73816f42c09f446,n284,6
n1bef3812339ff269,n285,6
n89fb6d63bbad0192,n286,6
n7eacd118711d36d9,n287,6
nb9c9260c28ee1d08,n288,6
ne98b6ac31de061af,n289,6
n1c8a505414a147ba,n290,6
nd7e5d4364f52c978,n291,6
n40d25828cf3b85d3,n292,6
nf93873a4b61ba5be,n293,7
n0e344d8e0a84868e,n294,7
n73e492a95764db50,n295,7
n00c2976b04e64e41,n296,7
n127afbd4fd4ab5be,n297,7
n53ecf1f18ff19152,n298,7
n456021d12f0ed531,n299,7
n2f47f4515eb44881,n300,7
ndf7004fea2c3f2e2,n301,7
n18100e2dbbf61bde,n302,7
nedca7d52d8c31924,n303,7
n5f433a027655b4ce,n304,7
n2d593722a96d2213,n305,7
n2cc9b156513650b2,n306,7
n8ff88df90ff1858a,n307,7
nedad9665f21fd60d,n308,7
n387e0ea242a92d1b,n309,7
nbb3872ea3eb6d949,n310,7
n71ddda8034f4f95b,n311,7
nd6b795569ee1b686,n312,7
na6bd1697d022ebf5,n313,7
nd8738ff68f3f3aef,n314,7
n1d07951cafd3b5b3,n315,7
n1f03c5d29b5ceaf6,n316,7
n704f5fa8ee9aa2e5,n317,7
n4cba255f4a3121ac,n318,7
n0685a897a661121e,n319,7
n020fe523bfcc21a0,n320,7
nb1cf91c50b28e23d,n321,7
nb29f142d1c1da1ee,n322,7
n1f49f462c4e82bdb,n323,7
n122374b1ed4515c2,n324,7
n9b51fd555d1ef9b0,n325,7
nef4f5f399daddebe,n326,7
ne6dcfbe66e37e46b,n327,7
nbd2fda576c68aaa7,n328,7
ne72e6d2cb6625032,n329,7
nc546785d982d7ea4,n330,7
nc7b039c8b8f4c40b,n331,7
n2303a7aaf1d953bc,n332,7
n8a40aa3b81999513,n333,7
n55b2ab2620a65f10,n334,7
n4ebe26fbd3fcbb3e,n335,7
n31959526993ffb4b,n336,7
nde0f47a7202c265a,n337,7
n026843d8488ccb7d,n338,7
nabf8afb5eb4d58ab,n339,7
nfd53a74ffa56d28c,n340,7
ncc4f7f1a4a93b0e7,n341,7
na5803f280fff8022,n342,7
nfbf72fb0c2cdbb91,n343,7
n33cefe2a6f650255,n344,7
n81d3e749ed0191e5,n345,8
n1414a1f79a1ee312,n346,8
nb3cb4a76034676f8,n347,8
n46b02094b092ed11,n348,8
n774bd81a5f1fb38c,n349,8
ne85acfb58dc42ddb,n350,8
n957cd2c53294baea,n351,8
n50d89578a8b22611,n352,8
n25b335f8bc52bd78,n353,8
nca3b950a353c9ce4,n354,8
n18f8645df8b428cb,n355,8
n75e5ba804a0a28ef,n356,8
ne1c6e43b43607fdd,n357,8
n7dcf8b3f084665a7,n358,8
n0b96edea44d01657,n359,8
n61a94606b3ab999b,n360,8
n1764ad82ce230ba6,n361,8
n156c69cdbf2991e7,n362,8
nae1afee9f4569a6d,n363,8
n26511f175b00b1bb,n364,8
n6f4800e0c73da97e,n365,8
n2cb187ff9bcd9505,n366,8
ndb6fa59c94b01edc,n367,8
nceb5a09a64a01c06,n368,8
n9d60f146bee172d3,n369,8
n4770fc1136414035,n370,8
n78b9fbcfe877b9b2,n371,8
ne14a48f4d2230b62,n372,8
nc01ef0ddd1aeddc3,n373,8
n2f495c64ea756756,n374,8
nc7f1c408f69afa05,n375,8
n5db8c354f9e855ff,n376,8
n040c43226b2ed746,n377,8
n1b7f104cc402b52e,n378,8
n3fa7b85bf337374d,n379,8
n8419609ef01b6766,n380,8
n837cd3b9ab266d93,n381,8
n32e4a81c61cba897,n382,8
n2b83586daaa1f5f2,n383,8
n2fbd9fea3f303e25,n384,8
nfcaafc8de25e995c,n385,8
n89bed6daf7b4623a,n386,8
nb757c66459b4ae34,n387,8
nb9f33fa007bee2ac,n388,8
na037b54bb08ac325,n389,8
n5b16d7fd087a0159,n390,8
n09c5386fb42ee998,n391,8
n747858d0a32611bb,n392,8
n241e6f4220a6778d,n393,8
n90b1169b2384942b,n394,8
n32363df0cd9af6c0,n395,8
n6cff7d809b9d7ba9,n396,8
n8e8ebd6605e4d8d5,n397,9
n36c0029ef58c2518,n398,9
n88ea8675d77e8613,n399,9
n9b7172758b7fadc4,n400,9
n9b51c08d107cefa7,n401,9
n0198da65aa81a215,n402,9
n69539eefe2593d7e,n403,9
n096e604b7fcd44af,n404,9
n48704dbf483bf23c,n405,9
n917f1f64ab68c408,n406,9
n8c4c08664a58601e,n407,9
n932952391d9000c8,n408,9
n2e094309eae1eabb,n409,9
nb735a2aa1cb2f82d,n410,9
n678c5f6dd9c27d4c,n411,9
n27f82c974f0b6844,n412,9
na41be075a015e212,n413,9
n80e9be2479ea959b,n414,9
n792b4dd7ad69bfb3,n415,9
n6fd4aae544ec1fe9,n416,9
na76fcffca5f401ba,n417,9
n43b85dd5b74ec300,n418,9
nbc34ccb376cef1f3,n419,9
n29d1dd6223e2536e,n420,9
nd2875ebeace8b9eb,n421,9
nbd3f1a6943ebd1ba,n422,9
neb8a539b1036d2a2,n423,9
n9dd4da22af451d82,n424,9
na6f794d8a3c8dabe,n425,9
nff3cf0162eac5dca,n426,9
n4f89f4a31880e596,n427,9
nb1fb49d4ed20fb1c,n428,9
nc9e9f717d33a4fdf,n429,9
n21f14988a0ad932a,n430,9
n5078dc5d0e409bbc,n431,9
n7f5840aa73454150,n432,9
n52708c06f2f19ab7,n433,9
n77d69a738ea0d77c,n434,9
n2feefde724d3fa5b,n435,9
nef7842ffb9abbf9f,n436,9
n62065fcef114dc36,n437,9
n08d63034475c47ba,n438,9
nf0ab30962f3c0f46,n439,9
nb8747c270857665d,n440,9
nc1d744a7153d9d64,n441,9
nb8c3b7d523b6215a,n442,9
nec044d1fe36092e2,n443,9
nc8eceaf6031b64ec,n444,9
n6556e80264511e9a,n445,9
n1b4894edf492c436,n446,9
nbfb081a652381e26,n447,9
nca02a0588fa44663,n448,9
n7fb301b36868524e,n449,10
nf8a9d7898d6cccdd,n450,10
n831c4a9efc375024,n451,10
n1871f6cee77030fd,n452,10
nd7f6b7b0e2a29fce,n453,10
n03fadf3c1df8bc42,n454,10
n30d19f6ef4a573a9,n455,10
n21ce2da961b8feb6,n456,10
n87f14044c498fb89,n457,10
n9457a99d1bcdce16,n458,10
ne334a21b93bbe85f,n459,10
ndee29c52a8d06875,n460,10
n8a75517bbac66ddc,n461,10
nd002f852d04419d5,n462,10
n4c1ba370c8cbf229,n463,10
n8fc2469329191725,n464,10
n59a28276986defe1,n465,10
n59305d18d4a1c1dc,n466,10
n0c8ae60b5307cd54,n467,10
nf6d5baced6b64104,n468,10
n54cabde5bff57352,n469,10
nc052dff172f67b62,n470,10
ne0218ee94ea85126,n471,10
n5551236cf7e215d4,n472,10
nf8885519f9591f14,n473,10
n79749979ab990250,n474,10
n7260d1311ddfbb6f,n475,10
nc8eb98dd333224c6,n476,10
n7b605bfa6ce92c6f,n477,10
n9896e1ec6990bcc3,n478,10
n252b04425f55503f,n479,10
n210f45c02db534fb,n480,10
nd8e72010012837a3,n481,10
n5cf9f0927fb9fd22,n482,10
n6c6164a08e4805d0,n483,10
n7173f1da152d128d,n484,10
ndce3d5c91589d75c,n485,10
nd42b1226f77de9a2,n486,10
n559e495c839efe71,n487,10
nce232c2c9cce54b7,n488,10
nb08df8e570af0dc0,n489,10
nf91b6530b0640dd2,n490,10
n9c3bf840fada6502,n491,10
n3e010a8349da1aac,n492,10
n43203266b027551a,n493,10
n499bc8792c4937dc,n494,10
nc8efc66f0d97c3f2,n495,10
n6a53d023c252a3c3,n496,10
nb764394d2ae40aab,n497,10
n7124c63fb2029a65,n498,10
n8566c2e6fab558ab,n499,10
n2d811d60a10f4857,n500,10
nc716fe0c3de26248,n501,11
nef4ab19e730b4ba1,n502,11
nc9227dba2ec8f527,n503,11
nf31ca0dccf27add8,n504,11
nf7445f08261f2c64,n505,11
n7f6ff0797a2db98e,n506,11
n2ca27b83addf91e6,n507,11
n66ddbae04c049479,n508,11
na893bc62c038c0d1,n509,11
n750462c856f79ae6,n510,11
nb91103fdb2595180,n511,11
n43d745fee581cb41,n512,11
nd4f71d3bed183b0a,n513,11
nb4580bb344c84b27,n514,11
n5a9f1c32fc6fd035,n515,11
ncda90d9e81f620a3,n516,11
n050ee0c0b8b9b038,n517,11
n5238261eaab87e2e,n518,11
n7ebb6850319813c4,n519,11
na815a2565843ecb0,n520,11
n95a382177377375b,n521,11
n58fd99d28bcac30d,n522,11
n2cb807b64c864817,n523,11
nb992f2c3e22d9998,n524,11
nc1b9af639e90d965,n525,11
n8485e95268a466b8,n526,11
n1735581bd823c216,n527,11
nd2e7d7b784568b30,n528,11
n1c44dc10f7664d7a,n529,11
n676b1c17a8401d7c,n530,11
n52c5efdc707d4586,n531,11
n35188adccb6eba72,n532,11
n90ac184434e93441,n533,11
n78aa9fa9e725dc49,n534,11
n1d6772628856a651,n535,11
ne2038bea4daeb8f1,n536,11
nf73ec33c9d439102,n537,11
nac930f4efa18345f,n538,11
n9403ebe808d10fc4,n539,11
nf6c74807e5c470ee,n540,11
nc311ed8a4bfdbdb1,n541,11
nd88b2af178a604b8,n542,11
neb0e6101a061199c,n543,11
n13f7a9989b4b18ba,n544,11
nda424679899ef420,n545,11
n5a0d412a6540d86f,n546,11
n64bc302785750b9f,n547,11
nec76e38c8370ae52,n548,11
nca2caf0729451248,n549,11
nee276ecbdd83a982,n550,11
n69e84048a8f6374b,n551,11
n573abe9504ece61a,n552,11
na4d5e6af1189853e,n553,12
n09c5ff9f69c26af2,n554,12
ne0041e3999a6ba6a,n555,12
nd6cc8de7b6b98bd0,n556,12
n40669c4fe5c91c3c,n557,12
nc538168901c77489,n558,12
n1ff98d50c379ce90,n559,12
n60c72521a6ebd8aa,n560,12
n812baad020513721,n561,12
n222ec9e52b368e53,n562,12
n95815b2d2760cfc1,n563,12
n7a8c31959ff86786,n564,12
n1cf0908f6d76bfad,n565,12
