note_id,original_id,part,bar,voice,staff,ordinal
n1,n1,1,0,1,1,1
n2,n2,1,0,5,2,1
n3,n3,1,1,1,1,1
n4,n4,1,1,1,1,2
n5,n5,1,1,1,1,3
n6,n6,1,1,1,1,4
n7,n7,1,1,1,1,5
n8,n8,1,1,1,1,6
n9,n9,1,1,1,1,7
n10,n10,1,1,1,1,8
n11,n11,1,1,1,1,9
n12,n12,1,1,1,1,10
n13,n13,1,1,1,1,11
n14,n14,1,1,1,1,12
n15,n15,1,1,1,1,13
n16,n16,1,1,1,1,14
n17,n17,1,1,1,1,15
n18,n18,1,1,1,1,16
n19,n19,1,1,5,2,1
n20,n20,1,1,5,2,2
n21,n21,1,1,5,2,3
n22,n22,1,1,5,2,4
n23,n23,1,1,5,2,5
n24,n24,1,1,5,2,6
n25,n25,1,1,5,2,7
n26,n26,1,1,5,2,8
n27,n27,1,1,5,2,9
n28,n28,1,1,5,2,10
n29,n29,1,1,5,2,11
n30,n30,1,1,5,2,12
n31,n31,1,2,1,1,1
n32,n32,1,2,1,1,2
n33,n33,1,2,1,1,3
n34,n34,1,2,1,1,4
n35,n35,1,2,1,1,5
n36,n36,1,2,1,1,6
n37,n37,1,2,1,1,7
n38,n38,1,2,1,1,8
n39,n39,1,2,1,1,9
n40,n40,1,2,1,1,10
n41,n41,1,2,1,1,11
n42,n42,1,2,1,1,12
n43,n43,1,2,1,1,13
n44,n44,1,2,1,1,14
n45,n45,1,2,1,1,15
n46,n46,1,2,5,2,1
n47,n47,1,2,5,2,2
n48,n48,1,2,5,2,3
n49,n49,1,2,5,2,4
n50,n50,1,2,5,2,5
n51,n51,1,2,5,2,6
n52,n52,1,2,5,2,7
n53,n53,1,2,5,2,8
n54,n54,1,2,5,2,9
n55,n55,1,2,5,2,10
n56,n56,1,2,5,2,11
n57,n57,1,2,5,2,12
n58,n58,1,3,1,1,1
n59,n59,1,3,1,1,2
n60,n60,1,3,1,1,3
n61,n61,1,3,1,1,4
n62,n62,1,3,1,1,5
n63,n63,1,3,1,1,6
n64,n64,1,3,1,1,7
n65,n65,1,3,1,1,8
n66,n66,1,3,1,1,9
n67,n67,1,3,1,1,10
n68,n68,1,3,1,1,11
n69,n69,1,3,1,1,12
n70,n70,1,3,1,1,13
n71,n71,1,3,1,1,14
n72,n72,1,3,1,1,15
n73,n73,1,3,1,1,16
n74,n74,1,3,5,2,1
n75,n75,1,3,5,2,2
n76,n76,1,3,5,2,3
n77,n77,1,3,5,2,4
n78,n78,1,3,5,2,5
n79,n79,1,3,5,2,6
n80,n80,1,3,5,2,7
n81,n81,1,3,5,2,8
n82,n82,1,3,5,2,9
n83,n83,1,3,5,2,10
n84,n84,1,3,5,2,11
n85,n85,1,3,5,2,12
n86,n86,1,3,5,2,13
n87,n87,1,4,1,1,1
n88,n88,1,4,1,1,2
n89,n89,1,4,1,1,3
n90,n90,1,4,1,1,4
n91,n91,1,4,1,1,5
n92,n92,1,4,1,1,6
n93,n93,1,4,1,1,7
n94,n94,1,4,1,1,8
n95,n95,1,4,1,1,9
n96,n96,1,4,1,1,10
n97,n97,1,4,1,1,11
n98,n98,1,4,1,1,12
n99,n99,1,4,1,1,13
n100,n100,1,4,1,1,14
n101,n101,1,4,1,1,15
n102,n102,1,4,1,1,16
n103,n103,1,4,5,2,1
n104,n104,1,4,5,2,2
n105,n105,1,4,5,2,3
n106,n106,1,4,5,2,4
n107,n107,1,4,5,2,5
n108,n108,1,4,5,2,6
n109,n109,1,4,5,2,7
n110,n110,1,4,5,2,8
n111,n111,1,4,5,2,9
n112,n112,1,4,5,2,10
n113,n113,1,4,5,2,11
n114,n114,1,4,5,2,12
n115,n115,1,5,1,1,1
n116,n116,1,5,1,1,2
n117,n117,1,5,1,1,3
n118,n118,1,5,1,1,4
n119,n119,1,5,1,1,5
n120,n120,1,5,1,1,6
n121,n121,1,5,1,1,7
n122,n122,1,5,1,1,8
n123,n123,1,5,1,1,9
n124,n124,1,5,1,1,10
n125,n125,1,5,1,1,11
n126,n126,1,5,1,1,12
n127,n127,1,5,1,1,13
n128,n128,1,5,1,1,14
n129,n129,1,5,1,1,15
n130,n130,1,5,1,1,16
n131,n131,1,5,5,2,1
n132,n132,1,5,5,2,2
n133,n133,1,5,5,2,3
n134,n134,1,5,5,2,4
n135,n135,1,5,5,2,5
n136,n136,1,5,5,2,6
n137,n137,1,5,5,2,7
n138,n138,1,5,5,2,8
n139,n139,1,5,5,2,9
n140,n140,1,5,5,2,10
n141,n141,1,5,5,2,11
n142,n142,1,5,5,2,12
n143,n143,1,5,5,2,13
n144,n144,1,5,5,2,14
n145,n145,1,6,1,1,1
n146,n146,1,6,1,1,2
n147,n147,1,6,1,1,3
n148,n148,1,6,1,1,4
n149,n149,1,6,1,1,5
