element_id,original_id,tag,carrier,host_or_staff
nd45456c8cdbba521--tuplet--start--1,n1--tuplet--start--1,tuplet,stamp,nd45456c8cdbba521
nd45456c8cdbba521--slur--start--1,n1--slur--start--1,slur,stamp,nd45456c8cdbba521
nd45456c8cdbba521--accent--1,,accent,derive,nd45456c8cdbba521
nf2c25f1ec3d6b7c4--tuplet--stop--1,n5--tuplet--stop--1,tuplet,stamp,nf2c25f1ec3d6b7c4
n8c0d6d5220e7d215--tuplet--start--1,n7--tuplet--start--1,tuplet,stamp,n8c0d6d5220e7d215
na6907e4859c552f0--tuplet--stop--1,n11--tuplet--stop--1,tuplet,stamp,na6907e4859c552f0
n14ecb9df1b5002df--tuplet--start--1,n13--tuplet--start--1,tuplet,stamp,n14ecb9df1b5002df
na45b02dbf3c5316f--tuplet--stop--1,n17--tuplet--stop--1,tuplet,stamp,na45b02dbf3c5316f
n614ff22c485f8bfb--tuplet--start--1,n19--tuplet--start--1,tuplet,stamp,n614ff22c485f8bfb
nd3531738cc0bfe3b--tuplet--stop--1,n23--tuplet--stop--1,tuplet,stamp,nd3531738cc0bfe3b
nd3531738cc0bfe3b--slur--stop--1,n23--slur--stop--1,slur,stamp,nd3531738cc0bfe3b
n5122191177d245c6--tuplet--start--1,n25--tuplet--start--1,tuplet,stamp,n5122191177d245c6
n5122191177d245c6--accent--1,,accent,derive,n5122191177d245c6
n5122191177d245c6--staccato--1,,staccato,derive,n5122191177d245c6
nae6fec32be5a0499--slur--start--1,n26--slur--start--1,slur,stamp,nae6fec32be5a0499
n1d41d64271c37c34--tuplet--stop--1,n28--tuplet--stop--1,tuplet,stamp,n1d41d64271c37c34
n5dd96603c90e8825--tuplet--start--1,n30--tuplet--start--1,tuplet,stamp,n5dd96603c90e8825
n5faa98224d804397--tuplet--stop--1,n34--tuplet--stop--1,tuplet,stamp,n5faa98224d804397
n5faa98224d804397--slur--stop--1,n34--slur--stop--1,slur,stamp,n5faa98224d804397
n328a6f88d8219602--tuplet--start--1,n36--tuplet--start--1,tuplet,stamp,n328a6f88d8219602
n328a6f88d8219602--staccato--1,,staccato,derive,n328a6f88d8219602
n2bd33ec7a5535291--slur--start--1,n37--slur--start--1,slur,stamp,n2bd33ec7a5535291
nabfb9ab928e8e951--tuplet--stop--1,n39--tuplet--stop--1,tuplet,stamp,nabfb9ab928e8e951
n1ebd4923ac63c370--tuplet--start--1,n41--tuplet--start--1,tuplet,stamp,n1ebd4923ac63c370
n86986c23833ea77f--tuplet--stop--1,n45--tuplet--stop--1,tuplet,stamp,n86986c23833ea77f
n86986c23833ea77f--slur--stop--1,n45--slur--stop--1,slur,stamp,n86986c23833ea77f
ecc2fb407b72dc7bb,md-1-1-1-1,words,md,1
e3c35c14ac43a203c,md-1-1-1-3,dynamics,md,1
e05e1f34702be9ec2,md-1-1-2-1,dynamics,md,2
ec6072a53b64c5275,md-1-1-2-2,pedal,md,2
e5de6b4b3f96322c3,md-1-1-2-3,pedal,md,2
ef8ea19840985b991,md-1-1-2-4,pedal,md,2
edba7809907e95578,md-1-1-2-5,pedal,md,2
nb5109c2dc92b023e--tuplet--start--1,n47--tuplet--start--1,tuplet,stamp,nb5109c2dc92b023e
nb5109c2dc92b023e--slur--start--1,n47--slur--start--1,slur,stamp,nb5109c2dc92b023e
nc0b2702e89176dd8--tuplet--stop--1,n51--tuplet--stop--1,tuplet,stamp,nc0b2702e89176dd8
n414c0e4b21460ae2--tuplet--start--1,n53--tuplet--start--1,tuplet,stamp,n414c0e4b21460ae2
