element_id,original_id,tag,carrier,host_or_staff
n982dab624257e122--staccato--1,,staccato,derive,n982dab624257e122
n0452635adb64e4d6--slur--start--1,n4--slur--start--1,slur,stamp,n0452635adb64e4d6
n7ff919e7800f3d75--staccato--1,,staccato,derive,n7ff919e7800f3d75
n979feb52ad432860--slur--start--1,n19--slur--start--1,slur,stamp,n979feb52ad432860
e409476bd376f53ff,md-1-1-1-1,words,md,1
eb062e038137b26ac,md-1-1-1-2,dynamics,md,1
e5b7fe3ccb79c13f4,md-1-1-1-3,wedge,md,1
e43d9ba33ad423a60,md-1-1-1-4,wedge,md,1
eb4b6c66156f3fd10,md-1-1-2-1,dynamics,md,2
n247e0868c9dcebfa--slur--stop--1,n25--slur--stop--1,slur,stamp,n247e0868c9dcebfa
n247e0868c9dcebfa--staccato--1,,staccato,derive,n247e0868c9dcebfa
ncce0f16ed7fddce5--staccato--1,,staccato,derive,ncce0f16ed7fddce5
nb59faf9e8b1d5af8--slur--start--1,n31--slur--start--1,slur,stamp,nb59faf9e8b1d5af8
nda48aaf01b77bdba--slur--stop--1,n34--slur--stop--1,slur,stamp,nda48aaf01b77bdba
nda48aaf01b77bdba--staccato--1,,staccato,derive,nda48aaf01b77bdba
nb2cb00f2d66705c2--staccato--1,,staccato,derive,nb2cb00f2d66705c2
n7a7776e2af13fb90--slur--start--1,n39--slur--start--1,slur,stamp,n7a7776e2af13fb90
e19a85f26380e0893,md-1-2-1-1,dynamics,md,1
ncab6cf1d09fa827c--slur--stop--1,n41--slur--stop--1,slur,stamp,ncab6cf1d09fa827c
nf587e8a81a854202--slur--start--1,n45--slur--start--1,slur,stamp,nf587e8a81a854202
n31195fb2e981b73d--slur--start--1,n48--slur--start--1,slur,stamp,n31195fb2e981b73d
n3977514d99d3e38e--slur--stop--1,n49--slur--stop--1,slur,stamp,n3977514d99d3e38e
n51ffe0db9db3b797--slur--start--1,n52--slur--start--1,slur,stamp,n51ffe0db9db3b797
n72d3cc768a2875f7--slur--stop--1,n53--slur--stop--1,slur,stamp,n72d3cc768a2875f7
nb5ddecbecdd9676c--slur--start--1,n56--slur--start--1,slur,stamp,nb5ddecbecdd9676c
ne4ecc6f741f70cfa--slur--start--1,n59--slur--start--1,slur,stamp,ne4ecc6f741f70cfa
n1dcb4dad53080399--slur--stop--1,n60--slur--stop--1,slur,stamp,n1dcb4dad53080399
ne278d9011ca311e2--slur--start--1,n63--slur--start--1,slur,stamp,ne278d9011ca311e2
e13e68ad17b1274db,md-1-3-1-1,wedge,md,1
na7e7db50fe8d910c--slur--stop--1,n64--slur--stop--1,slur,stamp,na7e7db50fe8d910c
na73a1ded2688aead--slur--start--1,n67--slur--start--1,slur,stamp,na73a1ded2688aead
n955dc55dd9f9e96a--slur--stop--1,n68--slur--stop--1,slur,stamp,n955dc55dd9f9e96a
n92295e233741e4ae--slur--start--1,n71--slur--start--1,slur,stamp,n92295e233741e4ae
n4f860bdbc3b79009--slur--stop--1,n72--slur--stop--1,slur,stamp,n4f860bdbc3b79009
n5f8bf51036e98514--slur--stop--1,n76--slur--stop--1,slur,stamp,n5f8bf51036e98514
n3b1cff00a3b26a00--slur--start--1,n79--slur--start--1,slur,stamp,n3b1cff00a3b26a00
n5bfd2a71b3ffcc5f--slur--stop--1,n80--slur--stop--1,slur,stamp,n5bfd2a71b3ffcc5f
n614d398cd4dda917--slur--start--1,n83--slur--start--1,slur,stamp,n614d398cd4dda917
nf58bdcf51cf11c23--slur--stop--1,n84--slur--stop--1,slur,stamp,nf58bdcf51cf11c23
e30fbc2c13d075b50,md-1-4-1-1,wedge,md,1
nab0a0e691627a20b--slur--stop--1,n88--slur--stop--1,slur,stamp,nab0a0e691627a20b
nab0a0e691627a20b--staccato--1,,staccato,derive,nab0a0e691627a20b
n60c7dddfd57b3aba--slur--start--1,n93--slur--start--1,slur,stamp,n60c7dddfd57b3aba
n951ec165ce645d7d--slur--stop--1,n105--slur--stop--1,slur,stamp,n951ec165ce645d7d
n951ec165ce645d7d--staccato--1,,staccato,derive,n951ec165ce645d7d
n951ec165ce645d7d--arpeggiate--1,n105--arpeggiate--1,arpeggiate,stamp,n951ec165ce645d7d
nd98fed1f7d378c9d--arpeggiate--1,n106--arpeggiate--1,arpeggiate,stamp,nd98fed1f7d378c9d
ncbadc94f7af7b8dd--arpeggiate--1,n107--arpeggiate--1,arpeggiate,stamp,ncbadc94f7af7b8dd
n470e2d62bf96d416--slur--start--1,n109--slur--start--1,slur,stamp,n470e2d62bf96d416
e4da95adb4143bb99,md-1-5-1-1,dynamics,md,1
e2a8adda43247a092,md-1-5-1-2,dynamics,md,1
ef369a6ea671b38ff,md-1-5-1-3,wedge,md,1
e316266d9970e4dd8,md-1-5-1-4,wedge,md,1
nc87cfff22516a524--slur--stop--1,n115--slur--stop--1,slur,stamp,nc87cfff22516a524
nc87cfff22516a524--staccato--1,,staccato,derive,nc87cfff22516a524
n6eb55a1103fa6d5a--staccato--1,,staccato,derive,n6eb55a1103fa6d5a
nf19162ed99296158--slur--start--1,n122--slur--start--1,slur,stamp,nf19162ed99296158
n4654dbb15104c823--slur--stop--1,n125--slur--stop--1,slur,stamp,n4654dbb15104c823
n4654dbb15104c823--staccato--1,,staccato,derive,n4654dbb15104c823
nfef688bad49b5bda--staccato--1,,staccato,derive,nfef688bad49b5bda
n7f0e8f9b70317432--slur--start--1,n130--slur--start--1,slur,stamp,n7f0e8f9b70317432
ed38125219f43c91c,md-1-6-1-1,dynamics,md,1
n1b2333615a491e83--slur--stop--1,n133--slur--stop--1,slur,stamp,n1b2333615a491e83
n4599adcc68631f64--slur--start--1,n137--slur--start--1,slur,stamp,n4599adcc68631f64
n7cdd115f7bb51f2f--slur--start--1,n140--slur--start--1,slur,stamp,n7cdd115f7bb51f2f
n47d3bb6142eb917a--slur--stop--1,n141--slur--stop--1,slur,stamp,n47d3bb6142eb917a
n1999e6769e62c98b--slur--start--1,n144--slur--start--1,slur,stamp,n1999e6769e62c98b
n71ddda8034f4f95b--slur--stop--1,n145--slur--stop--1,slur,stamp,n71ddda8034f4f95b
n5ac00b4d29920951--slur--start--1,n148--slur--start--1,slur,stamp,n5ac00b4d29920951
ee7202f3da4813f7b,md-1-7-1-1,wedge,md,1
n1bcfa82c17f33798--slur--stop--1,n156--slur--stop--1,slur,stamp,n1bcfa82c17f33798
n42156bf275143499--slur--start--1,n159--slur--start--1,slur,stamp,n42156bf275143499
ncc03b7da602358ce--slur--stop--1,n160--slur--stop--1,slur,stamp,ncc03b7da602358ce
nefc3311d620e968e--slur--start--1,n163--slur--start--1,slur,stamp,nefc3311d620e968e
n2d229909b31fdf11--slur--stop--1,n164--slur--stop--1,slur,stamp,n2d229909b31fdf11
e626bea66417e0b7e,md-1-8-1-1,wedge,md,1
