note_id,original_id,printed_bar
n982dab624257e122,n1,1
n204ffca1799ccb56,n2,1
na3645d3416ff89ba,n3,1
n0452635adb64e4d6,n4,1
n1d4a53e1ed5edec8,n5,1
n6a391dc457d2049e,n6,1
n560dca5308d18be9,n7,1
n7d3b2631fc57ef69,n8,1
nf1e3dbbc6257f780,n9,1
n658e9dae0d5dd64f,n10,1
ne11fb7c09764f0df,n11,1
naf507e8f730c5b9f,n12,1
n301e56697108c579,n13,1
nfd767ecef47e870c,n14,1
n381c9b3f2b90bd35,n15,1
n7ff919e7800f3d75,n16,1
n86ffbf1a95e52ca4,n17,1
nf32ac7ba4207450c,n18,1
n979feb52ad432860,n19,1
n608b23ffbb9d4600,n20,1
n88500ecc4375ced8,n21,1
nfe432278dcf127c1,n22,1
ncf554ee1424c4f84,n23,1
nafdfa85f03877e7d,n24,1
n247e0868c9dcebfa,n25,2
na4329a199ef28de1,n26,2
n0bc7273135f431a4,n27,2
ncce0f16ed7fddce5,n28,2
n755ac5c42570da7d,n29,2
necbc3c326b153905,n30,2
nb59faf9e8b1d5af8,n31,2
n7d63a1534390c764,n32,2
n23f6630374226aff,n33,2
nda48aaf01b77bdba,n34,2
n48056107b26ca97b,n35,2
nb2cb00f2d66705c2,n36,2
n12304bc6d38083fb,n37,2
nc3e221f1fbf9fc6b,n38,2
n7a7776e2af13fb90,n39,2
n56ea0f690ee3feea,n40,2
ncab6cf1d09fa827c,n41,3
nb81cfd31ed846235,n42,3
n277703b6faab2817,n43,3
n8d53bfbc7935dfd7,n44,3
nf587e8a81a854202,n45,3
na57f5c1004d201f7,n46,3
nafd95477fc84a2c8,n47,3
n31195fb2e981b73d,n48,3
n3977514d99d3e38e,n49,3
n01f5be79af04eacc,n50,3
nf383c6f5c9f792b9,n51,3
n51ffe0db9db3b797,n52,3
n72d3cc768a2875f7,n53,3
nc760298ca26086e4,n54,3
n7e654cff449b6cf6,n55,3
nb5ddecbecdd9676c,n56,3
n390799c25c3127c8,n57,3
nf7834b2fd55883fc,n58,3
ne4ecc6f741f70cfa,n59,3
n1dcb4dad53080399,n60,3
n734760542bd52a79,n61,3
ne40731acaeee7283,n62,3
ne278d9011ca311e2,n63,3
na7e7db50fe8d910c,n64,4
ncbd5f0f612bc67f2,n65,4
nab60b255b7ba95d7,n66,4
na73a1ded2688aead,n67,4
n955dc55dd9f9e96a,n68,4
n1bb1ef4290dbfd32,n69,4
nf35542fc6ecb99b6,n70,4
n92295e233741e4ae,n71,4
n4f860bdbc3b79009,n72,4
n4de7a9daba26f515,n73,4
nd905dea4ccab697e,n74,4
n8d5fc705f7ef1260,n75,4
n5f8bf51036e98514,n76,4
na11e04d963ab5806,n77,4
n5c510ca62371f50b,n78,4
n3b1cff00a3b26a00,n79,4
n5bfd2a71b3ffcc5f,n80,4
n462cf1abe0c1d4d4,n81,4
ne0b0027a45d240b5,n82,4
n614d398cd4dda917,n83,4
nf58bdcf51cf11c23,n84,4
n52c68d4180295798,n85,4
nd0721f4aa86a604b,n86,4
n224b789b4bb00b4b,n87,4
nab0a0e691627a20b,n88,5
nef3c842df01ce7a3,n89,5
n185064c9c40b1270,n90,5
n5a224f78728f0095,n91,5
n48b1f48488ba08a7,n92,5
n60c7dddfd57b3aba,n93,5
nf13c02c3a1390013,n94,5
n76737eb809d40685,n95,5
n7335f5a1f011b2ca,n96,5
n28042264178b6d41,n97,5
n9dde92f115ea0e3c,n98,5
n0e4642b0b27949ad,n99,5
n5e810833818524ee,n100,5
n995628c653dfb9e5,n101,5
ndbadc4b93f76a948,n102,5
