note_id,original_id,printed_bar
n07bc66ca489e02cd,n1,1
n2488470fd7c70f76,n2,1
nc3aaeccfec339204,n3,1
nfc5391fe43981a31,n4,1
ncfff5c9785d4590a,n5,1
n9e850c194b1eac3f,n6,1
n0a348102b16c5e62,n7,1
nd3eccb1194799878,n8,2
n00631b69b5035159,n9,2
n5b4e58e793557f93,n10,2
nad7cd2687987966e,n11,2
n115cf159eb6e5352,n12,2
n982be1df24faf47d,n13,2
n7a61f32569e7d935,n14,2
n209ed7ec5c71ff7b,n15,3
n9dd990368bc63186,n16,3
n97a9689c17315279,n17,3
n7f99366aba3a0ef6,n18,3
nd0817eca3955e37e,n19,3
n32edd634ada1bd04,n20,3
nf762a525a8659418,n21,3
n2144981edb57a24b,n22,4
n0c9faa9159e2eb58,n23,4
n9d2cb37425328623,n24,4
n64b4b621408ae5c3,n25,4
n05384087e05ef601,n26,4
n8f31599d56908442,n27,4
n6477c5abe9c744b8,n28,4
nede6a82ea1b73add,n29,5
n44c29e32ef06bd71,n30,5
nda89c1da300ffd28,n31,5
n48b96cd7f7d718cd,n32,5
n1c8c4d6b005b8831,n33,5
n17ad53741d0c4c93,n34,5
nfc50e27c3c152acf,n35,6
nafcc8f39b5ea0c62,n36,6
n469416b9c0b11d23,n37,6
nded3ef099ec61a5e,n38,6
nb1411048dce5cc7d,n39,6
na7d47191ea7e6bbd,n40,6
n3ce7ef2a218bf3c0,n41,7
n5cc76f3d20ab5a32,n42,7
ncea0dd15d508f104,n43,7
nc6b951e293e78ad6,n44,7
n4ac9e15d40e54317,n45,7
n7c58ce43a9db7d7a,n46,7
nfea05e25f084e910,n47,8
nf48e7076a17d4f0f,n48,8
nff49ccf383acf612,n49,8
nd8d74bc94cf4d78f,n50,8
nb7769f3c0aaeae60,n51,8
n745d2c610c4751b7,n52,8
n74d573ae7a0fed95,n53,9
nd39c8501fbf39301,n54,9
n623fc0ed9244e281,n55,9
nef7842ffb9abbf9f,n56,9
ne21065faa28bffe8,n57,9
n9a417e3588449a0e,n58,9
n9dd4da22af451d82,n59,9
n2feefde724d3fa5b,n60,9
n04ecbf489de3de37,n61,9
n28bdb4f134c1812c,n62,9
n58dd088c29b2e1d2,n63,9
n7fb301b36868524e,n64,10
n5bde6ec207aeda34,n65,10
n831c4a9efc375024,n66,10
n0d91fd75de712b50,n67,10
nd7f6b7b0e2a29fce,n68,10
n8a75517bbac66ddc,n69,10
ne4cc723fb73a40af,n70,10
n6d2b10d257fcdcc6,n71,10
n9ad20853556aabb8,n72,10
n62dd589ac4b699c7,n73,10
nc950d2dd8506e325,n74,10
n1f46f70bee47e7fb,n75,11
n02fe674e8f45c3bc,n76,11
n9881cd100eea8394,n77,11
nfe9bcf468ae2b336,n78,11
n498d2448c46f5014,n79,11
nfafdf57f6d225429,n80,11
nb45c94e5e74877e5,n81,11
n4da4ecf6de96c892,n82,11
n01f6c275e58153de,n83,11
n6d608cd4a24eeb0c,n84,11
nf838c4d4ad764b9c,n85,11
na400ddde36ef71db,n86,11
n2a4bbc6b8955b217,n87,12
n33a269d88179d9e4,n88,12
nd50847dfb7fdd4a9,n89,12
n08b624ef11236b7d,n90,12
n88d7c99894ed03bf,n91,12
n44bf92618dcbfea7,n92,12
n3bde03483b3dc053,n93,12
nad8260871860b681,n94,12
n118d2eabd8435533,n95,12
n2284d8aca2052275,n96,12
n7be9197076abec17,n97,12
nb51269ad3340a944,n98,13
n08d6d626ef1faf4f,n99,13
n6a76a598f701e577,n100,13
n6e0867e579694c2c,n101,13
na211d7fd57313911,n102,13
ne32c7e12b0552fe5,n103,13
ndb518161f9581927,n104,13
nc3da1350aa358713,n105,13
n2eb56867990fc0c6,n106,13
nfd3d280202a8dc1f,n107,14
nb940f2f58417c87b,n108,14
n3c1f63ad47ad8c7b,n109,14
n2e6dfb44c0b9bcd2,n110,14
n387db4578df14afb,n111,14
n8ac2f2319b4135d8,n112,14
nd3ae96decb40981a,n113,14
n8d81fc4bdcb7669c,n114,14
nab914cbfb4ebdff0,n115,14
na44bfd386b71935e,n116,14
nd7822cef9b5f91c9,n117,14
n165af6b11e9ef23d,n118,15
na1eb4db63969386c,n119,15
nca3578dcc7ede9d3,n120,15
n4b79773f5aa77476,n121,15
nca0f33bc66a2985a,n122,15
nb83967b1bf23bd88,n123,15
nb58c34836ef48c0e,n124,15
n1d2ff962471849ca,n125,15
naf689d504e90b7c4,n126,15
n8f266fccb3b9afad,n127,15
nafa9635296d17fd0,n128,16
ne3e6bc098f6fa190,n129,16
n5533887e5c6b7850,n130,16
n26fe44b7a10d78b6,n131,16
nb80806b2482a69d3,n132,16
n17199a88c8ab12bb,n133,16
n4c025f83d175ffe0,n134,16
ne76798b75e85cc3d,n135,17
n16f68062cf315464,n136,17
nb7a207359bca959a,n137,17
nbfd1c8c39ab66844,n138,17
n224cd278276ae117,n139,17
n9475424da58c421d,n140,17
n89e74d5caf9ffb24,n141,17
n78fe428bb2adf0b7,n142,17
n51ed785a7962920a,n143,17
n4beb8cf212746457,n144,17
n8f18f11b616f8c81,n145,17
n7477950fa4cf4cbb,n146,18
nb266d822acf890cf,n147,18
nd7a09d2672cfe874,n148,18
n5fc7ceb6402686e0,n149,18
ne4152c88349794f4,n150,18
n6a18bb8437a44970,n151,18
n88aea2a481359c7c,n152,18
n0b3337b9a7c8c014,n153,18
n2b04730806f11655,n154,18
nc497b4ad0916b825,n155,18
n71ad03d61814779d,n156,18
n7e0803956dddecac,n157,19
n6430b0200f89a9fb,n158,19
nd6a525767b224069,n159,19
nd4294fcb20760004,n160,19
n735eeda9fa25068d,n161,19
nc83749021bd19dd8,n162,19
ne3ccc573f1c45af3,n163,19
n5c736a4d38966680,n164,19
neb77055f16be62c8,n165,19
n88dc970b2e04f611,n166,19
n09ed4cc3c2af4fa6,n167,19
n75d1619ae7ae68c5,n168,19
n4269cc14be99b628,n169,20
n388fcbf6f4d4f4a3,n170,20
nb6a68effd7501ba0,n171,20
nf38e56646c0b9d9b,n172,20
n68fb65a5d934b432,n173,20
ne4091be8a5da0362,n174,20
nc7a1a4f4b514bfc5,n175,20
n2bf9f48a97928b29,n176,20
n2679ff954fbe971b,n177,20
nfad7109727948c54,n178,20
nd48d7cf4ad4d764f,n179,20
n459f9b1085cc5cd3,n180,21
n8b971b7fe63bee14,n181,21
ne250193ebf15973b,n182,21
n2a7b9f2891dd2bb3,n183,21
ndbff5f47bfb6f2a4,n184,21
n14b376bb5aaf81cd,n185,21
nb7667256c1316639,n186,21
n1625e166fdc6fc48,n187,21
n59a559fae0161c08,n188,21
n35f627fc80332a8c,n189,22
n8b375be4a4839fc5,n190,22
nce2cd74ad7321266,n191,22
n4cfb73a9622c1a79,n192,22
nc2d046564ab87aee,n193,22
ncad0e4d37529c2fe,n194,22
n19430818c761113e,n195,22
n060cc6b465f7105c,n196,22
n1163293ac9dc2e93,n197,22
nf57d964f62e7daf7,n198,22
nd0ec88da62b1387e,n199,22
nbba0ccb15861702f,n200,23
n40d0810d317796bb,n201,23
n73f5914b0c558fff,n202,23
n7a7794fccaa5a13e,n203,23
n6283cd199cf49e77,n204,23
n930140394f43eef5,n205,23
n1859fa7a1fc5c9a3,n206,23
nefe6ff0524813a56,n207,23
ne8651a7dd9f2d104,n208,23
nb64578e7cbe9cf2b,n209,23
n8ad06512ac088972,n210,24
n07d2b2f018324fa6,n211,24
n8ccaa2bf5bc1d7c4,n212,24
na56579419d41b2f4,n213,24
n119a8588fb854c3e,n214,24
n88a95fb193487ab7,n215,24
