element_id,tag,carrier,host_or_staff
mn-1-1-1-1-1--slur--start--1,slur,stamp,mn-1-1-1-1-1
mn-1-1-1-1-2--tuplet--start--1,tuplet,stamp,mn-1-1-1-1-2
mn-1-1-1-1-4--tuplet--stop--1,tuplet,stamp,mn-1-1-1-1-4
mn-1-1-6-2-1--slur--start--1,slur,stamp,mn-1-1-6-2-1
mn-1-1-6-2-2--tuplet--start--1,tuplet,stamp,mn-1-1-6-2-2
mn-1-1-6-2-4--tuplet--stop--1,tuplet,stamp,mn-1-1-6-2-4
md-1-1-1-1,words,md,1
md-1-1-1-2,words,md,1
md-1-1-1-3,words,md,1
md-1-1-1-4,dynamics,md,1
mn-1-2-1-1-1--slur--stop--1,slur,stamp,mn-1-2-1-1-1
mn-1-2-1-1-3--tuplet--start--1,tuplet,stamp,mn-1-2-1-1-3
mn-1-2-1-1-3--slur--start--1,slur,stamp,mn-1-2-1-1-3
mn-1-2-1-1-5--tuplet--stop--1,tuplet,stamp,mn-1-2-1-1-5
mn-1-2-6-2-1--slur--stop--1,slur,stamp,mn-1-2-6-2-1
mn-1-2-6-2-3--tuplet--start--1,tuplet,stamp,mn-1-2-6-2-3
mn-1-2-6-2-3--slur--start--1,slur,stamp,mn-1-2-6-2-3
mn-1-2-6-2-5--tuplet--stop--1,tuplet,stamp,mn-1-2-6-2-5
mn-1-3-1-1-1--slur--stop--1,slur,stamp,mn-1-3-1-1-1
mn-1-3-6-2-1--slur--stop--1,slur,stamp,mn-1-3-6-2-1
mn-1-5-1-1-1--staccato--1,staccato,derive,mn-1-5-1-1-1
mn-1-5-6-2-1--staccato--1,staccato,derive,mn-1-5-6-2-1
md-1-5-1-1,pedal,md,1
md-1-5-1-2,dynamics,md,1
mn-1-6-1-1-1--tied--start--1,tied,stamp,mn-1-6-1-1-1
mn-1-6-1-1-1--slur--start--1,slur,stamp,mn-1-6-1-1-1
mn-1-6-1-1-2--tied--start--1,tied,stamp,mn-1-6-1-1-2
mn-1-6-1-1-3--tied--start--1,tied,stamp,mn-1-6-1-1-3
mn-1-6-6-2-1--tied--start--1,tied,stamp,mn-1-6-6-2-1
mn-1-6-6-2-2--tied--start--1,tied,stamp,mn-1-6-6-2-2
mn-1-6-6-2-3--tied--start--1,tied,stamp,mn-1-6-6-2-3
mn-1-6-6-2-4--tied--start--1,tied,stamp,mn-1-6-6-2-4
mn-1-6-6-2-5--tied--start--1,tied,stamp,mn-1-6-6-2-5
md-1-6-1-1,octave-shift,md,1
md-1-6-1-2,wedge,md,1
mn-1-7-1-1-1--tied--stop--1,tied,stamp,mn-1-7-1-1-1
mn-1-7-1-1-2--tied--stop--1,tied,stamp,mn-1-7-1-1-2
mn-1-7-1-1-3--tied--stop--1,tied,stamp,mn-1-7-1-1-3
mn-1-7-6-2-1--tied--stop--1,tied,stamp,mn-1-7-6-2-1
