element_id,original_id,tag,carrier,host_or_staff
ne576884c937f32d2--tuplet--start--1,n2--tuplet--start--1,tuplet,stamp,ne576884c937f32d2
ne576884c937f32d2--slur--start--1,n2--slur--start--1,slur,stamp,ne576884c937f32d2
ne576884c937f32d2--fingering--1,,fingering,derive,ne576884c937f32d2
n746986e4a389200c--fingering--1,,fingering,derive,n746986e4a389200c
n982dab624257e122--fingering--1,,fingering,derive,n982dab624257e122
n82ca4e39c5618fd3--tuplet--stop--1,n5--tuplet--stop--1,tuplet,stamp,n82ca4e39c5618fd3
n82ca4e39c5618fd3--fingering--1,,fingering,derive,n82ca4e39c5618fd3
na2401fb75614c614--tuplet--start--1,n6--tuplet--start--1,tuplet,stamp,na2401fb75614c614
na2401fb75614c614--slur--start--1,n6--slur--start--1,slur,stamp,na2401fb75614c614
na2401fb75614c614--fingering--1,,fingering,derive,na2401fb75614c614
n513bde3e4c2f0a77--fingering--1,,fingering,derive,n513bde3e4c2f0a77
n86ffbf1a95e52ca4--fingering--1,,fingering,derive,n86ffbf1a95e52ca4
n477316a1bffea725--tuplet--stop--1,n9--tuplet--stop--1,tuplet,stamp,n477316a1bffea725
n477316a1bffea725--fingering--1,,fingering,derive,n477316a1bffea725
eb062e038137b26ac,md-1-1-1-1,dynamics,md,1
e7f0371584db220ee,md-1-1-1-2,words,md,1
e5b7fe3ccb79c13f4,md-1-1-2-1,wedge,md,2
n97af5f2b5f868dc5--slur--stop--1,n10--slur--stop--1,slur,stamp,n97af5f2b5f868dc5
n7a7776e2af13fb90--slur--stop--1,n13--slur--stop--1,slur,stamp,n7a7776e2af13fb90
e5b12f0463425231f,md-1-2-2-1,wedge,md,2
nf9bb9ab2f8eccbb6--tuplet--start--1,n17--tuplet--start--1,tuplet,stamp,nf9bb9ab2f8eccbb6
nf9bb9ab2f8eccbb6--slur--start--1,n17--slur--start--1,slur,stamp,nf9bb9ab2f8eccbb6
nbbf45bea97519c45--tuplet--stop--1,n20--tuplet--stop--1,tuplet,stamp,nbbf45bea97519c45
ne6ba8feebc3bae83--tuplet--start--1,n21--tuplet--start--1,tuplet,stamp,ne6ba8feebc3bae83
ne6ba8feebc3bae83--slur--start--1,n21--slur--start--1,slur,stamp,ne6ba8feebc3bae83
nbad2f625131761e8--tuplet--stop--1,n24--tuplet--stop--1,tuplet,stamp,nbad2f625131761e8
e13e68ad17b1274db,md-1-3-2-1,wedge,md,2
nc157d633e39c11de--slur--stop--1,n25--slur--stop--1,slur,stamp,nc157d633e39c11de
nadabb7949b5f596f--slur--stop--1,n29--slur--stop--1,slur,stamp,nadabb7949b5f596f
ne61f678ea994945c--slur--start--1,n32--slur--start--1,slur,stamp,ne61f678ea994945c
e30fbc2c13d075b50,md-1-4-2-1,wedge,md,2
nf056217ae0adcd6c--slur--start--1,n33--slur--start--1,slur,stamp,nf056217ae0adcd6c
nf056217ae0adcd6c--fingering--1,,fingering,derive,nf056217ae0adcd6c
ne72066b595af5b9f--fingering--1,,fingering,derive,ne72066b595af5b9f
ne291feb268162aee--tuplet--start--1,r1--tuplet--start--1,tuplet,stamp,ne291feb268162aee
n2edacebf5d466eea--tuplet--stop--1,n37--tuplet--stop--1,tuplet,stamp,n2edacebf5d466eea
nea0f34daa5b8111d--tuplet--start--1,r2--tuplet--start--1,tuplet,stamp,nea0f34daa5b8111d
nd0c799e264cbef63--slur--start--1,n38--slur--start--1,slur,stamp,nd0c799e264cbef63
n33a45a783856ba1d--tuplet--stop--1,n40--tuplet--stop--1,tuplet,stamp,n33a45a783856ba1d
n59b59db6acb66d10--slur--stop--1,n41--slur--stop--1,slur,stamp,n59b59db6acb66d10
ne98b6ac31de061af--slur--stop--1,n46--slur--stop--1,slur,stamp,ne98b6ac31de061af
ne98b6ac31de061af--slur--stop--2,n46--slur--stop--2,slur,stamp,ne98b6ac31de061af
n8d0d8a3807fb686d--fingering--1,,fingering,derive,n8d0d8a3807fb686d
n0cd4ebc8c4804db9--fingering--1,,fingering,derive,n0cd4ebc8c4804db9
e1cd93ee539b11b0b,md-1-6-2-1,dynamics,md,2
n24b73436e8b4204c--tie--1,,tie,derive,n24b73436e8b4204c
n24b73436e8b4204c--tied--start--1,n54--tied--start--1,tied,stamp,n24b73436e8b4204c
n1f47319525379189--tie--1,,tie,derive,n1f47319525379189
n1f47319525379189--tied--start--1,n55--tied--start--1,tied,stamp,n1f47319525379189
