note_id,original_id,bar,voice,staff,ordinal
mn-1-1-1-1,n1,1,1,1,1
mn-1-5-2-1,n2,1,5,2,1
mn-1-5-2-2,n3,1,5,2,2
mn-1-5-2-3,n4,1,5,2,3
mn-1-5-2-4,n5,1,5,2,4
mn-1-6-2-1,n6,1,6,2,1
mn-1-6-2-2,n7,1,6,2,2
mn-1-6-2-3,n8,1,6,2,3
mn-1-6-2-4,n9,1,6,2,4
mn-2-1-1-1,n10,2,1,1,1
mn-2-1-1-2,n11,2,1,1,2
mn-2-1-1-3,n12,2,1,1,3
mn-2-5-2-1,n13,2,5,2,1
mn-2-5-2-2,n14,2,5,2,2
mn-2-5-2-3,n15,2,5,2,3
mn-3-1-1-1,n16,3,1,1,1
mn-3-5-2-1,n17,3,5,2,1
mn-3-5-2-2,n18,3,5,2,2
mn-3-5-2-3,n19,3,5,2,3
mn-3-5-2-4,n20,3,5,2,4
mn-3-6-2-1,n21,3,6,2,1
mn-3-6-2-2,n22,3,6,2,2
mn-3-6-2-3,n23,3,6,2,3
mn-3-6-2-4,n24,3,6,2,4
mn-4-1-1-1,n25,4,1,1,1
mn-4-1-1-2,n26,4,1,1,2
mn-4-1-1-3,n27,4,1,1,3
mn-4-1-1-4,n28,4,1,1,4
mn-4-5-2-1,n29,4,5,2,1
mn-4-5-2-2,n30,4,5,2,2
mn-4-5-2-3,n31,4,5,2,3
mn-4-5-2-4,n32,4,5,2,4
mn-5-1-1-1,n33,5,1,1,1
mn-5-5-2-1,n34,5,5,2,1
mn-5-6-2-1,r1,5,6,2,1
mn-5-6-2-2,n35,5,6,2,2
mn-5-6-2-3,n36,5,6,2,3
mn-5-6-2-4,n37,5,6,2,4
mn-5-7-2-1,r2,5,7,2,1
mn-5-7-2-2,n38,5,7,2,2
mn-5-7-2-3,n39,5,7,2,3
mn-5-7-2-4,n40,5,7,2,4
mn-6-1-1-1,n41,6,1,1,1
mn-6-1-1-2,n42,6,1,1,2
mn-6-1-1-3,n43,6,1,1,3
mn-6-1-1-4,n44,6,1,1,4
mn-6-1-1-5,n45,6,1,1,5
mn-6-5-2-1,n46,6,5,2,1
mn-6-5-2-2,n47,6,5,2,2
mn-6-5-2-3,n48,6,5,2,3
mn-6-5-2-4,n49,6,5,2,4
mn-6-5-2-5,n50,6,5,2,5
mn-6-5-2-6,n51,6,5,2,6
mn-6-5-2-7,n52,6,5,2,7
mn-6-5-2-8,n53,6,5,2,8
