note_id,original_id,printed_bar
n8e305e2f92edd28f,n1,1
nc4da48355c9f13da,n2,1
n560dca5308d18be9,n3,1
nffcaa92fc81cb356,n4,1
ne576884c937f32d2,n5,1
n87ccd8dc9a610c87,n6,1
nb84093b4b6b7ef66,n7,1
nc91a2d172c925a13,n8,1
n8e5df558802068ed,n9,1
na2401fb75614c614,n10,1
n97ddaf964b0bae37,n11,1
n2ac9011f484e5b98,n12,1
n51a5f380c6321cb0,n13,1
n96055867ad267e62,n14,1
n1b43d4caf87ef794,n15,1
ne170a79cc6c6b098,n16,1
ne47666084e90c070,n17,1
n628660bb96390001,n18,1
ndc2a5aa615e493c7,n19,1
nd7521f68844eec5c,n20,1
ndec633ec7f2ce42f,n21,2
nec839fd390bd2543,n22,2
n24fac2c9a8890863,n23,2
ncbf2c59aaae1b0f6,n24,2
n94ea2707043e4356,n25,2
n2c0a9ffb3aa80acc,n26,2
n0881b9d0a8daf595,n27,2
n3248f91bab1b6855,n28,2
n3c56c20aca7e423d,n29,2
n6398fb08a349edb4,n30,2
nc341de7b4c1562bb,n31,2
n401f350b5368ed12,n32,2
nd3027e360fe3ce04,n33,2
n658fb02f2bd13411,n34,2
na7cca481f504b425,n35,2
n0dc5582d89cdad33,n36,2
nf797e168efb3a3c2,n37,2
n2e4d195843fdc545,n38,2
n171474571203d7a5,n39,2
nd40cdb3a4852f25a,n40,2
n7800ecaf0c39baa4,n41,3
n7ebbadb3ed2c030d,n42,3
na57f5c1004d201f7,n43,3
nfa9728f9f1f32479,n44,3
ne4ae465ccb57360e,n45,3
n3977514d99d3e38e,n46,3
n0c0eb142dfaaecc6,n47,3
n2054e5e235db00e5,n48,3
nbae26a450ed8d860,n49,3
n2a99790f6b0e8b82,n50,3
nc154d40b58dc677a,n51,3
n860ec3ecce60e23c,n52,3
ndd3e672281dbe3e1,n53,3
ne5603c97fe156f91,n54,3
nb773ce18c10fa2c5,n55,3
n221a10984cba0173,n56,3
nec9508ef47c0c9f3,n57,3
na64c87111393ce25,n58,3
nfb5111631b2a0dd5,n59,3
nf505719cb4b310b9,n60,3
n87614322620900ce,n61,3
nfa7bfba53d6c3759,n62,3
ndd7c21e860a6df43,n63,4
n5b8b2984ddd12040,n64,4
