element_id,tag,carrier,host_or_staff
n1--tuplet--start--1,tuplet,stamp,n1
n3--tuplet--stop--1,tuplet,stamp,n3
n4--tuplet--start--1,tuplet,stamp,n4
n6--tuplet--stop--1,tuplet,stamp,n6
n7--tuplet--start--1,tuplet,stamp,n7
n9--tuplet--stop--1,tuplet,stamp,n9
n10--tuplet--start--1,tuplet,stamp,n10
n12--tuplet--stop--1,tuplet,stamp,n12
n13--tuplet--start--1,tuplet,stamp,n13
n15--tuplet--stop--1,tuplet,stamp,n15
n16--tuplet--start--1,tuplet,stamp,n16
n18--tuplet--stop--1,tuplet,stamp,n18
n19--tuplet--start--1,tuplet,stamp,n19
n21--tuplet--stop--1,tuplet,stamp,n21
n22--tuplet--start--1,tuplet,stamp,n22
n24--tuplet--stop--1,tuplet,stamp,n24
md-1-1-1-1,dynamics,md,1
md-1-1-1-2,words,md,1
n25--tuplet--start--1,tuplet,stamp,n25
n27--tuplet--stop--1,tuplet,stamp,n27
n28--tuplet--start--1,tuplet,stamp,n28
n30--tuplet--stop--1,tuplet,stamp,n30
n31--tuplet--start--1,tuplet,stamp,n31
n33--tuplet--stop--1,tuplet,stamp,n33
n34--tuplet--start--1,tuplet,stamp,n34
n36--tuplet--stop--1,tuplet,stamp,n36
n37--tuplet--start--1,tuplet,stamp,n37
n39--tuplet--stop--1,tuplet,stamp,n39
n40--tuplet--start--1,tuplet,stamp,n40
n42--tuplet--stop--1,tuplet,stamp,n42
n43--tuplet--start--1,tuplet,stamp,n43
n45--tuplet--stop--1,tuplet,stamp,n45
n46--tuplet--start--1,tuplet,stamp,n46
n48--tuplet--stop--1,tuplet,stamp,n48
n49--tuplet--start--1,tuplet,stamp,n49
n51--tuplet--stop--1,tuplet,stamp,n51
n52--tuplet--start--1,tuplet,stamp,n52
n54--tuplet--stop--1,tuplet,stamp,n54
n55--tuplet--start--1,tuplet,stamp,n55
n57--tuplet--stop--1,tuplet,stamp,n57
n58--tuplet--start--1,tuplet,stamp,n58
n60--tuplet--stop--1,tuplet,stamp,n60
n61--tuplet--start--1,tuplet,stamp,n61
n63--tuplet--stop--1,tuplet,stamp,n63
n64--tuplet--start--1,tuplet,stamp,n64
n66--tuplet--stop--1,tuplet,stamp,n66
n67--tuplet--start--1,tuplet,stamp,n67
n69--tuplet--stop--1,tuplet,stamp,n69
n70--tuplet--start--1,tuplet,stamp,n70
n72--tuplet--stop--1,tuplet,stamp,n72
n73--tuplet--start--1,tuplet,stamp,n73
n75--tuplet--stop--1,tuplet,stamp,n75
n76--tuplet--start--1,tuplet,stamp,n76
n78--tuplet--stop--1,tuplet,stamp,n78
n79--tuplet--start--1,tuplet,stamp,n79
n81--tuplet--stop--1,tuplet,stamp,n81
n82--tuplet--start--1,tuplet,stamp,n82
n84--tuplet--stop--1,tuplet,stamp,n84
n85--tuplet--start--1,tuplet,stamp,n85
n87--tuplet--stop--1,tuplet,stamp,n87
n88--tuplet--start--1,tuplet,stamp,n88
n90--tuplet--stop--1,tuplet,stamp,n90
n91--tuplet--start--1,tuplet,stamp,n91
n93--tuplet--stop--1,tuplet,stamp,n93
n94--tuplet--start--1,tuplet,stamp,n94
n96--tuplet--stop--1,tuplet,stamp,n96
n97--tuplet--start--1,tuplet,stamp,n97
n99--tuplet--stop--1,tuplet,stamp,n99
n100--tuplet--start--1,tuplet,stamp,n100
n102--tuplet--stop--1,tuplet,stamp,n102
n103--tuplet--start--1,tuplet,stamp,n103
n105--tuplet--stop--1,tuplet,stamp,n105
n106--tuplet--start--1,tuplet,stamp,n106
n108--tuplet--stop--1,tuplet,stamp,n108
n109--tuplet--start--1,tuplet,stamp,n109
n111--tuplet--stop--1,tuplet,stamp,n111
n112--tuplet--start--1,tuplet,stamp,n112
n114--tuplet--stop--1,tuplet,stamp,n114
n115--tuplet--start--1,tuplet,stamp,n115
n117--tuplet--stop--1,tuplet,stamp,n117
n118--tuplet--start--1,tuplet,stamp,n118
n120--tuplet--stop--1,tuplet,stamp,n120
n121--tuplet--start--1,tuplet,stamp,n121
n123--tuplet--stop--1,tuplet,stamp,n123
n124--tuplet--start--1,tuplet,stamp,n124
n126--tuplet--stop--1,tuplet,stamp,n126
n127--tuplet--start--1,tuplet,stamp,n127
n129--tuplet--stop--1,tuplet,stamp,n129
n130--tuplet--start--1,tuplet,stamp,n130
n132--tuplet--stop--1,tuplet,stamp,n132
n133--tuplet--start--1,tuplet,stamp,n133
n135--tuplet--stop--1,tuplet,stamp,n135
n136--tuplet--start--1,tuplet,stamp,n136
n138--tuplet--stop--1,tuplet,stamp,n138
n139--tuplet--start--1,tuplet,stamp,n139
n141--tuplet--stop--1,tuplet,stamp,n141
n142--tuplet--start--1,tuplet,stamp,n142
n144--tuplet--stop--1,tuplet,stamp,n144
n145--tuplet--start--1,tuplet,stamp,n145
n147--tuplet--stop--1,tuplet,stamp,n147
n148--tuplet--start--1,tuplet,stamp,n148
n150--tuplet--stop--1,tuplet,stamp,n150
n151--tuplet--start--1,tuplet,stamp,n151
n153--tuplet--stop--1,tuplet,stamp,n153
n154--tuplet--start--1,tuplet,stamp,n154
n156--tuplet--stop--1,tuplet,stamp,n156
n157--tuplet--start--1,tuplet,stamp,n157
n159--tuplet--stop--1,tuplet,stamp,n159
n160--tuplet--start--1,tuplet,stamp,n160
n162--tuplet--stop--1,tuplet,stamp,n162
n163--tuplet--start--1,tuplet,stamp,n163
n165--tuplet--stop--1,tuplet,stamp,n165
n166--tuplet--start--1,tuplet,stamp,n166
n168--tuplet--stop--1,tuplet,stamp,n168
n169--tuplet--start--1,tuplet,stamp,n169
n171--tuplet--stop--1,tuplet,stamp,n171
n172--tuplet--start--1,tuplet,stamp,n172
n174--tuplet--stop--1,tuplet,stamp,n174
n175--tuplet--start--1,tuplet,stamp,n175
n177--tuplet--stop--1,tuplet,stamp,n177
n178--tuplet--start--1,tuplet,stamp,n178
n180--tuplet--stop--1,tuplet,stamp,n180
n181--tuplet--start--1,tuplet,stamp,n181
n183--tuplet--stop--1,tuplet,stamp,n183
n184--tuplet--start--1,tuplet,stamp,n184
n186--tuplet--stop--1,tuplet,stamp,n186
n187--tuplet--start--1,tuplet,stamp,n187
n189--tuplet--stop--1,tuplet,stamp,n189
n190--tuplet--start--1,tuplet,stamp,n190
n192--tuplet--stop--1,tuplet,stamp,n192
n193--tuplet--start--1,tuplet,stamp,n193
n195--tuplet--stop--1,tuplet,stamp,n195
n196--tuplet--start--1,tuplet,stamp,n196
n198--tuplet--stop--1,tuplet,stamp,n198
n199--tuplet--start--1,tuplet,stamp,n199
n201--tuplet--stop--1,tuplet,stamp,n201
n202--tuplet--start--1,tuplet,stamp,n202
n204--tuplet--stop--1,tuplet,stamp,n204
n205--tuplet--start--1,tuplet,stamp,n205
n207--tuplet--stop--1,tuplet,stamp,n207
n208--tuplet--start--1,tuplet,stamp,n208
n210--tuplet--stop--1,tuplet,stamp,n210
n211--tuplet--start--1,tuplet,stamp,n211
n213--tuplet--stop--1,tuplet,stamp,n213
