element_id,original_id,tag,carrier,host_or_staff
n321bcef44c7be07c--slur--start--1,n1--slur--start--1,slur,stamp,n321bcef44c7be07c
e77e7c1a93350c422,md-1-0-1-1,words,md,1
e09e118b32c9d9813,md-1-0-1-2,words,md,1
e3421c06dce67fbb9,md-1-0-1-3,dynamics,md,1
nefa1f323e3fba4b0--slur--start--1,n12--slur--start--1,slur,stamp,nefa1f323e3fba4b0
n97ddaf964b0bae37--tie--1,,tie,derive,n97ddaf964b0bae37
n97ddaf964b0bae37--tied--start--1,n13--tied--start--1,tied,stamp,n97ddaf964b0bae37
n6dde60fdd584586b--slur--stop--1,n21--slur--stop--1,slur,stamp,n6dde60fdd584586b
nbd3b3ea95361ad95--tie--1,,tie,derive,nbd3b3ea95361ad95
nbd3b3ea95361ad95--tied--stop--1,n23--tied--stop--1,tied,stamp,nbd3b3ea95361ad95
e2decb3fa4d9d8982,md-1-2-2-1,pedal,md,2
nf78dec21052a697b--slur--start--1,n32--slur--start--1,slur,stamp,nf78dec21052a697b
n7800ecaf0c39baa4--tie--1,,tie,derive,n7800ecaf0c39baa4
n7800ecaf0c39baa4--tied--start--1,n33--tied--start--1,tied,stamp,n7800ecaf0c39baa4
n16c79a54df616323--slur--stop--1,n41--slur--stop--1,slur,stamp,n16c79a54df616323
n6a8235c75c2c9d98--tie--1,,tie,derive,n6a8235c75c2c9d98
n6a8235c75c2c9d98--tied--stop--1,n43--tied--stop--1,tied,stamp,n6a8235c75c2c9d98
e3c7193657dbee791,md-1-4-1-1,pedal,md,1
nb51bd01290f66f43--slur--start--1,n52--slur--start--1,slur,stamp,nb51bd01290f66f43
ne9525272c27e5c43--slur--stop--1,n60--slur--stop--1,slur,stamp,ne9525272c27e5c43
ec9efd794b566e545,md-1-6-2-1,pedal,md,2
n315faf68b7151352--slur--start--1,n70--slur--start--1,slur,stamp,n315faf68b7151352
e351071a16919c9e3,md-1-7-2-1,wedge,md,2
e3cfbea9145d30bf3,md-1-7-2-2,wedge,md,2
nfe7862701d6557c1--slur--stop--1,n78--slur--stop--1,slur,stamp,nfe7862701d6557c1
n9cdba23acfbafd25--slur--start--1,n88--slur--start--1,slur,stamp,n9cdba23acfbafd25
n0ffd69c8e56f9e1d--tie--1,,tie,derive,n0ffd69c8e56f9e1d
n0ffd69c8e56f9e1d--tied--start--1,n89--tied--start--1,tied,stamp,n0ffd69c8e56f9e1d
nf168428e3d814e18--slur--stop--1,n97--slur--stop--1,slur,stamp,nf168428e3d814e18
