note_id,original_id,bar,voice,staff,ordinal
mn-1-1-1-1,n1,1,1,1,1
mn-1-2-1-1,n2,1,2,1,1
mn-1-2-1-2,n3,1,2,1,2
mn-1-2-1-3,n4,1,2,1,3
mn-1-2-1-4,n5,1,2,1,4
mn-1-2-1-5,n6,1,2,1,5
mn-1-2-1-6,n7,1,2,1,6
mn-1-2-1-7,n8,1,2,1,7
mn-1-2-1-8,n9,1,2,1,8
mn-1-2-1-9,n10,1,2,1,9
mn-1-2-1-10,n11,1,2,1,10
mn-1-2-1-11,n12,1,2,1,11
mn-1-5-2-1,n13,1,5,2,1
mn-1-5-2-2,n14,1,5,2,2
mn-1-5-2-3,n15,1,5,2,3
mn-1-5-2-4,n16,1,5,2,4
mn-1-5-2-5,n17,1,5,2,5
mn-1-5-2-6,n18,1,5,2,6
mn-1-5-2-7,n19,1,5,2,7
mn-1-5-2-8,n20,1,5,2,8
mn-1-5-2-9,n21,1,5,2,9
mn-1-5-2-10,n22,1,5,2,10
mn-2-1-1-1,n23,2,1,1,1
mn-2-2-1-1,n24,2,2,1,1
mn-2-2-1-2,n25,2,2,1,2
mn-2-2-1-3,n26,2,2,1,3
mn-2-2-1-4,n27,2,2,1,4
mn-2-2-1-5,n28,2,2,1,5
mn-2-5-2-1,n29,2,5,2,1
mn-2-5-2-2,n30,2,5,2,2
mn-2-5-2-3,n31,2,5,2,3
mn-2-5-2-4,n32,2,5,2,4
mn-3-1-1-1,n33,3,1,1,1
mn-3-2-1-1,n34,3,2,1,1
mn-3-2-1-2,n35,3,2,1,2
mn-3-2-1-3,n36,3,2,1,3
mn-3-2-1-4,n37,3,2,1,4
mn-3-2-1-5,n38,3,2,1,5
mn-3-2-1-6,n39,3,2,1,6
mn-3-2-1-7,n40,3,2,1,7
mn-3-2-1-8,n41,3,2,1,8
mn-3-2-1-9,n42,3,2,1,9
mn-3-2-1-10,n43,3,2,1,10
mn-3-2-1-11,n44,3,2,1,11
mn-3-2-1-12,n45,3,2,1,12
mn-3-2-1-13,n46,3,2,1,13
mn-3-2-1-14,n47,3,2,1,14
mn-3-2-1-15,n48,3,2,1,15
mn-3-5-2-1,n49,3,5,2,1
mn-3-5-2-2,n50,3,5,2,2
mn-3-5-2-3,n51,3,5,2,3
mn-3-5-2-4,n52,3,5,2,4
mn-3-5-2-5,n53,3,5,2,5
mn-3-5-2-6,n54,3,5,2,6
mn-3-5-2-7,n55,3,5,2,7
mn-3-5-2-8,n56,3,5,2,8
mn-4-1-1-1,n57,4,1,1,1
mn-4-2-1-1,n58,4,2,1,1
mn-4-2-1-2,n59,4,2,1,2
mn-4-2-1-3,n60,4,2,1,3
mn-4-2-1-4,n61,4,2,1,4
mn-4-2-1-5,n62,4,2,1,5
mn-4-2-1-6,n63,4,2,1,6
mn-4-2-1-7,n64,4,2,1,7
mn-4-2-1-8,n65,4,2,1,8
mn-4-5-2-1,n66,4,5,2,1
mn-4-5-2-2,n67,4,5,2,2
mn-4-5-2-3,r1,4,5,2,3
mn-4-6-2-1,r2,4,6,2,1
mn-4-6-2-2,n68,4,6,2,2
mn-4-6-2-3,n69,4,6,2,3
mn-5-1-1-1,n70,5,1,1,1
mn-5-2-1-1,n71,5,2,1,1
mn-5-2-1-2,n72,5,2,1,2
mn-5-2-1-3,n73,5,2,1,3
mn-5-2-1-4,n74,5,2,1,4
mn-5-2-1-5,n75,5,2,1,5
mn-5-5-2-1,n76,5,5,2,1
