element_id,original_id,tag,carrier,host_or_staff
n658e9dae0d5dd64f--slur--start--1,n2--slur--start--1,slur,stamp,n658e9dae0d5dd64f
n2d93465ee535e405--slur--start--1,n21--slur--start--1,slur,stamp,n2d93465ee535e405
n2d93465ee535e405--tenuto--1,,tenuto,derive,n2d93465ee535e405
e0fe415a0821a13e2,md-1-1-1-1,words,md,1
e212474b9cb68c992,md-1-1-1-2,words,md,1
eb3b7ff4f72f0ca8e,md-1-1-1-3,dynamics,md,1
nd2dc8ed934177892--slur--stop--1,n45--slur--stop--1,slur,stamp,nd2dc8ed934177892
n103e6f49076b0eda--tenuto--1,,tenuto,derive,n103e6f49076b0eda
n3c11ba575f9dcf09--slur--stop--1,n47--slur--stop--1,slur,stamp,n3c11ba575f9dcf09
n3c11ba575f9dcf09--tenuto--1,,tenuto,derive,n3c11ba575f9dcf09
nfc50ce424922f935--tie--1,,tie,derive,nfc50ce424922f935
nfc50ce424922f935--tied--start--1,n48--tied--start--1,tied,stamp,nfc50ce424922f935
nfc50ce424922f935--slur--start--1,n48--slur--start--1,slur,stamp,nfc50ce424922f935
nf383c6f5c9f792b9--slur--start--1,n50--slur--start--1,slur,stamp,nf383c6f5c9f792b9
n3977514d99d3e38e--slur--stop--1,n56--slur--stop--1,slur,stamp,n3977514d99d3e38e
na57f5c1004d201f7--slur--start--1,n59--slur--start--1,slur,stamp,na57f5c1004d201f7
n02a96d80aed075e4--slur--stop--1,n68--slur--stop--1,slur,stamp,n02a96d80aed075e4
n50aa8d2484c61f67--slur--stop--1,n71--slur--stop--1,slur,stamp,n50aa8d2484c61f67
n07f4bd2a13419205--tie--1,,tie,derive,n07f4bd2a13419205
n07f4bd2a13419205--tied--stop--1,n72--tied--stop--1,tied,stamp,n07f4bd2a13419205
eb5cb568553284bfb,md-1-3-1-1,wedge,md,1
ef349fd35d312d6a8,md-1-3-1-2,wedge,md,1
n7878c35b70c0d66f--slur--start--1,n74--slur--start--1,slur,stamp,n7878c35b70c0d66f
nbaef43f13b11c954--tie--1,,tie,derive,nbaef43f13b11c954
nbaef43f13b11c954--tied--start--1,n75--tied--start--1,tied,stamp,nbaef43f13b11c954
n0a853f8b8bb02449--tie--1,,tie,derive,n0a853f8b8bb02449
n0a853f8b8bb02449--tied--stop--1,n76--tied--stop--1,tied,stamp,n0a853f8b8bb02449
nd078c6f618390c29--slur--stop--1,n94--slur--stop--1,slur,stamp,nd078c6f618390c29
n8855bba1f87d16e6--tie--1,,tie,derive,n8855bba1f87d16e6
n8855bba1f87d16e6--tied--start--1,n97--tied--start--1,tied,stamp,n8855bba1f87d16e6
nda783d6998bd382e--tie--1,,tie,derive,nda783d6998bd382e
nda783d6998bd382e--tied--stop--1,n98--tied--stop--1,tied,stamp,nda783d6998bd382e
ef987b4834c54b057,md-1-4-1-1,wedge,md,1
e6b4adb4937d2011c,md-1-4-1-2,wedge,md,1
n17154eaa4e8d1754--slur--start--1,n102--slur--start--1,slur,stamp,n17154eaa4e8d1754
n3d2323c4b2d1fb98--slur--start--1,n121--slur--start--1,slur,stamp,n3d2323c4b2d1fb98
n3d2323c4b2d1fb98--tenuto--1,,tenuto,derive,n3d2323c4b2d1fb98
n65b6b304a7f21990--tie--1,,tie,derive,n65b6b304a7f21990
n65b6b304a7f21990--tied--start--1,n123--tied--start--1,tied,stamp,n65b6b304a7f21990
n2edacebf5d466eea--tie--1,,tie,derive,n2edacebf5d466eea
n2edacebf5d466eea--tied--stop--1,n124--tied--stop--1,tied,stamp,n2edacebf5d466eea
e488347c0ae6cb3c0,md-1-5-1-1,dynamics,md,1
n4009f5c77c77b01e--slur--stop--1,n147--slur--stop--1,slur,stamp,n4009f5c77c77b01e
n95df8aeb66cc0975--tenuto--1,,tenuto,derive,n95df8aeb66cc0975
n469f44b5326c870c--slur--stop--1,n149--slur--stop--1,slur,stamp,n469f44b5326c870c
n469f44b5326c870c--tenuto--1,,tenuto,derive,n469f44b5326c870c
nc28758e3d2d7df70--tie--1,,tie,derive,nc28758e3d2d7df70
nc28758e3d2d7df70--tied--start--1,n150--tied--start--1,tied,stamp,nc28758e3d2d7df70
nc28758e3d2d7df70--slur--start--1,n150--slur--start--1,slur,stamp,nc28758e3d2d7df70
n1999e6769e62c98b--slur--start--1,n152--slur--start--1,slur,stamp,n1999e6769e62c98b
