note_id,original_id,printed_bar
nb7f4757287a420f7,n1,1
n658e9dae0d5dd64f,n2,1
n560dca5308d18be9,n3,1
nab84ff73a7aa5887,n4,1
n7e8fa31c90aabcee,n5,1
nba939162274dc902,n6,1
n5742c05d08d3e338,n7,1
n1b9b5aefc74fd0e0,n8,1
n9c1eef0e53541457,n9,1
n8d7e6e95681240f8,n10,1
n305e2c5a98fe8c38,n11,1
nc7618f5a5ec2527d,n12,1
nbe4e3251f6aa2087,n13,1
nb68f32494d8364ce,n14,1
n5007f5a121821191,n15,1
n0814e5102cafe1e9,n16,1
nbfa36049a40a8235,n17,1
ne5e57ea45d7c14ca,n18,1
n5ae0105f0f229bf3,n19,1
n07a8401c67a080da,n20,1
n5243892700411aee,r1,1
n2d93465ee535e405,n21,1
nf86571248ea94daa,n22,1
nad78de304c5d9b7e,n23,1
n28ca5546dee442bc,n24,2
n5b49530b193fd190,n25,2
n6c2a0acb2cfea714,n26,2
nf6cfc37e58a774ea,n27,2
nbdbbf452e32101bb,n28,2
n2382136a40b9ed4a,n29,2
n423ab84810cd9b5d,n30,2
ne0f8fcd37de42567,n31,2
n7107862b77e37797,n32,2
nb8a90b900dcccff1,n33,2
ncea56798138558e5,n34,2
n859df18f7c46eaab,n35,2
n0e110b1c079fbf0a,n36,2
neeb13442b64488ee,n37,2
n1a1830eed8736a2b,n38,2
n3100a6c2d3e2c25e,n39,2
nd34e7b69d44dbd2a,n40,2
n27c04b84239fe65f,n41,2
ne1ce7806b6eb793c,n42,2
nd260bb5483a7fee5,n43,2
n24fac2c9a8890863,n44,2
nd2dc8ed934177892,n45,2
n103e6f49076b0eda,n46,2
n3c11ba575f9dcf09,n47,2
nd7ba0f14f6cc4b85,r2,2
nfc50ce424922f935,n48,2
n5d21e103951cfea7,n49,3
nf383c6f5c9f792b9,n50,3
n242bd5c75fa80f5e,n51,3
n197316d9ca7c3d22,n52,3
n00ae3244b4342461,n53,3
na4b51eb1a35860ad,n54,3
nf4ec4b119a810114,n55,3
n3977514d99d3e38e,n56,3
n27d8f43e22eb1365,n57,3
n565091c8bf7c0498,n58,3
na57f5c1004d201f7,n59,3
n5923abc56ee8ff00,n60,3
n5ff994ebd024dd60,n61,3
nd0c733ed2a192c5a,n62,3
n4309cd6a0fb7e9fb,n63,3
n18385ba1f4831536,n64,3
n4de91365cf8b83ea,n65,3
