element_id,original_id,tag,carrier,host_or_staff
n5d67e6e73447757b--slur--start--1,n1--slur--start--1,slur,stamp,n5d67e6e73447757b
n4dc4292fdf20cff4--slur--stop--1,n4--slur--stop--1,slur,stamp,n4dc4292fdf20cff4
naff3f000b6ec1689--slur--start--1,n5--slur--start--1,slur,stamp,naff3f000b6ec1689
naff3f000b6ec1689--slur--start--2,n5--slur--start--2,slur,stamp,naff3f000b6ec1689
n32ebf281bf4e6a42--slur--stop--1,n8--slur--stop--1,slur,stamp,n32ebf281bf4e6a42
n32ebf281bf4e6a42--slur--stop--2,n8--slur--stop--2,slur,stamp,n32ebf281bf4e6a42
ne785942dc9919b95--slur--start--1,n9--slur--start--1,slur,stamp,ne785942dc9919b95
n34311201c690c006--slur--stop--1,n12--slur--stop--1,slur,stamp,n34311201c690c006
n746986e4a389200c--tenuto--1,,tenuto,derive,n746986e4a389200c
n746986e4a389200c--accent--1,,accent,derive,n746986e4a389200c
n47d876853f4486fd--tenuto--1,,tenuto,derive,n47d876853f4486fd
n47d876853f4486fd--accent--1,,accent,derive,n47d876853f4486fd
n5dd96603c90e8825--tenuto--1,,tenuto,derive,n5dd96603c90e8825
n5dd96603c90e8825--accent--1,,accent,derive,n5dd96603c90e8825
n3756acfbf63ae368--tenuto--1,,tenuto,derive,n3756acfbf63ae368
n3756acfbf63ae368--accent--1,,accent,derive,n3756acfbf63ae368
n1d41d64271c37c34--tenuto--1,,tenuto,derive,n1d41d64271c37c34
n1d41d64271c37c34--accent--1,,accent,derive,n1d41d64271c37c34
e3093a469a39dee96,md-1-1-1-1,words,md,1
e6862ca45a6b63264,md-1-1-1-2,dynamics,md,1
e8b0101e9e44482a2,md-1-1-1-3,words,md,1
e3a94b17fe93347c4,md-1-1-1-4,words,md,1
nd2dc8ed934177892--slur--start--1,n18--slur--start--1,slur,stamp,nd2dc8ed934177892
n24fac2c9a8890863--slur--stop--1,n21--slur--stop--1,slur,stamp,n24fac2c9a8890863
