note_id,original_id,printed_bar
n5d67e6e73447757b,n1,1
n7e8fa31c90aabcee,n2,1
n8d7e6e95681240f8,n3,1
n4dc4292fdf20cff4,n4,1
naff3f000b6ec1689,n5,1
n458516f5c8095a54,n6,1
n833dae28b3b1a9a0,n7,1
n32ebf281bf4e6a42,n8,1
ne785942dc9919b95,n9,1
nff4ed3cae210a789,n10,1
n72025c3b270ff3c6,n11,1
n34311201c690c006,n12,1
n746986e4a389200c,n13,1
n47d876853f4486fd,n14,1
n5dd96603c90e8825,n15,1
n3756acfbf63ae368,n16,1
n1d41d64271c37c34,n17,1
nd2dc8ed934177892,n18,2
nae078dc60fad4cef,n19,2
nd1fb737ebfedd17e,n20,2
n24fac2c9a8890863,n21,2
n12ead37185fe761c,n22,2
nb172668e927ae005,n23,2
n2ced9cc71d7478df,n24,2
n9c3253ed917a33b7,n25,2
n13aefeffaf4c16c7,n26,2
nc36bbc252ee7d5ea,n27,2
n54df70f9bb33ceac,n28,2
n77f4e5a95dfd8722,n29,2
n7446d65ee350910b,n30,2
n26bbcd5dc2a0c1d8,n31,2
ncce0f16ed7fddce5,n32,2
n2869778db6fac086,n33,2
n862a1d6154ab3f68,n34,2
n373a3bfc28f70edf,n35,2
nc28a65ccdc3ce581,n36,2
n06eb2442156c8900,n37,2
n242bd5c75fa80f5e,n38,3
n3977514d99d3e38e,n39,3
n197316d9ca7c3d22,n40,3
n7b0944f85b6ae788,n41,3
nc02ff4b3c47c88b7,n42,3
nc5fa9fa239efe62b,n43,3
n27d8f43e22eb1365,n44,3
nb36400a59e4a0309,n45,3
na9bd51ab9b5512c6,n46,3
n3874f3b41d706f5f,n47,3
nb707619aa4eefbe7,n48,3
n922bd4ab363ec525,n49,3
nc8afaba8cf7b54c6,n50,3
n0a4ed5d30efbc111,n51,3
n9259a4349ef855a3,n52,3
nebe96e7cf97ba43b,n53,3
n72d3cc768a2875f7,n54,3
n204885f279c81fc3,n55,4
nd1bea3ec9845f39b,n56,4
nd953877645d6e99d,n57,4
ncbd5f0f612bc67f2,n58,4
n318898430456e16a,n59,4
n4d04e749c95de838,n60,4
nee42ef47425ddb2c,n61,4
nc0ebfcc162469f75,n62,4
n206b30e78ec974a1,n63,4
n95a5c997fd4db2af,n64,4
n955dc55dd9f9e96a,n65,4
nc59ca3590b40cd92,n66,4
nf5b4e3dab8e74d8c,n67,4
n1dbfed947110fda6,n68,4
nf50ffdc21a108715,n69,4
nf0b97ccb954eb9a0,n70,4
n71db5f4f0d49dddd,n71,4
n4fbcef650dfafb00,n72,4
nd9f0e64f3f0e168b,n73,5
nb7391d286872490b,n74,5
nd8452557ed7bca0f,n75,5
n0e4642b0b27949ad,n76,5
n340050f9c2ca67b3,n77,5
n10420bca444176a7,n78,5
n08566bd87f885ce4,n79,5
nf60dca8f96eda01c,n80,5
nd0537b3dd6a988bc,n81,5
n2d43054e9a13d65c,n82,5
nb9fd992ae53d00ae,n83,5
nc94648abe9ae14bd,n84,5
ncbadc94f7af7b8dd,n85,5
n7ac71d7413ea2cd0,n86,5
nded7081703a7a269,n87,5
n84056ea11c8910ca,n88,5
n3f1298285cb33e29,n89,5
nc28758e3d2d7df70,n90,6
na0d6f0196663c376,n91,6
n6fea75bbc6534a45,n92,6
