element_id,original_id,tag,carrier,host_or_staff
ne3c26e5e8a0aef80--slur--start--1,n1--slur--start--1,slur,stamp,ne3c26e5e8a0aef80
na308daea28de149c--slur--stop--1,n4--slur--stop--1,slur,stamp,na308daea28de149c
e70605fba143ae101,md-1-1-1-1,words,md,1
e5b7fe3ccb79c13f4,md-1-1-1-2,wedge,md,1
e43d9ba33ad423a60,md-1-1-1-3,wedge,md,1
e9218fa8997619e0a,md-1-1-1-4,wedge,md,1
e3b1afd74c68e1a80,md-1-1-1-5,wedge,md,1
nf544c9cfce129b00--slur--start--1,n6--slur--start--1,slur,stamp,nf544c9cfce129b00
nbe9a3ba630719039--slur--stop--1,n9--slur--stop--1,slur,stamp,nbe9a3ba630719039
nbe9a3ba630719039--fermata--upright--1,n9--fermata--upright--1,fermata,stamp,nbe9a3ba630719039
ne4eaf18ed3e06c61--fermata--upright--1,n10--fermata--upright--1,fermata,stamp,ne4eaf18ed3e06c61
n43d938e30fd4aa0b--slur--start--1,n12--slur--start--1,slur,stamp,n43d938e30fd4aa0b
n7444f31905dfb628--slur--start--1,n13--slur--start--1,slur,stamp,n7444f31905dfb628
nf4ec4b119a810114--slur--stop--1,n16--slur--stop--1,slur,stamp,nf4ec4b119a810114
nd1efa3ee9a457a15--slur--stop--1,n17--slur--stop--1,slur,stamp,nd1efa3ee9a457a15
n422d5d0d84f9c480--slur--start--1,n18--slur--start--1,slur,stamp,n422d5d0d84f9c480
n30eee253ff8cab69--slur--start--1,n19--slur--start--1,slur,stamp,n30eee253ff8cab69
n596de61348f04d61--slur--stop--1,n20--slur--stop--1,slur,stamp,n596de61348f04d61
ncddc0f3f3531757a--slur--stop--1,n23--slur--stop--1,slur,stamp,ncddc0f3f3531757a
ncdc2bd026e922046--arpeggiate--1,n24--arpeggiate--1,arpeggiate,stamp,ncdc2bd026e922046
na0916a25f748da92--arpeggiate--1,n25--arpeggiate--1,arpeggiate,stamp,na0916a25f748da92
nc760298ca26086e4--arpeggiate--1,n26--arpeggiate--1,arpeggiate,stamp,nc760298ca26086e4
ndeb50bd9e3012acf--arpeggiate--1,n27--arpeggiate--1,arpeggiate,stamp,ndeb50bd9e3012acf
ncab6cf1d09fa827c--arpeggiate--1,n30--arpeggiate--1,arpeggiate,stamp,ncab6cf1d09fa827c
n4c89e20e28c23a27--arpeggiate--1,n31--arpeggiate--1,arpeggiate,stamp,n4c89e20e28c23a27
n277703b6faab2817--arpeggiate--1,n32--arpeggiate--1,arpeggiate,stamp,n277703b6faab2817
nad433949a7d46829--arpeggiate--1,n33--arpeggiate--1,arpeggiate,stamp,nad433949a7d46829
e6da4b00a9655ee81,md-1-3-1-1,dynamics,md,1
nf137cc890fc54135--slur--start--1,n34--slur--start--1,slur,stamp,nf137cc890fc54135
n0973af80d5beb3f1--slur--start--1,n35--slur--start--1,slur,stamp,n0973af80d5beb3f1
n069975627af4cdfd--slur--stop--1,n36--slur--stop--1,slur,stamp,n069975627af4cdfd
nd3c99b24ce324657--slur--stop--1,n41--slur--stop--1,slur,stamp,nd3c99b24ce324657
n839561be0d85dbb3--fermata--upright--1,n43--fermata--upright--1,fermata,stamp,n839561be0d85dbb3
n5e780c9d2f80e481--arpeggiate--1,n44--arpeggiate--1,arpeggiate,stamp,n5e780c9d2f80e481
n7951028019d2be00--arpeggiate--1,n45--arpeggiate--1,arpeggiate,stamp,n7951028019d2be00
n3bacde8a2a370ce8--arpeggiate--1,n46--arpeggiate--1,arpeggiate,stamp,n3bacde8a2a370ce8
nf5f4944c562e032c--arpeggiate--1,n47--arpeggiate--1,arpeggiate,stamp,nf5f4944c562e032c
n09d9fb1a6e2dd12b--fermata--inverted--1,r7--fermata--inverted--1,fermata,stamp,n09d9fb1a6e2dd12b
eab336fef7db16d12,md-1-4-1-1,octave-shift,md,1
eb2ce2bc17717df94,md-1-4-1-2,octave-shift,md,1
n3d2323c4b2d1fb98--slur--start--1,n48--slur--start--1,slur,stamp,n3d2323c4b2d1fb98
n80594d4259614b79--slur--start--1,n49--slur--start--1,slur,stamp,n80594d4259614b79
nc3f04e9e4bf562f2--slur--stop--1,n51--slur--stop--1,slur,stamp,nc3f04e9e4bf562f2
nd4c2224cac187834--slur--stop--1,n53--slur--stop--1,slur,stamp,nd4c2224cac187834
n0527dd3055249605--slur--start--1,n54--slur--start--1,slur,stamp,n0527dd3055249605
ea45228cad4794053,md-1-5-1-1,dynamics,md,1
n0cd4ebc8c4804db9--slur--stop--1,n57--slur--stop--1,slur,stamp,n0cd4ebc8c4804db9
n2dcd16b823af62ef--fermata--upright--1,n58--fermata--upright--1,fermata,stamp,n2dcd16b823af62ef
n2fb6d326308aba28--fermata--upright--1,n59--fermata--upright--1,fermata,stamp,n2fb6d326308aba28
n956cb618891712db--slur--start--1,n61--slur--start--1,slur,stamp,n956cb618891712db
n5ea0504026292d60--slur--start--1,n62--slur--start--1,slur,stamp,n5ea0504026292d60
nad85ef7de33c8fbd--slur--stop--1,n65--slur--stop--1,slur,stamp,nad85ef7de33c8fbd
n912fa440f9cecf2d--slur--stop--1,n66--slur--stop--1,slur,stamp,n912fa440f9cecf2d
n1f29edba27071981--slur--start--1,n67--slur--start--1,slur,stamp,n1f29edba27071981
n656f15ee3aa1c296--slur--start--1,n68--slur--start--1,slur,stamp,n656f15ee3aa1c296
n2968d799471be38d--slur--stop--1,n69--slur--stop--1,slur,stamp,n2968d799471be38d
nc4b81ff7248e6492--slur--stop--1,n72--slur--stop--1,slur,stamp,nc4b81ff7248e6492
nc546785d982d7ea4--arpeggiate--1,n73--arpeggiate--1,arpeggiate,stamp,nc546785d982d7ea4
nf93873a4b61ba5be--arpeggiate--1,n74--arpeggiate--1,arpeggiate,stamp,nf93873a4b61ba5be
nedca7d52d8c31924--arpeggiate--1,n75--arpeggiate--1,arpeggiate,stamp,nedca7d52d8c31924
na560afe03a32b6e3--arpeggiate--1,n76--arpeggiate--1,arpeggiate,stamp,na560afe03a32b6e3
n5d5c125e93e5ebdd--arpeggiate--1,n79--arpeggiate--1,arpeggiate,stamp,n5d5c125e93e5ebdd
ndc31de83e02ee1fc--arpeggiate--1,n80--arpeggiate--1,arpeggiate,stamp,ndc31de83e02ee1fc
n92cadcaaef7fe424--arpeggiate--1,n81--arpeggiate--1,arpeggiate,stamp,n92cadcaaef7fe424
n5f433a027655b4ce--arpeggiate--1,n82--arpeggiate--1,arpeggiate,stamp,n5f433a027655b4ce
e915df14b40b07dc8,md-1-7-1-1,dynamics,md,1
n8f299d6a6835691a--slur--start--1,n83--slur--start--1,slur,stamp,n8f299d6a6835691a
nae425a5c8a25412b--slur--start--1,n84--slur--start--1,slur,stamp,nae425a5c8a25412b
n77a0a944faa584c9--slur--stop--1,n85--slur--stop--1,slur,stamp,n77a0a944faa584c9
n6d2fc3ec548b705b--slur--stop--1,n90--slur--stop--1,slur,stamp,n6d2fc3ec548b705b
n0c7dae1fddef86ed--fermata--upright--1,n92--fermata--upright--1,fermata,stamp,n0c7dae1fddef86ed
nc769f35e8aea2cb7--arpeggiate--1,n93--arpeggiate--1,arpeggiate,stamp,nc769f35e8aea2cb7
nca3b950a353c9ce4--arpeggiate--1,n94--arpeggiate--1,arpeggiate,stamp,nca3b950a353c9ce4
ned58c78cd8d1f65f--arpeggiate--1,n95--arpeggiate--1,arpeggiate,stamp,ned58c78cd8d1f65f
n22e71bcc969294be--arpeggiate--1,n96--arpeggiate--1,arpeggiate,stamp,n22e71bcc969294be
n5a2a2eb03721bb4c--fermata--inverted--1,r14--fermata--inverted--1,fermata,stamp,n5a2a2eb03721bb4c
e08a3416099c8ee80,md-1-8-1-1,octave-shift,md,1
ee00f44b3395c03b0,md-1-8-1-2,octave-shift,md,1
n737bfb8c861e2632--slur--start--1,n97--slur--start--1,slur,stamp,n737bfb8c861e2632
n893ca967398c7141--slur--stop--1,n99--slur--stop--1,slur,stamp,n893ca967398c7141
nc07b219bc8e99b63--slur--start--1,n100--slur--start--1,slur,stamp,nc07b219bc8e99b63
nb569080fee785f8f--slur--stop--1,n102--slur--stop--1,slur,stamp,nb569080fee785f8f
e0940273ecdf3b04b,md-1-9-1-1,wedge,md,1
ea78830eedb70f96d,md-1-9-1-2,wedge,md,1
e342d7871925abd3e,md-1-9-1-3,wedge,md,1
e04cb3a7128fec757,md-1-9-1-4,wedge,md,1
nce27ae9e730f6adf--slur--start--1,n104--slur--start--1,slur,stamp,nce27ae9e730f6adf
n7fb301b36868524e--slur--stop--1,n105--slur--stop--1,slur,stamp,n7fb301b36868524e
na915d92ee4dcb778--fermata--upright--1,n106--fermata--upright--1,fermata,stamp,na915d92ee4dcb778
nad69b9ce36d6968f--fermata--upright--1,n107--fermata--upright--1,fermata,stamp,nad69b9ce36d6968f
na815a2565843ecb0--slur--start--1,n108--slur--start--1,slur,stamp,na815a2565843ecb0
n79ba8f9f0fc4eba4--slur--start--1,n109--slur--start--1,slur,stamp,n79ba8f9f0fc4eba4
ndc74a929dfbfccf1--slur--stop--1,n112--slur--stop--1,slur,stamp,ndc74a929dfbfccf1
ndac405cc6b6dd579--slur--stop--1,n113--slur--stop--1,slur,stamp,ndac405cc6b6dd579
n26740ff7c20902b0--slur--start--1,n114--slur--start--1,slur,stamp,n26740ff7c20902b0
nc3ddfd2be2f8342f--slur--start--1,n115--slur--start--1,slur,stamp,nc3ddfd2be2f8342f
n56feff75b6d18d23--slur--stop--1,n116--slur--stop--1,slur,stamp,n56feff75b6d18d23
nd4967d9474c6b370--slur--stop--1,n119--slur--stop--1,slur,stamp,nd4967d9474c6b370
nac930f4efa18345f--arpeggiate--1,n120--arpeggiate--1,arpeggiate,stamp,nac930f4efa18345f
nc716fe0c3de26248--arpeggiate--1,n121--arpeggiate--1,arpeggiate,stamp,nc716fe0c3de26248
n7ebb6850319813c4--arpeggiate--1,n122--arpeggiate--1,arpeggiate,stamp,n7ebb6850319813c4
n4cc3cda0e8abd601--arpeggiate--1,n123--arpeggiate--1,arpeggiate,stamp,n4cc3cda0e8abd601
n8a7aae4f31331123--arpeggiate--1,n124--arpeggiate--1,arpeggiate,stamp,n8a7aae4f31331123
nfbc895183e7ec16b--arpeggiate--1,n125--arpeggiate--1,arpeggiate,stamp,nfbc895183e7ec16b
nef4ab19e730b4ba1--arpeggiate--1,n126--arpeggiate--1,arpeggiate,stamp,nef4ab19e730b4ba1
na4b0c4d2aa75e096--arpeggiate--1,n127--arpeggiate--1,arpeggiate,stamp,na4b0c4d2aa75e096
ef3977cdda39fa8e3,md-1-11-1-1,dynamics,md,1
nc360bb877359cee8--slur--start--1,n128--slur--start--1,slur,stamp,nc360bb877359cee8
n2d787c268e5c57cb--slur--start--1,n129--slur--start--1,slur,stamp,n2d787c268e5c57cb
n313ba80d8d952d36--slur--stop--1,n130--slur--stop--1,slur,stamp,n313ba80d8d952d36
nb8759aa26712a151--slur--stop--1,n135--slur--stop--1,slur,stamp,nb8759aa26712a151
n7be9197076abec17--fermata--upright--1,n137--fermata--upright--1,fermata,stamp,n7be9197076abec17
n44bf92618dcbfea7--arpeggiate--1,n138--arpeggiate--1,arpeggiate,stamp,n44bf92618dcbfea7
n28c19fc773782f3b--arpeggiate--1,n139--arpeggiate--1,arpeggiate,stamp,n28c19fc773782f3b
n1cf0908f6d76bfad--arpeggiate--1,n140--arpeggiate--1,arpeggiate,stamp,n1cf0908f6d76bfad
n3e616231dce43df9--arpeggiate--1,n141--arpeggiate--1,arpeggiate,stamp,n3e616231dce43df9
n27746435db0b7d44--fermata--inverted--1,r24--fermata--inverted--1,fermata,stamp,n27746435db0b7d44
e7ef63e0595eb8001,md-1-12-1-1,octave-shift,md,1
