note_id,original_id,printed_bar
ne3c26e5e8a0aef80,n1,1
ne86111b84c992e90,n2,1
n2d93465ee535e405,n3,1
na308daea28de149c,n4,1
ncae0e7ec3634d539,n5,1
nf544c9cfce129b00,n6,2
nd1fb737ebfedd17e,n7,2
nae5acb0fb936e54b,n8,2
nbe9a3ba630719039,n9,2
ne4eaf18ed3e06c61,n10,2
n8d53bfbc7935dfd7,n11,3
n43d938e30fd4aa0b,n12,3
n7444f31905dfb628,n13,3
n102d11f6502b8ce7,n14,3
n434eec59379ae802,n15,3
nf4ec4b119a810114,n16,3
nd1efa3ee9a457a15,n17,3
n7e654cff449b6cf6,r1,3
n422d5d0d84f9c480,n18,3
n30eee253ff8cab69,n19,3
n596de61348f04d61,n20,3
n278bf47581f8818d,n21,3
nb2623d26297089c9,n22,3
ncddc0f3f3531757a,n23,3
ncdc2bd026e922046,n24,3
na0916a25f748da92,n25,3
nc760298ca26086e4,n26,3
ndeb50bd9e3012acf,n27,3
n13af33fe30d02fa9,n28,3
na9b3fff5f538b8be,n29,3
ncab6cf1d09fa827c,n30,3
n4c89e20e28c23a27,n31,3
n277703b6faab2817,n32,3
nad433949a7d46829,n33,3
n79051ba7524c249e,r2,3
ndf3ae15ec11253a0,r3,3
nf125b7771bf02b0c,r4,4
nf137cc890fc54135,n34,4
n0973af80d5beb3f1,n35,4
n069975627af4cdfd,n36,4
nada2c72a987cec44,n37,4
nc9166156c2c21369,n38,4
n70a04c8e675d2c1b,n39,4
nb2a19cb82ecd0135,n40,4
nd3c99b24ce324657,n41,4
ndb002cc0fcee09c7,n42,4
n839561be0d85dbb3,n43,4
n5e780c9d2f80e481,n44,4
n7951028019d2be00,n45,4
n3bacde8a2a370ce8,n46,4
nf5f4944c562e032c,n47,4
na7162275765a331c,r5,4
n94b3d152c8909140,r6,4
n09d9fb1a6e2dd12b,r7,4
n3d2323c4b2d1fb98,n48,5
n80594d4259614b79,n49,5
n7574d87d53eee3ee,n50,5
nc3f04e9e4bf562f2,n51,5
naa668d9e2732538d,n52,5
nd4c2224cac187834,n53,5
n0527dd3055249605,n54,5
n6dfaef3e97eb1501,n55,5
na06ef1435d15dd1b,n56,6
n0cd4ebc8c4804db9,n57,6
