element_id,tag,carrier,host_or_staff
md-1-0-1-1,words,md,1
md-1-0-1-2,dynamics,md,1
mn-1-1-1-1-3--inverted-mordent--1,inverted-mordent,derive,mn-1-1-1-1-3
md-1-1-1-1,words,md,1
md-1-1-1-2,words,md,1
mn-1-2-1-1-6--staccatissimo--1,staccatissimo,derive,mn-1-2-1-1-6
mn-1-3-1-1-4--staccatissimo--1,staccatissimo,derive,mn-1-3-1-1-4
mn-1-3-1-1-5--trill-mark--1,trill-mark,derive,mn-1-3-1-1-5
md-1-4-1-1,dynamics,md,1
md-1-5-1-1,words,md,1
md-1-5-1-2,words,md,1
mn-1-7-1-1-7--inverted-mordent--1,inverted-mordent,derive,mn-1-7-1-1-7
md-1-9-1-1,dynamics,md,1
mn-1-10-1-1-3--inverted-mordent--1,inverted-mordent,derive,mn-1-10-1-1-3
md-1-13-2-1,dynamics,md,2
md-1-14-1-1,dynamics,md,1
mn-1-16-1-1-6--inverted-mordent--1,inverted-mordent,derive,mn-1-16-1-1-6
mn-1-20-1-1-8--tied--start--1,tied,stamp,mn-1-20-1-1-8
mn-1-21-1-1-1--tied--stop--1,tied,stamp,mn-1-21-1-1-1
mn-1-22-1-1-3--turn--1,turn,derive,mn-1-22-1-1-3
md-1-23-1-1,dynamics,md,1
md-1-24-1-1,dynamics,md,1
mn-1-25-1-1-6--inverted-mordent--1,inverted-mordent,derive,mn-1-25-1-1-6
mn-1-28-1-1-2--tied--start--1,tied,stamp,mn-1-28-1-1-2
mn-1-28-1-1-3--tied--stop--1,tied,stamp,mn-1-28-1-1-3
mn-1-28-6-2-1--tied--start--1,tied,stamp,mn-1-28-6-2-1
mn-1-29-1-1-1--slur--start--1,slur,stamp,mn-1-29-1-1-1
mn-1-29-1-1-3--slur--stop--1,slur,stamp,mn-1-29-1-1-3
mn-1-29-1-1-5--turn--1,turn,derive,mn-1-29-1-1-5
mn-1-29-6-2-1--tied--stop--1,tied,stamp,mn-1-29-6-2-1
mn-1-30-1-1-2--slur--start--1,slur,stamp,mn-1-30-1-1-2
mn-1-30-1-1-3--slur--stop--1,slur,stamp,mn-1-30-1-1-3
mn-1-31-1-1-1--slur--start--1,slur,stamp,mn-1-31-1-1-1
mn-1-31-1-1-3--slur--stop--1,slur,stamp,mn-1-31-1-1-3
mn-1-31-6-2-3--tied--start--1,tied,stamp,mn-1-31-6-2-3
mn-1-32-6-2-1--tied--stop--1,tied,stamp,mn-1-32-6-2-1
mn-1-34-1-1-3--slur--start--1,slur,stamp,mn-1-34-1-1-3
mn-1-35-1-1-4--slur--stop--1,slur,stamp,mn-1-35-1-1-4
md-1-35-1-1,dynamics,md,1
mn-1-36-1-1-3--inverted-mordent--1,inverted-mordent,derive,mn-1-36-1-1-3
mn-1-37-1-1-6--staccatissimo--1,staccatissimo,derive,mn-1-37-1-1-6
mn-1-38-1-1-4--staccatissimo--1,staccatissimo,derive,mn-1-38-1-1-4
mn-1-38-1-1-5--inverted-mordent--1,inverted-mordent,derive,mn-1-38-1-1-5
mn-1-40-1-1-1--tuplet--start--1,tuplet,stamp,mn-1-40-1-1-1
mn-1-40-1-1-2--slur--start--1,slur,stamp,mn-1-40-1-1-2
mn-1-40-1-1-6--tuplet--stop--1,tuplet,stamp,mn-1-40-1-1-6
mn-1-40-1-1-6--slur--stop--1,slur,stamp,mn-1-40-1-1-6
mn-1-41-1-1-3--tuplet--start--1,tuplet,stamp,mn-1-41-1-1-3
mn-1-41-1-1-8--tuplet--stop--1,tuplet,stamp,mn-1-41-1-1-8
mn-1-42-1-1-1--tuplet--start--1,tuplet,stamp,mn-1-42-1-1-1
mn-1-42-1-1-6--tuplet--stop--1,tuplet,stamp,mn-1-42-1-1-6
mn-1-42-1-1-7--tuplet--start--1,tuplet,stamp,mn-1-42-1-1-7
mn-1-42-1-1-12--tuplet--stop--1,tuplet,stamp,mn-1-42-1-1-12
mn-1-42-5-2-4--staccatissimo--1,staccatissimo,derive,mn-1-42-5-2-4
mn-1-42-5-2-5--staccatissimo--1,staccatissimo,derive,mn-1-42-5-2-5
mn-1-43-1-1-1--tuplet--start--1,tuplet,stamp,mn-1-43-1-1-1
mn-1-43-1-1-6--tuplet--stop--1,tuplet,stamp,mn-1-43-1-1-6
mn-1-43-1-1-7--tuplet--start--1,tuplet,stamp,mn-1-43-1-1-7
mn-1-43-1-1-12--tuplet--stop--1,tuplet,stamp,mn-1-43-1-1-12
mn-1-43-5-2-1--staccatissimo--1,staccatissimo,derive,mn-1-43-5-2-1
mn-1-43-5-2-2--staccatissimo--1,staccatissimo,derive,mn-1-43-5-2-2
mn-1-43-5-2-3--staccatissimo--1,staccatissimo,derive,mn-1-43-5-2-3
mn-1-43-5-2-4--staccatissimo--1,staccatissimo,derive,mn-1-43-5-2-4
mn-1-44-1-1-3--tuplet--start--1,tuplet,stamp,mn-1-44-1-1-3
mn-1-44-1-1-8--tuplet--stop--1,tuplet,stamp,mn-1-44-1-1-8
mn-1-45-1-1-1--tuplet--start--1,tuplet,stamp,mn-1-45-1-1-1
mn-1-45-1-1-6--tuplet--stop--1,tuplet,stamp,mn-1-45-1-1-6
mn-1-45-1-1-7--tuplet--start--1,tuplet,stamp,mn-1-45-1-1-7
mn-1-45-1-1-12--tuplet--stop--1,tuplet,stamp,mn-1-45-1-1-12
mn-1-46-1-1-1--tuplet--start--1,tuplet,stamp,mn-1-46-1-1-1
mn-1-46-1-1-6--tuplet--stop--1,tuplet,stamp,mn-1-46-1-1-6
mn-1-46-1-1-7--tuplet--start--1,tuplet,stamp,mn-1-46-1-1-7
mn-1-46-1-1-12--tuplet--stop--1,tuplet,stamp,mn-1-46-1-1-12
mn-1-47-1-1-1--tuplet--start--1,tuplet,stamp,mn-1-47-1-1-1
mn-1-47-1-1-6--tuplet--stop--1,tuplet,stamp,mn-1-47-1-1-6
mn-1-47-1-1-8--inverted-mordent--1,inverted-mordent,derive,mn-1-47-1-1-8
mn-1-49-1-1-1--tuplet--start--1,tuplet,stamp,mn-1-49-1-1-1
