note_id,original_id,printed_bar
n374ea476296bd280,n1,1
n9d5c4a3d0b3717df,n2,1
naf229ed716ef0749,n3,1
n5243892700411aee,n4,1
na32f5481b67cf4bc,n5,1
n414c0e4b21460ae2,n6,2
nc79ec70d2f260877,n7,2
ncbfcaf6f19633f37,n8,2
ne49662638dbd06f3,n9,2
naede2fda83d1c5c5,n10,2
n6d593addcea3768f,n11,2
ncce0f16ed7fddce5,n12,2
n755ac5c42570da7d,n13,2
n2869778db6fac086,n14,2
nbb268a4b8389b292,n15,2
na2ced6536b093371,n16,2
n3307e3b4fb652962,n17,2
nfb351f1289a973d2,n18,2
n2dcad72939046a89,n19,2
nbbffe3bdb053ef1b,n20,2
n277703b6faab2817,n21,3
n8d53bfbc7935dfd7,n22,3
n18385ba1f4831536,n23,3
n48451aa65fb067bc,n24,3
n2c44feeaaa0df32f,n25,3
n43d938e30fd4aa0b,n26,3
ncab6cf1d09fa827c,n27,3
nc760298ca26086e4,n28,3
n7e654cff449b6cf6,n29,3
n881d1f9bdee7d909,n30,3
nad433949a7d46829,n31,3
na9b3fff5f538b8be,n32,3
ndf3ae15ec11253a0,n33,3
n5e6880f1b15e9021,n34,4
n4b15dfe592425502,n35,4
neb59aeb7727aa5f6,n36,4
nda783d6998bd382e,n37,4
n7951028019d2be00,n38,4
necff1b4fbaf526f4,n39,4
n91e19694bc2ae409,n40,4
n15d8509c7a71e444,n41,4
n480edb92ecede17a,n42,4
n839561be0d85dbb3,n43,4
n80dc5204e900537f,n44,4
n9cb3bfabd9f4a380,n45,4
naa668d9e2732538d,n46,5
nb4948127f442ed70,n47,5
n48b1f48488ba08a7,n48,5
nb20e8400bc955275,n49,5
n8699d28316839f7e,n50,5
n390a4ba69a32e4e9,n51,5
n93c7f905953afcbd,n52,5
nc8e0927d98738b38,n53,5
n94e2cc9a55eaf3af,n54,5
n729603f1d607f302,n55,5
nb2524438f892cad2,n56,5
ndf23df35c3ff790b,n57,5
n9e4f90c5c1d999a3,n58,5
ne1c771ae7b2e0786,n59,5
ne291feb268162aee,n60,5
n106e407cae7a0404,n61,6
n11e9440ac6ca062d,n62,6
nb3edc6aa17c823d7,n63,6
n9c3e0811308a4af6,n64,6
n9d94e6b112ebabba,n65,6
n22866a1d60cb2414,n66,6
ncade30a72fce99de,n67,6
n8d0d8a3807fb686d,n68,6
nd91b092998b0618b,n69,6
n7566d71535363d1a,n70,6
n3499e1bbc24ab7a0,n71,6
nf2b8ee9c500ebb49,n72,6
n14ed14fa3de68211,n73,6
n2e5218e3cfa0f7dc,n74,6
n07c81f462ae0a577,n75,6
n9e607b29b20775db,n76,6
ne46e98dc525e0794,n77,7
n64db7fe1ef2ba8b9,n78,7
nd422597ad7ace9dd,n79,7
n3d60a8611ca5bfd7,n80,7
nbdd057767f43a001,n81,7
n1424b12133f04778,n82,7
n4c7891630c80a0b2,n83,7
ndf7004fea2c3f2e2,n84,7
n72e3589e0fecafd0,n85,7
n2d593722a96d2213,n86,7
n177208d03b960a2f,n87,7
ncaa3995f7a21fb10,n88,7
n8d08c7d3cc21c728,n89,7
n3385b4c76df2d62b,n90,7
n2176f9024ff8a5b3,n91,7
n3b8eb5c211747a8f,n92,8
n93fe1ecd806a54c9,n93,8
nc2fa771c1f0296d5,n94,8
nb300e2bed26479e5,n95,8
ne3cfc73603897002,n96,8
n49a15ea7e6973eea,n97,8
n75e5ba804a0a28ef,n98,8
n27274b558864e981,n99,8
n25b335f8bc52bd78,n100,8
n1d2fa915f185ec70,n101,8
ne1c6e43b43607fdd,n102,8
nb3c94b682868dd11,n103,8
n831da31669876b4a,n104,8
n0c7dae1fddef86ed,n105,8
nfd2fbaf84dd87183,n106,8
na152b68c7b70e341,n107,9
n8e8ebd6605e4d8d5,n108,9
n9dd4da22af451d82,n109,9
n74d573ae7a0fed95,n110,9
n3f8aebc384bf40b2,n111,10
n871d8cb82102b16e,n112,10
n704a74197f08df66,n113,10
nc950d2dd8506e325,n114,10
n924e8228ccd470db,n115,10
n95a382177377375b,n116,11
n7ebb6850319813c4,n117,11
nc44c696196e7276e,n118,11
nad5b8b651bca7c4e,n119,11
n9c80d5815d77afd5,n120,11
n96d776cc9d3939dc,n121,11
n1db55a06d34248a4,n122,11
ne1c356f2917aa24c,n123,11
nd11c8bac064a92b0,n124,11
n026e53605f692f29,n125,11
ne2ba68a818820b0e,n126,11
n2781ee3aac4d04a9,n127,11
nb440df1d74f75d5a,n128,11
nfafdf57f6d225429,n129,11
nb1795f4f400284bb,n130,11
nb6bfc997ce678f0e,n131,12
nd1314035f3eeac56,n132,12
n57e7ef7a44e5c997,n133,12
nf14a82c30c596599,n134,12
ne17e57b4f467f7d8,n135,12
nc36570c4d64f1e25,n136,12
nbbf99a6054ea7914,n137,12
n92bb659168173237,n138,12
n7fe4c5557afdef06,n139,12
n3ae0a6a7a2848405,n140,12
n27746435db0b7d44,n141,12
n00d62fb2fd30e8f7,n142,13
nd0c85a27b5bbb970,n143,13
ncc12d045ff1d2a69,n144,13
ndad217f9f5b29e41,n145,13
na5eaca034f8dc1e3,n146,13
n47b5a7f877d5af38,n147,13
n86de05808313c7a8,n148,13
nf0d4cf4292ef16a9,n149,13
n195da761a6d8139d,n150,13
n0a7381e2e5749c43,n151,13
nabed29543d31966f,n152,13
n6633a1f35cedfeb3,n153,13
n9f5a89c144e78432,n154,14
n2fbb5dd9616ece05,n155,14
n13e496d8b0df6e6e,n156,14
n9bf8f8cce5a1fe3f,n157,14
ncb941bfb7c438115,n158,14
ncb2922097577b202,n159,14
n36db937c4c999d20,n160,14
n956c949c87573d58,n161,14
n558f8e8f8f4ca7ea,n162,15
nb3e9553dd2ec2710,n163,15
n6195b2d07600a4f9,n164,15
necb70f37a91e5132,n165,15
neaead65fac6a6703,n166,15
n659892dd22b4e0f6,n167,15
nfead0c648ca2df19,n168,15
n30ad7995561989e3,n169,15
n46522ed6ca9a5aab,n170,15
n4227940e5b3f2651,n171,15
nc09af0278c24613c,n172,16
nd4ac921cd550eab8,n173,16
n00593512265182c7,n174,16
n60bb77cc1f3f3740,n175,16
na31711d6a7f7607f,n176,16
nc1c8090cc7d27f2e,n177,16
n1ef515acecf584ad,n178,16
nc3ccfd3ca8a85e54,n179,16
n365f55f71796ba50,n180,16
n4b4c7f07218e39a6,n181,17
n1d1422b3f54dc758,n182,17
n8ce84599afb2565b,n183,17
n90ed23a8d6ff490b,n184,17
n4fe9d828a135d572,n185,17
nd6d6d593c8d3e0b9,n186,17
nbfd1c8c39ab66844,n187,17
n9d93d53f3200aa88,n188,17
nd04d9254bafbe889,n189,17
n88033b58f1e30944,n190,17
n945c37199a6375b7,n191,18
na93080b7fe301ad0,n192,18
nf48225dec7f46a14,n193,18
nbe806af7fdefcf27,n194,19
n9e4eab759b5a86cf,n195,19
nd23b9df67b627254,n196,19
n75d1619ae7ae68c5,n197,19
n071b3b42633ae71d,n198,20
n1c5df2f3319b9d6f,n199,20
nb8ede1508026b981,n200,20
n392c5a1d64975995,n201,20
nf9409a97ee4675fc,n202,20
n2679ff954fbe971b,n203,20
n235ef1bd8c4b9cbb,n204,20
ncc6be1324813cd55,n205,21
n6b3b512d41ec55df,n206,21
n87f7706f1b22ea10,n207,21
na57b16664918a8fc,n208,21
n6c4d27cdfba347db,n209,21
n14b376bb5aaf81cd,n210,21
n786fbbec8d634f14,n211,21
n222a16054a3bc299,n212,21
nbe65e89294665b24,n213,21
n8b971b7fe63bee14,n214,21
n584b37b35a8c5eec,n215,21
nce2cd74ad7321266,n216,22
n9c74c8ac05e6340e,n217,22
n4cfb73a9622c1a79,n218,22
nbb35854a0a8fd457,n219,22
ne82cc2db05c82204,n220,22
n6a4a4fe3b4a3c845,n221,22
n4807e79e77648ccc,n222,22
n10f2dd04b79e7df9,n223,22
n80517eccab6c1876,n224,22
nc3f506e3d06e71d6,n225,23
n9ec29f7f3b4a4bf0,n226,23
n397082b9eb345cdb,n227,23
n2c7f7ae99cffbdd7,n228,23
n109c8199485eca10,n229,23
n468c321dc2335f24,n230,23
n4f815131a87296f6,n231,23
n0cbd264e7422212e,n232,23
na14ab1286e2018cb,n233,24
n0585392836861027,n234,24
nc20454ec269fc70f,n235,24
nc7416e5c560dcfa1,n236,24
nd172cb2908e8aa3b,n237,24
n208470b3a1ea5ee8,n238,24
nd292f0f50f488a2a,n239,24
n9b2b8f39c055b627,n240,25
n727baabf3a666324,n241,25
nd553906969825ba3,n242,25
n5542d107f11b3f39,n243,25
n131b04c11c89ed83,n244,25
nf8e6084d77fc1c9e,n245,25
n60c8e698fa0b4ae9,n246,25
nc4afaf77d01fcebf,n247,25
n31fd8288436658e3,n248,25
n71f15a1bc6f123a0,n249,26
