element_id,original_id,tag,carrier,host_or_staff
n87a1d263816d23ba--slur--start--1,n2--slur--start--1,slur,stamp,n87a1d263816d23ba
nb3a7081405b0bb00--tie--1,,tie,derive,nb3a7081405b0bb00
nb3a7081405b0bb00--tied--start--1,n3--tied--start--1,tied,stamp,nb3a7081405b0bb00
nb3a7081405b0bb00--slur--stop--1,n3--slur--stop--1,slur,stamp,nb3a7081405b0bb00
n73c310f9949d5eb3--tie--1,,tie,derive,n73c310f9949d5eb3
n73c310f9949d5eb3--tied--stop--1,n4--tied--stop--1,tied,stamp,n73c310f9949d5eb3
e6862ca45a6b63264,md-1-1-1-1,dynamics,md,1
e9d744fd101aeab5e,md-1-1-1-2,words,md,1
na28141497c71a380--slur--start--1,n20--slur--start--1,slur,stamp,na28141497c71a380
nf172ba07e87c4bd7--slur--stop--1,n21--slur--stop--1,slur,stamp,nf172ba07e87c4bd7
n391f38c138fb9d81--slur--start--1,n23--slur--start--1,slur,stamp,n391f38c138fb9d81
ne82ca505d3accc70--slur--stop--1,n24--slur--stop--1,slur,stamp,ne82ca505d3accc70
nfdf0ce752f843f01--slur--start--1,n40--slur--start--1,slur,stamp,nfdf0ce752f843f01
n0461626916fa1bd1--slur--stop--1,n41--slur--stop--1,slur,stamp,n0461626916fa1bd1
efda89137dfa35a51,md-1-3-1-1,words,md,1
n0fff4cfa3bd63873--tuplet--start--1,n58--tuplet--start--1,tuplet,stamp,n0fff4cfa3bd63873
n0fff4cfa3bd63873--slur--start--1,n58--slur--start--1,slur,stamp,n0fff4cfa3bd63873
nb6a52efaa72257a2--tuplet--stop--1,n60--tuplet--stop--1,tuplet,stamp,nb6a52efaa72257a2
nf3c209dd8890c7ee--tuplet--start--1,n61--tuplet--start--1,tuplet,stamp,nf3c209dd8890c7ee
nbaef43f13b11c954--tuplet--stop--1,n63--tuplet--stop--1,tuplet,stamp,nbaef43f13b11c954
n33178c321da473cb--tuplet--start--1,n64--tuplet--start--1,tuplet,stamp,n33178c321da473cb
n5e6880f1b15e9021--tuplet--stop--1,n66--tuplet--stop--1,tuplet,stamp,n5e6880f1b15e9021
nd078c6f618390c29--tuplet--start--1,n67--tuplet--start--1,tuplet,stamp,nd078c6f618390c29
nb52234e10df4f434--tuplet--stop--1,n69--tuplet--stop--1,tuplet,stamp,nb52234e10df4f434
nb52234e10df4f434--slur--stop--1,n69--slur--stop--1,slur,stamp,nb52234e10df4f434
n1c74d15b870b6113--tie--1,,tie,derive,n1c74d15b870b6113
n1c74d15b870b6113--tied--start--1,n70--tied--start--1,tied,stamp,n1c74d15b870b6113
na1f9caa96929fcb5--tie--1,,tie,derive,na1f9caa96929fcb5
na1f9caa96929fcb5--tied--stop--1,n71--tied--stop--1,tied,stamp,na1f9caa96929fcb5
edd019855383f550e,md-1-4-1-1,words,md,1
ebcd6425ded24e649,md-1-4-1-2,words,md,1
nf31c5ecc00e2438a--slur--start--1,n81--slur--start--1,slur,stamp,nf31c5ecc00e2438a
na79718485a5d26a7--tuplet--start--1,n82--tuplet--start--1,tuplet,stamp,na79718485a5d26a7
na79718485a5d26a7--slur--stop--1,n82--slur--stop--1,slur,stamp,na79718485a5d26a7
n9df0f250d3fe9723--slur--start--1,n83--slur--start--1,slur,stamp,n9df0f250d3fe9723
n1c090eadc68d00c1--tuplet--stop--1,n84--tuplet--stop--1,tuplet,stamp,n1c090eadc68d00c1
nfa8932ab10d37702--tuplet--start--1,n85--tuplet--start--1,tuplet,stamp,nfa8932ab10d37702
n2395f923c740d2a1--tuplet--stop--1,n87--tuplet--stop--1,tuplet,stamp,n2395f923c740d2a1
n2395f923c740d2a1--slur--stop--1,n87--slur--stop--1,slur,stamp,n2395f923c740d2a1
n14a4539d05df596e--slur--start--1,n89--slur--start--1,slur,stamp,n14a4539d05df596e
n05dc3b6a4f0c0e63--slur--stop--1,n90--slur--stop--1,slur,stamp,n05dc3b6a4f0c0e63
nc02f9efbe2510d1c--trill-mark--1,,trill-mark,derive,nc02f9efbe2510d1c
n59b59db6acb66d10--slur--start--1,n106--slur--start--1,slur,stamp,n59b59db6acb66d10
nf6409c87c33f4578--slur--stop--1,n108--slur--stop--1,slur,stamp,nf6409c87c33f4578
n95df8aeb66cc0975--tie--1,,tie,derive,n95df8aeb66cc0975
n95df8aeb66cc0975--tied--start--1,n110--tied--start--1,tied,stamp,n95df8aeb66cc0975
nd910cd2deec31454--tie--1,,tie,derive,nd910cd2deec31454
nd910cd2deec31454--tied--stop--1,n111--tied--stop--1,tied,stamp,nd910cd2deec31454
nd910cd2deec31454--tuplet--start--1,n111--tuplet--start--1,tuplet,stamp,nd910cd2deec31454
nd910cd2deec31454--slur--start--1,n111--slur--start--1,slur,stamp,nd910cd2deec31454
n1b683824bf93249f--tuplet--stop--1,n113--tuplet--stop--1,tuplet,stamp,n1b683824bf93249f
n6b67645500eb07f8--tuplet--start--1,n114--tuplet--start--1,tuplet,stamp,n6b67645500eb07f8
naf16390f728fc916--tuplet--stop--1,n116--tuplet--stop--1,tuplet,stamp,naf16390f728fc916
naf16390f728fc916--slur--stop--1,n116--slur--stop--1,slur,stamp,naf16390f728fc916
nc3f3cd9ba869f397--tuplet--start--1,n131--tuplet--start--1,tuplet,stamp,nc3f3cd9ba869f397
nc3f3cd9ba869f397--slur--start--1,n131--slur--start--1,slur,stamp,nc3f3cd9ba869f397
nd98f519f770552a4--tuplet--stop--1,n133--tuplet--stop--1,tuplet,stamp,nd98f519f770552a4
n69c4eeca6d577039--tuplet--start--1,n134--tuplet--start--1,tuplet,stamp,n69c4eeca6d577039
n701e49c8a2ff9bf3--tuplet--stop--1,n136--tuplet--stop--1,tuplet,stamp,n701e49c8a2ff9bf3
n701e49c8a2ff9bf3--slur--stop--1,n136--slur--stop--1,slur,stamp,n701e49c8a2ff9bf3
nb4383bc43f3b3fef--tuplet--start--1,n137--tuplet--start--1,tuplet,stamp,nb4383bc43f3b3fef
nb4383bc43f3b3fef--slur--start--1,n137--slur--start--1,slur,stamp,nb4383bc43f3b3fef
nad85ef7de33c8fbd--tuplet--stop--1,n139--tuplet--stop--1,tuplet,stamp,nad85ef7de33c8fbd
n100abe2cf7ae0a88--tuplet--start--1,n140--tuplet--start--1,tuplet,stamp,n100abe2cf7ae0a88
n5f43df3cdfb1f369--tuplet--stop--1,n142--tuplet--stop--1,tuplet,stamp,n5f43df3cdfb1f369
n5f43df3cdfb1f369--slur--stop--1,n142--slur--stop--1,slur,stamp,n5f43df3cdfb1f369
n4506340d9ae3b21d--tuplet--start--1,n143--tuplet--start--1,tuplet,stamp,n4506340d9ae3b21d
n4506340d9ae3b21d--slur--start--1,n143--slur--start--1,slur,stamp,n4506340d9ae3b21d
n0f4b2a541637ca42--tuplet--stop--1,n145--tuplet--stop--1,tuplet,stamp,n0f4b2a541637ca42
n90846a76d4682add--tuplet--start--1,n146--tuplet--start--1,tuplet,stamp,n90846a76d4682add
nd31df4aa981d39eb--tuplet--stop--1,n148--tuplet--stop--1,tuplet,stamp,nd31df4aa981d39eb
nd31df4aa981d39eb--slur--stop--1,n148--slur--stop--1,slur,stamp,nd31df4aa981d39eb
n408a3b14d044d0fe--tuplet--start--1,n149--tuplet--start--1,tuplet,stamp,n408a3b14d044d0fe
n408a3b14d044d0fe--slur--start--1,n149--slur--start--1,slur,stamp,n408a3b14d044d0fe
ne92402f658e01d9d--tuplet--stop--1,n151--tuplet--stop--1,tuplet,stamp,ne92402f658e01d9d
nde5d2fc59293151a--tuplet--start--1,n152--tuplet--start--1,tuplet,stamp,nde5d2fc59293151a
n6188c99360e329c7--tuplet--stop--1,n154--tuplet--stop--1,tuplet,stamp,n6188c99360e329c7
n6188c99360e329c7--slur--stop--1,n154--slur--stop--1,slur,stamp,n6188c99360e329c7
nd05af4e89618a6cc--slur--start--1,n160--slur--start--1,slur,stamp,nd05af4e89618a6cc
n4b14f1aa767b0fc6--slur--stop--1,n161--slur--stop--1,slur,stamp,n4b14f1aa767b0fc6
n4c3d4ccfc9853b78--trill-mark--1,,trill-mark,derive,n4c3d4ccfc9853b78
naabc519319abee46--slur--start--1,n163--slur--start--1,slur,stamp,naabc519319abee46
nfd2fbaf84dd87183--slur--stop--1,n165--slur--stop--1,slur,stamp,nfd2fbaf84dd87183
n2c248a8d73ecdcf9--slur--start--1,n182--slur--start--1,slur,stamp,n2c248a8d73ecdcf9
n7f20b38988aeb748--slur--stop--1,n185--slur--stop--1,slur,stamp,n7f20b38988aeb748
n32307398831dd96c--slur--start--1,n187--slur--start--1,slur,stamp,n32307398831dd96c
n6634915e2083f366--slur--stop--1,n189--slur--stop--1,slur,stamp,n6634915e2083f366
n6634915e2083f366--slur--start--2,n189--slur--start--2,slur,stamp,n6634915e2083f366
n1e3065ce338dfb43--slur--start--1,n190--slur--start--1,slur,stamp,n1e3065ce338dfb43
n08d24d4c98f0548d--slur--stop--1,n191--slur--stop--1,slur,stamp,n08d24d4c98f0548d
nce33542fb1f395d1--slur--stop--1,n192--slur--stop--1,slur,stamp,nce33542fb1f395d1
n43ca3e3298d5c43b--slur--start--1,n194--slur--start--1,slur,stamp,n43ca3e3298d5c43b
n5cc917698cc8d6e3--slur--stop--1,n195--slur--stop--1,slur,stamp,n5cc917698cc8d6e3
n5cc917698cc8d6e3--inverted-mordent--1,,inverted-mordent,derive,n5cc917698cc8d6e3
n18d63140d9fdc88b--slur--start--1,n211--slur--start--1,slur,stamp,n18d63140d9fdc88b
n6bc813a47c78bbe1--slur--stop--1,n212--slur--stop--1,slur,stamp,n6bc813a47c78bbe1
n5793849a623878f8--tuplet--start--1,n214--tuplet--start--1,tuplet,stamp,n5793849a623878f8
n5793849a623878f8--slur--start--1,n214--slur--start--1,slur,stamp,n5793849a623878f8
n94cc84b87529526e--tuplet--stop--1,n216--tuplet--stop--1,tuplet,stamp,n94cc84b87529526e
na9b414bc4a5d43f1--tuplet--start--1,n217--tuplet--start--1,tuplet,stamp,na9b414bc4a5d43f1
nbb2c1a435bee790d--tuplet--stop--1,n219--tuplet--stop--1,tuplet,stamp,nbb2c1a435bee790d
ncbbca07ac649eb8d--tuplet--start--1,n220--tuplet--start--1,tuplet,stamp,ncbbca07ac649eb8d
ne393ca86fcfdbb1a--tuplet--stop--1,n222--tuplet--stop--1,tuplet,stamp,ne393ca86fcfdbb1a
na191b98399e47a93--tuplet--start--1,n223--tuplet--start--1,tuplet,stamp,na191b98399e47a93
n7a8415db29ed547a--tuplet--stop--1,n225--tuplet--stop--1,tuplet,stamp,n7a8415db29ed547a
n7a8415db29ed547a--slur--stop--1,n225--slur--stop--1,slur,stamp,n7a8415db29ed547a
n9a2309165db91324--tie--1,,tie,derive,n9a2309165db91324
n9a2309165db91324--tied--start--1,n236--tied--start--1,tied,stamp,n9a2309165db91324
n7dc5d83c4a903d15--tie--1,,tie,derive,n7dc5d83c4a903d15
n7dc5d83c4a903d15--tied--stop--1,n237--tied--stop--1,tied,stamp,n7dc5d83c4a903d15
n7dc5d83c4a903d15--slur--start--1,n237--slur--start--1,slur,stamp,n7dc5d83c4a903d15
n4b721d24e25b2551--slur--stop--1,n239--slur--stop--1,slur,stamp,n4b721d24e25b2551
n51a1c4d8f3d33c87--slur--start--1,n240--slur--start--1,slur,stamp,n51a1c4d8f3d33c87
nb5775833aaf7cd65--slur--stop--1,n241--slur--stop--1,slur,stamp,nb5775833aaf7cd65
