element_id,original_id,tag,carrier,host_or_staff
eb6e7dd019b125077,md-1-0-1-1,words,md,1
ed7974e5bb14222e8,md-1-0-1-2,dynamics,md,1
nee683076c4ab0f1b--tuplet--start--1,n4--tuplet--start--1,tuplet,stamp,nee683076c4ab0f1b
n2cdc9dd33b10ff7d--tuplet--stop--1,n12--tuplet--stop--1,tuplet,stamp,n2cdc9dd33b10ff7d
n63ec6c04ab0ecd46--tuplet--start--1,n13--tuplet--start--1,tuplet,stamp,n63ec6c04ab0ecd46
nf5085195266f6fc1--tuplet--stop--1,n21--tuplet--stop--1,tuplet,stamp,nf5085195266f6fc1
ec6072a53b64c5275,md-1-1-2-1,pedal,md,2
nb5da92dd0147e4cc--tuplet--start--1,n23--tuplet--start--1,tuplet,stamp,nb5da92dd0147e4cc
n55ad7140b05f5587--tuplet--stop--1,n31--tuplet--stop--1,tuplet,stamp,n55ad7140b05f5587
n3f1b57c3590d0059--tuplet--start--1,n32--tuplet--start--1,tuplet,stamp,n3f1b57c3590d0059
ncd4c6181959673d0--tuplet--stop--1,n40--tuplet--stop--1,tuplet,stamp,ncd4c6181959673d0
ndd3e672281dbe3e1--tie--1,,tie,derive,ndd3e672281dbe3e1
ndd3e672281dbe3e1--tied--start--1,n41--tied--start--1,tied,stamp,ndd3e672281dbe3e1
n221a10984cba0173--tie--1,,tie,derive,n221a10984cba0173
n221a10984cba0173--tied--start--1,n42--tied--start--1,tied,stamp,n221a10984cba0173
ndaae27c847b80f12--tie--1,,tie,derive,ndaae27c847b80f12
ndaae27c847b80f12--tied--stop--1,n43--tied--stop--1,tied,stamp,ndaae27c847b80f12
nb878ca18c25de4e4--tie--1,,tie,derive,nb878ca18c25de4e4
nb878ca18c25de4e4--tied--stop--1,n44--tied--stop--1,tied,stamp,nb878ca18c25de4e4
n130e5ce69ffe53da--strong-accent--1,,strong-accent,derive,n130e5ce69ffe53da
nc6873332d446372d--tuplet--start--1,n48--tuplet--start--1,tuplet,stamp,nc6873332d446372d
n6c4084c6f4b54d11--tuplet--stop--1,n56--tuplet--stop--1,tuplet,stamp,n6c4084c6f4b54d11
n632904681b610953--tuplet--start--1,n57--tuplet--start--1,tuplet,stamp,n632904681b610953
n32d83e69f5fdeff7--tuplet--stop--1,n65--tuplet--stop--1,tuplet,stamp,n32d83e69f5fdeff7
e679e85372732b2fe,md-1-3-1-1,words,md,1
n6f7d7de1bee7bfb5--tie--1,,tie,derive,n6f7d7de1bee7bfb5
n6f7d7de1bee7bfb5--tied--start--1,n66--tied--start--1,tied,stamp,n6f7d7de1bee7bfb5
nedfdbebcdaba3a24--tie--1,,tie,derive,nedfdbebcdaba3a24
nedfdbebcdaba3a24--tied--start--1,n67--tied--start--1,tied,stamp,nedfdbebcdaba3a24
nb717cd65ea44b0f3--tie--1,,tie,derive,nb717cd65ea44b0f3
nb717cd65ea44b0f3--tied--stop--1,n68--tied--stop--1,tied,stamp,nb717cd65ea44b0f3
nc0ea4dc96812196b--tie--1,,tie,derive,nc0ea4dc96812196b
nc0ea4dc96812196b--tied--stop--1,n69--tied--stop--1,tied,stamp,nc0ea4dc96812196b
n2b00da3a9c986097--strong-accent--1,,strong-accent,derive,n2b00da3a9c986097
nc4b637f54dbd535f--strong-accent--1,,strong-accent,derive,nc4b637f54dbd535f
