element_id,original_id,tag,carrier,host_or_staff
n328a6f88d8219602--staccato--1,,staccato,derive,n328a6f88d8219602
n328a6f88d8219602--arpeggiate--1,n4--arpeggiate--1,arpeggiate,stamp,n328a6f88d8219602
ne59a259b18e1083d--arpeggiate--1,n5--arpeggiate--1,arpeggiate,stamp,ne59a259b18e1083d
n1ebd4923ac63c370--arpeggiate--1,n6--arpeggiate--1,arpeggiate,stamp,n1ebd4923ac63c370
nff16c4b12e1e439f--slur--start--1,n7--slur--start--1,slur,stamp,nff16c4b12e1e439f
nff16c4b12e1e439f--accent--1,,accent,derive,nff16c4b12e1e439f
nbe19bf272114759b--slur--stop--1,n9--slur--stop--1,slur,stamp,nbe19bf272114759b
nbe19bf272114759b--staccato--1,,staccato,derive,nbe19bf272114759b
n6b9eb7f599464b35--slur--start--1,n10--slur--start--1,slur,stamp,n6b9eb7f599464b35
n6b9eb7f599464b35--accent--1,,accent,derive,n6b9eb7f599464b35
e9ba42c92cc624887,md-1-1-1-1,words,md,1
e6862ca45a6b63264,md-1-1-4-1,dynamics,md,4
ec6072a53b64c5275,md-1-1-4-2,pedal,md,4
n2b7ab5ce2be3b3dd--slur--stop--1,n15--slur--stop--1,slur,stamp,n2b7ab5ce2be3b3dd
n2b7ab5ce2be3b3dd--staccato--1,,staccato,derive,n2b7ab5ce2be3b3dd
n4d31cbb72bb4dea9--slur--start--1,n16--slur--start--1,slur,stamp,n4d31cbb72bb4dea9
n4d31cbb72bb4dea9--accent--1,,accent,derive,n4d31cbb72bb4dea9
nfe883c0bcc3da250--slur--stop--1,n18--slur--stop--1,slur,stamp,nfe883c0bcc3da250
nfe883c0bcc3da250--staccato--1,,staccato,derive,nfe883c0bcc3da250
nefb37223ea7e2bb7--staccato--1,,staccato,derive,nefb37223ea7e2bb7
e3d5eb5bd3c76d65b,md-1-2-4-1,pedal,md,4
nc3179f2d1e5d6bc4--staccato--1,,staccato,derive,nc3179f2d1e5d6bc4
nc3179f2d1e5d6bc4--arpeggiate--1,n24--arpeggiate--1,arpeggiate,stamp,nc3179f2d1e5d6bc4
n67dadcd0cddebd0a--arpeggiate--1,n25--arpeggiate--1,arpeggiate,stamp,n67dadcd0cddebd0a
nd38a55d185132695--arpeggiate--1,n26--arpeggiate--1,arpeggiate,stamp,nd38a55d185132695
n0a4ed5d30efbc111--arpeggiate--1,n27--arpeggiate--1,arpeggiate,stamp,n0a4ed5d30efbc111
n6d13c133290d74e7--slur--start--1,n28--slur--start--1,slur,stamp,n6d13c133290d74e7
n6d13c133290d74e7--accent--1,,accent,derive,n6d13c133290d74e7
nb2c39119615c82cb--slur--stop--1,n31--slur--stop--1,slur,stamp,nb2c39119615c82cb
nb2c39119615c82cb--staccato--1,,staccato,derive,nb2c39119615c82cb
n5b9f07bbaae3e6eb--slur--start--1,n32--slur--start--1,slur,stamp,n5b9f07bbaae3e6eb
n5b9f07bbaae3e6eb--accent--1,,accent,derive,n5b9f07bbaae3e6eb
e860195dfdc4d6ba0,md-1-3-4-1,pedal,md,4
n6b182e8f6f09718c--slur--stop--1,n38--slur--stop--1,slur,stamp,n6b182e8f6f09718c
n6b182e8f6f09718c--staccato--1,,staccato,derive,n6b182e8f6f09718c
n07b507cebd850653--slur--start--1,n39--slur--start--1,slur,stamp,n07b507cebd850653
n07b507cebd850653--accent--1,,accent,derive,n07b507cebd850653
nf379ae7cff4a23d1--slur--stop--1,n42--slur--stop--1,slur,stamp,nf379ae7cff4a23d1
nf379ae7cff4a23d1--staccato--1,,staccato,derive,nf379ae7cff4a23d1
n891c3e0a0566a6dd--staccato--1,,staccato,derive,n891c3e0a0566a6dd
e0659e7d8250fcdc1,md-1-4-4-1,pedal,md,4
naa668d9e2732538d--staccato--1,,staccato,derive,naa668d9e2732538d
n729603f1d607f302--slur--start--1,n51--slur--start--1,slur,stamp,n729603f1d607f302
n729603f1d607f302--accent--1,,accent,derive,n729603f1d607f302
nc8e0927d98738b38--slur--stop--1,n54--slur--stop--1,slur,stamp,nc8e0927d98738b38
nc8e0927d98738b38--staccato--1,,staccato,derive,nc8e0927d98738b38
ndf23df35c3ff790b--slur--start--1,n55--slur--start--1,slur,stamp,ndf23df35c3ff790b
ndf23df35c3ff790b--accent--1,,accent,derive,ndf23df35c3ff790b
n974e9aabc91d11b7--staccato--1,,staccato,derive,n974e9aabc91d11b7
n81bbb75c40972ffd--slur--start--1,n61--slur--start--1,slur,stamp,n81bbb75c40972ffd
n81bbb75c40972ffd--accent--1,,accent,derive,n81bbb75c40972ffd
n65b6b304a7f21990--slur--stop--1,n64--slur--stop--1,slur,stamp,n65b6b304a7f21990
n65b6b304a7f21990--staccato--1,,staccato,derive,n65b6b304a7f21990
na0176bc1ce402073--slur--start--1,n65--slur--start--1,slur,stamp,na0176bc1ce402073
e8d1d327b8f22883f,md-1-5-3-1,dynamics,md,3
e3fc948f60a560063,md-1-5-4-1,pedal,md,4
n35bd0425304ed19e--slur--stop--1,n70--slur--stop--1,slur,stamp,n35bd0425304ed19e
n35bd0425304ed19e--staccato--1,,staccato,derive,n35bd0425304ed19e
nbf40fa6b41f6e331--staccato--1,,staccato,derive,nbf40fa6b41f6e331
n95df8aeb66cc0975--accent--1,,accent,derive,n95df8aeb66cc0975
neb3782031ab6c4de--slur--stop--1,n80--slur--stop--1,slur,stamp,neb3782031ab6c4de
neb3782031ab6c4de--staccato--1,,staccato,derive,neb3782031ab6c4de
nd3041141eb87417d--staccato--1,,staccato,derive,nd3041141eb87417d
na56580ce5f93806e--staccato--1,,staccato,derive,na56580ce5f93806e
nf19162ed99296158--accent--1,,accent,derive,nf19162ed99296158
ef0af23ceaac0700d,md-1-6-4-1,pedal,md,4
e49e4db2a5810a89c,md-1-6-4-2,pedal,md,4
eae08752cb95fe5a4,md-1-6-4-3,pedal,md,4
nedca7d52d8c31924--staccato--1,,staccato,derive,nedca7d52d8c31924
n523e53af4773796d--slur--start--1,n96--slur--start--1,slur,stamp,n523e53af4773796d
n523e53af4773796d--accent--1,,accent,derive,n523e53af4773796d
nef4f5f399daddebe--slur--stop--1,n99--slur--stop--1,slur,stamp,nef4f5f399daddebe
nef4f5f399daddebe--staccato--1,,staccato,derive,nef4f5f399daddebe
n6b79af975e243328--slur--start--1,n100--slur--start--1,slur,stamp,n6b79af975e243328
n6b79af975e243328--accent--1,,accent,derive,n6b79af975e243328
n55b2ab2620a65f10--staccato--1,,staccato,derive,n55b2ab2620a65f10
nc546785d982d7ea4--slur--start--1,n106--slur--start--1,slur,stamp,nc546785d982d7ea4
nc546785d982d7ea4--accent--1,,accent,derive,nc546785d982d7ea4
n9b51fd555d1ef9b0--slur--stop--1,n109--slur--stop--1,slur,stamp,n9b51fd555d1ef9b0
n9b51fd555d1ef9b0--staccato--1,,staccato,derive,n9b51fd555d1ef9b0
n7e220a0ce4f8799c--slur--start--1,n110--slur--start--1,slur,stamp,n7e220a0ce4f8799c
n7e220a0ce4f8799c--accent--1,,accent,derive,n7e220a0ce4f8799c
e962923e80ead9383,md-1-7-4-1,pedal,md,4
n1b7f104cc402b52e--slur--stop--1,n115--slur--stop--1,slur,stamp,n1b7f104cc402b52e
n1b7f104cc402b52e--staccato--1,,staccato,derive,n1b7f104cc402b52e
n983b596e448ef88b--staccato--1,,staccato,derive,n983b596e448ef88b
n17ae5486e22ccfa8--accent--1,,accent,derive,n17ae5486e22ccfa8
n040c43226b2ed746--slur--stop--1,n125--slur--stop--1,slur,stamp,n040c43226b2ed746
n040c43226b2ed746--staccato--1,,staccato,derive,n040c43226b2ed746
nb94bc439aadab977--staccato--1,,staccato,derive,nb94bc439aadab977
nf2c11d22eb9bc8de--staccato--1,,staccato,derive,nf2c11d22eb9bc8de
n77f916abfd2438bc--accent--1,,accent,derive,n77f916abfd2438bc
e00147391ae62121d,md-1-8-4-1,pedal,md,4
e59e902d4b7a753ab,md-1-8-4-2,pedal,md,4
n63967a20d477f736--accent--1,,accent,derive,n63967a20d477f736
ne21065faa28bffe8--tie--1,,tie,derive,ne21065faa28bffe8
ne21065faa28bffe8--tied--start--1,n150--tied--start--1,tied,stamp,ne21065faa28bffe8
ne21065faa28bffe8--accent--1,,accent,derive,ne21065faa28bffe8
n8c4c08664a58601e--tie--1,,tie,derive,n8c4c08664a58601e
n8c4c08664a58601e--tied--start--1,n151--tied--start--1,tied,stamp,n8c4c08664a58601e
ncdcb68630f7dae26--tie--1,,tie,derive,ncdcb68630f7dae26
ncdcb68630f7dae26--tied--start--1,n152--tied--start--1,tied,stamp,ncdcb68630f7dae26
nf4a3cbdd73821ab8--accent--1,,accent,derive,nf4a3cbdd73821ab8
n6b506dc033ef185e--staccato--1,,staccato,derive,n6b506dc033ef185e
n7515a9f2071640a8--staccato--1,,staccato,derive,n7515a9f2071640a8
n77d69a738ea0d77c--accent--1,,accent,derive,n77d69a738ea0d77c
e89fdf71c6d3cb5ff,md-1-9-4-1,pedal,md,4
e130b810cf617a5ca,md-1-9-4-2,pedal,md,4
n0d91fd75de712b50--tie--1,,tie,derive,n0d91fd75de712b50
n0d91fd75de712b50--tied--stop--1,n168--tied--stop--1,tied,stamp,n0d91fd75de712b50
ne334a21b93bbe85f--tie--1,,tie,derive,ne334a21b93bbe85f
ne334a21b93bbe85f--tied--stop--1,n169--tied--stop--1,tied,stamp,ne334a21b93bbe85f
n880fa7cf405144f2--tie--1,,tie,derive,n880fa7cf405144f2
