note_id,original_id,printed_bar
ncae0e7ec3634d539,n1,1
n47423a65b3e37960,n2,1
n3ca50797f2d5e67f,n3,1
n328a6f88d8219602,n4,1
ne59a259b18e1083d,n5,1
n1ebd4923ac63c370,n6,1
nff16c4b12e1e439f,n7,1
n86986c23833ea77f,n8,1
nbe19bf272114759b,n9,1
n6b9eb7f599464b35,n10,1
n21ace091cf07156c,n11,1
ne4eaf18ed3e06c61,n12,2
nbeee8bee6c0231a9,n13,2
n5b6aedc7d6ad0b67,n14,2
n2b7ab5ce2be3b3dd,n15,2
n4d31cbb72bb4dea9,n16,2
na2ced6536b093371,n17,2
nfe883c0bcc3da250,n18,2
nefb37223ea7e2bb7,n19,2
nfb351f1289a973d2,n20,2
nb27ca05947a26fd6,n21,3
n63885617c01f5920,n22,3
n159d831b763f5895,n23,3
nc3179f2d1e5d6bc4,n24,3
n67dadcd0cddebd0a,n25,3
nd38a55d185132695,n26,3
n0a4ed5d30efbc111,n27,3
n6d13c133290d74e7,n28,3
na08a7516055a38c7,n29,3
n9259a4349ef855a3,n30,3
nb2c39119615c82cb,n31,3
n5b9f07bbaae3e6eb,n32,3
ncaf4b14a88610cf7,n33,3
nebe96e7cf97ba43b,n34,3
n29ef039c2d685290,n35,4
n989776ead9cae73b,n36,4
n7549f5d8fe8f52d8,n37,4
n6b182e8f6f09718c,n38,4
n07b507cebd850653,n39,4
na2166cf30c099e70,n40,4
n4e1e88548cd277ab,n41,4
nf379ae7cff4a23d1,n42,4
n891c3e0a0566a6dd,n43,4
n8100f0c5cdb278ac,n44,4
n48b19286747b315e,n45,4
n6dfaef3e97eb1501,n46,5
n3bae5225fa59d0cb,n47,5
naa668d9e2732538d,n48,5
nd9e1a6eac227098b,n49,5
n0a860a6189654d9a,n50,5
n729603f1d607f302,n51,5
nb4948127f442ed70,n52,5
n1f50dd0aa7c6550a,n53,5
nc8e0927d98738b38,n54,5
ndf23df35c3ff790b,n55,5
n1f39fafca34ba7d9,n56,5
nfbd4df87557eb750,n57,5
n974e9aabc91d11b7,n58,5
n4cd3e642cb74c45b,n59,5
n93c7f905953afcbd,n60,5
n81bbb75c40972ffd,n61,5
n01a45b211f387986,n62,5
n94e2cc9a55eaf3af,n63,5
n65b6b304a7f21990,n64,5
na0176bc1ce402073,n65,5
n3146c774903c40b1,n66,5
nb2524438f892cad2,n67,5
n2fb6d326308aba28,n68,6
n0c45896c6d8a046b,n69,6
n35bd0425304ed19e,n70,6
nbf40fa6b41f6e331,n71,6
nd0ba9294169872aa,n72,6
n6bbe63c610a43586,n73,6
n18af9049cd503525,n74,6
n87b3101cbd59a6da,n75,6
n1cf7c575aa42c5f5,n76,6
n95df8aeb66cc0975,n77,6
nd1d69234d7858570,n78,6
n0353f574286c4f95,n79,6
neb3782031ab6c4de,n80,6
n5b094ea4f8765b26,n81,6
n04d5ea1ff1baf32d,n82,6
n92b9e11e3a1d4d5f,n83,6
n4654dbb15104c823,n84,6
n37f764966b9d9172,n85,6
n53b8a2353858940c,n86,6
nef5db852644de311,n87,6
nd3041141eb87417d,n88,6
na56580ce5f93806e,n89,6
nf19162ed99296158,n90,6
nb35b9a9727a2c1b4,n91,7
n960252debfffe1a7,n92,7
nedca7d52d8c31924,n93,7
nd6b795569ee1b686,n94,7
n5f433a027655b4ce,n95,7
n523e53af4773796d,n96,7
ndd534a119516afcd,n97,7
n03c799522d4e964a,n98,7
nef4f5f399daddebe,n99,7
n6b79af975e243328,n100,7
n2f47f4515eb44881,n101,7
n98a2bd6e9a1284cb,n102,7
n55b2ab2620a65f10,n103,7
n71ddda8034f4f95b,n104,7
n456021d12f0ed531,n105,7
nc546785d982d7ea4,n106,7
n198d319791b7c28a,n107,7
n8ff88df90ff1858a,n108,7
