element_id,original_id,tag,carrier,host_or_staff
e63958a29b6582d5e,md-1-1-1-1,words,md,1
nf62916ef58dda66c--slur--start--1,n4--slur--start--1,slur,stamp,nf62916ef58dda66c
nb2cb00f2d66705c2--slur--stop--1,n5--slur--stop--1,slur,stamp,nb2cb00f2d66705c2
nb2cb00f2d66705c2--accent--1,,accent,derive,nb2cb00f2d66705c2
e18bba9cf3f5fdc13,md-1-2-1-1,pedal,md,1
ea8cd7b490ea68dae,md-1-2-1-2,dynamics,md,1
n27dafc1cc8e113a0--slur--start--1,n13--slur--start--1,slur,stamp,n27dafc1cc8e113a0
n014d08c3586cf6ce--slur--stop--1,n14--slur--stop--1,slur,stamp,n014d08c3586cf6ce
n014d08c3586cf6ce--accent--1,,accent,derive,n014d08c3586cf6ce
n81159a907eb16113--slur--start--1,n18--slur--start--1,slur,stamp,n81159a907eb16113
ncf36ccc07522048c--slur--stop--1,n19--slur--stop--1,slur,stamp,ncf36ccc07522048c
ncf36ccc07522048c--accent--1,,accent,derive,ncf36ccc07522048c
n72ecf79e6db93c28--slur--start--1,n23--slur--start--1,slur,stamp,n72ecf79e6db93c28
nfef688bad49b5bda--slur--stop--1,n24--slur--stop--1,slur,stamp,nfef688bad49b5bda
nfef688bad49b5bda--accent--1,,accent,derive,nfef688bad49b5bda
n8d747dc1dae50231--slur--start--1,n38--slur--start--1,slur,stamp,n8d747dc1dae50231
n837cd3b9ab266d93--slur--stop--1,n39--slur--stop--1,slur,stamp,n837cd3b9ab266d93
n837cd3b9ab266d93--accent--1,,accent,derive,n837cd3b9ab266d93
n6bba6b3239d7eb06--slur--start--1,n46--slur--start--1,slur,stamp,n6bba6b3239d7eb06
nc9e9f717d33a4fdf--slur--stop--1,n47--slur--stop--1,slur,stamp,nc9e9f717d33a4fdf
nc9e9f717d33a4fdf--accent--1,,accent,derive,nc9e9f717d33a4fdf
n09ab1e73a418a6b6--slur--start--1,n53--slur--start--1,slur,stamp,n09ab1e73a418a6b6
nce232c2c9cce54b7--slur--stop--1,n54--slur--stop--1,slur,stamp,nce232c2c9cce54b7
nce232c2c9cce54b7--accent--1,,accent,derive,nce232c2c9cce54b7
nd8e72010012837a3--accent--1,,accent,derive,nd8e72010012837a3
n56256e83be0c569e--slur--start--1,n72--slur--start--1,slur,stamp,n56256e83be0c569e
n3ae0a6a7a2848405--slur--stop--1,n73--slur--stop--1,slur,stamp,n3ae0a6a7a2848405
n3ae0a6a7a2848405--accent--1,,accent,derive,n3ae0a6a7a2848405
n4f348917e5f45b05--accent--1,,accent,derive,n4f348917e5f45b05
n4e371960053d214c--slur--start--1,n97--slur--start--1,slur,stamp,n4e371960053d214c
n6688a56716c7a053--slur--stop--1,n98--slur--stop--1,slur,stamp,n6688a56716c7a053
n6688a56716c7a053--accent--1,,accent,derive,n6688a56716c7a053
e6e7fcd5e71809cf9,md-1-15-2-1,pedal,md,2
na5b43f91ade84dcc--slur--start--1,n128--slur--start--1,slur,stamp,na5b43f91ade84dcc
ne5fc1999dfd7e305--slur--stop--1,n129--slur--stop--1,slur,stamp,ne5fc1999dfd7e305
ne5fc1999dfd7e305--accent--1,,accent,derive,ne5fc1999dfd7e305
e5646b8d5fcff2761,md-1-16-1-1,wedge,md,1
ee2e8fad0dff4e3e1,md-1-16-2-1,pedal,md,2
nf4c855e9ed910f49--staccato--1,,staccato,derive,nf4c855e9ed910f49
n03a96e5a75ef3986--staccato--1,,staccato,derive,n03a96e5a75ef3986
e4358d4fed700bf22,md-1-17-1-1,dynamics,md,1
e943042e2cc3a3b85,md-1-17-1-2,wedge,md,1
n50afce2045fb8316--strong-accent--1,,strong-accent,derive,n50afce2045fb8316
n50afce2045fb8316--arpeggiate--1,n158--arpeggiate--1,arpeggiate,stamp,n50afce2045fb8316
nd460530178b3df8b--arpeggiate--1,n159--arpeggiate--1,arpeggiate,stamp,nd460530178b3df8b
ndc59ed1378fff6d5--arpeggiate--1,n160--arpeggiate--1,arpeggiate,stamp,ndc59ed1378fff6d5
n6816f672d952d68d--staccato--1,,staccato,derive,n6816f672d952d68d
n6816f672d952d68d--accent--1,,accent,derive,n6816f672d952d68d
nbf0559ec3847f78e--staccato--1,,staccato,derive,nbf0559ec3847f78e
nbf0559ec3847f78e--accent--1,,accent,derive,nbf0559ec3847f78e
n3182b6be59c07eb5--slur--start--1,n185--slur--start--1,slur,stamp,n3182b6be59c07eb5
n3182b6be59c07eb5--strong-accent--1,,strong-accent,derive,n3182b6be59c07eb5
n3182b6be59c07eb5--arpeggiate--1,n185--arpeggiate--1,arpeggiate,stamp,n3182b6be59c07eb5
n7c0db335e144f260--arpeggiate--1,n186--arpeggiate--1,arpeggiate,stamp,n7c0db335e144f260
n1efbe46aa77243fb--arpeggiate--1,n187--arpeggiate--1,arpeggiate,stamp,n1efbe46aa77243fb
n2da787c770dfe321--slur--stop--1,n188--slur--stop--1,slur,stamp,n2da787c770dfe321
n2da787c770dfe321--staccato--1,,staccato,derive,n2da787c770dfe321
n2da787c770dfe321--staccatissimo--1,,staccatissimo,derive,n2da787c770dfe321
n79532be64a1ee70e--accent--1,,accent,derive,n79532be64a1ee70e
n3e333d8e21320566--slur--start--1,n199--slur--start--1,slur,stamp,n3e333d8e21320566
n3e333d8e21320566--strong-accent--1,,strong-accent,derive,n3e333d8e21320566
n3e333d8e21320566--arpeggiate--1,n199--arpeggiate--1,arpeggiate,stamp,n3e333d8e21320566
nbfacaa4a92186fe6--arpeggiate--1,n200--arpeggiate--1,arpeggiate,stamp,nbfacaa4a92186fe6
n9676d40b7e6949d5--arpeggiate--1,n201--arpeggiate--1,arpeggiate,stamp,n9676d40b7e6949d5
n2b81abda97689cd1--slur--stop--1,n202--slur--stop--1,slur,stamp,n2b81abda97689cd1
n2b81abda97689cd1--staccato--1,,staccato,derive,n2b81abda97689cd1
n2b81abda97689cd1--staccatissimo--1,,staccatissimo,derive,n2b81abda97689cd1
n43a9b03c258cc5c4--accent--1,,accent,derive,n43a9b03c258cc5c4
n2fff2b7db24381c6--slur--start--1,n213--slur--start--1,slur,stamp,n2fff2b7db24381c6
n2fff2b7db24381c6--strong-accent--1,,strong-accent,derive,n2fff2b7db24381c6
n2fff2b7db24381c6--arpeggiate--1,n213--arpeggiate--1,arpeggiate,stamp,n2fff2b7db24381c6
n1f03783ee183e16b--arpeggiate--1,n214--arpeggiate--1,arpeggiate,stamp,n1f03783ee183e16b
n8c7da7e1e35224c6--arpeggiate--1,n215--arpeggiate--1,arpeggiate,stamp,n8c7da7e1e35224c6
nfb57e7db59a9931c--slur--stop--1,n216--slur--stop--1,slur,stamp,nfb57e7db59a9931c
