note_id,original_id,printed_bar
ncae0e7ec3634d539,n1,1
n47423a65b3e37960,n2,1
ne4eaf18ed3e06c61,n3,2
nf62916ef58dda66c,n4,2
nb2cb00f2d66705c2,n5,2
n57f00c640fba6d33,n6,2
n87e4ffae7076a796,n7,2
nb27ca05947a26fd6,n8,3
nb0ba9e563024333c,n9,3
n1f82ec778b8ac1f4,n10,3
n52a91cae41c15d93,n11,3
n29ef039c2d685290,n12,4
n27dafc1cc8e113a0,n13,4
n014d08c3586cf6ce,n14,4
nc7cf90c0dc449fdd,n15,4
n38974be9b57c51aa,n16,4
n6dfaef3e97eb1501,n17,5
n81159a907eb16113,n18,5
ncf36ccc07522048c,n19,5
n20091767a8d331b7,n20,5
n0698a66c29ec57a7,n21,5
n2fb6d326308aba28,n22,6
n72ecf79e6db93c28,n23,6
nfef688bad49b5bda,n24,6
n487a1b3444917153,n25,6
n4c1137e11598c36c,n26,6
n085819accb47b49b,n27,6
n81b2979bbfe2c101,n28,6
n3f44aaafda1eb7aa,n29,6
nb35b9a9727a2c1b4,n30,7
ne72e6d2cb6625032,n31,7
n020fe523bfcc21a0,n32,7
nd67777b5fecd3d2b,n33,7
n122374b1ed4515c2,n34,7
n0c8f1293e79ac113,n35,7
n31959526993ffb4b,n36,7
n67fab4089750ba9f,n37,8
n8d747dc1dae50231,n38,8
n837cd3b9ab266d93,n39,8
ne14a48f4d2230b62,n40,8
nfc45c58556d08c94,n41,8
n5db8c354f9e855ff,n42,8
nf10428b73052fe2f,n43,8
nb9f33fa007bee2ac,n44,8
n535ae97fcb082fa6,n45,9
n6bba6b3239d7eb06,n46,9
nc9e9f717d33a4fdf,n47,9
n4fea9145b4f4568f,n48,9
n62065fcef114dc36,n49,9
ndf41a8a09f086ed8,n50,9
n6556e80264511e9a,n51,9
nb4e4f34616a352ea,n52,9
n09ab1e73a418a6b6,n53,10
nce232c2c9cce54b7,n54,10
n7497fdab4d7e636a,n55,10
ne688b5452ab6e6de,n56,10
nd8e72010012837a3,n57,10
n74b32206b4d93cf7,n58,10
nb08df8e570af0dc0,n59,10
n226827e225681314,n60,10
nb764394d2ae40aab,n61,10
n4ebd189762053094,n62,10
n498d2448c46f5014,n63,11
n3e76dfbc1f366b94,n64,11
nf871b0100e43076d,n65,11
n06b70cc4611bd0af,n66,11
n8c4fd2f2b8a545c8,n67,11
n8213078ec09311cc,n68,11
n989e6abf73c58f47,n69,11
nce70f3801296fb61,n70,11
n74f286344fb4219f,n71,11
n56256e83be0c569e,n72,12
n3ae0a6a7a2848405,n73,12
nd50847dfb7fdd4a9,n74,12
nd54a1f968435efc4,n75,12
ncd4fc7675aa76d8c,n76,12
n9b9824735f0674b5,n77,12
nd2a3b115ef581bc2,n78,12
n4f348917e5f45b05,n79,12
nbc154b97539381e4,n80,12
nb36daf149de41fce,n81,12
n9139ba7f06ad25c6,n82,12
n199f43621a5f212f,n83,12
n5ff717bd11d68701,n84,12
n9fe4626074c6ef74,n85,13
nce4a5abaca43f112,n86,13
nae621d9827eede96,n87,13
ne3361345a2e30fbd,n88,13
ndedf3fbe2017423c,n89,13
n2e8a43ff26cc96df,n90,13
ndbca12d5e2f1c86b,n91,13
n0a7381e2e5749c43,n92,13
n3673ebf36fdc4675,n93,13
nbc51931995f27efe,n94,13
nde81226cb8a32e15,n95,13
n7c25ca3d4a99e3da,n96,13
n4e371960053d214c,n97,14
n6688a56716c7a053,n98,14
n121f0e4d8cada3de,n99,14
nc02b8ab49708aeca,n100,14
n796ab85921535ad9,n101,14
nec7ba8705150d7b0,n102,14
n5e4d3c6423cbefde,n103,14
n48511285a5a972d7,n104,14
nec8b608ca774e423,n105,14
n8670693be9c8afeb,n106,14
n1803ba73bd5656e8,n107,14
