element_id,original_id,tag,carrier,host_or_staff
nd74ca5506dac56ab--staccatissimo--1,,staccatissimo,derive,nd74ca5506dac56ab
nd74ca5506dac56ab--arpeggiate--1,n1--arpeggiate--1,arpeggiate,stamp,nd74ca5506dac56ab
n72c5580e1551c237--arpeggiate--1,n2--arpeggiate--1,arpeggiate,stamp,n72c5580e1551c237
n6cd9180f4f9614ad--arpeggiate--1,n3--arpeggiate--1,arpeggiate,stamp,n6cd9180f4f9614ad
ncc422f2fb5743704--arpeggiate--1,n4--arpeggiate--1,arpeggiate,stamp,ncc422f2fb5743704
n5742c05d08d3e338--slur--start--1,n7--slur--start--1,slur,stamp,n5742c05d08d3e338
n2f7a274740118639--slur--stop--1,n10--slur--stop--1,slur,stamp,n2f7a274740118639
ne59a259b18e1083d--staccatissimo--1,,staccatissimo,derive,ne59a259b18e1083d
ebe8bd826cdc2620e,md-1-1-1-1,words,md,1
eb062e038137b26ac,md-1-1-1-2,dynamics,md,1
n9dc7ea6a12092b33--staccatissimo--1,,staccatissimo,derive,n9dc7ea6a12092b33
n9dc7ea6a12092b33--arpeggiate--1,n17--arpeggiate--1,arpeggiate,stamp,n9dc7ea6a12092b33
n5b7cdfb52de4e931--arpeggiate--1,n18--arpeggiate--1,arpeggiate,stamp,n5b7cdfb52de4e931
n6d82217e3c690568--arpeggiate--1,n19--arpeggiate--1,arpeggiate,stamp,n6d82217e3c690568
n1049bb04d29f5528--arpeggiate--1,n20--arpeggiate--1,arpeggiate,stamp,n1049bb04d29f5528
nae5acb0fb936e54b--slur--start--1,n23--slur--start--1,slur,stamp,nae5acb0fb936e54b
n99618961d478c1c2--slur--stop--1,n26--slur--stop--1,slur,stamp,n99618961d478c1c2
n5ca3ed1786978c62--staccatissimo--1,,staccatissimo,derive,n5ca3ed1786978c62
nb81cfd31ed846235--staccatissimo--1,,staccatissimo,derive,nb81cfd31ed846235
nb81cfd31ed846235--arpeggiate--1,n33--arpeggiate--1,arpeggiate,stamp,nb81cfd31ed846235
n79bc37ecb91e5a0b--arpeggiate--1,n34--arpeggiate--1,arpeggiate,stamp,n79bc37ecb91e5a0b
n881d1f9bdee7d909--arpeggiate--1,n35--arpeggiate--1,arpeggiate,stamp,n881d1f9bdee7d909
n19d1e8af1f930242--arpeggiate--1,n36--arpeggiate--1,arpeggiate,stamp,n19d1e8af1f930242
n4309cd6a0fb7e9fb--slur--start--1,n39--slur--start--1,slur,stamp,n4309cd6a0fb7e9fb
nd5b0420ed110a16c--slur--stop--1,n42--slur--stop--1,slur,stamp,nd5b0420ed110a16c
n67dadcd0cddebd0a--staccatissimo--1,,staccatissimo,derive,n67dadcd0cddebd0a
n1ac2115003d06e61--slur--stop--1,n53--slur--stop--1,slur,stamp,n1ac2115003d06e61
n1ac2115003d06e61--staccatissimo--1,,staccatissimo,derive,n1ac2115003d06e61
n0a01c9031e0da175--slur--start--1,n54--slur--start--1,slur,stamp,n0a01c9031e0da175
ndc901c9834f381a2--staccatissimo--1,,staccatissimo,derive,ndc901c9834f381a2
ndc901c9834f381a2--arpeggiate--1,n56--arpeggiate--1,arpeggiate,stamp,ndc901c9834f381a2
n0093c0326c65aa55--arpeggiate--1,n57--arpeggiate--1,arpeggiate,stamp,n0093c0326c65aa55
nd9e78fcf27071456--arpeggiate--1,n58--arpeggiate--1,arpeggiate,stamp,nd9e78fcf27071456
n356d9d6bfcb2b03d--arpeggiate--1,n59--arpeggiate--1,arpeggiate,stamp,n356d9d6bfcb2b03d
n964082f3f5e1b5f9--staccatissimo--1,,staccatissimo,derive,n964082f3f5e1b5f9
n964082f3f5e1b5f9--arpeggiate--1,n62--arpeggiate--1,arpeggiate,stamp,n964082f3f5e1b5f9
nd9e1a6eac227098b--arpeggiate--1,n63--arpeggiate--1,arpeggiate,stamp,nd9e1a6eac227098b
nee21c59c2e295c0c--arpeggiate--1,n64--arpeggiate--1,arpeggiate,stamp,nee21c59c2e295c0c
nfbfe6ebb7ddb7d34--arpeggiate--1,n65--arpeggiate--1,arpeggiate,stamp,nfbfe6ebb7ddb7d34
na79718485a5d26a7--slur--start--1,n68--slur--start--1,slur,stamp,na79718485a5d26a7
nfa8932ab10d37702--slur--stop--1,n71--slur--stop--1,slur,stamp,nfa8932ab10d37702
n946e64c7aec9ede4--staccatissimo--1,,staccatissimo,derive,n946e64c7aec9ede4
n483d8c79ea6572ae--staccatissimo--1,,staccatissimo,derive,n483d8c79ea6572ae
n483d8c79ea6572ae--arpeggiate--1,n78--arpeggiate--1,arpeggiate,stamp,n483d8c79ea6572ae
n106e407cae7a0404--arpeggiate--1,n79--arpeggiate--1,arpeggiate,stamp,n106e407cae7a0404
ne922dad0357ef56b--arpeggiate--1,n80--arpeggiate--1,arpeggiate,stamp,ne922dad0357ef56b
naf5d6cfe4e0b0906--arpeggiate--1,n81--arpeggiate--1,arpeggiate,stamp,naf5d6cfe4e0b0906
nfb824d7f4cb174c2--slur--start--1,n84--slur--start--1,slur,stamp,nfb824d7f4cb174c2
n7c037684ab7136ef--slur--stop--1,n87--slur--stop--1,slur,stamp,n7c037684ab7136ef
n41a8d7de480eaf40--staccatissimo--1,,staccatissimo,derive,n41a8d7de480eaf40
nedca7d52d8c31924--staccatissimo--1,,staccatissimo,derive,nedca7d52d8c31924
nedca7d52d8c31924--arpeggiate--1,n94--arpeggiate--1,arpeggiate,stamp,nedca7d52d8c31924
nd6b795569ee1b686--arpeggiate--1,n95--arpeggiate--1,arpeggiate,stamp,nd6b795569ee1b686
n2f47f4515eb44881--arpeggiate--1,n96--arpeggiate--1,arpeggiate,stamp,n2f47f4515eb44881
ne46e98dc525e0794--arpeggiate--1,n97--arpeggiate--1,arpeggiate,stamp,ne46e98dc525e0794
nc3f3cd9ba869f397--slur--start--1,n100--slur--start--1,slur,stamp,nc3f3cd9ba869f397
nc29386d6192c142f--slur--stop--1,n103--slur--stop--1,slur,stamp,nc29386d6192c142f
n026843d8488ccb7d--staccatissimo--1,,staccatissimo,derive,n026843d8488ccb7d
n18f8645df8b428cb--slur--stop--1,n114--slur--stop--1,slur,stamp,n18f8645df8b428cb
n18f8645df8b428cb--staccatissimo--1,,staccatissimo,derive,n18f8645df8b428cb
n5f1cbc89808099e4--slur--start--1,n115--slur--start--1,slur,stamp,n5f1cbc89808099e4
n32e4a81c61cba897--staccatissimo--1,,staccatissimo,derive,n32e4a81c61cba897
n32e4a81c61cba897--arpeggiate--1,n117--arpeggiate--1,arpeggiate,stamp,n32e4a81c61cba897
n81d3e749ed0191e5--arpeggiate--1,n118--arpeggiate--1,arpeggiate,stamp,n81d3e749ed0191e5
n02a7f130761a324b--arpeggiate--1,n119--arpeggiate--1,arpeggiate,stamp,n02a7f130761a324b
n4cfaf3464cf5583b--arpeggiate--1,n120--arpeggiate--1,arpeggiate,stamp,n4cfaf3464cf5583b
n096e604b7fcd44af--staccatissimo--1,,staccatissimo,derive,n096e604b7fcd44af
n096e604b7fcd44af--arpeggiate--1,n123--arpeggiate--1,arpeggiate,stamp,n096e604b7fcd44af
n714b35e60d284b07--arpeggiate--1,n124--arpeggiate--1,arpeggiate,stamp,n714b35e60d284b07
n9143d65d0b6b687d--arpeggiate--1,n125--arpeggiate--1,arpeggiate,stamp,n9143d65d0b6b687d
n8ad5b17b30ae8d7b--arpeggiate--1,n126--arpeggiate--1,arpeggiate,stamp,n8ad5b17b30ae8d7b
n08d24d4c98f0548d--slur--start--1,n129--slur--start--1,slur,stamp,n08d24d4c98f0548d
n152e8b70ea095ad0--slur--stop--1,n132--slur--stop--1,slur,stamp,n152e8b70ea095ad0
n6c759b16afa1e7b1--staccatissimo--1,,staccatissimo,derive,n6c759b16afa1e7b1
nd285a2acd8725d0b--staccatissimo--1,,staccatissimo,derive,nd285a2acd8725d0b
nd285a2acd8725d0b--arpeggiate--1,n139--arpeggiate--1,arpeggiate,stamp,nd285a2acd8725d0b
nd002f852d04419d5--arpeggiate--1,n140--arpeggiate--1,arpeggiate,stamp,nd002f852d04419d5
nef3bd43410fcc7c4--arpeggiate--1,n141--arpeggiate--1,arpeggiate,stamp,nef3bd43410fcc7c4
nea6025dcf6f7a4e0--arpeggiate--1,n142--arpeggiate--1,arpeggiate,stamp,nea6025dcf6f7a4e0
naa3e9ceb583215f2--slur--start--1,n145--slur--start--1,slur,stamp,naa3e9ceb583215f2
nf6cbca8f69e4afba--slur--stop--1,n148--slur--stop--1,slur,stamp,nf6cbca8f69e4afba
nc8eb98dd333224c6--staccatissimo--1,,staccatissimo,derive,nc8eb98dd333224c6
e13208f12a4ae564a,md-1-10-1-1,words,md,1
nc78b48fe71091375--staccatissimo--1,,staccatissimo,derive,nc78b48fe71091375
nc78b48fe71091375--arpeggiate--1,n155--arpeggiate--1,arpeggiate,stamp,nc78b48fe71091375
na815a2565843ecb0--arpeggiate--1,n156--arpeggiate--1,arpeggiate,stamp,na815a2565843ecb0
na4b0c4d2aa75e096--arpeggiate--1,n157--arpeggiate--1,arpeggiate,stamp,na4b0c4d2aa75e096
n1c415d4db6318cbf--arpeggiate--1,n158--arpeggiate--1,arpeggiate,stamp,n1c415d4db6318cbf
n2c5fd7ff5777e5ac--slur--start--1,n161--slur--start--1,slur,stamp,n2c5fd7ff5777e5ac
n534f098b84abe4ce--slur--stop--1,n164--slur--stop--1,slur,stamp,n534f098b84abe4ce
n1c44dc10f7664d7a--staccatissimo--1,,staccatissimo,derive,n1c44dc10f7664d7a
n55ae2011f19596b3--staccatissimo--1,,staccatissimo,derive,n55ae2011f19596b3
