note_id,original_id,printed_bar
nd74ca5506dac56ab,n1,1
n72c5580e1551c237,n2,1
n6cd9180f4f9614ad,n3,1
ncc422f2fb5743704,n4,1
n78945f095de45098,n5,1
n36f8d129646b4dcf,n6,1
n5742c05d08d3e338,n7,1
n5007f5a121821191,n8,1
nbe4e3251f6aa2087,n9,1
n2f7a274740118639,n10,1
ne59a259b18e1083d,n11,1
n1d41d64271c37c34,n12,1
n47d876853f4486fd,n13,1
nb1fe1d841d164a42,n14,1
na3645d3416ff89ba,n15,1
n5243892700411aee,n16,1
n9dc7ea6a12092b33,n17,2
n5b7cdfb52de4e931,n18,2
n6d82217e3c690568,n19,2
n1049bb04d29f5528,n20,2
n8a386431589f8497,n21,2
ne4c334855c1dc020,n22,2
nae5acb0fb936e54b,n23,2
nc87f4935c6db3f0f,n24,2
n57bd8bf83a406beb,n25,2
n99618961d478c1c2,n26,2
n5ca3ed1786978c62,n27,2
n755ac5c42570da7d,n28,2
nd260bb5483a7fee5,n29,2
n7059bd06a2e9427e,n30,2
n0bc7273135f431a4,n31,2
n7e73af2982d29453,n32,2
nb81cfd31ed846235,n33,3
n79bc37ecb91e5a0b,n34,3
n881d1f9bdee7d909,n35,3
n19d1e8af1f930242,n36,3
n7d0fa0437f5d6d2d,n37,3
nfe1ca3555aa723e1,n38,3
n4309cd6a0fb7e9fb,n39,3
n434eec59379ae802,n40,3
nf4ec4b119a810114,n41,3
nd5b0420ed110a16c,n42,3
n67dadcd0cddebd0a,n43,3
n72d3cc768a2875f7,n44,3
n0a4ed5d30efbc111,n45,3
nda66e966a095160d,n46,3
n8d53bfbc7935dfd7,n47,3
na9b3fff5f538b8be,n48,3
nda783d6998bd382e,n49,4
n78161d957d14ce3a,n50,4
nf58eb3ca0b4fd87d,n51,4
nf125b7771bf02b0c,n52,4
n1ac2115003d06e61,n53,4
ndb002cc0fcee09c7,r1,4
n0a01c9031e0da175,n54,4
n839561be0d85dbb3,n55,4
ndc901c9834f381a2,n56,4
n0093c0326c65aa55,n57,4
nd9e78fcf27071456,n58,4
n356d9d6bfcb2b03d,n59,4
na7162275765a331c,n60,4
n94b3d152c8909140,n61,4
n964082f3f5e1b5f9,n62,5
nd9e1a6eac227098b,n63,5
nee21c59c2e295c0c,n64,5
nfbfe6ebb7ddb7d34,n65,5
nd2ee21877c83d860,n66,5
n13b81a830dbdaf31,n67,5
na79718485a5d26a7,n68,5
n9df0f250d3fe9723,n69,5
n1c090eadc68d00c1,n70,5
nfa8932ab10d37702,n71,5
n946e64c7aec9ede4,n72,5
n7ac71d7413ea2cd0,n73,5
n4cd3e642cb74c45b,n74,5
nf2abbcebf96f3711,n75,5
n48b1f48488ba08a7,n76,5
ne291feb268162aee,n77,5
n483d8c79ea6572ae,n78,6
n106e407cae7a0404,n79,6
ne922dad0357ef56b,n80,6
naf5d6cfe4e0b0906,n81,6
n202ca418f71de219,n82,6
n02017c96c3eddf75,n83,6
