element_id,original_id,tag,carrier,host_or_staff
n0492a10c66216e08--slur--start--1,n4--slur--start--1,slur,stamp,n0492a10c66216e08
nae6fec32be5a0499--slur--stop--1,n5--slur--stop--1,slur,stamp,nae6fec32be5a0499
n6e5ecca6ce2d78cb--slur--start--1,n6--slur--start--1,slur,stamp,n6e5ecca6ce2d78cb
n5faa98224d804397--slur--stop--1,n8--slur--stop--1,slur,stamp,n5faa98224d804397
e9e329ec058f520a4,md-1-1-1-1,words,md,1
ec6072a53b64c5275,md-1-1-4-1,pedal,md,4
eb062e038137b26ac,md-1-1-4-2,dynamics,md,4
e21994b4270d74bbd,md-1-1-4-3,words,md,4
n8345fedd6eba1593--slur--start--1,n16--slur--start--1,slur,stamp,n8345fedd6eba1593
nb2cb00f2d66705c2--slur--start--1,n20--slur--start--1,slur,stamp,nb2cb00f2d66705c2
nbd39e41640e59437--slur--stop--1,n22--slur--stop--1,slur,stamp,nbd39e41640e59437
n57f00c640fba6d33--slur--start--1,n23--slur--start--1,slur,stamp,n57f00c640fba6d33
nf3c9a6c245fff1f0--slur--stop--1,n25--slur--stop--1,slur,stamp,nf3c9a6c245fff1f0
e8814dbe3ae5f8297,md-1-2-3-1,dynamics,md,3
n4309cd6a0fb7e9fb--slur--stop--1,n29--slur--stop--1,slur,stamp,n4309cd6a0fb7e9fb
n197316d9ca7c3d22--slur--start--1,n30--slur--start--1,slur,stamp,n197316d9ca7c3d22
n24374ab8ff7b804d--slur--stop--1,n35--slur--stop--1,slur,stamp,n24374ab8ff7b804d
n92a1877abaedd781--slur--start--1,n36--slur--start--1,slur,stamp,n92a1877abaedd781
nb0ba9e563024333c--slur--start--1,n40--slur--start--1,slur,stamp,nb0ba9e563024333c
n1055043a2517ea01--slur--stop--1,n42--slur--stop--1,slur,stamp,n1055043a2517ea01
n1f82ec778b8ac1f4--slur--start--1,n43--slur--start--1,slur,stamp,n1f82ec778b8ac1f4
nc1baa9ad38094f24--slur--stop--1,n45--slur--stop--1,slur,stamp,nc1baa9ad38094f24
nb2a19cb82ecd0135--slur--stop--1,n49--slur--stop--1,slur,stamp,nb2a19cb82ecd0135
n0fff4cfa3bd63873--slur--start--1,n51--slur--start--1,slur,stamp,n0fff4cfa3bd63873
n0d95d856aa8d104e--slur--stop--1,n53--slur--stop--1,slur,stamp,n0d95d856aa8d104e
n0d95d856aa8d104e--staccato--1,,staccato,derive,n0d95d856aa8d104e
n014d08c3586cf6ce--slur--start--1,n56--slur--start--1,slur,stamp,n014d08c3586cf6ce
nf651d163fb972a31--slur--stop--1,n58--slur--stop--1,slur,stamp,nf651d163fb972a31
nc7cf90c0dc449fdd--slur--start--1,n59--slur--start--1,slur,stamp,nc7cf90c0dc449fdd
n072b32894de6c352--slur--stop--1,n61--slur--stop--1,slur,stamp,n072b32894de6c352
eab336fef7db16d12,md-1-4-3-1,octave-shift,md,3
eb2ce2bc17717df94,md-1-4-3-2,octave-shift,md,3
ncf36ccc07522048c--slur--start--1,n65--slur--start--1,slur,stamp,ncf36ccc07522048c
n84056ea11c8910ca--slur--stop--1,n67--slur--stop--1,slur,stamp,n84056ea11c8910ca
nbd2d8386a1741c59--slur--start--1,n68--slur--start--1,slur,stamp,nbd2d8386a1741c59
n3f1298285cb33e29--slur--stop--1,n70--slur--stop--1,slur,stamp,n3f1298285cb33e29
edbbaf9ab1f344ac1,md-1-5-4-1,dynamics,md,4
e245ac73073eb3985,md-1-5-4-2,pedal,md,4
e3fc948f60a560063,md-1-5-4-3,pedal,md,4
nb132147671f0692a--slur--start--1,n78--slur--start--1,slur,stamp,nb132147671f0692a
na076a78cb2a522f4--slur--start--1,n82--slur--start--1,slur,stamp,na076a78cb2a522f4
n89fb6d63bbad0192--slur--stop--1,n84--slur--stop--1,slur,stamp,n89fb6d63bbad0192
